,JPM,BRK.B,BAC,WFC,C,BLK,GS,MS,AXP,SCHW,SPGI,USB,TFC,PNC,CME,CB,COF,MMC,ICE,BX,PGR,AON,MCO,MET,AIG,BK,PRU,ALL,TRV,MSCI,AFL,DFS,TROW,WLTW,FRC,STT,AMP,SIVB,FITB,KKR,AJG,SYF,NTRS,HIG,RF,KEY,CFG,MTB,ALLY,NDAQ,CINF,PFG,MKTX,MKL,RJF,ACGL,HBAN,SBNY,L,FNF,NLY,LNC,FDS,BRO,EQH,CBOE,LPLA,IVZ,WRB,CMA,EWBC,FHN,RE,BEN,GL,WAL,Y,AGNC,APO,AFG,ZION,AIZ,RGA,TW,ATH,CBSH,VOYA,PBCT,RNR,SEIC,ORI,SF,STWD,SNV,TCF,CFR,FAF,AMG,PB,CG,PNFP,BPOP,JEF,FFIN,SLM,PRI,UNM,SSB,ARES,EVR,JHG,VLY,MORN,GBCI,NYCB,IBKR,ESNT,PACW,UBSI,CIT,OZK,STL,ERIE,WBS,THG,MTG,FCNCA,KMPR,NRZ,OMF,WTFC,SIGI,RDN,BXMT,BKU,UMBF,CBU,FNB,RLI,HOMB,HWC,BHF,UMPQ,CACC,AXS,PPBI,AGO,HLI,HASI,ABCB,EBC,FHB,WTM,KNSL,BOH,CNO,PRG,ASB,ISBC,TCBI,PFSI,LPRO,NAVI,SFBS,LMND,APAM,SFNC,FCFS,CIM,AUB,BXS,ONB,CATY,MC,COLB,ESGR,TRUP,WD,FHI,UCBI,HLNE,CNNE,IBTX,CVBF,CADE,BOKF,UPST,FBP,FULT,VIRT,INDB,AEL,SI,WSBC,WSFS,AX,WAFD,IBOC,FFBC,FRME,RKT,FOCS,TREE,HTH,PIPR,COOP,SC,FBC,LC,GSHD,GDOT,n/a,LOB,TBK,ABR,SUM
07/09/2021,9.71,7.69,6.38,3.74,3.18,2.59,2.49,2.49,2.12,2.06,1.77,1.68,1.61,1.6,1.52,1.48,1.43,1.36,1.23,1.23,1.12,1.11,1.09,0.95,0.89,0.84,0.82,0.8,0.78,0.75,0.72,0.7,0.68,0.65,0.65,0.59,0.59,0.59,0.58,0.56,0.55,0.54,0.46,0.45,0.44,0.43,0.41,0.4,0.4,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.31,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.57
07/12/2021,9.71,7.69,6.38,3.74,3.18,2.59,2.49,2.49,2.12,2.06,1.77,1.68,1.61,1.6,1.52,1.48,1.43,1.36,1.23,1.23,1.12,1.11,1.09,0.95,0.89,0.84,0.82,0.8,0.78,0.75,0.72,0.7,0.68,0.65,0.65,0.59,0.59,0.59,0.58,0.56,0.55,0.54,0.46,0.45,0.44,0.43,0.41,0.4,0.4,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.31,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.57
07/13/2021,9.71,7.69,6.38,3.74,3.18,2.59,2.49,2.49,2.12,2.06,1.77,1.68,1.61,1.6,1.52,1.48,1.43,1.36,1.23,1.23,1.12,1.11,1.09,0.95,0.89,0.84,0.82,0.8,0.78,0.75,0.72,0.7,0.68,0.65,0.65,0.59,0.59,0.59,0.58,0.56,0.55,0.54,0.46,0.45,0.44,0.43,0.41,0.4,0.4,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.31,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.57
07/14/2021,9.71,7.69,6.38,3.74,3.18,2.59,2.49,2.49,2.12,2.06,1.77,1.68,1.61,1.6,1.52,1.48,1.43,1.36,1.23,1.23,1.12,1.11,1.09,0.95,0.89,0.84,0.82,0.8,0.78,0.75,0.72,0.7,0.68,0.65,0.65,0.59,0.59,0.59,0.58,0.56,0.55,0.54,0.46,0.45,0.44,0.43,0.41,0.4,0.4,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.31,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.57
07/15/2021,9.71,7.69,6.38,3.74,3.18,2.59,2.49,2.49,2.12,2.06,1.77,1.68,1.61,1.6,1.52,1.48,1.43,1.36,1.23,1.23,1.12,1.11,1.09,0.95,0.89,0.84,0.82,0.8,0.78,0.75,0.72,0.7,0.68,0.65,0.65,0.59,0.59,0.59,0.58,0.56,0.55,0.54,0.46,0.45,0.44,0.43,0.41,0.4,0.4,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.31,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.57
07/16/2021,9.71,7.69,6.38,3.74,3.18,2.59,2.49,2.49,2.12,2.06,1.77,1.68,1.61,1.6,1.52,1.48,1.43,1.36,1.23,1.23,1.12,1.11,1.09,0.95,0.89,0.84,0.82,0.8,0.78,0.75,0.72,0.7,0.68,0.65,0.65,0.59,0.59,0.59,0.58,0.56,0.55,0.54,0.46,0.45,0.44,0.43,0.41,0.4,0.4,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.31,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.57
07/19/2021,9.48,7.61,6.4,3.74,2.94,2.67,2.62,2.59,2.26,2.1,1.97,1.62,1.49,1.61,1.53,1.43,1.42,1.43,1.33,1.33,1.15,1.08,1.22,0.9,0.82,0.85,0.81,0.79,0.75,0.88,0.7,0.72,0.73,0.59,0.65,0.58,0.58,0.58,0.54,0.61,0.54,0.57,0.46,0.44,0.39,0.4,0.39,0.37,0.37,0.4,0.36,0.34,0.35,0.33,0.32,0.32,0.42,0.26,0.25,0.24,0.25,0.23,0.25,0.25,0.24,0.25,0.21,0.21,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.22,0.18,0.17,0.18,0.15,0.17,0.18,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.13,0.0,0.13,0.14,0.13,0.13,0.15,0.13,0.13,0.15,0.13,0.14,0.12,0.12,0.12,0.14,0.12,0.12,0.11,0.12,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.07,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73000000000002
07/20/2021,9.48,7.61,6.4,3.74,2.94,2.67,2.62,2.59,2.26,2.1,1.97,1.62,1.49,1.61,1.53,1.43,1.42,1.43,1.33,1.33,1.15,1.08,1.22,0.9,0.82,0.85,0.81,0.79,0.75,0.88,0.7,0.72,0.73,0.59,0.65,0.58,0.58,0.58,0.54,0.61,0.54,0.57,0.46,0.44,0.39,0.4,0.39,0.37,0.37,0.4,0.36,0.34,0.35,0.33,0.32,0.32,0.42,0.26,0.25,0.24,0.25,0.23,0.25,0.25,0.24,0.25,0.21,0.21,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.22,0.18,0.17,0.18,0.15,0.17,0.18,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.13,0.0,0.13,0.14,0.13,0.13,0.15,0.13,0.13,0.15,0.13,0.14,0.12,0.12,0.12,0.14,0.12,0.12,0.11,0.12,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.07,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73000000000002
07/21/2021,9.48,7.61,6.4,3.74,2.94,2.67,2.62,2.59,2.26,2.1,1.97,1.62,1.49,1.61,1.53,1.43,1.42,1.43,1.33,1.33,1.15,1.08,1.22,0.9,0.82,0.85,0.81,0.79,0.75,0.88,0.7,0.72,0.73,0.59,0.65,0.58,0.58,0.58,0.54,0.61,0.54,0.57,0.46,0.44,0.39,0.4,0.39,0.37,0.37,0.4,0.36,0.34,0.35,0.33,0.32,0.32,0.42,0.26,0.25,0.24,0.25,0.23,0.25,0.25,0.24,0.25,0.21,0.21,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.22,0.18,0.17,0.18,0.15,0.17,0.18,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.13,0.0,0.13,0.14,0.13,0.13,0.15,0.13,0.13,0.15,0.13,0.14,0.12,0.12,0.12,0.14,0.12,0.12,0.11,0.12,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.07,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73000000000002
07/22/2021,9.48,7.61,6.4,3.74,2.94,2.67,2.62,2.59,2.26,2.1,1.97,1.62,1.49,1.61,1.53,1.43,1.42,1.43,1.33,1.33,1.15,1.08,1.22,0.9,0.82,0.85,0.81,0.79,0.75,0.88,0.7,0.72,0.73,0.59,0.65,0.58,0.58,0.58,0.54,0.61,0.54,0.57,0.46,0.44,0.39,0.4,0.39,0.37,0.37,0.4,0.36,0.34,0.35,0.33,0.32,0.32,0.42,0.26,0.25,0.24,0.25,0.23,0.25,0.25,0.24,0.25,0.21,0.21,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.22,0.18,0.17,0.18,0.15,0.17,0.18,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.13,0.0,0.13,0.14,0.13,0.13,0.15,0.13,0.13,0.15,0.13,0.14,0.12,0.12,0.12,0.14,0.12,0.12,0.11,0.12,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.07,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73000000000002
07/23/2021,9.48,7.61,6.4,3.74,2.94,2.67,2.62,2.59,2.26,2.1,1.97,1.62,1.49,1.61,1.53,1.43,1.42,1.43,1.33,1.33,1.15,1.08,1.22,0.9,0.82,0.85,0.81,0.79,0.75,0.88,0.7,0.72,0.73,0.59,0.65,0.58,0.58,0.58,0.54,0.61,0.54,0.57,0.46,0.44,0.39,0.4,0.39,0.37,0.37,0.4,0.36,0.34,0.35,0.33,0.32,0.32,0.42,0.26,0.25,0.24,0.25,0.23,0.25,0.25,0.24,0.25,0.21,0.21,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.22,0.18,0.17,0.18,0.15,0.17,0.18,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.13,0.0,0.13,0.14,0.13,0.13,0.15,0.13,0.13,0.15,0.13,0.14,0.12,0.12,0.12,0.14,0.12,0.12,0.11,0.12,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.07,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73000000000002
07/26/2021,9.48,7.61,6.4,3.74,2.94,2.67,2.62,2.59,2.26,2.1,1.97,1.62,1.49,1.61,1.53,1.43,1.42,1.43,1.33,1.33,1.15,1.08,1.22,0.9,0.82,0.85,0.81,0.79,0.75,0.88,0.7,0.72,0.73,0.59,0.65,0.58,0.58,0.58,0.54,0.61,0.54,0.57,0.46,0.44,0.39,0.4,0.39,0.37,0.37,0.4,0.36,0.34,0.35,0.33,0.32,0.32,0.42,0.26,0.25,0.24,0.25,0.23,0.25,0.25,0.24,0.25,0.21,0.21,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.22,0.18,0.17,0.18,0.15,0.17,0.18,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.13,0.0,0.13,0.14,0.13,0.13,0.15,0.13,0.13,0.15,0.13,0.14,0.12,0.12,0.12,0.14,0.12,0.12,0.11,0.12,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.07,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73000000000002
07/27/2021,9.48,7.61,6.4,3.74,2.94,2.67,2.62,2.59,2.26,2.1,1.97,1.62,1.49,1.61,1.53,1.43,1.42,1.43,1.33,1.33,1.15,1.08,1.22,0.9,0.82,0.85,0.81,0.79,0.75,0.88,0.7,0.72,0.73,0.59,0.65,0.58,0.58,0.58,0.54,0.61,0.54,0.57,0.46,0.44,0.39,0.4,0.39,0.37,0.37,0.4,0.36,0.34,0.35,0.33,0.32,0.32,0.42,0.26,0.25,0.24,0.25,0.23,0.25,0.25,0.24,0.25,0.21,0.21,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.22,0.18,0.17,0.18,0.15,0.17,0.18,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.13,0.0,0.13,0.14,0.13,0.13,0.15,0.13,0.13,0.15,0.13,0.14,0.12,0.12,0.12,0.14,0.12,0.12,0.11,0.12,0.1,0.1,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.07,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73000000000002
