,COIN,MSTR,MARA,RIOT,SQ,SI,GLXY.TO,BITF.V,SBNY,HOOD,PYPL,ICE,IBKR,HUT.TO,V,AMD,NVDA,VOYG.TO,GREE,MOGO.TO,OSTK,MA,D05.SI,4755.T,SHOP,CAN,MELI,EBON,ARB.L,CIFR,MISXX,ARBK,SDIG,n/a,IREN,UCD.,SUM
10/15/2021,8.28,7.87,7.57,6.34,5.92,5.05,5.0,4.83,4.66,4.0,3.9,3.36,2.94,2.7,2.69,2.65,2.47,2.03,2.01,1.78,1.73,1.62,1.56,1.45,1.3,1.25,1.13,1.12,1.1,0.98,0.72,0.0,0.0,0.0,0.0,0.0,100.01
10/18/2021,8.08,7.93,8.0,6.29,5.97,4.91,4.98,4.89,4.64,3.94,3.86,3.34,2.87,2.85,2.63,2.72,2.47,1.94,2.08,1.77,1.64,1.58,1.56,1.44,1.32,1.22,1.15,1.18,1.07,0.99,0.71,0.0,0.0,0.0,0.0,0.0,100.01999999999998
10/21/2021,9.16,7.48,8.31,6.88,5.73,4.76,4.5,7.09,4.52,3.74,3.84,2.23,2.76,2.79,2.59,1.64,1.45,1.86,1.89,1.75,1.75,1.58,1.47,1.4,1.26,1.21,1.08,1.13,0.0,2.64,0.37,1.15,0.0,0.0,0.0,0.0,100.01
10/22/2021,9.44,7.27,8.61,7.04,5.72,4.08,4.64,7.11,4.3,3.79,3.82,2.22,2.81,2.76,2.6,1.62,1.44,1.91,1.77,1.76,1.74,1.58,1.49,1.46,1.26,1.34,1.07,1.13,0.0,2.46,0.57,1.18,0.0,0.0,0.0,0.0,99.99
10/25/2021,9.25,7.34,8.12,6.71,5.95,4.41,5.12,6.85,4.48,3.75,3.41,1.47,2.82,2.69,2.55,1.66,1.46,2.13,1.71,1.79,1.74,1.55,1.49,1.46,1.27,1.57,1.06,0.0,0.0,2.74,0.57,1.24,1.64,0.0,0.0,0.0,99.99999999999996
10/26/2021,9.51,7.35,8.09,6.61,5.82,4.45,5.21,6.73,4.69,3.69,3.46,1.53,2.91,2.63,2.63,1.71,1.51,2.0,1.63,1.74,1.79,1.6,1.54,1.54,1.23,1.51,1.02,0.0,0.0,2.71,0.0,1.15,1.64,0.39,0.0,0.0,100.02000000000002
10/27/2021,9.51,7.35,8.09,6.61,5.82,4.45,5.21,6.73,4.69,3.69,3.46,1.53,2.91,2.63,2.63,1.71,1.51,2.0,1.63,1.74,1.79,1.6,1.54,1.54,1.23,1.51,1.02,0.0,0.0,2.71,0.0,1.15,1.64,0.39,0.0,0.0,100.02000000000002
10/28/2021,9.78,7.25,8.5,6.57,5.73,4.46,5.61,6.57,4.41,3.45,3.38,1.47,2.74,2.93,2.53,1.66,1.46,1.86,1.54,1.65,1.75,1.53,1.47,1.47,1.17,1.63,0.99,0.0,0.0,2.87,0.0,1.17,1.7,0.7,0.0,0.0,100.0
10/29/2021,9.78,7.25,8.5,6.57,5.73,4.46,5.61,6.57,4.41,3.45,3.38,1.47,2.74,2.93,2.53,1.66,1.46,1.86,1.54,1.65,1.75,1.53,1.47,1.47,1.17,1.63,0.99,0.0,0.0,2.87,0.0,1.17,1.7,0.7,0.0,0.0,100.0
11/01/2021,9.65,7.02,7.88,6.16,5.75,4.58,7.29,6.48,4.27,3.16,3.26,1.51,2.63,2.75,2.28,1.66,1.58,2.79,1.55,1.75,1.96,1.42,1.49,1.47,1.2,1.57,0.98,0.0,0.0,2.49,0.0,1.05,1.66,0.71,0.0,0.0,100.0
11/02/2021,9.59,6.95,8.11,6.04,5.56,4.53,7.04,6.23,4.2,3.09,3.18,1.53,2.62,3.0,2.29,1.63,1.61,3.01,2.07,1.73,1.99,1.42,1.47,1.47,1.2,1.51,0.95,0.0,0.0,2.53,0.0,1.08,1.68,0.7,0.0,0.0,100.01
11/03/2021,9.59,6.95,8.11,6.04,5.56,4.53,7.04,6.23,4.2,3.09,3.18,1.53,2.62,3.0,2.29,1.63,1.61,3.01,2.07,1.73,1.99,1.42,1.47,1.47,1.2,1.51,0.95,0.0,0.0,2.53,0.0,1.08,1.68,0.7,0.0,0.0,100.01
11/04/2021,9.59,6.95,8.11,6.04,5.56,4.53,7.04,6.23,4.2,3.09,3.18,1.53,2.62,3.0,2.29,1.63,1.61,3.01,2.07,1.73,1.99,1.42,1.47,1.47,1.2,1.51,0.95,0.0,0.0,2.53,0.0,1.08,1.68,0.7,0.0,0.0,100.01
11/05/2021,9.2,7.03,8.96,6.45,4.96,5.37,6.98,7.11,4.05,2.82,2.86,1.4,2.51,3.16,2.06,1.58,1.51,2.85,1.75,1.84,1.93,1.27,1.36,1.35,1.1,1.48,0.88,0.0,0.0,2.63,0.0,1.05,1.86,0.64,0.0,0.0,99.99999999999996
11/08/2021,9.27,6.96,8.95,6.51,4.84,5.6,6.95,7.85,4.04,2.94,2.79,1.35,2.48,2.95,2.02,1.67,1.68,3.03,1.65,1.6,1.97,1.27,1.34,1.31,1.13,1.47,0.89,0.0,0.0,2.45,0.57,1.0,1.48,0.0,0.0,0.0,100.01
11/09/2021,9.08,6.95,8.89,6.27,4.65,5.58,7.37,7.95,4.06,2.93,2.77,1.35,2.45,2.92,2.1,1.66,1.68,2.98,1.76,1.65,1.96,1.32,1.35,1.33,1.12,1.38,0.93,0.0,0.0,2.56,0.51,1.01,1.5,0.0,0.0,0.0,100.02
11/10/2021,9.08,6.95,8.89,6.27,4.65,5.58,7.37,7.95,4.06,2.93,2.77,1.35,2.45,2.92,2.1,1.66,1.68,2.98,1.76,1.65,1.96,1.32,1.35,1.33,1.12,1.38,0.93,0.0,0.0,2.56,0.51,1.01,1.5,0.0,0.0,0.0,100.02
11/11/2021,8.92,7.02,9.82,6.84,4.34,5.28,7.33,8.33,3.8,2.82,2.63,1.26,2.29,2.99,2.0,1.71,1.63,3.09,1.8,1.58,1.85,1.24,1.28,1.23,1.05,1.52,0.88,0.0,0.0,2.51,0.48,0.99,1.4,0.07,0.0,0.0,99.98
11/12/2021,8.95,6.96,9.86,7.38,4.21,4.92,7.24,9.01,3.81,2.71,2.34,1.25,2.26,2.88,1.92,1.69,1.61,3.31,1.71,1.54,1.78,1.22,1.26,1.19,1.06,1.48,0.91,0.0,0.0,2.5,0.55,1.1,1.42,0.0,0.0,0.0,100.03
11/15/2021,9.52,6.91,9.54,7.63,4.3,5.24,7.52,8.55,3.87,2.63,2.4,1.29,2.36,2.76,1.5,1.72,1.66,3.12,1.69,1.52,1.79,1.3,1.3,1.21,1.06,1.63,0.88,0.0,0.0,2.28,0.0,1.09,1.41,0.31,0.0,0.0,99.99
11/16/2021,9.46,6.68,9.98,8.3,4.21,5.2,7.1,8.84,3.76,2.64,2.41,1.27,2.3,2.9,1.48,1.7,1.62,2.84,1.63,1.55,1.83,1.3,1.26,1.16,1.15,1.55,0.86,0.0,0.0,2.29,0.0,1.03,1.39,0.31,0.0,0.0,100.0
11/17/2021,9.46,6.68,9.98,8.3,4.21,5.2,7.1,8.84,3.76,2.64,2.41,1.27,2.3,2.9,1.48,1.7,1.62,2.84,1.63,1.55,1.83,1.3,1.26,1.16,1.15,1.55,0.86,0.0,0.0,2.29,0.0,1.03,1.39,0.31,0.0,0.0,100.0
11/18/2021,9.81,6.73,7.5,8.14,4.44,5.25,7.35,9.14,3.96,2.69,2.53,1.3,2.39,2.86,1.52,1.73,1.65,3.11,1.6,1.66,1.95,1.33,1.3,1.22,1.18,1.56,0.91,0.0,0.0,2.43,0.0,1.01,1.41,0.32,0.0,0.0,99.98
