,2EEM  220630C00000440,2EEM  220630P00055150,Cash&Other,2EEM  220630C00059990,2EEM  220630P00046880,SUM
07/09/2021,96.57,10.68,0.82,-3.97,-4.11,99.99
07/12/2021,96.16,10.38,0.79,-2.91,-4.41,100.01
07/13/2021,96.16,10.38,0.79,-2.91,-4.41,100.01
07/14/2021,96.16,10.38,0.79,-2.91,-4.41,100.01
07/15/2021,96.58,9.79,0.79,-3.19,-3.96,100.01000000000002
07/16/2021,95.77,10.04,0.78,-2.69,-3.9,100.0
07/19/2021,96.82,9.62,0.78,-3.21,-4.02,99.99
07/20/2021,96.31,9.72,0.78,-2.74,-4.08,99.99
07/21/2021,96.31,9.72,0.78,-2.74,-4.08,99.99
07/22/2021,95.79,11.09,0.78,-2.64,-5.02,100.0
07/23/2021,95.48,10.7,0.78,-2.59,-4.36,100.01
07/26/2021,96.14,9.64,0.78,-2.53,-4.03,100.0
07/27/2021,94.79,11.03,0.77,-2.73,-3.86,100.0
07/28/2021,94.79,11.03,0.77,-2.73,-3.86,100.0
