,TII 3.625 04.15.28,TII 1.75 01.15.28,TII 0.75 07.15.28,TII 0.375 07.15.27,TII 0.125 01.15.30,TII 3.875 04.15.29,TII 0.875 01.15.29,TII 0.5 01.15.28,TII 2.5 01.15.29,TII 0.25 07.15.29,TII 0.125 07.15.30,TII 0.125 01.15.31,TII 3.375 04.15.32,TII 2.125 02.15.40,TII 2.125 02.15.41,TII 0.125 07.15.31,SUM
01/10/2022,8.15,8.14,7.45,7.43,7.25,7.23,7.2,7.16,6.96,6.91,6.82,6.33,5.23,3.87,3.87,0.0,100.0
01/11/2022,8.16,8.14,7.45,7.43,7.25,7.23,7.21,7.16,6.97,6.91,6.81,6.32,5.23,3.88,3.86,0.0,100.01
01/12/2022,8.16,8.14,7.45,7.43,7.25,7.23,7.21,7.16,6.97,6.91,6.81,6.32,5.23,3.88,3.86,0.0,100.01
01/13/2022,8.16,8.13,7.45,7.42,7.25,7.23,7.21,7.15,6.97,6.91,6.82,6.32,5.23,3.88,3.87,0.0,100.0
01/14/2022,8.15,8.12,7.46,7.41,7.25,7.23,7.2,7.14,6.96,6.91,6.82,6.33,5.24,3.9,3.89,0.0,100.01
01/17/2022,8.16,8.13,7.46,7.43,7.25,7.23,7.21,7.16,6.97,6.91,6.82,6.32,5.23,3.87,3.86,0.0,100.01
01/18/2022,8.16,8.13,7.46,7.43,7.24,7.23,7.2,7.15,6.96,6.9,6.82,6.32,5.23,3.88,3.87,0.0,99.98
01/19/2022,8.17,8.14,7.47,7.44,7.24,7.23,7.21,7.16,6.97,6.91,6.81,6.32,5.23,3.86,3.84,0.0,100.0
01/20/2022,8.17,8.14,7.47,7.44,7.24,7.23,7.21,7.16,6.97,6.91,6.81,6.32,5.23,3.86,3.84,0.0,100.0
01/21/2022,8.17,8.15,7.47,7.45,7.24,7.24,7.21,7.17,6.97,6.91,6.81,6.31,5.22,3.85,3.83,0.0,100.0
01/24/2022,8.17,8.15,7.47,7.45,7.24,7.24,7.21,7.17,6.97,6.91,6.81,6.31,5.22,3.85,3.83,0.0,100.0
01/25/2022,8.16,8.13,7.47,8.32,7.24,7.24,7.22,7.16,6.97,6.91,6.83,6.33,5.24,3.88,2.91,0.0,100.00999999999998
01/26/2022,8.16,8.13,7.47,8.32,7.24,7.24,7.22,7.16,6.97,6.91,6.83,6.33,5.24,3.88,2.91,0.0,100.00999999999998
01/27/2022,8.16,8.13,7.47,8.32,7.24,7.24,7.22,7.16,6.97,6.91,6.83,6.33,5.24,3.88,2.91,0.0,100.00999999999998
01/28/2022,8.16,8.13,7.47,8.32,7.25,7.24,7.22,7.16,6.97,6.91,6.83,6.33,5.24,3.87,2.9,0.0,100.0
01/31/2022,8.15,8.13,7.46,8.31,7.25,7.24,7.22,7.15,6.97,6.91,6.83,6.33,5.24,3.88,2.91,0.0,99.97999999999998
02/01/2022,8.15,8.12,7.46,8.31,7.25,7.24,7.22,7.15,6.97,6.91,6.83,6.34,5.25,3.88,2.91,0.0,99.99
02/02/2022,8.15,8.12,7.46,8.31,7.25,7.24,7.22,7.15,6.97,6.91,6.83,6.34,5.25,3.88,2.91,0.0,99.99
02/03/2022,8.15,8.12,7.46,8.31,7.25,7.24,7.22,7.15,6.97,6.91,6.83,6.34,5.25,3.88,2.91,0.0,99.99
02/04/2022,8.15,8.13,7.46,8.31,7.26,7.24,7.22,7.15,6.97,6.92,6.84,6.34,5.25,3.88,2.91,0.0,100.03
02/08/2022,8.18,8.15,7.48,8.35,7.25,7.25,7.23,7.17,6.98,6.91,6.82,6.33,5.23,3.82,2.86,0.0,100.01
02/09/2022,8.18,8.15,7.48,8.35,7.25,7.25,7.23,7.17,6.98,6.91,6.82,6.33,5.23,3.82,2.86,0.0,100.01
02/10/2022,8.18,8.15,7.48,8.35,7.25,7.25,7.23,7.17,6.98,6.91,6.82,6.33,5.23,3.82,2.86,0.0,100.01
02/11/2022,8.17,8.14,7.47,8.17,7.24,7.24,7.22,7.16,6.97,6.9,6.81,6.32,5.23,3.82,3.16,0.0,100.02
02/14/2022,8.18,8.15,7.48,7.04,7.24,7.25,7.22,7.18,6.97,6.91,6.82,6.31,5.23,3.8,4.22,0.0,100.0
02/15/2022,8.16,8.14,7.47,7.04,7.25,7.24,7.22,7.17,6.97,6.91,6.83,6.33,5.25,3.8,4.22,0.0,100.0
02/16/2022,8.16,8.14,7.47,7.04,7.25,7.24,7.22,7.17,6.97,6.91,6.83,6.33,5.25,3.8,4.22,0.0,100.0
02/17/2022,8.16,8.14,7.47,7.04,7.25,7.24,7.22,7.17,6.97,6.91,6.83,6.33,5.25,3.8,4.22,0.0,100.0
02/18/2022,8.18,8.16,7.49,7.07,7.24,7.24,7.23,7.18,6.98,6.9,6.82,6.32,5.24,3.77,4.19,0.0,100.01
02/21/2022,8.18,8.16,7.49,7.06,7.24,7.23,7.22,7.19,6.97,6.9,6.82,6.33,5.24,3.78,4.2,0.0,100.01
05/23/2022,8.23,8.28,8.26,3.24,7.23,7.28,7.3,7.31,7.04,6.96,6.84,6.34,5.03,4.11,3.3,3.26,100.01
06/06/2022,8.33,8.38,8.36,3.28,6.68,7.35,7.38,7.4,7.12,6.59,6.91,6.4,5.05,4.16,3.34,3.29,100.02
07/04/2022,8.39,8.45,8.38,3.31,6.67,7.39,7.38,7.44,7.13,6.58,6.88,6.38,5.04,4.45,2.85,3.27,99.99
07/27/2022,8.35,8.42,8.4,0.0,7.95,7.39,7.94,7.42,7.15,8.13,8.43,6.43,3.67,3.42,2.89,4.01,100.00000000000003
