,XLP,XLE,XLB,XLRE,XLU,XLV,GLD,SPTS,SPTL,n/a,SUM
05/03/2022,13.04,12.53,12.26,12.17,12.13,12.12,8.54,8.54,7.79,0.88,100.0
06/08/2022,11.97,11.99,0.0,0.0,11.92,0.0,19.88,19.79,19.85,4.6,100.0
