,n/a,T 1.875 08.31.22,B 0 07.14.22,B 0 10.13.22,AXP 3.4 02.27.23,GS F 03.15.24,BMY 3.25 02.20.23,BAC 3.3 01.11.23 GMTN,MUFG 3.455 03.02.23,UNH 2.875 03.15.23,MS 3.125 01.23.23 GMTN,GS 3.2 02.23.23,BK 2.95 01.29.23 MTN,HD 2.7 04.01.23,DUK 3.05 03.15.23,MS F 10.24.23 MTN,JPM F 10.24.23,DE 2.7 01.06.23 MTN,MUFG F 03.02.23,EIX F 04.01.24,CM F 03.17.23 *,EQH F 04.06.23 144A,CAT F 09.13.24 MTN,JPM F 03.16.24,SPG F 01.11.24,C 3.375 03.01.23,MPLX 3.375 03.15.23,MMC 3.3 03.14.23,BNP 3.25 03.03.23 MTN,EQR 3 04.15.23,D 2.75 03.15.23 C,MSFT 2.375 05.01.23,EIX F 12.02.22,TD F 01.27.23 MTN,AL 2.75 01.15.23,ENBCN F 02.17.23,BNS F 06.23.23,RY F 10.26.23 MTN,BNS 1.95 02.01.23,ES F 08.15.23 T,RY F 07.29.24,SRE F 09.14.23,HNDA 0.4 10.21.22 MTN,NEE F 11.03.23,ADI F 10.01.24,AXP F 11.03.23,TD F 03.04.24,BNS F 07.31.24,RY F 10.07.24 GMTN,GM F 03.08.24,SO F 06.28.24 A,CVX 1.141 05.11.23,WFC V1.654 06.02.24 MTN,TD 0.75 06.12.23 MTN,DELL 5.45 06.15.23,EQH 3.9 04.20.23,COF 3.2 01.30.23,CAG 3.2 01.25.23,AZO 3.125 07.15.23,MCO 2.625 01.15.23,CNQCN 2.95 01.15.23,HUM 2.9 12.15.22,ABBV 2.85 05.14.23,TOYOTA 2.9 03.30.23 MTN,SBUX F 02.14.24,COF 2.6 05.11.23,WBD 2.95 03.20.23,DUK F 06.10.23,SO F 05.10.23 2021,T F 03.25.24,IFF 0.697 09.15.22 144A,FITB 1.625 05.05.23,ANTM 0.45 03.15.23,ICE 0.7 06.15.23,BMWOT 2022-A A2B,COF F 05.09.25,GMALT 2022-2 A2,CARMX 2022-2 A2B,FORDL 2022-A A2B,ELV 0.45 03.15.23,GMALT 2021-3 A3,TOYOTA F 12.29.23 MTN,BMWLT 2021-2 A3,FORDO 2022-B A2B,WOART 2022-B A2B,CARMX 2021-1 A3,SUM
05/16/2022,8.37,8.01,7.98,3.97,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.49,1.49,1.49,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.46,0.3,0.2,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
07/07/2022,3.76,8.04,12.06,4.0,1.51,1.51,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.49,1.5,1.5,1.48,1.49,1.49,1.01,1.0,1.01,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,0.98,1.0,0.99,0.99,0.99,0.98,0.99,0.99,0.98,0.98,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.46,0.3,0.2,0.16,0.16,0.49,0.49,0.4,0.39,0.22,0.22,0.2,100.04
