,FLTR.L,EVO.ST,DKNG,LVS,27.HK,ALL.AX,MGM,VICI,CZR,ENT.L,1928.HK,WYNN,GLPI,TAH.AX,PENN,FDJ.PA,SGMS,CHDN,SKLZ,MGP,G13.SI,KIND SDB.ST,BYD,035250.KS,OPAP.AT,CWN.AX,MLCO,GENTING.KL,880.HK,SGR.AX,IGT,GENM.KL,1128.HK,3918.HK,PTEC.L,SKC.NZ,6417.T,6412.T,200.HK,2282.HK,Australian Dollar,South Korean Won,South African Rand,GVMXX,SUM
07/09/2021,7.89,7.35,6.89,6.54,6.1,5.84,5.19,4.38,4.35,4.27,3.99,3.41,2.84,2.72,2.65,2.22,1.93,1.91,1.6,1.53,1.38,1.27,1.27,1.17,1.15,1.07,1.04,1.02,0.9,0.86,0.84,0.76,0.61,0.59,0.52,0.48,0.44,0.39,0.32,0.3,0.02,0.0,0.0,0.0,100.0
08/31/2021,7.71,6.9,7.05,6.53,6.23,5.92,5.15,4.39,4.43,4.17,4.02,3.45,2.85,2.72,2.73,2.21,1.96,1.89,1.79,1.53,1.39,1.18,1.28,1.19,1.16,1.07,1.03,1.03,0.9,0.85,0.85,0.76,0.61,0.59,0.5,0.49,0.45,0.39,0.33,0.32,0.0,0.0,0.0,2.15,102.14999999999999
