,2021-07-16 SPDRu00ae S&P 500u00ae ETF Trust C 3.21,US Dollar,2021-07-16 SPDRu00ae S&P 500u00ae ETF Trust P 225.20,2021-07-16 SPDRu00ae S&P 500u00ae ETF Trust P 305.63,2021-07-16 SPDRu00ae S&P 500u00ae ETF Trust C 348.74,2022-07-15 SPDRu00ae S&P 500u00ae ETF Trust C 4.30,2022-07-15 SPDRu00ae S&P 500u00ae ETF Trust P 409.77,2022-07-15 SPDRu00ae S&P 500u00ae ETF Trust P 301.94,2022-07-15 SPDRu00ae S&P 500u00ae ETF Trust C 462.83,SUM
07/09/2021,123.97,0.3,0.0,0.0,-24.27,0.0,0.0,0.0,0.0,100.0
07/12/2021,124.7,0.3,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,124.7,0.3,0.0,0.0,-25.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,0.0,1.12,0.0,0.0,0.0,97.51,6.07,-1.41,-3.3,99.99000000000002
