,AAPL,MSFT,AMZN,GOOG,GOOGL,FB,Taiwan Semiconductor Manufacturing Co. Ltd. Sponsored ADR,V,JPM,UNH,700.HK,ADBE,BAC,TSLA,HD,PYPL,DIS,Alibaba Group Holding Ltd.,Samsung Electronics Co. Ltd. Sponsored GDR,JNJ,NVDA,CRM,TXN,TMO,NKE,NESN.SW,ASML.AS,CSCO,ABT,HON,MDT,DHR,SBUX,LLY,INTC,INTU,PFE,COST,6758.T,ORCL,ROG.SW,PLD,AMAT,GS,AVGO,C,AXP,WFC,QCOM,XOM,7203.T,UNP,T,LOW,AMGN,EL,BRK.B,ITW,MRK,CHTR,NOVOB.CO,PEP,ACN,DE,NEE,ETN,A,CMCSA,PG,TT,LIN,RTX,WMT,CVX,MMC,WM,PH,AMT,MS,Infosys Limited Sponsored ADR,TEL,NSC,TJX,SCHW,ALL,7741.T,PSA,CSX,ANTM,CSL.AX,CVS,TGT,CHD,CB,9984.T,NOVN.SW,MC.PA,CMI,BDX,MCD,China Merchants Bank Co. Ltd. Class H,LUMI.TA,GEBN.SW,NFLX,ROST,III.L,DFS,ORLY,IBM,CAP.PA,FDX,3690.HK,LMT,KO,CAT,AZN.L,7951.T,ADS.DE,UPS,AFL,NXRT,EBAY,Shopify Inc. Class A,SAP.DE,BMY,MA,ADP,MMM,PM,DPW.DE,MRK.DE,BA,BIIB,1299.HK,VZ,EMR,Royal Dutch Shell Plc Class B,PNC,DSM.AS,GD,SIE.DE,MKC,ALV.DE,JCI,ANA.MC,GIVN.SW,ADM,TD.TO,RY.TO,9433.T,CLX,GILD,HSY,MET,RIO.L,Vale S.A. Sponsored ADR,AEP,USB,BKNG,SU.PA,KER.PA,BAM.A.TO,United Microelectronics Corp. Sponsored ADR,EOG,MQG.AX,CL,GLW,SCP.AX,SGE.L,OR.PA,S68.SI,BAX,COF,NOC,KEYS,6981.T,4543.T,CNR.TO,TRV,NA.TO,HSBA.L,SYY,BK,PRU,Dr. Reddy's Laboratories Ltd. Sponsored ADR,EXPN.L,SAN.PA,RELX PLC,DG.PA,ROIC,WTB.L,ECL,4901.T,DAI.DE,ALXN,16.HK,Reliance Industries Limited Sponsored GDR 144A,COP.DE,388.HK,ABBN.SW,Atlas Copco AB Class B,035420.KS,CTSH,TSM,9988.HK,SSU.,NOVO B.CO,INFY,REL.L,M4B.,4970.T,SHOP,RYDBF,VALE,UMC,RDY,ATCOB.ST,RIGDS.,KMB,WES.AX,CMPUY,ABBV,RITN.,Compagnie Financiere Richemont SA,EL.PA,MRNA,T.TO,BAM,4568.T,8035.T,6861.T,UMH,n/a,COP,UCB.BR,TTE.PA,SPG,IBN,PRX.AS,F,AMD,MCK,CFR.SW,DLTR,6902.T,HPQ,SSU.DE,SHEL.L,MPC,VLO,PXD,RIGDS,SJM,TSN,PEG,GSK.L,BHP.AX,MTB,DGE.L,SUM
07/09/2021,3.29,2.81,2.24,1.19,1.13,1.08,0.85,0.83,0.82,0.67,0.67,0.67,0.66,0.63,0.6,0.59,0.58,0.54,0.53,0.53,0.51,0.51,0.49,0.48,0.48,0.47,0.46,0.46,0.43,0.43,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.36,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.43000000000001
07/12/2021,3.35,2.83,2.29,1.2,1.13,1.07,0.84,0.83,0.81,0.68,0.64,0.69,0.65,0.63,0.6,0.6,0.58,0.52,0.51,0.54,0.5,0.51,0.49,0.49,0.48,0.48,0.46,0.47,0.44,0.44,0.43,0.41,0.41,0.41,0.4,0.4,0.38,0.39,0.37,0.38,0.37,0.36,0.33,0.33,0.34,0.33,0.33,0.32,0.32,0.32,0.33,0.32,0.31,0.32,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.25,0.26,0.26,0.24,0.25,0.25,0.25,0.25,0.25,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.21,0.22,0.23,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.19,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.0,0.0,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7
07/13/2021,3.35,2.83,2.29,1.2,1.13,1.07,0.84,0.83,0.81,0.68,0.64,0.69,0.65,0.63,0.6,0.6,0.58,0.52,0.51,0.54,0.5,0.51,0.49,0.49,0.48,0.48,0.46,0.47,0.44,0.44,0.43,0.41,0.41,0.41,0.4,0.4,0.38,0.39,0.37,0.38,0.37,0.36,0.33,0.33,0.34,0.33,0.33,0.32,0.32,0.32,0.33,0.32,0.31,0.32,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.25,0.26,0.26,0.24,0.25,0.25,0.25,0.25,0.25,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.21,0.22,0.23,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.19,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.0,0.0,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7
07/14/2021,3.35,2.81,2.26,1.19,1.12,1.07,0.85,0.83,0.83,0.68,0.65,0.68,0.66,0.63,0.6,0.61,0.59,0.51,0.52,0.53,0.5,0.5,0.49,0.48,0.48,0.47,0.47,0.47,0.44,0.44,0.43,0.41,0.42,0.4,0.4,0.39,0.38,0.39,0.37,0.38,0.36,0.36,0.34,0.34,0.34,0.33,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.31,0.3,0.31,0.31,0.3,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.28,0.27,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.23,0.22,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.0,0.0,0.14,0.14,0.14,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.74000000000001
07/15/2021,3.32,2.79,2.25,1.19,1.13,1.08,0.86,0.82,0.84,0.68,0.64,0.67,0.67,0.65,0.6,0.61,0.61,0.51,0.51,0.53,0.51,0.49,0.49,0.47,0.48,0.47,0.47,0.46,0.43,0.44,0.42,0.41,0.42,0.4,0.4,0.39,0.38,0.39,0.38,0.38,0.36,0.37,0.34,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.3,0.3,0.31,0.31,0.29,0.29,0.3,0.29,0.3,0.29,0.28,0.29,0.28,0.28,0.28,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.28,0.27,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.23,0.25,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.23,0.22,0.21,0.22,0.23,0.22,0.22,0.22,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.21,0.2,0.2,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.0,0.14,0.14,0.14,0.13,0.13,0.13,0.0,0.14,0.14,0.14,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.760000000000005
07/16/2021,3.36,2.83,2.23,1.2,1.13,1.07,0.87,0.84,0.82,0.69,0.67,0.68,0.65,0.63,0.59,0.61,0.61,0.53,0.51,0.53,0.5,0.5,0.49,0.48,0.48,0.47,0.48,0.46,0.43,0.44,0.42,0.41,0.42,0.4,0.4,0.39,0.38,0.39,0.39,0.38,0.36,0.36,0.34,0.34,0.34,0.33,0.34,0.33,0.32,0.32,0.33,0.32,0.31,0.32,0.3,0.3,0.31,0.31,0.29,0.29,0.3,0.3,0.3,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.21,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.21,0.2,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.13,0.0,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.870000000000005
07/19/2021,3.44,2.84,2.21,1.21,1.14,1.06,0.83,0.86,0.83,0.69,0.68,0.68,0.64,0.62,0.61,0.6,0.61,0.54,0.52,0.53,0.47,0.49,0.48,0.48,0.48,0.47,0.48,0.47,0.42,0.46,0.42,0.42,0.42,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.36,0.37,0.33,0.34,0.34,0.33,0.34,0.34,0.33,0.31,0.33,0.32,0.31,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.29,0.29,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.21,0.21,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.0,0.14,0.13,0.14,0.0,0.14,0.13,0.0,0.14,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.97
07/20/2021,3.41,2.86,2.19,1.22,1.14,1.05,0.0,0.87,0.81,0.69,0.68,0.68,0.63,0.62,0.61,0.6,0.6,0.0,0.0,0.53,0.45,0.49,0.48,0.49,0.48,0.47,0.47,0.47,0.43,0.46,0.42,0.42,0.42,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.32,0.34,0.33,0.33,0.33,0.34,0.32,0.3,0.33,0.32,0.31,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.0,0.31,0.3,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.28,0.27,0.28,0.26,0.27,0.28,0.27,0.27,0.26,0.0,0.26,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.0,0.22,0.23,0.22,0.21,0.0,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.0,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.19,0.0,0.18,0.19,0.18,0.17,0.17,0.17,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.0,0.17,0.17,0.16,0.16,0.16,0.15,0.0,0.14,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.0,0.15,0.14,0.0,0.14,0.14,0.0,0.14,0.13,0.13,0.0,0.14,0.0,0.0,0.15,0.14,0.0,0.14,0.0,0.82,0.55,0.52,0.31,0.26,0.23,0.23,0.21,0.19,0.17,0.17,0.16,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.03
07/21/2021,3.41,2.86,2.19,1.22,1.14,1.05,0.0,0.87,0.81,0.69,0.68,0.68,0.63,0.62,0.61,0.6,0.6,0.0,0.0,0.53,0.45,0.49,0.48,0.49,0.48,0.47,0.47,0.47,0.43,0.46,0.42,0.42,0.42,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.32,0.34,0.33,0.33,0.33,0.34,0.32,0.3,0.33,0.32,0.31,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.0,0.31,0.3,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.28,0.27,0.28,0.26,0.27,0.28,0.27,0.27,0.26,0.0,0.26,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.0,0.22,0.23,0.22,0.21,0.0,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.0,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.19,0.0,0.18,0.19,0.18,0.17,0.17,0.17,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.0,0.17,0.17,0.16,0.16,0.16,0.15,0.0,0.14,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.0,0.15,0.14,0.0,0.14,0.14,0.0,0.14,0.13,0.13,0.0,0.14,0.0,0.0,0.15,0.14,0.0,0.14,0.0,0.82,0.55,0.52,0.31,0.26,0.23,0.23,0.21,0.19,0.17,0.17,0.16,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.03
07/22/2021,3.41,2.86,2.19,1.22,1.14,1.05,0.0,0.87,0.81,0.69,0.68,0.68,0.63,0.62,0.61,0.6,0.6,0.0,0.0,0.53,0.45,0.49,0.48,0.49,0.48,0.47,0.47,0.47,0.43,0.46,0.42,0.42,0.42,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.32,0.34,0.33,0.33,0.33,0.34,0.32,0.3,0.33,0.32,0.31,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.0,0.31,0.3,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.28,0.27,0.28,0.26,0.27,0.28,0.27,0.27,0.26,0.0,0.26,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.0,0.22,0.23,0.22,0.21,0.0,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.0,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.19,0.0,0.18,0.19,0.18,0.17,0.17,0.17,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.0,0.17,0.17,0.16,0.16,0.16,0.15,0.0,0.14,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.0,0.15,0.14,0.0,0.14,0.14,0.0,0.14,0.13,0.13,0.0,0.14,0.0,0.0,0.15,0.14,0.0,0.14,0.0,0.82,0.55,0.52,0.31,0.26,0.23,0.23,0.21,0.19,0.17,0.17,0.16,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.03
