,HDG,RINF,RALS,TOLZ,PEX,MRGR,ProShares Managed Futures Strategy,Cash,FUT,n/a,SUM
07/09/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/12/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/13/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/14/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/15/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/16/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/19/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/20/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/21/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/22/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/23/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/26/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/27/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/28/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/29/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
07/30/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
08/02/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
08/03/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
08/04/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
08/05/2021,25.18,16.06,14.74,13.91,12.67,12.01,5.4,0.04,0.0,0.0,100.01
08/06/2021,24.48,13.94,16.95,16.06,13.53,9.62,5.37,0.04,0.0,0.0,99.99
09/06/2021,24.72,11.7,14.68,18.41,13.23,11.85,0.0,0.0,5.32,0.09,100.0
09/07/2021,24.72,11.75,14.69,18.38,13.22,11.85,0.0,0.0,5.32,0.08,100.01
09/08/2021,24.72,11.75,14.69,18.38,13.22,11.85,0.0,0.0,5.32,0.08,100.01
09/09/2021,24.72,11.75,14.69,18.38,13.22,11.85,0.0,0.0,5.32,0.08,100.01
09/10/2021,24.75,11.81,14.69,18.29,13.2,11.86,0.0,0.0,5.32,0.09,100.01
09/13/2021,22.66,12.15,12.99,20.7,13.24,14.1,0.0,0.0,4.07,0.09,100.0
09/14/2021,22.7,12.23,13.05,20.53,13.22,14.12,0.0,0.0,4.07,0.09,100.01
09/15/2021,22.7,12.23,13.05,20.53,13.22,14.12,0.0,0.0,4.07,0.09,100.01
09/16/2021,22.68,12.11,13.1,20.67,13.19,14.1,0.0,0.0,4.07,0.09,100.01
09/17/2021,22.71,12.05,12.94,20.72,13.21,14.18,0.0,0.0,4.1,0.09,100.0
09/20/2021,22.61,12.01,13.09,20.72,13.25,14.16,0.0,0.0,4.08,0.09,100.01
09/21/2021,22.63,12.1,13.15,20.53,13.21,14.19,0.0,0.0,4.1,0.09,100.0
09/22/2021,22.63,12.1,13.15,20.53,13.21,14.19,0.0,0.0,4.1,0.09,100.0
09/23/2021,22.61,12.08,13.27,20.52,13.05,14.24,0.0,0.0,4.14,0.09,100.0
09/24/2021,22.61,12.03,13.19,20.57,13.16,14.23,0.0,0.0,4.12,0.09,100.0
09/27/2021,22.65,11.86,13.08,20.4,12.86,14.1,0.0,0.0,4.09,0.96,100.0
09/28/2021,22.61,11.97,13.16,20.28,12.74,14.16,0.0,0.0,4.11,0.96,99.99
09/29/2021,22.61,11.97,13.16,20.28,12.74,14.16,0.0,0.0,4.11,0.96,99.99
09/30/2021,22.68,11.98,13.23,20.24,12.67,14.13,0.0,0.0,4.11,0.96,100.0
10/01/2021,22.6,12.15,13.38,20.02,12.56,14.19,0.0,0.0,4.14,0.96,100.0
10/04/2021,22.85,12.24,13.51,20.16,12.66,14.32,0.0,0.0,4.2,0.06,100.0
10/05/2021,22.83,12.21,13.45,20.22,12.7,14.34,0.0,0.0,4.18,0.06,99.99
10/06/2021,22.83,12.21,13.45,20.22,12.7,14.34,0.0,0.0,4.18,0.06,99.99
10/07/2021,22.71,12.22,13.55,20.36,12.62,14.3,0.0,0.0,4.18,0.06,100.0
10/08/2021,22.71,12.34,13.53,20.28,12.64,14.26,0.0,0.0,4.18,0.06,100.0
10/11/2021,21.26,10.17,11.07,21.46,13.68,16.72,0.0,0.0,5.58,0.06,100.0
10/12/2021,21.16,10.24,11.08,21.41,13.74,16.73,0.0,0.0,5.57,0.06,99.99
10/13/2021,21.16,10.24,11.08,21.41,13.74,16.73,0.0,0.0,5.57,0.06,99.99
10/14/2021,21.15,10.28,11.1,21.36,13.73,16.74,0.0,0.0,5.58,0.06,100.0
10/15/2021,21.15,10.28,11.1,21.36,13.73,16.74,0.0,0.0,5.58,0.06,100.0
10/18/2021,21.12,10.16,10.94,21.68,13.94,16.61,0.0,0.0,5.49,0.06,100.0
10/19/2021,21.14,10.2,10.92,21.71,13.92,16.56,0.0,0.0,5.49,0.05,99.99
10/20/2021,21.14,10.2,10.92,21.71,13.92,16.56,0.0,0.0,5.49,0.05,99.99
10/21/2021,21.18,10.17,10.93,21.7,13.92,16.54,0.0,0.0,5.5,0.05,99.99
10/22/2021,21.18,10.17,10.93,21.7,13.92,16.54,0.0,0.0,5.5,0.05,99.99
10/25/2021,21.13,10.21,10.87,21.89,13.89,16.5,0.0,0.0,5.46,0.05,100.0
10/26/2021,21.14,10.2,10.83,21.83,13.95,16.56,0.0,0.0,5.45,0.05,100.01
10/27/2021,21.14,10.2,10.83,21.83,13.95,16.56,0.0,0.0,5.45,0.05,100.01
10/28/2021,21.17,10.23,10.79,21.82,13.95,16.52,0.0,0.0,5.46,0.05,99.99
10/29/2021,21.13,10.27,10.78,21.84,13.94,16.53,0.0,0.0,5.45,0.05,99.99
11/02/2021,21.24,9.89,10.74,21.83,14.06,16.7,0.0,0.0,5.49,0.05,100.0
11/03/2021,21.24,9.89,10.74,21.83,14.06,16.7,0.0,0.0,5.49,0.05,100.0
11/04/2021,21.3,9.81,10.72,21.95,14.04,16.63,0.0,0.0,5.49,0.05,99.99
11/05/2021,21.3,9.81,10.72,21.95,14.04,16.63,0.0,0.0,5.49,0.05,99.99
11/08/2021,21.37,10.07,10.66,21.72,14.01,16.66,0.0,0.0,5.45,0.06,100.0
11/09/2021,19.08,10.13,8.88,21.4,13.72,18.94,0.0,0.0,7.77,0.07,99.99
11/10/2021,19.08,10.13,8.88,21.4,13.72,18.94,0.0,0.0,7.77,0.07,99.99
11/11/2021,19.08,10.29,8.85,21.31,13.74,18.9,0.0,0.0,7.75,0.09,100.01
11/12/2021,19.04,10.34,8.86,21.31,13.67,18.94,0.0,0.0,7.75,0.09,100.0
11/15/2021,19.01,10.49,8.91,21.11,13.73,18.88,0.0,0.0,7.77,0.1,100.0
11/16/2021,19.01,10.49,8.9,21.07,13.78,18.89,0.0,0.0,7.76,0.1,100.0
11/17/2021,19.01,10.49,8.9,21.07,13.78,18.89,0.0,0.0,7.76,0.1,100.0
11/18/2021,18.95,10.58,8.89,21.08,13.75,18.88,0.0,0.0,7.76,0.11,100.0
11/19/2021,19.01,10.49,8.89,21.0,13.76,18.94,0.0,0.0,7.78,0.12,99.99
11/22/2021,19.0,10.48,8.88,21.0,13.74,18.99,0.0,0.0,7.79,0.12,100.0
11/23/2021,19.0,10.48,8.88,21.0,13.74,18.99,0.0,0.0,7.79,0.12,100.0
11/24/2021,19.02,10.54,8.82,20.93,13.67,19.1,0.0,0.0,7.81,0.12,100.01
11/25/2021,19.02,10.54,8.82,20.93,13.67,19.1,0.0,0.0,7.81,0.12,100.01
11/26/2021,18.95,10.43,9.0,21.15,13.41,19.13,0.0,0.0,7.81,0.12,100.0
11/29/2021,18.92,10.37,8.98,21.3,13.39,19.11,0.0,0.0,7.82,0.12,100.01
11/30/2021,18.95,10.39,9.04,21.12,13.26,19.29,0.0,0.0,7.84,0.12,100.01
12/01/2021,18.95,10.39,9.04,21.12,13.26,19.29,0.0,0.0,7.84,0.12,100.01
12/02/2021,18.92,10.34,8.97,21.14,13.39,19.3,0.0,0.0,7.82,0.12,100.0
12/06/2021,18.96,10.38,9.07,20.84,13.35,19.41,0.0,0.0,7.87,0.13,100.01
12/07/2021,18.96,10.38,9.07,20.84,13.35,19.41,0.0,0.0,7.87,0.13,100.01
12/08/2021,18.96,10.38,9.07,20.84,13.35,19.41,0.0,0.0,7.87,0.13,100.01
12/09/2021,18.96,10.38,9.07,20.84,13.35,19.41,0.0,0.0,7.87,0.13,100.01
