,MIN.AX,6121,6762.T,ENS,UMI.BR,300750.SZ,INCO.JK,ALFEN.AS,CAT,002340.SZ,BLNK,002460.SZ,LMT,EOAN.DE,SQM,002709.SZ,NEL.OL,300037.SZ,ALB,SEDG,QCOM,002497.SZ,300001.SZ,CWR.L,600406.SS,5563.T,PLUG,SIE.DE,8088.T,6674.T,300073.SZ,EDF.PA,BLDP.TO,ABBN.SW,FCEL,IGO.AX,600549.SS,247540.KQ,300618.SZ,300274.SZ,NKLA,TSLA,WRT1V.HE,WSA.AX,002001.SZ,AI,7011.T,051910.KS,EAF,GE,BMW.DE,UBER,5302.T,357780.KQ,JMAT.L,4188.T,002074.SZ,002594.SZ,VALE3.SA,603799.SS,5713.T,AFC.L,n/a,ARI.JO,TXN,300068.SZ,6594.T,2317.TW,ITT,006400.KS,LUN.TO,6902.T,182.HK,300376.SZ,003670.KS,ALO.PA,APH,ETN,NXPI,GM,6701.T,836.HK,SU.PA,MMM,6752.T,6503.T,IFX.DE,6908.T,NILSY,SUM
03/15/2022,4.26,4.01,3.4,3.32,3.2,3.19,3.08,2.65,2.63,2.61,2.48,2.37,2.27,2.17,2.13,2.0,1.99,1.93,1.92,1.81,1.74,1.54,1.52,1.44,1.39,1.32,1.28,1.26,1.19,1.17,1.05,1.05,1.02,1.02,1.01,1.0,0.98,0.98,0.94,0.92,0.91,0.9,0.87,0.85,0.84,0.8,0.79,0.77,0.75,0.71,0.7,0.7,0.69,0.63,0.6,0.59,0.57,0.56,0.54,0.54,0.54,0.53,0.53,0.49,0.45,0.43,0.39,0.37,0.37,0.32,0.31,0.3,0.29,0.27,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.17,0.15,0.15,0.0,100.0
04/15/2022,5.61,3.7,3.43,3.13,3.35,3.07,3.83,2.51,2.69,2.33,2.64,2.13,2.45,2.16,2.38,1.75,1.73,1.73,2.16,1.74,1.57,1.39,1.26,1.44,1.16,1.18,1.38,1.16,1.03,1.06,0.98,1.06,0.98,0.98,0.83,1.1,0.87,1.28,0.81,0.71,1.0,1.13,0.74,0.97,0.8,0.92,0.84,0.83,0.77,0.7,0.74,0.73,0.68,0.69,0.62,0.57,0.49,0.58,0.57,0.47,0.5,0.56,0.58,0.51,0.47,0.36,0.35,0.36,0.35,0.39,0.32,0.29,0.31,0.22,0.31,0.24,0.22,0.22,0.21,0.21,0.21,0.19,0.21,0.21,0.19,0.17,0.15,0.13,0.0,100.03
