,AAPL,TSLA,JNJ,PG,ADBE,XOM,INTC,CSCO,PFE,CRM,CVX,ABT,TMO,MRK,LLY,NKE,TXN,DHR,MDT,QCOM,UPS,LIN,BMY,IBM,INTU,AMAT,MMM,AMD,CVS,SYK,MU,PLD,MDLZ,TMUS,COP,UBER,FDX,EL,BDX,EQIX,NSC,ADSK,EW,APD,ADI,BSX,ETN,EMR,REGN,NXPI,FCX,IDXX,BIIB,DOCU,ECL,NEM,EOG,JCI,ALGN,EBAY,KLAC,DOW,MRVL,TEL,A,TT,EXC,APTV,DD,CARR,SRE,SNPS,ALXN,LULU,BAX,PPG,ORLY,PSX,HPQ,CDNS,IFF,PXD,CTSH,RMD,WBA,CMI,SWK,ZBH,CTAS,MNST,ADM,CTVA,AZO,ROK,VLO,GLW,DHI,MCK,FAST,PEG,ANSS,PCAR,ZBRA,NUE,CPRT,LEN,LH,VFC,DELL,WST,LBRDK,WY,ODFL,KDP,CDW,IP,TDOC,CERN,DLTR,FTV,VMC,GRMN,MLM,WDC,DOV,TSCO,BURL,EIX,XYL,EXPD,HZNP,CHD,IT,FLT,GWW,TRMB,STE,ALB,COO,HPE,TFX,PAYC,AKAM,ULTA,POOL,TYL,IR,GPC,CTLT,FANG,AVY,BKR,DGX,PKI,OMC,HOLX,ABC,CAH,IEX,PLUG,BMRN,PTC,WAB,PHM,CTXS,LKQ,JBHT,FMC,XRAY,WRK,BIO,SJM,FBHS,AAP,WHR,CHRW,XPO,IPG,PKG,VMW,ATO,CDAY,STLD,JKHY,CCEP,SNA,BWA,UHS,FFIV,PNR,CF,MHK,CLVT,REG,BG,JAZZ,LEA,HSIC,DOX,NWSA,PNW,AZN,RHI,JNPR,ST,FLEX,TJX,PANW,PAYX,ARE,GNRC,WAT,LYB,CRL,TECH,DVN,EXAS,BBWI WI,OGN,NOW,LRCX,MPC,EA,OKTA,TER,PPL,HES,HAL,YNDX,CTRA,SEDG,HAS,ALLE,SUM
07/09/2021,16.09,3.93,3.27,2.46,2.09,2.0,1.69,1.69,1.65,1.62,1.54,1.53,1.49,1.48,1.46,1.46,1.32,1.29,1.27,1.19,1.14,1.13,1.1,0.98,0.94,0.94,0.86,0.85,0.81,0.68,0.67,0.66,0.65,0.64,0.64,0.61,0.54,0.54,0.53,0.53,0.51,0.49,0.49,0.47,0.46,0.46,0.45,0.43,0.43,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
07/12/2021,16.8,3.71,3.31,2.47,2.15,1.9,1.68,1.67,1.63,1.63,1.48,1.55,1.52,1.48,1.48,1.47,1.3,1.31,1.28,1.17,1.15,1.13,1.1,0.92,0.96,0.91,0.86,0.81,0.8,0.68,0.65,0.67,0.65,0.65,0.59,0.58,0.53,0.54,0.54,0.54,0.51,0.49,0.5,0.47,0.45,0.46,0.45,0.43,0.43,0.4,0.39,0.41,0.4,0.41,0.39,0.38,0.35,0.37,0.35,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.3,0.3,0.3,0.27,0.28,0.28,0.27,0.26,0.27,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.25,0.22,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.12
07/13/2021,16.8,3.71,3.31,2.47,2.15,1.9,1.68,1.67,1.63,1.63,1.48,1.55,1.52,1.48,1.48,1.47,1.3,1.31,1.28,1.17,1.15,1.13,1.1,0.92,0.96,0.91,0.86,0.81,0.8,0.68,0.65,0.67,0.65,0.65,0.59,0.58,0.53,0.54,0.54,0.54,0.51,0.49,0.5,0.47,0.45,0.46,0.45,0.43,0.43,0.4,0.39,0.41,0.4,0.41,0.39,0.38,0.35,0.37,0.35,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.3,0.3,0.3,0.27,0.28,0.28,0.27,0.26,0.27,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.25,0.22,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.12
07/14/2021,16.82,3.77,3.31,2.47,2.14,1.92,1.67,1.68,1.64,1.6,1.49,1.54,1.5,1.46,1.47,1.47,1.3,1.3,1.28,1.18,1.15,1.13,1.1,0.93,0.95,0.91,0.86,0.82,0.79,0.68,0.65,0.68,0.65,0.64,0.6,0.59,0.53,0.53,0.53,0.54,0.49,0.49,0.5,0.47,0.45,0.45,0.46,0.43,0.43,0.41,0.39,0.41,0.4,0.4,0.39,0.38,0.35,0.37,0.36,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.32,0.3,0.3,0.3,0.27,0.28,0.28,0.27,0.26,0.27,0.26,0.25,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.25,0.25,0.22,0.23,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.14
07/15/2021,16.73,3.93,3.3,2.46,2.12,1.91,1.69,1.66,1.64,1.59,1.49,1.53,1.49,1.45,1.48,1.48,1.31,1.3,1.28,1.19,1.14,1.13,1.11,0.93,0.95,0.92,0.86,0.81,0.8,0.68,0.65,0.69,0.64,0.64,0.6,0.58,0.54,0.54,0.53,0.54,0.49,0.48,0.49,0.47,0.45,0.45,0.46,0.43,0.42,0.41,0.39,0.41,0.39,0.4,0.39,0.37,0.36,0.37,0.37,0.35,0.35,0.35,0.34,0.34,0.33,0.34,0.32,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.26,0.27,0.28,0.27,0.25,0.27,0.26,0.26,0.26,0.25,0.24,0.26,0.25,0.24,0.24,0.25,0.25,0.21,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.09
07/16/2021,16.73,3.93,3.3,2.46,2.12,1.91,1.69,1.66,1.64,1.59,1.49,1.53,1.49,1.45,1.48,1.48,1.31,1.3,1.28,1.19,1.14,1.13,1.11,0.93,0.95,0.92,0.86,0.81,0.8,0.68,0.65,0.69,0.64,0.64,0.6,0.58,0.54,0.54,0.53,0.54,0.49,0.48,0.49,0.47,0.45,0.45,0.46,0.43,0.42,0.41,0.39,0.41,0.39,0.4,0.39,0.37,0.36,0.37,0.37,0.35,0.35,0.35,0.34,0.34,0.33,0.34,0.32,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.26,0.27,0.28,0.27,0.25,0.27,0.26,0.26,0.26,0.25,0.24,0.26,0.25,0.24,0.24,0.25,0.25,0.21,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.09
07/19/2021,17.3,3.75,3.3,2.52,2.15,1.85,1.68,1.69,1.67,1.56,1.46,1.51,1.5,1.47,1.46,1.49,1.29,1.32,1.25,1.19,1.15,1.13,1.11,0.93,0.96,0.9,0.87,0.78,0.81,0.66,0.64,0.69,0.66,0.65,0.57,0.56,0.54,0.55,0.53,0.55,0.49,0.49,0.49,0.47,0.44,0.44,0.46,0.43,0.44,0.4,0.37,0.41,0.37,0.39,0.4,0.38,0.33,0.37,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.34,0.33,0.31,0.32,0.32,0.31,0.31,0.3,0.32,0.3,0.3,0.3,0.25,0.26,0.28,0.26,0.24,0.27,0.26,0.25,0.26,0.25,0.24,0.24,0.26,0.24,0.24,0.26,0.25,0.2,0.23,0.21,0.22,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.19,0.2,0.19,0.19,0.2,0.19,0.2,0.19,0.19,0.18,0.17,0.16,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.14,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.11,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.17
07/20/2021,17.3,3.75,3.3,2.52,2.15,1.85,1.68,1.69,1.67,1.56,1.46,1.51,1.5,1.47,1.46,1.49,1.29,1.32,1.25,1.19,1.15,1.13,1.11,0.93,0.96,0.9,0.87,0.78,0.81,0.66,0.64,0.69,0.66,0.65,0.57,0.56,0.54,0.55,0.53,0.55,0.49,0.49,0.49,0.47,0.44,0.44,0.46,0.43,0.44,0.4,0.37,0.41,0.37,0.39,0.4,0.38,0.33,0.37,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.34,0.33,0.31,0.32,0.32,0.31,0.31,0.3,0.32,0.3,0.3,0.3,0.25,0.26,0.28,0.26,0.24,0.27,0.26,0.25,0.26,0.25,0.24,0.24,0.26,0.24,0.24,0.26,0.25,0.2,0.23,0.21,0.22,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.19,0.2,0.19,0.19,0.2,0.19,0.2,0.19,0.19,0.18,0.17,0.16,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.14,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.11,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.17
07/21/2021,17.19,3.74,3.32,2.56,2.17,1.82,1.66,1.7,1.69,1.58,1.43,1.53,1.53,1.48,1.47,1.48,1.29,1.35,1.27,1.18,1.14,1.13,1.12,0.93,0.96,0.87,0.87,0.78,0.81,0.67,0.63,0.7,0.67,0.66,0.56,0.56,0.53,0.55,0.53,0.55,0.49,0.49,0.5,0.47,0.44,0.44,0.46,0.43,0.43,0.39,0.36,0.42,0.37,0.4,0.4,0.37,0.32,0.37,0.36,0.35,0.33,0.33,0.32,0.33,0.34,0.34,0.33,0.3,0.31,0.32,0.31,0.31,0.3,0.31,0.3,0.3,0.31,0.24,0.26,0.28,0.27,0.23,0.27,0.27,0.25,0.26,0.25,0.24,0.26,0.26,0.24,0.23,0.26,0.25,0.2,0.23,0.21,0.22,0.23,0.23,0.23,0.22,0.21,0.2,0.22,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.1,0.12,0.11,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.1,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1
07/22/2021,17.19,3.74,3.32,2.56,2.17,1.82,1.66,1.7,1.69,1.58,1.43,1.53,1.53,1.48,1.47,1.48,1.29,1.35,1.27,1.18,1.14,1.13,1.12,0.93,0.96,0.87,0.87,0.78,0.81,0.67,0.63,0.7,0.67,0.66,0.56,0.56,0.53,0.55,0.53,0.55,0.49,0.49,0.5,0.47,0.44,0.44,0.46,0.43,0.43,0.39,0.36,0.42,0.37,0.4,0.4,0.37,0.32,0.37,0.36,0.35,0.33,0.33,0.32,0.33,0.34,0.34,0.33,0.3,0.31,0.32,0.31,0.31,0.3,0.31,0.3,0.3,0.31,0.24,0.26,0.28,0.27,0.23,0.27,0.27,0.25,0.26,0.25,0.24,0.26,0.26,0.24,0.23,0.26,0.25,0.2,0.23,0.21,0.22,0.23,0.23,0.23,0.22,0.21,0.2,0.22,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.1,0.12,0.11,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.1,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1
