,INCY,HPE,SABR,WDC,EXPE,CTVA,HPQ,CMI,JNPR,SGEN,NVAX,LYFT,APTV,SNPS,EXEL,PANW,CERN,VTRS,IONS,GRMN,GLW,SPLK,BKR,SRPT,SPOT,BWA,KEYS,MRVL,BMRN,ALNY,ZNGA,COMM,MSI,CDNS,NTAP,TWTR,ANET,IFF,OGN,CIEN,GDDY,MCHP,TXT,JAZZ,ZBH,CTXS,UTHR,Z,DBX,AGCO,RARE,TRMB,CARR,WHR,ON,PII,PPG,ZBRA,A,ELAN,TTWO,DXCM,NKTR,HZNP,PLTK,PCAR,QRVO,ROK,VEEV,MRTX,HAS,PINS,SWKS,FTV,LEA,FFIV,PSTG,NTNX,U,SSNC,FTNT,TDC,ZEN,TDOC,ROKU,DOX,MCFE,CRUS,DDOG,ANSS,TER,DASH,NATI,OKTA,CRWD,DOCU,AKAM,WIX,PLTR,n/a,ZIMV,SUM
02/25/2022,2.88,2.85,2.72,2.71,2.49,2.47,2.38,2.06,1.96,1.96,1.87,1.82,1.66,1.56,1.46,1.44,1.41,1.39,1.34,1.33,1.33,1.33,1.33,1.32,1.32,1.3,1.26,1.25,1.25,1.23,1.21,1.2,1.16,1.08,1.08,1.05,1.04,1.02,1.01,1.0,0.99,0.98,0.98,0.97,0.95,0.92,0.92,0.86,0.85,0.82,0.82,0.81,0.8,0.78,0.76,0.75,0.75,0.74,0.73,0.72,0.69,0.67,0.67,0.66,0.65,0.64,0.63,0.63,0.59,0.58,0.58,0.58,0.57,0.57,0.56,0.56,0.55,0.55,0.54,0.49,0.46,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.42,0.4,0.38,0.38,0.37,0.37,0.35,0.35,0.35,0.3,0.28,0.09,0.0,100.03
03/18/2022,3.24,2.92,2.38,2.44,2.4,2.8,2.48,2.0,2.09,2.29,1.82,1.75,1.36,1.61,1.59,1.71,1.5,1.0,1.46,1.37,1.24,1.34,1.7,1.4,1.14,1.17,1.25,1.29,1.2,1.34,1.28,0.92,1.28,1.19,1.07,1.14,1.08,0.96,0.95,0.86,0.99,1.03,1.09,1.16,0.96,0.95,0.89,0.74,0.88,0.89,0.82,0.84,0.84,0.78,0.77,0.68,0.66,0.74,0.77,0.74,0.65,0.75,0.3,0.77,0.65,0.63,0.61,0.65,0.49,0.52,0.57,0.58,0.56,0.54,0.5,0.58,0.71,0.53,0.46,0.53,0.46,0.45,0.48,0.4,0.4,0.48,0.0,0.44,0.33,0.41,0.39,0.35,0.37,0.35,0.43,0.26,0.41,0.29,0.31,0.14,0.02,99.98000000000002
04/04/2022,3.22,2.79,2.59,2.46,2.24,2.72,2.52,1.93,2.09,2.15,1.68,1.73,1.41,1.72,1.6,1.78,1.38,1.01,1.46,1.37,1.17,1.56,1.66,1.32,1.32,1.16,1.23,1.31,1.09,1.32,1.22,0.89,1.26,1.25,1.04,1.19,1.13,0.96,0.97,0.85,1.0,1.0,1.04,1.08,0.95,0.88,0.8,0.75,0.9,0.93,0.84,0.85,0.81,0.68,0.8,0.65,0.65,0.75,0.73,0.72,0.65,0.85,0.35,0.72,0.7,0.59,0.59,0.64,0.55,0.51,0.5,0.6,0.55,0.54,0.48,0.58,0.76,0.58,0.55,0.48,0.51,0.47,0.47,0.49,0.46,0.46,0.0,0.43,0.38,0.4,0.39,0.47,0.37,0.32,0.47,0.34,0.41,0.35,0.36,0.05,0.02,99.94999999999999
