,BLK CSH FND TREASURY SL AGENCY,CSC HOLDINGS LLC,QWEST CORP,ELANCO ANIMAL HEALTH INC,DEUTSCHE BANK AG (NEW YORK BRANCH),SPRINT CORP,FORD MOTOR CREDIT COMPANY LLC,ORACLE CORPORATION,STARWOOD PROPERTY TRUST INC,GENERAL MOTORS FINANCIAL CO INC,OVINTIV INC,CAPITAL ONE FINANCIAL CORP,FORD MOTOR CREDIT COMPANY LLC.1,GENWORTH FINANCIAL INC,NEXTERA ENERGY CAPITAL HOLDINGS IN,YUM! BRANDS INC.,SPRINT COMMUNICATIONS,KB HOME,GENERAL MILLS INC,ABBVIE INC,BARCLAYS PLC,WALGREENS BOOTS ALLIANCE INC,NORDSTROM INC,NAVIOS MARITIME ACQUISITION CORP 144A,J M SMUCKER CO,GILEAD SCIENCES INC,DUKE ENERGY CORP,MOLSON COORS BREWING CO,USD CASH,GENERAL ELECTRIC CO MTN,GENERAL MOTORS FINANCIAL CO INC.1,SANTANDER HOLDINGS USA INC,BOEING CO,WILLIAMS COMPANIES INC,DOMINION ENERGY INC,HALLIBURTON COMPANY,ROPER TECHNOLOGIES INC,KROGER CO (THE),XYLEM INC (INDIANA),ASSOCIATED BANK NA,SANTANDER UK GROUP HOLDINGS PLC,DISCOVER BANK,ABBVIE INC.1,PUGET ENERGY INC,CNH INDUSTRIAL CAPITAL LLC,HEWLETT-PACKARD CO,ANALOG DEVICES INC,RYDER SYSTEM INC MTN,FIRST NIAGARA FINANCIAL GROUP INC.,EQUIFAX INC,AMERICAN ELECTRIC POWER COMPANY IN,BOEING CO.1,SOUTHERN POWER COMPANY,TYSON FOODS INC,MARRIOTT INTERNATIONAL INC,PUBLIC SERVICE ENTERPRISE GROUP IN,ANR PIPELINE COMPANY,INTERPUBLIC GROUP OF COMPANIES INC,MOSAIC CO,NORFOLK SOUTHERN CORP,TRINITY ACQUISITION PLC,SUNCOR ENERGY INC,ZOETIS INC,HEWLETT PACKARD ENTERPRISE CO,EASTMAN CHEMICAL COMPANY,CLOROX COMPANY,AERCAP IRELAND CAPITAL LTD / AERCA,ABBVIE INC.2,LOWES COMPANIES INC,CANADIAN NATURAL RESOURCES LIMITED,BOEING COMPANY,HEWLETT-PACKARD CO.1,BEMIS COMPANY INC,DOMINION RESOURCES INC/VA,WILLIAMS COMPANIES INC.1,XTSLA,"CSC Holdings, LLC 6.75%",Qwest Corporation 6.75%,Elanco Animal Health Inc 4.91%,Deutsche Bank AG New York Branch 4.25%,"T-Mobile US, Inc. 7.25%",Ford Motor Credit Company LLC 3.81%,Oracle Corporation 1.9%,STWD 5 12/15/21,General Motors Financial Company Inc 4.2%,Ovintiv Inc 3.9%,Ford Motor Credit Company LLC 5.88%,Genworth Financial Inc. 7.63%,NextEra Energy Capital Holdings Inc 2.4%,YUM Brands Inc 3.75%,"Sprint Communications, Inc. 11.5%",KB Home 7%,"General Mills, Inc. 3.15%",AbbVie Inc. 2.15%,Barclays PLC 3.2%,"Nordstrom, Inc. 4%","Walgreens Boots Alliance, Inc. 3.3%",Navios Maritime Acquisition Corporation 8.13%,J.M. Smucker Company 3.5%,"Gilead Sciences, Inc. 4.4%",Duke Energy Corp 1.8%,General Electric Company 4.65%,General Motors Financial Company Inc 4.38%,Santander Holdings Usa Inc 4.45%,The Boeing Company 2.3%,Williams Partners LP / Williams Partners Finance Corporation 4%,Dominion Energy Inc 2.71%,Halliburton Company 3.25%,Roper Technologies Inc 2.8%,The Kroger Co. 2.95%,"Xylem, Inc. 4.88%",Santander UK Group Holdings plc 2.88%,AbbVie Inc. 5%,Puget Energy Inc 6%,CNH Industrial Capital LLC 3.88%,"Ryder System, Inc. 3.45%",Analog Devices Inc. 2.5%,First Niagara Financial Group Inc 7.25%,Equifax Inc. 3.6%,"American Electric Power Co, Inc. 3.65%",The Boeing Company 2.35%,Southern Power Company 2.5%,"Tyson Foods, Inc. 2.25%","Marriott International, Inc. 3.13%",Public Service Enterprise Group Incorporated 2%,ANR Pipeline Company 9.63%,"The Interpublic Group of Companies, Inc. 3.75%",Trinity Acquisition plc 3.5%,The Mosaic Company 3.75%,Norfolk Southern Corporation 3.25%,Suncor Energy Inc. 9.25%,Aercap Ireland Capital DAC 5%,The Clorox Company 3.8%,Eastman Chemical Company 3.5%,Zoetis Inc. 3.25%,Hewlett Packard Enterprise Company 3.5%,AbbVie Inc. 3.38%,"Lowes Companies, Inc. 3.8%",Canadian Natural Resources Limited 3.45%,The Boeing Company 8.75%,"The Williams Companies, Inc. 7.88%",4282.T,Zimmer Biomet Holdings Inc 3.38%,DUK 1.8 09/01/21,"Starwood Property Trust, Inc. 5%",WBA 3.3 11/18/21,GM 4.375 09/25/21,CLX 3.8 11/15/21,EMN 3.5 12/01/21,ZTS 3.25 08/20/21,AER 5 10/01/21,HPE 3.5 10/05/21,ABBV 3.375 11/14/21,LOW 3.8 11/15/21,CNQCN 3.45 11/15/21,BA 8.75 08/15/21,WMB 7.875 09/01/21,n/a,SUM
07/09/2021,23.6,4.09,3.85,3.55,2.99,2.5,2.4,2.38,2.23,2.05,2.0,1.89,1.83,1.82,1.72,1.71,1.7,1.64,1.57,1.51,1.4,1.22,1.22,1.18,1.12,1.1,1.1,1.0,0.98,0.94,0.88,0.82,0.81,0.81,0.76,0.72,0.65,0.64,0.59,0.58,0.58,0.58,0.58,0.56,0.55,0.53,0.52,0.52,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.42,0.41,0.41,0.41,0.41,0.36,0.35,0.35,0.35,0.35,0.35,0.29,0.29,0.29,0.26,0.24,0.23,0.23,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.84000000000002
07/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.73,4.08,3.85,3.55,2.99,2.5,2.4,2.38,2.23,2.05,2.0,1.83,1.83,1.72,1.71,1.7,1.63,1.57,1.51,1.4,1.22,1.22,1.19,1.12,1.1,1.1,0.94,0.88,0.82,0.81,0.81,0.76,0.72,0.65,0.64,0.59,0.58,0.58,0.56,0.55,0.52,0.52,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.42,0.41,0.41,0.41,0.41,0.36,0.35,0.35,0.35,0.35,0.35,0.29,0.29,0.29,0.26,0.14,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96000000000002
07/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.72,4.09,3.85,3.55,2.99,2.5,2.4,2.38,2.23,2.06,2.0,1.84,0.0,1.72,1.71,1.7,1.64,1.57,1.51,1.4,0.0,1.22,1.19,1.12,1.11,0.0,0.94,0.88,0.82,0.81,0.81,0.76,0.72,0.65,0.64,0.59,0.58,0.58,0.56,0.55,0.52,0.52,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.42,0.41,0.41,0.41,0.41,0.36,0.35,0.35,0.35,0.35,0.35,0.29,0.29,0.29,0.26,0.14,3.18,0.12,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.77,4.09,3.85,3.55,2.99,2.5,2.4,2.38,0.0,2.06,2.0,1.84,0.0,1.72,1.71,1.7,1.64,1.57,1.51,1.4,0.0,0.0,1.16,1.12,1.11,0.0,0.94,0.0,0.82,0.82,0.81,0.76,0.72,0.65,0.64,0.59,0.58,0.58,0.56,0.55,0.52,0.52,0.48,0.47,0.47,0.47,0.46,0.0,0.46,0.46,0.42,0.41,0.41,0.41,0.41,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.12,1.1,2.23,1.22,0.88,0.35,0.35,0.35,0.35,0.35,0.29,0.29,0.29,0.26,0.14,0.0,99.99
12/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
12/22/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
12/23/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
12/24/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
12/27/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
12/28/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
