,EOG,XOM,SLB,COP,MPC,CVX,VLO,WMB,KMI,PXD,OXY,OKE,HES,PSX,HAL,MRO,BKR,LNG,FANG,DVN,OVV,TPL,TRGP,7342.T,EQT,APA,COG,NOV,HFC,CLR,XEC,NFE,7342.T.1,7839989D1010,SUM
07/09/2021,6.63,5.97,5.92,5.91,5.41,5.36,5.2,4.44,4.2,4.18,4.03,3.99,3.74,3.54,3.35,3.02,3.01,2.84,2.82,2.63,1.94,1.84,1.7,1.33,1.14,1.13,1.13,1.04,0.91,0.7,0.66,0.27,0.0,0.0,99.98
10/04/2021,6.46,6.06,5.91,6.17,5.48,5.83,4.98,4.71,4.51,4.2,3.74,4.16,3.69,3.38,3.39,2.9,3.14,3.1,2.62,2.65,1.74,2.04,1.8,0.0,1.09,1.12,1.23,1.08,0.91,0.73,0.68,0.24,0.0,0.31,100.05
