,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,TSLA,NVDA,JPM,JNJ,V,UNH,PYPL,HD,PG,DIS,MA,BAC,ADBE,CMCSA,NFLX,VZ,INTC,CRM,CSCO,PFE,KO,ABT,T,PEP,ABBV,TMO,NKE,MRK,AVGO,WMT,ACN,WFC,LLY,TXN,COST,MCD,DHR,MDT,QCOM,PM,HON,UPS,LIN,BMY,C,UNP,NEE,ORCL,AMGN,LOW,MS,INTU,SBUX,BA,IBM,AMAT,RTX,GS,BLK,AMT,TGT,CAT,GE,MMM,AMD,DE,CVS,ISRG,SCHW,NOW,AXP,CHTR,SPGI,MU,ANTM,LRCX,LMT,BKNG,PLD,ZTS,MO,FIS,MDLZ,GILD,SYK,TMUS,ADP,CCI,CI,TJX,PNC,USB,CME,DUK,GM,TFC,ATVI,EL,FDX,CSX,EQIX,CB,MMC,BDX,COF,ILMN,CL,ICE,NSC,SHW,EW,ITW,ADSK,SO,APD,FISV,ADI,BSX,Cash,D,ETN,REGN,MCO,F,EMR,PGR,HUM,NXPI,GPN,TWTR,HCA,NOC,WM,FCX,IDXX,AON,BIIB,VRTX,ECL,DG,NEM,KLAC,ROP,JCI,DOW,IQV,PSA,EBAY,KMB,TROW,A,TEL,MET,LHX,MSCI,ROST,TT,ALGN,GD,EXC,CMG,SPG,APTV,CNC,DLR,AEP,INFO,SNPS,SRE,DXCM,BK,EA,DD,MCHP,APH,AIG,ALXN,BAX,PPG,PRU,ORLY,SYY,CARR,PH,STZ,ALL,CDNS,WBA,TRV,IFF,GIS,MSI,CTSH,MRNA,RMD,YUM,MAR,DFS,n/a,SBAC,FTNT,KR,MNST,OTIS,MTD,HPQ,WELL,XEL,PAYX,CTAS,FRC,SIVB,MTCH,SUM
07/09/2021,6.08,5.77,4.16,2.36,2.08,2.02,1.49,1.48,1.41,1.33,1.23,1.12,1.07,0.97,0.96,0.93,0.9,0.9,0.88,0.79,0.74,0.66,0.66,0.64,0.64,0.63,0.62,0.59,0.58,0.58,0.58,0.56,0.56,0.56,0.56,0.55,0.55,0.53,0.53,0.52,0.5,0.49,0.49,0.48,0.47,0.46,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.54
07/12/2021,6.08,5.77,4.16,2.36,2.08,2.02,1.49,1.48,1.41,1.33,1.23,1.12,1.07,0.97,0.96,0.93,0.9,0.9,0.88,0.79,0.74,0.66,0.66,0.64,0.64,0.63,0.62,0.59,0.58,0.58,0.58,0.56,0.56,0.56,0.56,0.55,0.55,0.53,0.53,0.52,0.5,0.49,0.49,0.48,0.47,0.46,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.54
07/13/2021,6.08,5.77,4.16,2.36,2.08,2.02,1.49,1.48,1.41,1.33,1.23,1.12,1.07,0.97,0.96,0.93,0.9,0.9,0.88,0.79,0.74,0.66,0.66,0.64,0.64,0.63,0.62,0.59,0.58,0.58,0.58,0.56,0.56,0.56,0.56,0.55,0.55,0.53,0.53,0.52,0.5,0.49,0.49,0.48,0.47,0.46,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.54
07/14/2021,6.08,5.77,4.16,2.36,2.08,2.02,1.49,1.48,1.41,1.33,1.23,1.12,1.07,0.97,0.96,0.93,0.9,0.9,0.88,0.79,0.74,0.66,0.66,0.64,0.64,0.63,0.62,0.59,0.58,0.58,0.58,0.56,0.56,0.56,0.56,0.55,0.55,0.53,0.53,0.52,0.5,0.49,0.49,0.48,0.47,0.46,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.54
07/15/2021,6.08,5.77,4.16,2.36,2.08,2.02,1.49,1.48,1.41,1.33,1.23,1.12,1.07,0.97,0.96,0.93,0.9,0.9,0.88,0.79,0.74,0.66,0.66,0.64,0.64,0.63,0.62,0.59,0.58,0.58,0.58,0.56,0.56,0.56,0.56,0.55,0.55,0.53,0.53,0.52,0.5,0.49,0.49,0.48,0.47,0.46,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.54
07/16/2021,6.08,5.77,4.16,2.36,2.08,2.02,1.49,1.48,1.41,1.33,1.23,1.12,1.07,0.97,0.96,0.93,0.9,0.9,0.88,0.79,0.74,0.66,0.66,0.64,0.64,0.63,0.62,0.59,0.58,0.58,0.58,0.56,0.56,0.56,0.56,0.55,0.55,0.53,0.53,0.52,0.5,0.49,0.49,0.48,0.47,0.46,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.54
07/19/2021,6.08,5.77,4.16,2.36,2.08,2.02,1.49,1.48,1.41,1.33,1.23,1.12,1.07,0.97,0.96,0.93,0.9,0.9,0.88,0.79,0.74,0.66,0.66,0.64,0.64,0.63,0.62,0.59,0.58,0.58,0.58,0.56,0.56,0.56,0.56,0.55,0.55,0.53,0.53,0.52,0.5,0.49,0.49,0.48,0.47,0.46,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.54
07/20/2021,6.08,5.77,4.16,2.36,2.08,2.02,1.49,1.48,1.41,1.33,1.23,1.12,1.07,0.97,0.96,0.93,0.9,0.9,0.88,0.79,0.74,0.66,0.66,0.64,0.64,0.63,0.62,0.59,0.58,0.58,0.58,0.56,0.56,0.56,0.56,0.55,0.55,0.53,0.53,0.52,0.5,0.49,0.49,0.48,0.47,0.46,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.54
07/21/2021,6.08,5.77,4.16,2.36,2.08,2.02,1.49,1.48,1.41,1.33,1.23,1.12,1.07,0.97,0.96,0.93,0.9,0.9,0.88,0.79,0.74,0.66,0.66,0.64,0.64,0.63,0.62,0.59,0.58,0.58,0.58,0.56,0.56,0.56,0.56,0.55,0.55,0.53,0.53,0.52,0.5,0.49,0.49,0.48,0.47,0.46,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.54
07/22/2021,6.08,5.77,4.16,2.36,2.08,2.02,1.49,1.48,1.41,1.33,1.23,1.12,1.07,0.97,0.96,0.93,0.9,0.9,0.88,0.79,0.74,0.66,0.66,0.64,0.64,0.63,0.62,0.59,0.58,0.58,0.58,0.56,0.56,0.56,0.56,0.55,0.55,0.53,0.53,0.52,0.5,0.49,0.49,0.48,0.47,0.46,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.54
