,TBF,FNDE,FNDF,GLTR,KRE,CPER,SLV,SCHC,XME,VBR,QVAL,VTV,EZU,IVAL,EWW,RSP,FIDU,DBB,USL,FCX,JPM,GNR,4165.T,MLM,VMC,EPD,ITB,RJA,VOE,BHP,RIO,FRDM,ARCH,CCO.TO,FGXXX,SLB,COP,XOM,XOP,CVX,JJN,iPath® B Bloomberg Coffee Ttl Ret ETN,X,NEM,ABX.TO,JO,SPDR® S&P Oil & Gas Explor & Prodtn ETF,n/a,601019.SS,KRBN,VTIP,STPZ,MSFT,GOOGL,FB,AMZN,BCI,PPLT,PALL,XLE,VTI,TIP,YANG,SUM
07/09/2021,11.91,9.51,6.94,5.36,4.81,4.23,3.96,3.57,3.3,3.07,3.05,3.04,2.52,2.51,2.15,2.06,2.04,2.01,1.74,1.62,1.56,1.47,1.33,1.07,1.05,1.05,1.04,1.02,1.01,0.92,0.89,0.76,0.74,0.71,0.69,0.64,0.63,0.56,0.52,0.52,0.51,0.51,0.51,0.46,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/12/2021,11.73,9.51,6.96,5.5,4.64,4.35,4.03,3.63,3.3,3.03,3.06,3.06,2.54,2.53,2.17,2.08,2.06,2.04,1.69,1.6,1.54,1.47,1.27,1.09,1.07,1.05,1.05,1.0,1.01,0.95,0.91,0.76,0.75,0.69,0.69,0.6,0.6,0.55,0.0,0.51,0.53,0.0,0.49,0.47,0.48,0.5,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,11.73,9.51,6.96,5.5,4.64,4.35,4.03,3.63,3.3,3.03,3.06,3.06,2.54,2.53,2.17,2.08,2.06,2.04,1.69,1.6,1.54,1.47,1.27,1.09,1.07,1.05,1.05,1.0,1.01,0.95,0.91,0.76,0.75,0.69,0.69,0.6,0.6,0.55,0.0,0.51,0.53,0.0,0.49,0.47,0.48,0.5,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/14/2021,11.76,9.43,6.95,5.45,4.73,4.35,3.99,3.62,3.34,3.04,3.04,3.05,2.53,2.52,2.15,2.08,2.05,2.06,1.73,1.6,1.55,1.47,1.28,1.09,1.06,1.05,1.02,0.98,1.01,0.98,0.93,0.75,0.78,0.67,0.64,0.61,0.6,0.55,0.0,0.51,0.53,0.0,0.52,0.47,0.47,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,11.77,9.43,6.95,5.47,4.73,4.32,4.0,3.62,3.34,3.05,3.05,3.07,2.54,2.53,2.15,2.08,2.05,2.04,1.73,1.6,1.57,1.47,1.24,1.08,1.06,1.06,1.02,1.0,1.01,0.98,0.93,0.76,0.77,0.66,0.64,0.61,0.6,0.55,0.0,0.51,0.53,0.0,0.53,0.47,0.46,0.52,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03999999999998
07/16/2021,11.77,9.43,6.95,5.47,4.73,4.32,4.0,3.62,3.34,3.05,3.05,3.07,2.54,2.53,2.15,2.08,2.05,2.04,1.73,1.6,1.57,1.47,1.24,1.08,1.06,1.06,1.02,1.0,1.01,0.98,0.93,0.76,0.77,0.66,0.64,0.61,0.6,0.55,0.0,0.51,0.53,0.0,0.53,0.47,0.46,0.52,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03999999999998
07/19/2021,11.73,9.52,6.93,5.54,4.72,4.36,4.06,3.62,3.28,3.0,3.01,3.08,2.53,2.54,2.2,2.08,2.05,2.05,1.71,1.52,1.56,1.46,1.27,1.09,1.09,1.04,1.01,1.03,1.0,0.99,0.94,0.76,0.76,0.65,0.65,0.56,0.58,0.53,0.0,0.5,0.54,0.0,0.5,0.47,0.48,0.53,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,11.73,9.52,6.93,5.54,4.72,4.36,4.06,3.62,3.28,3.0,3.01,3.08,2.53,2.54,2.2,2.08,2.05,2.05,1.71,1.52,1.56,1.46,1.27,1.09,1.09,1.04,1.01,1.03,1.0,0.99,0.94,0.76,0.76,0.65,0.65,0.56,0.58,0.53,0.0,0.5,0.54,0.0,0.5,0.47,0.48,0.53,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/21/2021,11.88,9.58,6.94,5.49,4.63,4.41,4.01,3.63,3.19,2.99,3.01,3.09,2.54,2.55,2.23,2.09,2.05,2.08,1.74,1.49,1.55,1.45,1.29,1.09,1.09,1.05,1.01,1.05,1.01,0.97,0.91,0.77,0.74,0.63,0.66,0.55,0.57,0.53,0.0,0.49,0.56,0.0,0.47,0.47,0.48,0.55,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,11.88,9.58,6.94,5.49,4.63,4.41,4.01,3.63,3.19,2.99,3.01,3.09,2.54,2.55,2.23,2.09,2.05,2.08,1.74,1.49,1.55,1.45,1.29,1.09,1.09,1.05,1.01,1.05,1.01,0.97,0.91,0.77,0.74,0.63,0.66,0.55,0.57,0.53,0.0,0.49,0.56,0.0,0.47,0.47,0.48,0.55,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
