,RIG,SLCA,HP,NBR,HAL,WHD,OII,SLB,PTEN,CHX,LBRT,BKR,FTI,NOV,PUMP,AROC,CLB,HLX,NEX,OIS,BOOM,ASPN,DRQ,TTI,FI,VTOL,Tidewater Inc,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,TDW,SSIXX,State Street Instl Liquid Reserves Prem,n/a,XPRO,GVMXX,VAL,NE,SUM
07/09/2021,5.62,5.29,4.69,4.53,4.5,4.39,4.38,4.35,4.34,4.33,4.33,4.21,4.18,4.18,4.02,3.99,3.74,3.67,3.29,3.14,3.06,2.83,2.83,2.41,1.48,1.31,0.84,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,5.56,5.22,4.67,4.48,4.48,4.56,4.37,4.36,4.27,4.39,4.35,4.23,4.18,4.17,4.02,3.97,3.76,3.58,3.23,3.06,3.06,2.96,2.84,2.47,1.48,1.33,0.88,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,5.56,5.22,4.67,4.48,4.48,4.56,4.37,4.36,4.27,4.39,4.35,4.23,4.18,4.17,4.02,3.97,3.76,3.58,3.23,3.06,3.06,2.96,2.84,2.47,1.48,1.33,0.88,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,5.34,5.28,4.69,4.45,4.5,4.54,4.39,4.32,4.35,4.46,4.38,4.24,4.12,4.29,4.1,4.0,3.65,3.51,3.27,3.04,3.09,2.93,2.82,2.49,1.48,1.34,0.85,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,5.31,5.26,4.67,4.46,4.5,4.57,4.37,4.31,4.39,4.43,4.31,4.28,4.01,4.29,4.02,4.04,3.66,3.51,3.28,3.04,3.11,2.98,2.84,2.54,1.51,1.38,0.84,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,5.17,5.16,4.66,4.4,4.53,4.7,4.33,4.32,4.38,4.48,4.28,4.25,4.05,4.34,4.04,4.09,3.85,3.49,3.27,3.02,3.09,2.9,2.82,2.46,1.54,1.44,0.85,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,4.81,5.0,4.77,4.3,4.61,4.74,4.24,4.41,4.39,4.61,4.22,4.38,4.09,4.38,3.96,4.3,3.92,3.48,3.14,2.95,3.08,3.13,2.84,2.33,1.48,1.46,0.91,0.09,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,4.76,4.96,4.81,4.21,4.61,4.83,4.27,4.41,4.37,4.58,4.2,4.39,4.13,4.44,3.94,4.34,3.9,3.42,3.08,2.94,3.15,3.11,2.85,2.33,1.52,1.47,0.0,0.0,0.0,0.9,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,4.76,4.96,4.82,4.21,4.61,4.83,4.27,4.41,4.38,4.58,4.2,4.39,4.13,4.44,3.94,4.34,3.9,3.42,3.08,2.94,3.15,3.11,2.85,2.33,1.52,1.47,0.9,0.1,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,4.76,4.96,4.81,4.21,4.61,4.83,4.27,4.41,4.37,4.58,4.2,4.39,4.13,4.44,3.94,4.34,3.9,3.42,3.08,2.94,3.15,3.11,2.85,2.33,1.52,1.47,0.0,0.0,0.0,0.9,0.0,0.09,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,4.76,4.95,4.88,4.17,4.7,4.86,4.21,4.39,4.3,4.48,4.18,4.35,4.15,4.51,3.92,4.35,4.01,3.37,2.96,2.9,3.15,3.3,2.85,2.33,1.53,1.47,0.91,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,5.05,4.99,4.87,4.16,4.68,4.91,4.3,4.38,4.27,4.46,4.23,4.19,3.91,4.44,4.09,4.29,3.94,3.46,3.04,2.92,2.9,3.45,2.8,2.3,1.54,1.47,0.9,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,4.93,5.0,4.89,4.16,4.68,4.99,4.31,4.55,4.22,4.57,4.1,4.36,3.83,4.48,4.05,4.38,3.87,3.44,3.02,2.89,2.63,3.52,2.89,2.26,1.53,1.48,0.0,0.0,0.0,0.9,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,4.93,5.0,4.89,4.16,4.68,4.99,4.31,4.55,4.22,4.57,4.1,4.36,3.83,4.48,4.05,4.38,3.87,3.44,3.02,2.89,2.63,3.52,2.89,2.26,1.53,1.48,0.0,0.0,0.0,0.9,0.0,0.06,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,4.99,4.99,4.87,4.16,4.62,4.82,4.26,4.53,4.3,4.51,4.12,4.33,3.92,4.52,4.1,4.41,3.83,3.45,3.07,2.95,2.62,3.52,2.86,2.29,1.53,1.46,0.91,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,4.87,4.84,4.9,4.09,4.72,4.94,4.23,4.6,4.3,4.54,4.13,4.39,3.99,4.57,4.07,4.44,3.9,3.18,3.04,2.94,2.68,3.56,2.87,2.23,1.56,1.46,0.0,0.0,0.0,0.9,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,4.86,4.9,4.96,4.18,4.78,4.84,4.35,4.58,4.31,4.54,3.88,4.41,3.98,4.43,3.97,4.42,4.01,3.12,3.06,2.97,2.68,3.66,2.89,2.25,1.57,1.44,0.0,0.0,0.0,0.91,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,4.86,5.17,4.75,4.21,4.76,4.91,4.41,4.57,4.32,4.74,3.74,4.4,3.94,4.56,3.89,4.51,3.77,3.22,3.02,2.86,2.71,3.54,2.94,2.22,1.61,1.43,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,4.93,5.05,4.82,4.13,4.77,4.87,4.35,4.58,4.27,4.78,3.69,4.54,3.95,4.52,3.88,4.56,3.87,3.2,3.04,2.74,2.72,3.56,2.9,2.21,1.64,1.46,0.91,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,4.98,4.98,4.76,4.17,4.7,5.03,4.31,4.58,4.3,4.79,3.64,4.51,3.96,4.52,3.94,4.45,3.88,3.19,3.06,2.74,2.73,3.52,2.95,2.27,1.59,1.46,0.91,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/06/2021,4.75,5.15,4.75,4.11,4.67,4.82,4.35,4.56,4.29,4.86,3.69,4.53,3.96,4.46,3.95,4.47,3.8,3.24,3.05,2.79,2.7,3.56,3.0,2.39,1.64,1.48,0.91,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/10/2021,4.85,5.08,4.78,3.93,4.74,4.8,4.22,4.64,4.19,4.96,3.64,4.66,3.94,4.53,3.88,4.44,3.61,3.24,3.12,2.81,2.77,3.56,2.88,2.43,1.72,1.57,0.0,0.0,0.0,0.95,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,4.87,5.04,4.87,3.83,4.82,4.92,4.22,4.64,4.27,4.93,3.83,4.67,3.96,4.55,3.96,4.38,3.44,3.14,3.04,2.89,2.68,3.52,2.79,2.4,1.72,1.61,0.0,0.0,0.0,0.95,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/17/2021,4.73,4.95,4.87,3.81,4.88,4.96,4.23,4.73,4.24,4.97,3.77,4.87,3.96,4.55,3.89,4.43,3.47,3.14,3.02,2.88,2.64,3.49,2.79,2.37,1.72,1.63,0.0,0.0,0.0,0.95,0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/18/2021,4.73,4.95,4.87,3.81,4.88,4.96,4.23,4.73,4.24,4.97,3.77,4.87,3.96,4.55,3.89,4.43,3.47,3.14,3.02,2.88,2.64,3.49,2.79,2.37,1.72,1.63,0.0,0.0,0.0,0.95,0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/24/2021,4.65,4.73,4.67,3.66,4.84,5.04,4.18,4.84,4.05,5.08,3.98,5.03,3.9,4.6,3.89,4.45,3.27,3.01,2.87,2.77,2.66,4.34,2.69,2.11,1.86,1.7,0.0,0.0,0.0,0.96,0.16,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/26/2021,5.27,4.94,4.69,4.61,4.56,4.24,4.37,4.35,4.53,4.51,4.38,4.18,4.23,4.29,4.03,4.03,3.86,3.77,3.24,3.25,2.99,2.42,2.94,2.65,1.54,1.23,0.0,0.0,0.0,0.83,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/30/2021,4.84,4.54,4.52,3.76,4.85,5.27,4.19,4.75,4.09,4.97,3.9,5.07,3.83,4.54,4.05,4.3,3.33,3.01,3.02,2.86,2.55,4.34,2.53,2.13,1.78,1.88,0.0,0.0,0.0,0.94,0.15,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/31/2021,5.03,4.59,4.67,4.02,4.74,5.25,4.18,4.62,4.22,4.97,3.84,4.94,3.72,4.48,4.04,4.19,3.36,3.03,3.0,2.94,2.57,4.18,2.51,2.3,1.79,1.82,0.0,0.0,0.0,0.94,0.04,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
09/07/2021,5.17,4.57,4.6,4.02,4.75,5.03,4.36,4.55,4.23,4.85,3.84,5.06,3.7,4.33,4.07,4.18,3.3,2.97,3.08,2.88,2.54,4.27,2.52,2.35,1.77,2.0,0.0,0.0,0.0,0.94,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/10/2021,5.25,4.5,4.71,4.15,4.69,4.98,4.41,4.51,4.23,4.72,3.87,5.03,3.69,4.37,4.07,4.13,3.24,3.02,3.16,2.94,2.58,4.05,2.5,2.31,1.78,2.06,0.0,0.0,0.0,0.95,0.0,0.0,0.09,0.0,0.0,0.0,0.0,99.99
09/13/2021,5.13,4.44,4.78,4.2,4.69,5.01,4.27,4.45,4.38,4.8,3.8,5.29,3.64,4.38,4.03,4.07,3.33,2.9,3.19,2.83,2.64,4.18,2.46,2.23,1.8,2.03,0.0,0.0,0.0,0.94,0.09,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/14/2021,4.99,4.36,4.73,4.21,4.72,5.03,4.27,4.46,4.35,4.79,3.73,5.35,3.77,4.49,4.0,4.08,3.38,2.87,3.12,2.84,2.61,4.23,2.5,2.22,1.83,2.01,0.0,0.0,0.0,0.94,0.09,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/16/2021,4.93,4.53,4.61,4.07,4.69,4.88,4.31,4.45,4.52,4.76,3.89,5.2,3.74,4.4,4.08,4.06,3.32,3.03,3.22,2.93,2.56,4.21,2.53,2.26,1.93,1.89,0.0,0.0,0.0,0.9,0.0,0.0,0.08,0.0,0.0,0.0,0.0,99.98
09/17/2021,4.93,4.34,4.57,3.95,4.73,4.85,4.37,4.49,4.41,4.74,3.97,5.32,3.84,4.53,4.1,4.11,3.31,2.98,3.3,2.86,2.54,4.3,2.58,2.17,1.81,1.9,0.0,0.0,0.0,0.9,0.0,0.0,0.09,0.0,0.0,0.0,0.0,99.99
09/20/2021,4.79,4.2,4.54,4.0,4.8,4.86,4.31,4.64,4.33,4.84,4.04,5.28,3.94,4.57,4.05,4.13,3.25,2.94,3.56,2.85,2.52,4.23,2.5,2.16,1.83,1.85,0.0,0.0,0.0,0.9,0.0,0.0,0.08,0.0,0.0,0.0,0.0,99.98999999999998
09/21/2021,4.71,4.13,4.53,4.03,4.81,4.82,4.27,4.63,4.32,4.54,3.97,5.27,3.97,4.51,4.13,4.31,3.28,2.97,3.78,2.89,2.52,4.32,2.54,2.21,1.72,1.83,0.0,0.0,0.0,0.9,0.08,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/24/2021,4.21,3.33,4.39,4.25,4.6,4.33,4.45,4.63,4.56,4.31,4.95,4.49,4.67,4.37,3.57,3.24,4.49,4.56,3.81,2.64,2.98,3.87,2.66,2.66,1.2,1.99,0.0,0.0,0.0,0.64,0.14,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/27/2021,4.25,3.29,4.36,4.27,4.6,4.29,4.51,4.61,4.65,4.3,4.93,4.47,4.72,4.3,3.53,3.22,4.29,4.58,3.89,2.74,2.95,3.91,2.67,2.69,1.18,1.96,0.0,0.0,0.0,0.64,0.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/28/2021,4.23,3.19,4.32,4.56,4.64,4.24,4.5,4.67,4.78,4.24,5.05,4.38,4.73,4.27,3.7,3.11,4.22,4.62,3.98,2.72,2.87,3.83,2.64,2.74,1.16,1.89,0.0,0.0,0.0,0.63,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/29/2021,4.23,3.19,4.32,4.56,4.64,4.24,4.5,4.67,4.78,4.24,5.05,4.38,4.73,4.27,3.7,3.11,4.22,4.62,3.98,2.72,2.87,3.83,2.64,2.74,1.16,1.89,0.0,0.0,0.0,0.63,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/30/2021,4.54,3.26,4.22,4.55,4.62,4.29,4.51,4.59,4.81,4.26,5.27,4.25,4.69,4.18,3.75,3.09,4.25,4.61,3.92,2.8,2.83,3.68,2.59,2.75,1.15,1.84,0.0,0.0,0.0,0.63,0.0,0.0,0.06,0.0,0.0,0.0,0.0,99.99
10/01/2021,4.54,3.26,4.22,4.55,4.62,4.29,4.51,4.59,4.81,4.26,5.27,4.25,4.69,4.18,3.75,3.09,4.25,4.61,3.92,2.8,2.83,3.68,2.59,2.75,1.15,1.84,0.0,0.0,0.0,0.63,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/04/2021,4.53,3.26,4.25,4.73,4.61,4.43,4.47,4.61,4.82,4.2,5.14,4.32,4.77,4.17,3.88,3.17,4.16,4.56,3.61,2.77,2.77,3.72,2.65,2.68,1.14,1.88,0.0,0.0,0.0,0.64,0.0,0.0,0.06,0.0,0.0,0.0,0.0,100.0
10/05/2021,4.37,3.44,4.24,4.87,4.55,4.41,4.53,4.52,4.84,4.25,5.15,4.21,4.74,4.11,3.99,3.12,4.17,4.71,3.52,2.75,2.84,3.67,2.63,2.61,1.17,1.89,0.0,0.0,0.0,0.63,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/06/2021,4.37,3.44,4.24,4.87,4.55,4.41,4.53,4.52,4.84,4.25,5.15,4.21,4.74,4.11,3.99,3.12,4.17,4.71,3.52,2.75,2.84,3.67,2.63,2.61,1.17,1.89,0.0,0.0,0.0,0.63,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/07/2021,4.37,3.44,4.24,4.87,4.55,4.41,4.53,4.52,4.84,4.25,5.15,4.21,4.74,4.11,3.99,3.12,4.17,4.71,3.52,2.75,2.84,3.67,2.63,2.61,1.17,1.89,0.0,0.0,0.0,0.63,0.06,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/08/2021,4.41,3.49,4.36,4.94,4.57,4.46,4.63,4.47,4.91,4.25,5.15,4.13,4.66,4.05,4.11,3.07,4.09,4.75,3.54,2.77,2.73,3.52,2.55,2.63,1.25,1.83,0.0,0.0,0.0,0.63,0.05,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/12/2021,4.28,3.75,4.37,4.97,4.67,4.51,4.49,4.51,4.46,4.32,5.33,4.03,4.72,4.26,4.09,3.02,4.15,4.67,3.46,2.75,2.74,3.53,2.58,2.69,1.11,1.85,0.0,0.0,0.0,0.63,0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
10/13/2021,4.28,3.75,4.37,4.97,4.67,4.51,4.49,4.51,4.46,4.32,5.33,4.03,4.72,4.26,4.09,3.02,4.15,4.67,3.46,2.75,2.74,3.53,2.58,2.69,1.11,1.85,0.0,0.0,0.0,0.63,0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
10/14/2021,4.34,3.64,4.38,5.04,4.82,4.49,4.46,4.62,4.41,4.3,5.36,4.07,4.57,4.23,4.09,3.03,4.09,4.61,3.4,2.71,2.78,3.57,2.55,2.81,1.08,1.84,0.0,0.0,0.0,0.63,0.07,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/15/2021,4.13,3.54,4.4,5.08,4.78,4.53,4.46,4.68,4.32,4.34,5.56,4.11,4.44,4.24,4.07,3.04,4.23,4.57,3.38,2.68,2.87,3.64,2.51,2.76,0.0,1.85,0.0,0.0,0.0,0.63,0.07,0.0,0.0,1.09,0.0,0.0,0.0,100.0
10/18/2021,4.18,3.69,4.47,5.23,4.75,4.43,4.53,4.68,4.32,4.33,5.64,4.21,4.43,4.18,4.05,3.0,4.26,4.52,3.33,2.67,2.73,3.59,2.44,2.77,0.0,1.86,0.0,0.0,0.0,0.6,0.0,0.0,0.04,1.07,0.0,0.0,0.0,100.0
10/19/2021,4.25,3.56,4.52,5.25,4.93,4.38,4.56,4.7,4.32,4.4,5.73,4.17,4.44,4.24,4.08,2.95,4.2,4.53,3.32,2.66,2.77,3.56,2.37,2.65,0.0,1.84,0.0,0.0,0.0,0.59,0.04,0.0,0.0,1.0,0.0,0.0,0.0,100.01
10/20/2021,4.25,3.56,4.52,5.25,4.93,4.38,4.56,4.7,4.32,4.4,5.73,4.17,4.44,4.24,4.08,2.95,4.2,4.53,3.32,2.66,2.77,3.56,2.37,2.65,0.0,1.84,0.0,0.0,0.0,0.59,0.04,0.0,0.0,1.0,0.0,0.0,0.0,100.01
10/21/2021,4.25,3.56,4.52,5.25,4.93,4.38,4.56,4.7,4.32,4.4,5.73,4.17,4.44,4.24,4.08,2.95,4.2,4.53,3.32,2.66,2.77,3.56,2.37,2.65,0.0,1.84,0.0,0.0,0.0,0.59,0.04,0.0,0.0,1.0,0.0,0.0,0.0,100.01
10/22/2021,4.27,3.74,4.75,5.43,4.92,4.61,4.49,4.75,4.38,4.37,5.72,4.14,4.35,4.31,4.03,2.9,3.94,4.39,3.45,2.61,2.59,3.42,2.29,2.68,0.0,1.83,0.0,0.0,0.0,0.59,0.04,0.0,0.0,1.01,0.0,0.0,0.0,100.0
10/25/2021,4.2,3.97,4.79,5.42,4.87,4.74,4.51,4.81,4.44,4.3,5.96,3.82,4.24,4.23,4.09,3.01,3.82,4.33,3.42,2.64,2.65,3.19,2.36,2.62,0.0,1.87,0.0,0.0,0.0,0.6,0.0,0.0,0.04,1.05,0.0,0.0,0.0,99.99
10/26/2021,4.2,3.97,4.79,5.42,4.87,4.74,4.51,4.81,4.44,4.3,5.96,3.82,4.24,4.23,4.09,3.01,3.82,4.33,3.42,2.64,2.65,3.19,2.36,2.62,0.0,1.87,0.0,0.0,0.0,0.6,0.04,0.0,0.0,1.05,0.0,0.0,0.0,99.99
10/27/2021,4.18,4.0,4.75,5.31,4.96,4.72,4.64,4.74,4.4,4.24,5.71,3.86,4.39,4.26,4.11,2.97,3.8,4.35,3.39,2.58,2.81,3.23,2.37,2.62,0.0,1.9,0.0,0.0,0.0,0.6,0.0,0.0,0.04,1.07,0.0,0.0,0.0,100.0
10/28/2021,4.21,3.96,4.66,5.34,4.96,4.78,4.63,4.74,4.49,4.21,5.81,3.89,4.35,4.14,4.07,2.94,3.72,4.31,3.42,2.59,2.78,3.35,2.34,2.69,0.0,1.92,0.0,0.0,0.0,0.61,0.0,0.0,0.04,1.06,0.0,0.0,0.0,100.01
10/29/2021,4.2,3.89,4.62,5.3,4.94,4.73,4.62,4.72,4.66,4.21,5.84,3.97,4.4,4.11,4.15,2.91,3.66,4.28,3.48,2.55,2.88,3.35,2.26,2.67,0.0,1.87,0.0,0.0,0.0,0.63,0.0,0.0,0.04,1.06,0.0,0.0,0.0,100.0
11/01/2021,4.08,4.12,4.61,5.25,5.05,4.8,4.36,4.79,4.5,4.52,5.39,4.09,4.43,4.33,4.18,2.98,3.47,4.26,3.32,2.56,2.95,3.45,2.29,2.63,0.0,1.9,0.0,0.0,0.0,0.62,0.04,0.0,0.0,1.04,0.0,0.0,0.0,100.01000000000002
11/02/2021,4.01,3.76,4.59,4.78,5.08,4.86,4.35,4.78,4.36,4.68,5.21,4.17,4.44,4.25,4.09,2.99,3.71,4.22,3.33,2.5,2.99,4.19,2.36,2.64,0.0,1.94,0.0,0.0,0.0,0.61,0.05,0.0,0.0,1.06,0.0,0.0,0.0,100.0
11/03/2021,4.01,3.76,4.59,4.78,5.08,4.86,4.35,4.78,4.36,4.68,5.21,4.17,4.44,4.25,4.09,2.99,3.71,4.22,3.33,2.5,2.99,4.19,2.36,2.64,0.0,1.94,0.0,0.0,0.0,0.61,0.05,0.0,0.0,1.06,0.0,0.0,0.0,100.0
11/05/2021,4.01,3.76,4.59,4.78,5.08,4.86,4.35,4.78,4.36,4.68,5.21,4.17,4.44,4.25,4.09,2.99,3.71,4.22,3.33,2.5,2.99,4.19,2.36,2.64,0.0,1.94,0.0,0.0,0.0,0.61,0.05,0.0,0.0,1.06,0.0,0.0,0.0,100.0
11/08/2021,4.08,4.05,4.88,4.59,4.9,4.64,4.28,4.83,4.56,4.67,4.96,4.08,4.38,4.38,3.96,3.04,3.81,4.24,3.21,2.65,2.86,3.97,2.28,2.88,0.0,2.1,0.0,0.0,0.0,0.6,0.05,0.0,0.0,1.06,0.0,0.0,0.0,99.99
11/09/2021,3.94,4.1,4.9,4.62,4.85,4.48,4.34,4.8,4.62,4.64,4.63,3.99,4.32,4.3,3.96,3.08,3.82,4.34,3.24,2.72,3.0,4.14,2.29,3.04,0.0,2.12,0.0,0.0,0.0,0.61,0.04,0.0,0.0,1.05,0.0,0.0,0.0,99.98
11/10/2021,3.94,4.1,4.9,4.62,4.85,4.48,4.34,4.8,4.62,4.64,4.63,3.99,4.32,4.3,3.96,3.08,3.82,4.34,3.24,2.72,3.0,4.14,2.29,3.04,0.0,2.12,0.0,0.0,0.0,0.61,0.04,0.0,0.0,1.05,0.0,0.0,0.0,99.98
11/24/2021,3.88,4.22,4.18,4.48,5.13,4.84,4.08,5.1,4.3,4.47,4.32,4.3,4.31,4.18,3.81,3.18,3.99,4.18,3.1,2.37,3.12,5.49,2.24,2.68,0.0,2.12,0.0,0.0,0.0,0.66,0.11,0.0,0.0,1.16,0.0,0.0,0.0,100.0
11/25/2021,3.95,4.27,4.16,4.62,5.14,4.77,4.13,5.1,4.19,4.4,4.25,4.27,4.27,4.16,3.89,3.25,4.05,4.22,2.97,2.41,3.14,5.46,2.25,2.63,0.0,2.12,0.0,0.0,0.0,0.66,0.11,0.0,0.0,1.17,0.0,0.0,0.0,100.01000000000002
11/26/2021,4.07,4.28,4.14,4.61,5.11,4.77,4.21,5.06,4.26,4.35,4.36,4.32,4.2,4.29,3.96,3.23,4.03,4.26,3.04,2.48,3.08,5.2,2.23,2.66,0.0,2.07,0.0,0.0,0.0,0.65,0.11,0.0,0.0,1.0,0.0,0.0,0.0,100.03
11/29/2021,4.03,4.22,4.11,4.52,5.19,4.73,4.15,5.12,4.23,4.34,4.43,4.41,4.21,4.29,4.05,3.23,4.05,4.15,3.17,2.47,3.04,5.22,2.19,2.64,0.0,2.07,0.0,0.0,0.0,0.65,0.11,0.0,0.0,0.98,0.0,0.0,0.0,100.0
