,RYN,WFG.TO,WY,SCA B.ST,PCH,IP,SK3.IR,MNDI.L,HOLM B.ST,UPM.HE,WRK,STERV.HE,KLBN11.SA,SUZB3.SA,BILL.ST,3861.T,1911.T,IFP.TO,UFS,CFP,3880.T,METSB.HE,SAP.JO,3863.T,CTT,XTSLA,JPY,CAD,SEK,EUR,BRL,JPFFT,GBP,ZAR,HKD,ESU1,USD,CFP.TO,ESZ1,WEF.TO,SLVM,SUM
07/09/2021,9.13,8.22,7.75,7.16,6.63,4.49,4.48,4.07,4.05,3.99,3.99,3.71,3.44,3.41,3.4,3.38,2.95,2.92,2.82,2.43,1.98,1.75,1.48,1.09,1.06,0.11,0.06,0.03,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/12/2021,9.17,8.72,7.87,7.06,6.64,4.49,4.32,4.0,4.04,3.96,3.96,3.7,3.37,3.4,3.37,3.24,2.89,3.02,2.78,2.53,1.93,1.77,1.47,1.06,1.03,0.06,0.06,0.03,0.02,0.01,0.24,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.23
07/13/2021,9.17,8.72,7.87,7.06,6.64,4.49,4.32,4.0,4.04,3.96,3.96,3.7,3.37,3.4,3.37,3.24,2.89,3.02,2.78,2.53,1.93,1.77,1.47,1.06,1.03,0.06,0.06,0.03,0.02,0.01,0.24,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.23
07/14/2021,9.23,8.61,7.94,7.19,6.68,4.5,4.37,4.06,4.06,3.98,4.0,3.75,3.34,3.37,3.36,3.17,2.81,2.96,2.73,2.45,1.87,1.78,1.48,1.05,1.05,0.06,0.06,0.03,0.02,0.01,0.23,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.22
07/15/2021,9.23,8.61,7.94,7.19,6.68,4.5,4.37,4.06,4.06,3.98,4.0,3.75,3.34,3.37,3.36,3.17,2.81,2.96,2.73,2.45,1.87,1.78,1.48,1.05,1.05,0.06,0.06,0.03,0.02,0.01,0.23,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.22
07/16/2021,9.13,8.43,7.73,7.34,6.51,4.47,4.4,4.08,4.14,3.99,3.93,3.79,3.44,3.37,3.39,3.32,2.95,2.84,2.75,2.37,1.96,1.77,1.56,1.08,1.03,0.01,0.06,0.03,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,100.0
07/19/2021,9.31,8.3,7.82,7.38,6.57,4.41,4.4,4.08,4.17,4.0,3.88,3.75,3.42,3.32,3.41,3.32,3.05,2.74,2.78,2.28,1.93,1.8,1.51,1.09,1.04,0.01,0.06,0.03,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,99.99
07/20/2021,9.31,8.3,7.82,7.38,6.57,4.41,4.4,4.08,4.17,4.0,3.88,3.75,3.42,3.32,3.41,3.32,3.05,2.74,2.78,2.28,1.93,1.8,1.51,1.09,1.04,0.01,0.06,0.03,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,99.99
07/23/2021,9.25,8.15,7.84,7.53,6.51,4.42,4.41,4.11,4.28,4.1,3.86,3.83,3.39,3.29,3.51,3.32,3.06,2.44,2.88,2.12,1.98,1.84,1.46,1.1,1.08,0.0,0.05,0.0,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,99.98
07/27/2021,9.04,8.45,7.8,7.51,6.47,4.31,4.49,4.12,4.35,4.16,3.74,3.84,3.32,3.27,3.62,3.28,3.05,2.53,2.84,2.18,1.98,1.83,1.45,1.08,1.06,0.05,0.05,0.0,0.02,0.02,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
