,NEE,DUK,SO,D,EXC,SRE,AEP,XEL,PEG,AWK,WEC,ES,ED,PPL,DTE,EIX,AEE,ETR,FE,AES,CMS,PCG,LNT,EVRG,CNP,ATO,WTRG,NRG,NI,UGI,PNW,VST,OGE,MDU,NEP,IDA,HE,NFG,POR,BKH,PNM,OGS,SWX,NJR,SR,ALE,ORA,NOVA,NWE,AWR,AVA,CWT,MGEE,SJI,Ss Inst Treas Plus Mm Fund Tru Ss Inst Treas Plus Mm Fund Tru,CPK,CWEN,OTTR,SJW,Xau Utilities Sep21 Xcme 20210917,NWN,MSEX,CWEN.A,UTL,YORW,CDZI,SGU,Us Dollar,Cadiz Inc,SUM
07/09/2021,13.91,7.31,6.21,5.71,4.21,4.08,4.04,3.43,2.9,2.72,2.71,2.64,2.37,2.08,2.07,2.07,1.95,1.95,1.94,1.66,1.65,1.48,1.35,1.33,1.31,1.19,1.05,0.97,0.93,0.93,0.89,0.8,0.65,0.6,0.56,0.47,0.44,0.43,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.3,0.3,0.29,0.29,0.28,0.27,0.26,0.25,0.23,0.2,0.2,0.19,0.17,0.17,0.15,0.14,0.08,0.08,0.06,0.05,0.04,0.02,0.0,100.01
07/12/2021,13.97,7.3,6.17,5.77,4.17,4.0,4.02,3.44,2.91,2.81,2.74,2.68,2.38,2.05,2.09,2.07,1.97,1.95,1.95,1.64,1.64,1.46,1.34,1.33,1.31,1.19,1.06,0.96,0.93,0.92,0.89,0.81,0.65,0.59,0.55,0.47,0.44,0.42,0.39,0.39,0.38,0.37,0.37,0.36,0.35,0.34,0.3,0.29,0.29,0.29,0.28,0.28,0.26,0.25,0.15,0.2,0.2,0.19,0.17,0.25,0.15,0.14,0.08,0.08,0.06,0.0,0.04,0.02,0.05,100.01
07/13/2021,13.97,7.3,6.17,5.77,4.17,4.0,4.02,3.44,2.91,2.81,2.74,2.68,2.38,2.05,2.09,2.07,1.97,1.95,1.95,1.64,1.64,1.46,1.34,1.33,1.31,1.19,1.06,0.96,0.93,0.92,0.89,0.81,0.65,0.59,0.55,0.47,0.44,0.42,0.39,0.39,0.38,0.37,0.37,0.36,0.35,0.34,0.3,0.29,0.29,0.29,0.28,0.28,0.26,0.25,0.15,0.2,0.2,0.19,0.17,0.25,0.15,0.14,0.08,0.08,0.06,0.0,0.04,0.02,0.05,100.01
07/14/2021,13.93,7.33,6.15,5.77,4.15,3.99,4.02,3.45,2.9,2.79,2.74,2.69,2.38,2.07,2.12,2.09,1.97,1.95,1.93,1.62,1.65,1.46,1.34,1.33,1.33,1.2,1.06,0.97,0.93,0.92,0.89,0.81,0.64,0.59,0.54,0.47,0.44,0.43,0.39,0.4,0.37,0.37,0.37,0.36,0.35,0.34,0.3,0.28,0.29,0.29,0.27,0.28,0.26,0.25,0.14,0.2,0.2,0.19,0.17,0.25,0.15,0.14,0.08,0.08,0.06,0.0,0.04,0.02,0.05,99.98
07/15/2021,13.91,7.38,6.17,5.75,4.18,3.99,4.01,3.45,2.9,2.79,2.75,2.67,2.37,2.06,2.12,2.09,1.98,1.95,1.92,1.63,1.65,1.44,1.34,1.33,1.31,1.2,1.05,0.95,0.93,0.92,0.89,0.8,0.64,0.6,0.54,0.47,0.44,0.43,0.39,0.4,0.37,0.37,0.38,0.37,0.35,0.34,0.29,0.29,0.3,0.29,0.27,0.28,0.26,0.25,0.14,0.2,0.2,0.19,0.17,0.25,0.15,0.14,0.08,0.08,0.06,0.0,0.04,0.02,0.05,99.97
07/16/2021,13.98,7.44,6.18,5.72,4.17,3.99,4.03,3.46,2.88,2.8,2.76,2.71,2.37,2.05,2.12,2.07,1.99,1.94,1.92,1.58,1.65,1.42,1.35,1.33,1.3,1.21,1.05,0.95,0.93,0.91,0.89,0.79,0.64,0.59,0.54,0.47,0.44,0.42,0.39,0.4,0.38,0.37,0.38,0.36,0.35,0.34,0.3,0.29,0.3,0.29,0.27,0.28,0.26,0.25,0.15,0.2,0.2,0.19,0.17,0.25,0.15,0.16,0.08,0.08,0.06,0.0,0.04,0.02,0.05,100.05
07/19/2021,14.07,7.47,6.19,5.73,4.17,3.92,4.05,3.45,2.89,2.82,2.79,2.76,2.38,2.03,2.1,2.04,1.99,1.94,1.9,1.53,1.66,1.39,1.35,1.34,1.31,1.21,1.04,0.92,0.94,0.9,0.89,0.77,0.64,0.59,0.53,0.48,0.44,0.41,0.4,0.4,0.37,0.37,0.38,0.35,0.36,0.35,0.29,0.26,0.3,0.29,0.27,0.28,0.26,0.24,0.2,0.2,0.19,0.2,0.17,0.25,0.15,0.15,0.08,0.08,0.06,0.0,0.04,0.02,0.05,100.04
07/20/2021,14.15,7.46,6.18,5.76,4.16,3.94,4.03,3.44,2.89,2.83,2.79,2.78,2.38,2.04,2.1,2.04,2.0,1.94,1.9,1.5,1.66,1.35,1.36,1.36,1.31,1.2,1.04,0.92,0.93,0.89,0.9,0.77,0.63,0.58,0.52,0.49,0.44,0.41,0.4,0.4,0.37,0.37,0.38,0.35,0.35,0.34,0.29,0.25,0.3,0.29,0.27,0.28,0.26,0.24,0.2,0.2,0.19,0.19,0.17,0.25,0.15,0.15,0.08,0.07,0.06,0.0,0.04,0.01,0.04,100.01
07/21/2021,14.15,7.46,6.18,5.76,4.16,3.94,4.03,3.44,2.89,2.83,2.79,2.78,2.38,2.04,2.1,2.04,2.0,1.94,1.9,1.5,1.66,1.35,1.36,1.36,1.31,1.2,1.04,0.92,0.93,0.89,0.9,0.77,0.63,0.58,0.52,0.49,0.44,0.41,0.4,0.4,0.37,0.37,0.38,0.35,0.35,0.34,0.29,0.25,0.3,0.29,0.27,0.28,0.26,0.24,0.2,0.2,0.19,0.19,0.17,0.25,0.15,0.15,0.08,0.07,0.06,0.0,0.04,0.01,0.04,100.01
07/22/2021,14.15,7.46,6.18,5.76,4.16,3.94,4.03,3.44,2.89,2.83,2.79,2.78,2.38,2.04,2.1,2.04,2.0,1.94,1.9,1.5,1.66,1.35,1.36,1.36,1.31,1.2,1.04,0.92,0.93,0.89,0.9,0.77,0.63,0.58,0.52,0.49,0.44,0.41,0.4,0.4,0.37,0.37,0.38,0.35,0.35,0.34,0.29,0.25,0.3,0.29,0.27,0.28,0.26,0.24,0.2,0.2,0.19,0.19,0.17,0.25,0.15,0.15,0.08,0.07,0.06,0.0,0.04,0.01,0.04,100.01
