,NVDA,AMD,700.HK,SE,7974.T,ATVI,NTES,BILI,U,EA,TTWO,RBLX,7832.T,3659.T,036570.KS,ZNGA,EMBRAC B.ST,9766.T,UBI.PA,9697.T,3888.HK,2377.TW,CDR.WA,251270.KS,9684.T,010950.KS,010950.KS.1,010950.KS.2,010950.KS.3,010950.KS.4,010950.KS.5,GVMXX,SF.ST,SUM
07/09/2021,9.34,8.2,7.56,6.69,5.67,5.31,5.08,4.97,4.79,4.38,4.3,4.22,4.2,3.79,3.66,2.91,2.29,1.9,1.82,1.71,1.63,1.63,1.31,0.98,0.76,0.75,0.16,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/31/2021,9.06,8.09,7.62,6.67,5.55,5.35,5.14,5.04,4.93,4.36,4.27,4.37,4.2,3.8,3.65,2.82,2.33,1.94,1.75,1.75,1.67,1.65,1.27,0.94,0.76,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.91,102.45
09/01/2021,9.06,8.09,7.62,6.67,5.55,5.35,5.14,5.04,4.93,4.36,4.27,4.37,4.2,3.8,3.65,2.82,2.33,1.94,1.75,1.75,1.67,1.65,1.27,0.94,0.76,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.91,102.45
