,2330.TW,700.HK,005930.KS,INFY.NS,RELIANCE.NS,NTES,881.HK,TCS.NS,066570.KS,JSWSTEEL.NS,2327.TW,3034.TW,2318.HK,2020.HK,2317.TW,011780.KS,035420.KS,300122.SZ,M4B.,2379.TW,CIPLA.NS,2382.HK,2313.HK,867.HK,2688.HK,5871.TW,NVTK.L,HINDUNILVR.NS,BAJFINANCE.NS,DRREDDY.NS,600519.SS,1398.HK,2319.HK,TECHM.NS,BBDC4.SA,2492.TW,KIO.JO,006360.KS,ICT.PM,036570.KS,175.HK,051900.KS,3808.HK,8464.TW,960.HK,086790.KS,FROTO.IS,BBCA.JK,1177.HK,NESTLEIND.NS,2338.HK,AMS.JO,6415.TW,2049.TW,2377.TW,322.HK,2303.TW,TITAN.NS,9910.TW,ADANIPORTS.NS,2884.TW,1813.HK,600276.SS,3323.HK,2347.TW,MARICO.NS,B3SA3.SA,3360.HK,291.HK,BBRI.JK,2408.TW,CPIN.JK,OJS1.,INKP.JK,1476.TW,ASIANPAINT.NS,1193.HK,2912.TW,2333.HK,2005.HK,POWERGRID.NS,2345.TW,PIDILITIND.NS,GRASIM.NS,HARTA.KL,1102.TW,BIMBOA.MX,SHREECEM.NS,2395.TW,884.HK,1101.TW,1109.HK,1579.HK,3998.HK,EXX.JO,1313.HK,SRTRANSFIN.NS,016360.KS,GAIL.NS,992.HK,220.HK,2669.HK,ITSA4.SA,ULTRACEMCO.NS,SUNPHARMA.NS,2007.HK,030000.KS,3380.HK,586.HK,081660.KS,LT.NS,WIPRO.NS,2885.TW,BBDC3.SA,CONCOR.NS,PEL.NS,002555.SZ,PETRONET.NS,PKN.WA,BMRI.JK,1227.TW,2899.HK,1658.HK,6239.TW,HCLTECH.NS,1918.HK,035760.KQ,2128.HK,JUBLFOOD.NS,ASELS.IS,BRITANNIA.NS,071050.KS,KTC-R.BK,EQTL3.SA,WEGE3.SA,688012.SS,ITC.NS,LREN3.SA,NAUKRI.NS,PTTEP-R.BK,2382.TW,TIMS3.SA,2883.HK,051905.KQ,DIVISLAB.NS,GLO.PM,HAVELLS.NS,BBAS3.SA,SPP.JO,MBT,UPL.NS,018260.KS,1066.HK,GRUMAB.MX,KLBF.JK,047050.KS,KYM1.,BRDT3.SA,SLM.JO,011070.KS,600585.SS,BERGEPAINT.NS,4958.TW,GGRM.JK,285.HK,2301.TW,SANB11.SA,047810.KS,1336.HK,GFI.JO,POLY.L,IGL.NS,TORNTPHARM.NS,968.HK,168.HK,1088.HK,384.HK,EA-R.BK,3008.TW,033780.KS,BPI.PM,AUROPHARMA.NS,003550.KS,COLPAL.NS,2890.TW,151.HK,2607.HK,ENELAM.SN,6669.TW,GPSC-R.BK,688.HK,2385.TW,URC.PM,VOD.JO,TM.KL,TENAGA.KL,086280.KS,HDFCAMC.NS,282330.KS,PSSA3.SA,012750.KS,9921.TW,3231.TW,TU-R.BK,5269.TW,010130.KS,1114.HK,5880.TW,001040.KS,n/a,NVAM.,152.HK,002030.SZ,RICHTER.BD,FROTO.E.IS,ASELS.E.IS,BIDI11.SA,CPFE3.SA,SUM
07/09/2021,5.79,4.76,3.95,1.19,1.0,0.88,0.85,0.83,0.81,0.79,0.77,0.76,0.75,0.74,0.72,0.7,0.69,0.68,0.68,0.64,0.64,0.63,0.62,0.58,0.56,0.54,0.54,0.54,0.54,0.54,0.52,0.51,0.5,0.5,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
07/12/2021,5.87,4.56,3.99,1.2,0.99,0.84,0.93,0.82,0.82,0.82,0.84,0.76,0.75,0.76,0.74,0.7,0.7,0.67,0.68,0.67,0.63,0.64,0.61,0.55,0.56,0.57,0.53,0.54,0.56,0.54,0.52,0.51,0.5,0.48,0.46,0.51,0.49,0.48,0.48,0.49,0.5,0.48,0.41,0.48,0.45,0.44,0.45,0.44,0.42,0.44,0.44,0.46,0.44,0.43,0.43,0.41,0.42,0.41,0.41,0.41,0.41,0.4,0.37,0.39,0.4,0.4,0.37,0.38,0.37,0.36,0.38,0.39,0.37,0.36,0.38,0.37,0.35,0.36,0.39,0.39,0.36,0.36,0.37,0.35,0.35,0.35,0.36,0.35,0.36,0.33,0.34,0.33,0.34,0.33,0.33,0.32,0.35,0.32,0.32,0.32,0.31,0.31,0.31,0.33,0.32,0.31,0.31,0.29,0.31,0.3,0.32,0.31,0.31,0.28,0.31,0.29,0.28,0.3,0.29,0.29,0.3,0.31,0.29,0.3,0.29,0.27,0.28,0.28,0.29,0.29,0.28,0.27,0.29,0.27,0.27,0.0,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.27,0.25,0.26,0.23,0.26,0.26,0.25,0.25,0.25,0.26,0.25,0.24,0.25,0.26,0.25,0.26,0.25,0.21,0.24,0.25,0.23,0.26,0.24,0.25,0.24,0.24,0.24,0.26,0.23,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.24,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.0,0.27,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.03
07/13/2021,5.87,4.56,3.99,1.2,0.99,0.84,0.93,0.82,0.82,0.82,0.84,0.76,0.75,0.76,0.74,0.7,0.7,0.67,0.68,0.67,0.63,0.64,0.61,0.55,0.56,0.57,0.53,0.54,0.56,0.54,0.52,0.51,0.5,0.48,0.46,0.51,0.49,0.48,0.48,0.49,0.5,0.48,0.41,0.48,0.45,0.44,0.45,0.44,0.42,0.44,0.44,0.46,0.44,0.43,0.43,0.41,0.42,0.41,0.41,0.41,0.41,0.4,0.37,0.39,0.4,0.4,0.37,0.38,0.37,0.36,0.38,0.39,0.37,0.36,0.38,0.37,0.35,0.36,0.39,0.39,0.36,0.36,0.37,0.35,0.35,0.35,0.36,0.35,0.36,0.33,0.34,0.33,0.34,0.33,0.33,0.32,0.35,0.32,0.32,0.32,0.31,0.31,0.31,0.33,0.32,0.31,0.31,0.29,0.31,0.3,0.32,0.31,0.31,0.28,0.31,0.29,0.28,0.3,0.29,0.29,0.3,0.31,0.29,0.3,0.29,0.27,0.28,0.28,0.29,0.29,0.28,0.27,0.29,0.27,0.27,0.0,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.27,0.25,0.26,0.23,0.26,0.26,0.25,0.25,0.25,0.26,0.25,0.24,0.25,0.26,0.25,0.26,0.25,0.21,0.24,0.25,0.23,0.26,0.24,0.25,0.24,0.24,0.24,0.26,0.23,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.24,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.0,0.27,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.03
07/14/2021,5.84,4.55,3.94,1.21,0.99,0.86,0.94,0.81,0.79,0.82,0.82,0.77,0.72,0.79,0.74,0.7,0.7,0.67,0.65,0.66,0.64,0.64,0.6,0.54,0.57,0.57,0.53,0.55,0.57,0.53,0.52,0.51,0.5,0.49,0.46,0.5,0.52,0.47,0.47,0.47,0.5,0.48,0.42,0.47,0.45,0.43,0.47,0.45,0.42,0.45,0.44,0.44,0.43,0.41,0.44,0.41,0.43,0.41,0.41,0.42,0.42,0.4,0.37,0.39,0.41,0.41,0.37,0.38,0.36,0.37,0.39,0.37,0.38,0.35,0.36,0.37,0.36,0.39,0.41,0.36,0.37,0.36,0.38,0.37,0.35,0.36,0.36,0.36,0.38,0.33,0.35,0.33,0.33,0.32,0.35,0.32,0.35,0.32,0.32,0.33,0.31,0.31,0.31,0.33,0.32,0.3,0.31,0.29,0.31,0.3,0.32,0.31,0.3,0.28,0.31,0.3,0.28,0.31,0.29,0.29,0.31,0.31,0.29,0.3,0.29,0.27,0.28,0.27,0.29,0.29,0.28,0.27,0.28,0.27,0.27,0.0,0.28,0.27,0.28,0.26,0.28,0.25,0.25,0.27,0.27,0.27,0.27,0.25,0.27,0.23,0.27,0.25,0.25,0.25,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.26,0.26,0.22,0.23,0.25,0.23,0.25,0.22,0.24,0.25,0.25,0.25,0.25,0.22,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.24,0.24,0.22,0.22,0.22,0.24,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.0,0.0,0.26,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.01
07/15/2021,5.84,4.55,3.94,1.21,0.99,0.86,0.94,0.81,0.79,0.82,0.82,0.77,0.72,0.79,0.74,0.7,0.7,0.67,0.65,0.66,0.64,0.64,0.6,0.54,0.57,0.57,0.53,0.55,0.57,0.53,0.52,0.51,0.5,0.49,0.46,0.5,0.52,0.47,0.47,0.47,0.5,0.48,0.42,0.47,0.45,0.43,0.47,0.45,0.42,0.45,0.44,0.44,0.43,0.41,0.44,0.41,0.43,0.41,0.41,0.42,0.42,0.4,0.37,0.39,0.41,0.41,0.37,0.38,0.36,0.37,0.39,0.37,0.38,0.35,0.36,0.37,0.36,0.39,0.41,0.36,0.37,0.36,0.38,0.37,0.35,0.36,0.36,0.36,0.38,0.33,0.35,0.33,0.33,0.32,0.35,0.32,0.35,0.32,0.32,0.33,0.31,0.31,0.31,0.33,0.32,0.3,0.31,0.29,0.31,0.3,0.32,0.31,0.3,0.28,0.31,0.3,0.28,0.31,0.29,0.29,0.31,0.31,0.29,0.3,0.29,0.27,0.28,0.27,0.29,0.29,0.28,0.27,0.28,0.27,0.27,0.0,0.28,0.27,0.28,0.26,0.28,0.25,0.25,0.27,0.27,0.27,0.27,0.25,0.27,0.23,0.27,0.25,0.25,0.25,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.26,0.26,0.22,0.23,0.25,0.23,0.25,0.22,0.24,0.25,0.25,0.25,0.25,0.22,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.24,0.24,0.22,0.22,0.22,0.24,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.0,0.0,0.26,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.01
07/16/2021,5.9,4.48,3.93,1.19,0.99,0.86,0.91,0.8,0.79,0.83,0.82,0.77,0.72,0.78,0.75,0.71,0.7,0.68,0.66,0.67,0.63,0.62,0.58,0.56,0.56,0.58,0.53,0.54,0.57,0.53,0.51,0.51,0.49,0.49,0.47,0.5,0.51,0.48,0.48,0.46,0.5,0.48,0.44,0.48,0.45,0.43,0.46,0.46,0.42,0.44,0.45,0.44,0.46,0.42,0.43,0.41,0.44,0.41,0.41,0.41,0.42,0.4,0.38,0.39,0.41,0.41,0.39,0.39,0.37,0.36,0.38,0.39,0.37,0.36,0.35,0.37,0.36,0.38,0.41,0.37,0.36,0.37,0.37,0.37,0.34,0.36,0.36,0.36,0.38,0.33,0.35,0.34,0.36,0.31,0.35,0.32,0.35,0.32,0.32,0.33,0.31,0.31,0.32,0.34,0.31,0.31,0.31,0.29,0.31,0.3,0.32,0.3,0.3,0.29,0.31,0.29,0.29,0.3,0.29,0.29,0.31,0.31,0.29,0.3,0.29,0.26,0.28,0.27,0.28,0.28,0.28,0.27,0.28,0.27,0.27,0.0,0.28,0.28,0.28,0.26,0.28,0.26,0.24,0.28,0.27,0.27,0.28,0.26,0.26,0.23,0.27,0.25,0.24,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.26,0.26,0.22,0.23,0.25,0.24,0.25,0.22,0.25,0.25,0.25,0.25,0.26,0.22,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.24,0.23,0.22,0.22,0.22,0.24,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.22,0.21,0.0,0.27,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.04
07/19/2021,6.06,4.63,3.89,1.21,0.98,0.88,0.93,0.8,0.79,0.83,0.81,0.75,0.7,0.78,0.75,0.71,0.74,0.71,0.65,0.66,0.64,0.61,0.56,0.55,0.58,0.59,0.52,0.53,0.56,0.52,0.51,0.5,0.49,0.5,0.48,0.5,0.52,0.49,0.48,0.45,0.51,0.47,0.43,0.47,0.45,0.43,0.46,0.44,0.43,0.44,0.44,0.45,0.45,0.42,0.42,0.4,0.44,0.4,0.4,0.4,0.42,0.39,0.36,0.38,0.4,0.4,0.4,0.38,0.39,0.35,0.38,0.37,0.37,0.34,0.34,0.36,0.36,0.38,0.41,0.35,0.36,0.36,0.37,0.38,0.36,0.36,0.35,0.36,0.4,0.32,0.35,0.33,0.37,0.31,0.35,0.31,0.34,0.31,0.32,0.3,0.32,0.32,0.32,0.34,0.32,0.3,0.31,0.28,0.31,0.3,0.33,0.32,0.29,0.3,0.3,0.29,0.3,0.3,0.29,0.29,0.31,0.3,0.27,0.3,0.29,0.26,0.27,0.27,0.29,0.28,0.28,0.29,0.29,0.28,0.27,0.0,0.28,0.28,0.26,0.25,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.26,0.25,0.23,0.27,0.26,0.25,0.25,0.25,0.26,0.25,0.26,0.24,0.25,0.23,0.26,0.26,0.21,0.23,0.25,0.25,0.25,0.22,0.25,0.25,0.24,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.24,0.22,0.22,0.22,0.25,0.23,0.22,0.22,0.0,0.21,0.22,0.21,0.0,0.22,0.21,0.21,0.27,0.0,0.0,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.1
07/20/2021,6.06,4.63,3.89,1.21,0.98,0.88,0.93,0.8,0.79,0.83,0.81,0.75,0.7,0.78,0.75,0.71,0.74,0.71,0.65,0.66,0.64,0.61,0.56,0.55,0.58,0.59,0.52,0.53,0.56,0.52,0.51,0.5,0.49,0.5,0.48,0.5,0.52,0.49,0.48,0.45,0.51,0.47,0.43,0.47,0.45,0.43,0.46,0.44,0.43,0.44,0.44,0.45,0.45,0.42,0.42,0.4,0.44,0.4,0.4,0.4,0.42,0.39,0.36,0.38,0.4,0.4,0.4,0.38,0.39,0.35,0.38,0.37,0.37,0.34,0.34,0.36,0.36,0.38,0.41,0.35,0.36,0.36,0.37,0.38,0.36,0.36,0.35,0.36,0.4,0.32,0.35,0.33,0.37,0.31,0.35,0.31,0.34,0.31,0.32,0.3,0.32,0.32,0.32,0.34,0.32,0.3,0.31,0.28,0.31,0.3,0.33,0.32,0.29,0.3,0.3,0.29,0.3,0.3,0.29,0.29,0.31,0.3,0.27,0.3,0.29,0.26,0.27,0.27,0.29,0.28,0.28,0.29,0.29,0.28,0.27,0.0,0.28,0.28,0.26,0.25,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.26,0.25,0.23,0.27,0.26,0.25,0.25,0.25,0.26,0.25,0.26,0.24,0.25,0.23,0.26,0.26,0.21,0.23,0.25,0.25,0.25,0.22,0.25,0.25,0.24,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.23,0.24,0.22,0.22,0.22,0.25,0.23,0.22,0.22,0.0,0.21,0.22,0.21,0.0,0.22,0.21,0.21,0.27,0.0,0.0,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.1
07/21/2021,5.8,4.68,3.92,1.19,0.99,0.87,0.93,0.8,0.79,0.83,0.8,0.77,0.73,0.78,0.77,0.7,0.74,0.7,0.68,0.69,0.64,0.61,0.54,0.55,0.61,0.6,0.5,0.53,0.56,0.52,0.51,0.5,0.48,0.51,0.46,0.5,0.51,0.49,0.47,0.49,0.5,0.47,0.41,0.48,0.45,0.44,0.46,0.45,0.42,0.44,0.43,0.43,0.44,0.42,0.43,0.4,0.44,0.4,0.4,0.39,0.42,0.4,0.36,0.39,0.4,0.4,0.39,0.38,0.38,0.36,0.38,0.37,0.36,0.35,0.34,0.36,0.37,0.38,0.41,0.32,0.37,0.38,0.37,0.38,0.37,0.35,0.36,0.36,0.39,0.33,0.35,0.34,0.34,0.31,0.34,0.32,0.35,0.32,0.31,0.29,0.31,0.34,0.32,0.35,0.32,0.3,0.31,0.29,0.3,0.3,0.34,0.33,0.3,0.29,0.29,0.3,0.3,0.3,0.28,0.29,0.31,0.31,0.28,0.3,0.3,0.27,0.28,0.26,0.28,0.28,0.27,0.29,0.29,0.27,0.27,0.0,0.28,0.28,0.26,0.25,0.28,0.27,0.25,0.27,0.27,0.26,0.28,0.25,0.25,0.23,0.27,0.26,0.24,0.25,0.25,0.25,0.24,0.25,0.24,0.27,0.24,0.26,0.27,0.21,0.22,0.25,0.24,0.25,0.22,0.25,0.24,0.24,0.25,0.24,0.23,0.24,0.25,0.23,0.23,0.23,0.22,0.23,0.23,0.24,0.24,0.22,0.22,0.22,0.23,0.23,0.22,0.22,0.0,0.22,0.22,0.21,0.21,0.23,0.21,0.0,0.28,0.0,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.02000000000001
07/22/2021,5.8,4.68,3.92,1.19,0.99,0.87,0.93,0.8,0.79,0.83,0.8,0.77,0.73,0.78,0.77,0.7,0.74,0.7,0.68,0.69,0.64,0.61,0.54,0.55,0.61,0.6,0.5,0.53,0.56,0.52,0.51,0.5,0.48,0.51,0.46,0.5,0.51,0.49,0.47,0.49,0.5,0.47,0.41,0.48,0.45,0.44,0.46,0.45,0.42,0.44,0.43,0.43,0.44,0.42,0.43,0.4,0.44,0.4,0.4,0.39,0.42,0.4,0.36,0.39,0.4,0.4,0.39,0.38,0.38,0.36,0.38,0.37,0.36,0.35,0.34,0.36,0.37,0.38,0.41,0.32,0.37,0.38,0.37,0.38,0.37,0.35,0.36,0.36,0.39,0.33,0.35,0.34,0.34,0.31,0.34,0.32,0.35,0.32,0.31,0.29,0.31,0.34,0.32,0.35,0.32,0.3,0.31,0.29,0.3,0.3,0.34,0.33,0.3,0.29,0.29,0.3,0.3,0.3,0.28,0.29,0.31,0.31,0.28,0.3,0.3,0.27,0.28,0.26,0.28,0.28,0.27,0.29,0.29,0.27,0.27,0.0,0.28,0.28,0.26,0.25,0.28,0.27,0.25,0.27,0.27,0.26,0.28,0.25,0.25,0.23,0.27,0.26,0.24,0.25,0.25,0.25,0.24,0.25,0.24,0.27,0.24,0.26,0.27,0.21,0.22,0.25,0.24,0.25,0.22,0.25,0.24,0.24,0.25,0.24,0.23,0.24,0.25,0.23,0.23,0.23,0.22,0.23,0.23,0.24,0.24,0.22,0.22,0.22,0.23,0.23,0.22,0.22,0.0,0.22,0.22,0.21,0.21,0.23,0.21,0.0,0.28,0.0,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.02000000000001
