,TSY INFL IX N/B 0.625 01/15/2026,TSY INFL IX N/B 0.375 07/15/2023,TSY INFL IX N/B 0.625 01/15/2024,TSY INFL IX N/B 0.125 01/15/2023,TII 0.25 07/15/29,TSY INFL IX N/B 0.625 04/15/2023,TSY INFL IX N/B 0.375 07/15/2025,TSY INFL IX N/B 0.375 01/15/2027,TSY INFL IX N/B 0.25 01/15/2025,TII 0.125 01/15/30,TSY INFL IX N/B 0.125 07/15/2024,TSY INFL IX N/B 0.5 01/15/2028,TII 0.125 07/15/30,TII 0.125 01/15/31,TSY INFL IX N/B 0.375 07/15/2027,TII 0.75 07/15/28,TSY INFL IX N/B 2.375 01/15/2025,TII 0.875 01/15/29,TSY INFL IX N/B 0.125 07/15/2026,TSY INFL IX N/B 0.125 07/15/2022,TSY INFL IX N/B 3.875 04/15/2029,TSY INFL IX N/B 0.125 10/15/2024,TSY INFL IX N/B 0.125 04/15/2025,TSY INFL IX N/B 0.125 10/15/2025,TSY INFL IX N/B 3.625 04/15/2028,TSY INFL IX N/B 0.5 04/15/2024,TSY INFL IX N/B 2 01/15/2026,TSY INFL IX N/B 0.125 04/15/2026,TSY INFL IX N/B 2.375 01/15/2027,TSY INFL IX N/B 1.75 01/15/2028,TII 2.5 01/15/29,Cash_USD,TSY INFL IX N/B 0.125 07/15/2030,TSY INFL IX N/B 0.125 01/15/2031,TSY INFL IX N/B 0.125 01/15/2030,TSY INFL IX N/B 0.25 07/15/2029,TSY INFL IX N/B 0.75 07/15/2028,TSY INFL IX N/B 0.875 01/15/2029,TSY INFL IX N/B 2.5 01/15/2029,TSY INFL IX N/B 0.125 07/15/2031,SUM
07/09/2021,4.04,4.03,3.87,3.87,3.76,3.73,3.72,3.69,3.67,3.67,3.61,3.52,3.51,3.46,3.44,3.39,3.39,3.34,3.33,3.21,3.2,3.0,2.99,2.89,2.77,2.7,2.32,2.3,2.08,1.79,1.7,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,4.04,4.04,3.87,3.87,3.75,3.74,3.72,3.7,3.67,3.66,3.61,3.52,3.5,3.46,3.44,3.39,3.39,3.34,3.33,3.21,3.2,3.0,2.99,2.89,2.77,2.7,2.32,2.3,2.08,1.79,1.7,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,4.04,4.04,3.87,3.87,3.75,3.74,3.72,3.7,3.67,3.66,3.61,3.52,3.5,3.46,3.44,3.39,3.39,3.34,3.33,3.21,3.2,3.0,2.99,2.89,2.77,2.7,2.32,2.3,2.08,1.79,1.7,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,4.04,4.04,3.87,3.87,3.75,3.73,3.72,3.7,3.67,3.66,3.61,3.52,3.5,3.45,3.45,3.39,3.39,3.33,3.33,3.21,3.2,3.0,2.99,2.89,2.77,2.7,2.32,2.3,2.08,1.79,1.7,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,4.03,4.02,3.85,3.86,3.76,3.72,3.7,3.69,3.66,3.67,3.6,3.52,3.51,3.47,3.44,3.39,3.35,3.33,3.33,3.2,3.21,2.99,2.98,2.89,2.77,2.69,2.3,2.3,2.06,1.78,1.69,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/03/2021,3.85,4.31,3.95,4.12,0.0,4.11,3.78,3.77,3.77,0.0,3.63,3.62,0.0,0.0,3.43,0.0,3.35,0.0,3.4,0.43,3.23,2.99,2.99,2.9,2.8,2.67,2.02,2.55,1.99,1.7,0.0,0.94,3.73,3.69,3.6,3.54,3.4,3.33,1.68,0.75,100.02
08/04/2021,3.87,4.33,3.97,2.98,3.57,4.13,3.8,3.79,3.79,3.62,3.64,3.64,3.76,3.72,3.45,3.42,3.37,3.36,3.41,0.0,3.26,3.0,3.01,2.91,2.81,2.68,2.03,3.75,2.0,1.71,1.69,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,100.0
