,Cash,Dj U.S. Semiconductors Index Swap Ubs Ag - Cash Offset,Dj U.S. Semiconductors Index Swap Morgan Stanley & Co. International Plc -,Dj U.S. Semiconductors Index Swap Societe Generale - Cash Offset,Dj U.S. Semiconductors Index Swap Bank Of America Na - Cash Offset,Dj U.S. Semiconductors Index Swap Jp Morgan Securities - Cash Offset,Dj U.S. Semiconductors Index Swap Jp Morgan Securities,Dj U.S. Semiconductors Index Swap Bank Of America Na,Dj U.S. Semiconductors Index Swap Societe Generale,Dj U.S. Semiconductors Index Swap Morgan Stanley & Co. International Plc,Dj U.S. Semiconductors Index Swap Ubs Ag,SUM
07/09/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
07/12/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
07/13/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
07/14/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
07/15/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
07/16/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
07/19/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
07/20/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
07/21/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
07/22/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
07/23/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
07/26/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
07/27/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
07/28/2021,100.0,95.28,46.99,41.16,9.72,7.45,-7.45,-9.72,-41.16,-46.99,-95.28,100.0
