,MSFT,AAPL,AMZN,FB,GOOGL,GOOG,BRK.B,JPM,TSLA,JNJ,UNH,V,NVDA,HD,PG,BAC,DIS,MA,PYPL,CMCSA,XOM,ADBE,INTC,NFLX,VZ,PFE,KO,T,CRM,ABT,PEP,CSCO,WMT,ABBV,WFC,AVGO,MRK,CVX,ACN,TMO,TXN,MCD,NKE,LLY,MDT,COST,DHR,C,HON,LIN,UPS,QCOM,UNP,PM,BMY,BA,NEE,LOW,ORCL,AMGN,MS,RTX,SBUX,CAT,GS,IBM,AMAT,GE,BLK,MMM,INTU,TGT,AMT,CVS,SCHW,DE,ISRG,ANTM,AMD,AXP,BKNG,MU,NOW,LRCX,FIS,MO,SPGI,CI,LMT,MDLZ,CHTR,PLD,SQ,SYK,ZTS,TFC,GILD,PNC,USB,CCI,ADP,TMUS,CME,DUK,TJX,GM,CSX,COP,ATVI,FDX,COF,CL,NSC,MMC,BDX,SNAP,SHW,SO,EL,APD,ITW,EQIX,FISV,CB,ZM,ICE,BX,ADSK,FCX,D,ADI,BSX,EW,WM,ILMN,NEM,MRNA,HCA,PGR,ETN,EMR,AON,GPN,F,UBER,HUM,ECL,NOC,VRTX,TWLO,MCO,DOW,REGN,DG,KLAC,JCI,IDXX,ROP,EOG,GD,IQV,LHX,AIG,DD,ROST,TEL,TT,KMB,TWTR,EXC,SLB,TROW,MET,CNC,AEP,PPG,DLR,PRU,MCHP,SPG,A,WDAY,PSA,ALGN,BAX,BK,EA,BIIB,APTV,APH,TRV,MPC,CARR,PH,CRWD,VEEV,EBAY,ALL,SYY,SRE,SNOW,ROKU,DOCU,MRVL,CMG,LULU,PINS,PLTR,SNPS,MSCI,MTCH,DXCM,ORLY,INFO,CDNS,FTNT,PANW,RMD,SUM
07/09/2021,4.39,4.39,3.21,1.84,1.65,1.57,1.2,1.17,1.12,1.04,0.91,0.89,0.89,0.8,0.77,0.77,0.76,0.74,0.71,0.61,0.58,0.56,0.54,0.52,0.52,0.5,0.5,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.68
07/12/2021,4.39,4.39,3.21,1.84,1.65,1.57,1.2,1.17,1.12,1.04,0.91,0.89,0.89,0.8,0.77,0.77,0.76,0.74,0.71,0.61,0.58,0.56,0.54,0.52,0.52,0.5,0.5,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.68
07/13/2021,4.39,4.39,3.21,1.84,1.65,1.57,1.2,1.17,1.12,1.04,0.91,0.89,0.89,0.8,0.77,0.77,0.76,0.74,0.71,0.61,0.58,0.56,0.54,0.52,0.52,0.5,0.5,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.68
07/14/2021,4.39,4.39,3.21,1.84,1.65,1.57,1.2,1.17,1.12,1.04,0.91,0.89,0.89,0.8,0.77,0.77,0.76,0.74,0.71,0.61,0.58,0.56,0.54,0.52,0.52,0.5,0.5,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.68
07/15/2021,4.39,4.39,3.21,1.84,1.65,1.57,1.2,1.17,1.12,1.04,0.91,0.89,0.89,0.8,0.77,0.77,0.76,0.74,0.71,0.61,0.58,0.56,0.54,0.52,0.52,0.5,0.5,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.68
07/16/2021,4.39,4.39,3.21,1.84,1.65,1.57,1.2,1.17,1.12,1.04,0.91,0.89,0.89,0.8,0.77,0.77,0.76,0.74,0.71,0.61,0.58,0.56,0.54,0.52,0.52,0.5,0.5,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.68
07/19/2021,4.6,4.9,3.33,1.88,1.66,1.56,1.09,1.06,1.18,0.98,0.85,0.89,1.07,0.77,0.75,0.72,0.72,0.73,0.77,0.59,0.6,0.63,0.51,0.53,0.5,0.49,0.47,0.46,0.48,0.46,0.46,0.45,0.45,0.45,0.42,0.42,0.44,0.46,0.42,0.45,0.4,0.39,0.44,0.45,0.38,0.4,0.39,0.33,0.34,0.34,0.34,0.36,0.33,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.31,0.29,0.3,0.27,0.29,0.3,0.29,0.27,0.27,0.26,0.29,0.27,0.28,0.25,0.25,0.22,0.25,0.21,0.26,0.22,0.2,0.22,0.24,0.21,0.2,0.2,0.22,0.18,0.2,0.2,0.2,0.2,0.22,0.19,0.2,0.17,0.19,0.18,0.17,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.19,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.18,0.15,0.14,0.16,0.14,0.14,0.16,0.14,0.14,0.18,0.15,0.15,0.14,0.12,0.13,0.14,0.14,0.15,0.13,0.16,0.11,0.18,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.15,0.13,0.12,0.12,0.12,0.14,0.13,0.11,0.13,0.12,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.12,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.09,0.12,0.1,0.09,0.0,0.0,0.1,0.0,0.11,0.1,0.1,0.0,0.0,0.0,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,68.77000000000001
07/20/2021,4.6,4.9,3.33,1.88,1.66,1.56,1.09,1.06,1.18,0.98,0.85,0.89,1.07,0.77,0.75,0.72,0.72,0.73,0.77,0.59,0.6,0.63,0.51,0.53,0.5,0.49,0.47,0.46,0.48,0.46,0.46,0.45,0.45,0.45,0.42,0.42,0.44,0.46,0.42,0.45,0.4,0.39,0.44,0.45,0.38,0.4,0.39,0.33,0.34,0.34,0.34,0.36,0.33,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.31,0.29,0.3,0.27,0.29,0.3,0.29,0.27,0.27,0.26,0.29,0.27,0.28,0.25,0.25,0.22,0.25,0.21,0.26,0.22,0.2,0.22,0.24,0.21,0.2,0.2,0.22,0.18,0.2,0.2,0.2,0.2,0.22,0.19,0.2,0.17,0.19,0.18,0.17,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.19,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.18,0.15,0.14,0.16,0.14,0.14,0.16,0.14,0.14,0.18,0.15,0.15,0.14,0.12,0.13,0.14,0.14,0.15,0.13,0.16,0.11,0.18,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.15,0.13,0.12,0.12,0.12,0.14,0.13,0.11,0.13,0.12,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.12,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.09,0.12,0.1,0.09,0.0,0.0,0.1,0.0,0.11,0.1,0.1,0.0,0.0,0.0,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,68.77000000000001
07/21/2021,4.6,4.9,3.33,1.88,1.66,1.56,1.09,1.06,1.18,0.98,0.85,0.89,1.07,0.77,0.75,0.72,0.72,0.73,0.77,0.59,0.6,0.63,0.51,0.53,0.5,0.49,0.47,0.46,0.48,0.46,0.46,0.45,0.45,0.45,0.42,0.42,0.44,0.46,0.42,0.45,0.4,0.39,0.44,0.45,0.38,0.4,0.39,0.33,0.34,0.34,0.34,0.36,0.33,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.31,0.29,0.3,0.27,0.29,0.3,0.29,0.27,0.27,0.26,0.29,0.27,0.28,0.25,0.25,0.22,0.25,0.21,0.26,0.22,0.2,0.22,0.24,0.21,0.2,0.2,0.22,0.18,0.2,0.2,0.2,0.2,0.22,0.19,0.2,0.17,0.19,0.18,0.17,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.19,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.18,0.15,0.14,0.16,0.14,0.14,0.16,0.14,0.14,0.18,0.15,0.15,0.14,0.12,0.13,0.14,0.14,0.15,0.13,0.16,0.11,0.18,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.15,0.13,0.12,0.12,0.12,0.14,0.13,0.11,0.13,0.12,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.12,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.09,0.12,0.1,0.09,0.0,0.0,0.1,0.0,0.11,0.1,0.1,0.0,0.0,0.0,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,68.77000000000001
07/22/2021,4.6,4.9,3.33,1.88,1.66,1.56,1.09,1.06,1.18,0.98,0.85,0.89,1.07,0.77,0.75,0.72,0.72,0.73,0.77,0.59,0.6,0.63,0.51,0.53,0.5,0.49,0.47,0.46,0.48,0.46,0.46,0.45,0.45,0.45,0.42,0.42,0.44,0.46,0.42,0.45,0.4,0.39,0.44,0.45,0.38,0.4,0.39,0.33,0.34,0.34,0.34,0.36,0.33,0.35,0.34,0.32,0.32,0.31,0.3,0.32,0.31,0.29,0.3,0.27,0.29,0.3,0.29,0.27,0.27,0.26,0.29,0.27,0.28,0.25,0.25,0.22,0.25,0.21,0.26,0.22,0.2,0.22,0.24,0.21,0.2,0.2,0.22,0.18,0.2,0.2,0.2,0.2,0.22,0.19,0.2,0.17,0.19,0.18,0.17,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.19,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.18,0.15,0.14,0.16,0.14,0.14,0.16,0.14,0.14,0.18,0.15,0.15,0.14,0.12,0.13,0.14,0.14,0.15,0.13,0.16,0.11,0.18,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.15,0.13,0.12,0.12,0.12,0.14,0.13,0.11,0.13,0.12,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.12,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.09,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.09,0.12,0.1,0.09,0.0,0.0,0.1,0.0,0.11,0.1,0.1,0.0,0.0,0.0,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,68.77000000000001
