,SI,COIN,HOOD,SQ,PYPL,PLUS.L,HUT.TO,ARB.L,BITF.V,MARA,HIVE.V,RIOT,GLXY.TO,CAN,NB2.DE,8698.T,VOYG.TO,BKKT,CLSK,BTBT,MOGO.TO,BTCM,FGXXX,n/a,BITF.TO,SUM
02/14/2022,8.64,8.33,7.02,6.47,6.34,5.86,4.88,4.73,4.46,4.22,4.21,4.11,4.05,4.05,3.86,3.78,3.6,3.27,3.26,2.21,1.48,1.12,0.06,0.0,0.0,100.01
02/15/2022,8.64,8.33,7.02,6.47,6.34,5.86,4.88,4.73,4.46,4.22,4.21,4.11,4.05,4.05,3.86,3.78,3.6,3.27,3.26,2.21,1.48,1.12,0.06,0.0,0.0,100.01
02/16/2022,8.54,8.27,7.22,6.69,6.41,6.14,4.75,4.84,4.25,4.12,4.12,4.09,3.88,3.98,3.97,3.95,3.41,3.37,3.18,2.2,1.48,1.07,0.06,0.0,0.0,99.99
02/17/2022,8.54,8.27,7.22,6.69,6.41,6.14,4.75,4.84,4.25,4.12,4.12,4.09,3.88,3.98,3.97,3.95,3.41,3.37,3.18,2.2,1.48,1.07,0.06,0.0,0.0,99.99
02/18/2022,9.02,8.5,7.09,6.84,6.15,5.68,4.67,4.4,4.27,4.19,4.18,4.21,3.89,4.2,3.86,3.56,3.19,3.71,3.57,2.15,1.54,1.08,0.06,0.0,0.0,100.01
02/21/2022,8.99,8.45,6.88,6.69,6.06,6.4,4.4,4.61,4.09,4.08,4.14,4.1,3.84,4.73,3.97,3.93,3.06,3.03,3.89,2.05,1.48,1.08,0.07,0.0,0.0,100.02
03/17/2022,10.51,7.95,6.98,7.37,6.28,6.44,3.87,4.38,4.14,4.02,4.0,3.93,3.97,4.03,3.34,4.62,2.88,2.62,4.24,1.76,1.5,1.09,0.08,0.0,0.0,100.0
04/11/2022,8.14,7.55,7.48,8.07,8.03,4.01,3.57,4.04,3.45,3.64,3.95,3.84,4.65,5.1,4.66,4.17,3.41,2.9,4.0,2.74,2.55,0.0,0.08,0.02,0.0,100.05
05/04/2022,9.55,7.0,7.6,8.26,8.29,5.19,3.41,4.52,0.0,3.2,4.17,3.0,4.71,4.1,5.08,4.47,2.81,2.88,3.17,2.36,2.21,0.0,0.02,0.02,3.98,99.99999999999996
06/07/2022,8.02,5.59,9.71,9.17,10.55,6.96,2.86,4.65,0.0,2.35,2.89,2.49,3.06,5.25,4.47,4.96,2.71,2.77,3.5,2.44,2.14,0.0,0.02,0.0,3.44,99.99999999999999
