,ROKU,CRWD,FTNT,TTD,ODFL,ZS,ABNB,ZBRA,LBRDK,GRMN,VIAC,ENPH,ETSY,DDOG,EXPE,BILI,YNDX,MDB,QRVO,AZN,TSCO,EXPD,HZNP,WDC,CZR,TER,LOGN.SW,TRMB,DKNG,TTWO,LYFT,STX,COUP,ULTA,AKAM,NVCR,SSNC,POOL,PODD,STNE,JBHT,UAL,BGNE,TXG,RPRX,WIX,NVAX,IAC,CVAC,DISCK,DISCA,94NA.L,ViacomCBS Inc Class A,94NA.L.1,BKR,GFS,CCEP,ON,FANG,CSGP,CDW,PARA,HOLX,MPWR,ICLR,INCY,CHKP,ZI,ALNY,NTAP,BMRN,LNT,NLOK,ENTG,BNTX,VTRS,LKQ,APP,FOXA,FOX,LBRDA,n/a,SUM
07/09/2021,4.31,4.3,3.52,2.87,2.6,2.54,2.52,2.51,2.46,2.46,2.33,2.2,2.18,2.17,2.06,2.05,1.98,1.96,1.92,1.89,1.88,1.88,1.87,1.87,1.86,1.86,1.81,1.8,1.79,1.78,1.75,1.73,1.69,1.68,1.67,1.66,1.64,1.63,1.62,1.61,1.52,1.49,1.48,1.45,1.44,1.42,1.4,1.1,1.05,0.84,0.46,0.2,0.17,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
05/27/2022,1.23,0.0,0.0,2.6,0.0,0.0,0.0,2.0,1.9,0.0,0.0,2.55,1.09,0.0,2.05,0.0,0.01,1.83,1.29,0.0,2.24,2.01,2.23,2.06,1.16,1.88,0.0,1.89,0.0,1.6,0.0,2.01,0.0,2.11,1.78,0.0,1.79,1.83,1.58,0.0,1.95,0.0,0.0,0.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,3.34,2.76,2.72,2.71,2.57,2.44,2.26,2.21,2.19,1.99,1.95,1.89,1.75,1.75,1.71,1.69,1.69,1.64,1.62,1.62,1.61,1.61,1.27,1.21,0.88,0.3,0.05,99.99
