,VOX,QQQ,BLV,USDU,VHT,VOO,DIA,BND,n/a,80ML.L,BSV,VCR,PFFD,QQQM,VIS,VO,VDE,VGIT,VPU,AAAU,VGLT,SUM
09/03/2021,26.2,24.54,19.46,11.67,8.1,4.0,1.98,1.93,1.93,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/24/2021,24.63,26.11,19.17,11.98,7.92,4.19,2.0,1.91,0.19,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/25/2021,24.63,26.11,19.17,11.98,7.92,4.19,2.0,1.91,0.19,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/26/2021,-42.16,-44.64,-5.73,-7.14,-13.6,-7.16,-3.45,-3.28,1.22,0.0,-3.29,135.1,27.0,26.96,13.53,13.41,13.23,0.0,0.0,0.0,0.0,100.0
11/29/2021,0.0,0.0,9.98,5.06,0.0,0.0,0.0,0.0,0.34,0.0,0.0,49.61,9.98,9.95,5.0,4.98,5.09,0.0,0.0,0.0,0.0,99.99
11/30/2021,0.0,0.0,10.32,5.15,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.28,10.09,9.94,4.94,4.96,4.97,0.0,0.0,0.0,0.0,100.0
12/01/2021,0.0,0.0,10.32,5.15,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.28,10.09,9.94,4.94,4.96,4.97,0.0,0.0,0.0,0.0,100.0
12/02/2021,0.0,0.0,10.22,5.12,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.37,10.05,10.07,4.92,4.96,4.96,0.0,0.0,0.0,0.0,100.01999999999998
12/06/2021,0.0,0.0,10.47,5.16,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.07,10.21,9.96,4.91,4.91,4.96,0.0,0.0,0.0,0.0,100.0
12/07/2021,0.0,0.0,10.47,5.16,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.07,10.21,9.96,4.91,4.91,4.96,0.0,0.0,0.0,0.0,100.0
12/08/2021,0.0,0.0,10.47,5.16,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.07,10.21,9.96,4.91,4.91,4.96,0.0,0.0,0.0,0.0,100.0
12/09/2021,0.0,0.0,10.47,5.16,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.07,10.21,9.96,4.91,4.91,4.96,0.0,0.0,0.0,0.0,100.0
12/10/2021,0.0,0.0,10.47,5.16,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.07,10.21,9.96,4.91,4.91,4.96,0.0,0.0,0.0,0.0,100.0
12/13/2021,0.0,0.0,10.47,5.16,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.07,10.21,9.96,4.91,4.91,4.96,0.0,0.0,0.0,0.0,100.0
12/14/2021,0.0,0.0,10.47,5.16,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.07,10.21,9.96,4.91,4.91,4.96,0.0,0.0,0.0,0.0,100.0
12/15/2021,0.0,0.0,10.47,5.16,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.07,10.21,9.96,4.91,4.91,4.96,0.0,0.0,0.0,0.0,100.0
12/16/2021,0.0,0.0,10.47,5.16,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.07,10.21,9.96,4.91,4.91,4.96,0.0,0.0,0.0,0.0,100.0
12/17/2021,0.0,0.0,10.47,5.16,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.07,10.21,9.96,4.91,4.91,4.96,0.0,0.0,0.0,0.0,100.0
12/20/2021,0.0,0.0,10.47,5.16,0.0,0.0,0.0,0.0,0.35,0.0,0.0,49.07,10.21,9.96,4.91,4.91,4.96,0.0,0.0,0.0,0.0,100.0
01/03/2022,0.0,0.0,10.16,5.09,0.0,0.0,0.0,0.0,0.55,0.0,0.0,48.89,10.23,10.14,5.0,5.03,4.91,0.0,0.0,0.0,0.0,100.0
01/03/2022,0.0,0.0,10.16,5.09,0.0,0.0,0.0,0.0,0.55,0.0,0.0,48.89,10.23,10.14,5.0,5.03,4.91,0.0,0.0,0.0,0.0,100.0
01/03/2022,0.0,0.0,10.16,5.09,0.0,0.0,0.0,0.0,0.55,0.0,0.0,48.89,10.23,10.14,5.0,5.03,4.91,0.0,0.0,0.0,0.0,100.0
01/04/2022,0.0,0.0,10.16,5.09,0.0,0.0,0.0,0.0,0.55,0.0,0.0,48.89,10.23,10.14,5.0,5.03,4.91,0.0,0.0,0.0,0.0,100.0
01/05/2022,0.0,0.0,10.16,5.09,0.0,0.0,0.0,0.0,0.55,0.0,0.0,48.89,10.23,10.14,5.0,5.03,4.91,0.0,0.0,0.0,0.0,100.0
01/06/2022,0.0,0.0,10.16,5.09,0.0,0.0,0.0,0.0,0.55,0.0,0.0,48.89,10.23,10.14,5.0,5.03,4.91,0.0,0.0,0.0,0.0,100.0
01/07/2022,0.0,0.0,9.94,5.06,0.0,0.0,0.0,0.0,0.31,0.0,0.0,49.34,10.1,9.98,5.06,4.97,5.25,0.0,0.0,0.0,0.0,100.01000000000002
01/13/2022,0.0,0.0,10.18,5.23,0.0,0.0,0.0,0.0,0.31,0.0,0.0,48.32,10.38,9.91,5.1,4.99,5.59,0.0,0.0,0.0,0.0,100.01
01/14/2022,0.0,0.0,10.11,5.14,0.0,0.0,0.0,0.0,0.31,0.0,0.0,48.38,10.32,9.94,5.09,4.99,5.72,0.0,0.0,0.0,0.0,100.0
01/17/2022,0.0,0.0,10.25,5.17,0.0,0.0,0.0,0.0,0.31,0.0,0.0,48.12,10.44,9.83,5.15,4.97,5.75,0.0,0.0,0.0,0.0,99.98999999999998
01/18/2022,0.0,0.0,10.15,5.19,0.0,0.0,0.0,0.0,0.31,0.0,0.0,47.97,10.43,9.92,5.13,4.97,5.92,0.0,0.0,0.0,0.0,99.99
01/19/2022,0.0,0.0,10.15,5.19,0.0,0.0,0.0,0.0,0.31,0.0,0.0,47.97,10.43,9.92,5.13,4.97,5.92,0.0,0.0,0.0,0.0,99.99
01/20/2022,0.0,0.0,10.15,5.19,0.0,0.0,0.0,0.0,0.31,0.0,0.0,47.97,10.43,9.92,5.13,4.97,5.92,0.0,0.0,0.0,0.0,99.99
01/21/2022,0.0,0.0,10.17,5.3,0.0,0.0,0.0,0.0,0.32,0.0,0.0,47.72,10.52,9.85,5.15,4.95,6.02,0.0,0.0,0.0,0.0,100.0
01/24/2022,0.0,0.0,10.48,5.43,0.0,0.0,0.0,0.0,0.32,0.0,0.0,47.09,10.75,9.83,5.13,4.95,6.04,0.0,0.0,0.0,0.0,100.02
01/25/2022,0.0,0.0,10.79,5.52,0.0,0.0,0.0,0.0,0.33,0.0,0.0,46.6,10.91,9.72,5.17,4.95,6.01,0.0,0.0,0.0,0.0,100.0
01/26/2022,0.0,0.0,10.79,5.52,0.0,0.0,0.0,0.0,0.33,0.0,0.0,46.6,10.91,9.72,5.17,4.95,6.01,0.0,0.0,0.0,0.0,100.0
01/27/2022,0.0,0.0,10.61,5.48,0.0,0.0,0.0,0.0,0.33,0.0,0.0,47.0,10.79,9.67,5.15,4.96,6.0,0.0,0.0,0.0,0.0,99.99
01/28/2022,0.0,0.0,10.68,5.55,0.0,0.0,0.0,0.0,0.33,0.0,0.0,46.69,10.85,9.54,5.14,4.92,6.29,0.0,0.0,0.0,0.0,99.99
01/31/2022,0.0,0.0,10.67,5.66,0.0,0.0,0.0,0.0,0.32,0.0,0.0,46.61,10.81,9.6,5.12,4.91,6.31,0.0,0.0,0.0,0.0,100.01
02/01/2022,0.0,0.0,4.98,0.0,20.16,0.0,5.03,0.0,0.28,0.0,0.0,4.93,0.0,5.07,0.0,0.0,0.0,4.96,5.03,9.61,39.97,100.02
02/02/2022,0.0,0.0,4.98,0.0,20.16,0.0,5.03,0.0,0.28,0.0,0.0,4.93,0.0,5.07,0.0,0.0,0.0,4.96,5.03,9.61,39.97,100.02
02/03/2022,0.0,0.0,4.98,0.0,20.16,0.0,5.03,0.0,0.28,0.0,0.0,4.93,0.0,5.07,0.0,0.0,0.0,4.96,5.03,9.61,39.97,100.02
02/07/2022,0.0,0.0,4.91,0.0,20.51,0.0,5.08,0.0,0.3,0.0,0.0,4.95,0.0,5.09,0.0,0.0,0.0,4.94,5.09,9.69,39.43,99.99
02/08/2022,0.0,0.0,4.87,0.0,20.57,0.0,5.1,0.0,0.38,0.0,0.0,5.11,0.0,5.17,0.0,0.0,0.0,4.93,5.07,9.75,39.05,100.0
