,ADBE,LLY,MSFT,AAPL,FB,ROG.SW,2330.TW,ACN,NOVO B.CO,TXN,ORCL,MA,NOVN.SW,NESN.SW,PEP,PM,INTC,WMT,LOW,HD,CSCO,ABBV,PG,JNJ,ASML.AS,VZ,ULVR.L,UPS,PFE,MRK,AMGN,QCOM,BMY,T,TGT,AMAT,INTU,RIO.L,005930.KS,IBM,MO,BHP.AX,SPGI,AMT,GSK.L,LMT,MMM,VALE3.SA,CSL.AX,BATS.L,GILD,LRCX,GOOG,GOOGL,INFY,939.HK,8035.T,BHP.L,7974.T,BIIB,CNR.TO,CL,ITW,MCO,PSA,IBE.MC,REGN,9433.T,—,WES.AX,APD,7741.T,REL.L,IDXX,KMB,GAZP.ME,FMG.AX,RIO.AX,AAL.L,PGR,DG,SAN.MC,KLAC,TCS.NS,VRTX,ORLY,6501.T,MRNA,LKOH.ME,RMS.PA,EBAY,TROW,SPG,9432.T,PGHN.SW,8001.T,9434.T,ALXN,TEL,CDNS,1398.HK,SWKS,GIS,MNST,EA,BNS.TO,CMI,ITX.MC,CTSH,3988.HK,MTD,FAST,PAYX,HPQ,VEEV,XLNX,AD.AS,NTES,WOW.AX,8316.T,ADYEN.AS,GMKN.ME,CSU.TO,WBA,ROK,IMB.L,6981.T,HCA,GEBN.SW,4503.T,DHI,1120.SR,4452.T,CLX,NUE,CPRT,MXIM,LYB,HSY,HINDUNILVR.NS,KR,FNV.TO,MG.TO,BBY,2914.T,PCAR,FERG.L,COLO B.CO,ODFL,FTNT,5108.T,STX,4519.T,KNEBV.HE,EVO.ST,BT.A.L,STLA.MI,WST,LOGN.SW,RACE.MI,EXPD,GRMN,TRP.TO,TSCO,TEF.MC,TSN,NTAP,ATD.B.TO,005935.KQ,VIAC,EXR,CERN,CHD,7010.SR,PNDORA.CO,600519.SS,GWW,BBVA.MC,NVR,ANET,MKTX,TER,RCI.B.TO,GIB.A.TO,3382.T,PAH3.DE,105560.KS,PPL,WPM.TO,2303.TW,UPM.HE,CE,BR,TTWO,PSN.L,8411.T,POW.TO,BA.L,1113.HK,COL.AX,6857.T,OMC,WALMEX.MX,DPZ,CHKP,FPH.NZ,SGSN.SW,POOL,SCMN.SW,7309.T,4507.T,601019.SS,ATD/A.NE,RCI/A.NE,HCLTECH.NS,Z74.SI,GMAB.CO,LEN,2412.TW,KNIN.SW,STLD,K,n/a,SUM
07/09/2021,1.2,1.17,1.1,1.1,1.09,1.08,1.06,1.04,1.03,1.03,1.02,1.01,1.0,1.0,0.99,0.99,0.99,0.98,0.98,0.97,0.97,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.91,0.9,0.89,0.88,0.88,0.86,0.85,0.84,0.84,0.84,0.81,0.79,0.74,0.71,0.67,0.66,0.65,0.62,0.61,0.56,0.55,0.54,0.52,0.49,0.48,0.48,0.47,0.46,0.46,0.45,0.45,0.43,0.43,0.42,0.42,0.41,0.4,0.39,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.57
07/12/2021,1.23,1.18,1.11,1.11,1.07,1.09,1.05,1.05,1.05,1.02,1.06,1.0,1.01,1.01,1.0,0.99,0.98,0.98,0.97,0.97,0.98,0.97,0.97,0.97,0.94,0.94,0.95,0.96,0.96,0.96,0.94,0.92,0.91,0.88,0.9,0.86,0.89,0.86,0.83,0.86,0.84,0.85,0.81,0.8,0.74,0.72,0.68,0.65,0.65,0.61,0.61,0.55,0.55,0.53,0.51,0.48,0.47,0.48,0.45,0.49,0.47,0.45,0.45,0.43,0.43,0.41,0.42,0.42,0.44,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.37,0.35,0.34,0.34,0.33,0.32,0.31,0.32,0.32,0.3,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.21,0.22,0.21,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.2,0.17,0.18,0.18,0.18,0.17,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.11,0.0,0.11,0.0,0.12,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.58
07/13/2021,1.23,1.18,1.11,1.11,1.07,1.09,1.05,1.05,1.05,1.02,1.06,1.0,1.01,1.01,1.0,0.99,0.98,0.98,0.97,0.97,0.98,0.97,0.97,0.97,0.94,0.94,0.95,0.96,0.96,0.96,0.94,0.92,0.91,0.88,0.9,0.86,0.89,0.86,0.83,0.86,0.84,0.85,0.81,0.8,0.74,0.72,0.68,0.65,0.65,0.61,0.61,0.55,0.55,0.53,0.51,0.48,0.47,0.48,0.45,0.49,0.47,0.45,0.45,0.43,0.43,0.41,0.42,0.42,0.44,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.37,0.35,0.34,0.34,0.33,0.32,0.31,0.32,0.32,0.3,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.21,0.22,0.21,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.2,0.17,0.18,0.18,0.18,0.17,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.11,0.0,0.11,0.0,0.12,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.58
07/14/2021,1.21,1.16,1.1,1.11,1.08,1.08,1.04,1.06,1.05,1.02,1.08,1.0,1.01,1.0,0.99,0.99,0.98,0.98,0.97,0.98,0.99,0.97,0.97,0.97,0.96,0.94,0.95,0.96,0.96,0.95,0.94,0.93,0.91,0.88,0.9,0.86,0.88,0.89,0.82,0.86,0.85,0.85,0.8,0.79,0.74,0.72,0.68,0.65,0.64,0.61,0.61,0.55,0.55,0.53,0.52,0.47,0.47,0.5,0.44,0.47,0.48,0.45,0.46,0.43,0.43,0.41,0.42,0.41,0.44,0.39,0.38,0.36,0.37,0.37,0.36,0.35,0.37,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.32,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.29,0.27,0.28,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.23,0.23,0.24,0.24,0.23,0.23,0.21,0.22,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.2,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.0,0.12,0.12,0.12,0.11,0.11,0.12,0.0,0.0,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.67999999999999
07/15/2021,1.2,1.17,1.09,1.11,1.08,1.09,1.05,1.05,1.04,1.03,1.07,1.0,1.02,1.01,0.99,0.98,0.99,0.98,0.98,0.98,0.97,0.97,0.96,0.96,0.97,0.94,0.95,0.96,0.96,0.94,0.94,0.94,0.91,0.88,0.91,0.87,0.88,0.89,0.82,0.85,0.85,0.87,0.79,0.8,0.74,0.71,0.68,0.66,0.65,0.61,0.61,0.56,0.55,0.54,0.51,0.44,0.47,0.5,0.45,0.46,0.47,0.45,0.45,0.43,0.44,0.41,0.41,0.41,0.35,0.39,0.38,0.36,0.37,0.36,0.35,0.35,0.38,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.32,0.3,0.3,0.3,0.29,0.3,0.28,0.3,0.3,0.28,0.29,0.27,0.27,0.26,0.26,0.25,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.24,0.22,0.23,0.21,0.22,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.19,0.19,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.2,0.17,0.18,0.19,0.18,0.18,0.18,0.19,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.13,0.15,0.13,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.0,0.11,0.12,0.0,0.0,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.59
07/16/2021,1.21,1.17,1.11,1.12,1.08,1.09,1.08,1.05,1.04,1.02,1.06,1.02,1.01,1.01,1.01,0.97,1.0,0.98,0.97,0.96,0.98,0.97,0.96,0.96,0.99,0.94,0.96,0.95,0.96,0.94,0.94,0.93,0.91,0.87,0.9,0.87,0.88,0.89,0.82,0.85,0.83,0.87,0.79,0.79,0.74,0.71,0.68,0.67,0.64,0.61,0.61,0.56,0.55,0.54,0.51,0.47,0.47,0.5,0.44,0.46,0.47,0.45,0.46,0.43,0.43,0.41,0.42,0.42,0.25,0.39,0.38,0.36,0.38,0.36,0.35,0.34,0.39,0.35,0.35,0.34,0.33,0.32,0.32,0.31,0.32,0.3,0.31,0.3,0.3,0.32,0.28,0.29,0.29,0.28,0.29,0.28,0.27,0.26,0.26,0.26,0.24,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.24,0.22,0.23,0.2,0.22,0.22,0.23,0.21,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.14,0.14,0.13,0.15,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.0,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.12,0.11,0.0,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.58999999999999
07/19/2021,1.22,1.15,1.11,1.14,1.06,1.08,1.09,1.06,1.05,1.01,1.06,1.04,0.99,0.99,1.03,0.98,0.98,0.99,0.98,0.98,0.98,0.97,0.98,0.96,0.99,0.94,0.94,0.95,0.97,0.95,0.95,0.93,0.91,0.88,0.91,0.85,0.88,0.9,0.83,0.85,0.85,0.88,0.79,0.8,0.73,0.71,0.69,0.67,0.63,0.61,0.61,0.55,0.55,0.54,0.51,0.47,0.47,0.5,0.44,0.43,0.47,0.46,0.46,0.43,0.44,0.4,0.42,0.42,0.25,0.39,0.38,0.36,0.37,0.36,0.36,0.34,0.39,0.36,0.35,0.33,0.33,0.33,0.31,0.31,0.32,0.31,0.29,0.33,0.29,0.32,0.28,0.29,0.29,0.28,0.28,0.28,0.27,0.25,0.26,0.25,0.24,0.24,0.25,0.25,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.24,0.24,0.22,0.22,0.2,0.22,0.23,0.23,0.21,0.22,0.22,0.21,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.19,0.19,0.19,0.2,0.18,0.17,0.19,0.18,0.18,0.18,0.19,0.17,0.17,0.16,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.14,0.13,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.0,0.0,0.11,0.0,0.12,0.11,0.11,0.11,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6
07/22/2021,1.23,1.18,1.11,1.11,1.05,1.1,1.05,1.06,1.08,1.01,1.08,0.99,1.0,1.02,1.05,0.99,0.97,1.0,0.97,0.98,0.99,0.97,1.0,0.96,0.96,0.95,0.96,0.96,0.99,0.95,0.96,0.93,0.91,0.87,0.92,0.83,0.88,0.84,0.82,0.84,0.85,0.86,0.8,0.81,0.73,0.71,0.68,0.65,0.65,0.6,0.62,0.54,0.55,0.53,0.51,0.48,0.46,0.48,0.44,0.43,0.46,0.46,0.46,0.44,0.44,0.41,0.43,0.42,0.26,0.39,0.37,0.36,0.37,0.37,0.37,0.33,0.39,0.35,0.33,0.33,0.34,0.31,0.31,0.31,0.33,0.31,0.29,0.4,0.28,0.31,0.29,0.29,0.27,0.28,0.29,0.28,0.28,0.25,0.26,0.26,0.24,0.24,0.26,0.25,0.25,0.23,0.24,0.23,0.23,0.23,0.24,0.24,0.23,0.21,0.23,0.2,0.22,0.23,0.23,0.21,0.22,0.21,0.21,0.2,0.21,0.19,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.19,0.2,0.18,0.17,0.19,0.19,0.22,0.18,0.17,0.18,0.19,0.18,0.18,0.19,0.17,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.15,0.14,0.16,0.15,0.16,0.14,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.14,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.0,0.12,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.56
07/23/2021,1.23,1.18,1.11,1.11,1.05,1.1,1.05,1.06,1.08,1.01,1.08,0.99,1.0,1.02,1.05,0.99,0.97,1.0,0.97,0.98,0.99,0.97,1.0,0.96,0.96,0.95,0.96,0.96,0.99,0.95,0.96,0.93,0.91,0.87,0.92,0.83,0.88,0.84,0.82,0.84,0.85,0.86,0.8,0.81,0.73,0.71,0.68,0.65,0.65,0.6,0.62,0.54,0.55,0.53,0.51,0.48,0.46,0.48,0.44,0.43,0.46,0.46,0.46,0.44,0.44,0.41,0.43,0.42,0.26,0.39,0.37,0.36,0.37,0.37,0.37,0.33,0.39,0.35,0.33,0.33,0.34,0.31,0.31,0.31,0.33,0.31,0.29,0.4,0.28,0.31,0.29,0.29,0.27,0.28,0.29,0.28,0.28,0.25,0.26,0.26,0.24,0.24,0.26,0.25,0.25,0.23,0.24,0.23,0.23,0.23,0.24,0.24,0.23,0.21,0.23,0.2,0.22,0.23,0.23,0.21,0.22,0.21,0.21,0.2,0.21,0.19,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.19,0.2,0.18,0.17,0.19,0.19,0.22,0.18,0.17,0.18,0.19,0.18,0.18,0.19,0.17,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.15,0.14,0.16,0.15,0.16,0.14,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.14,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.0,0.12,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.56
07/26/2021,1.26,1.19,1.13,1.13,1.08,1.05,1.05,1.06,1.07,0.98,1.11,1.02,1.0,0.99,1.03,0.97,0.98,0.99,0.99,0.99,1.0,0.98,0.97,0.97,1.02,0.94,0.89,0.96,1.01,0.93,0.94,0.94,0.92,0.87,0.93,0.88,0.91,0.85,0.82,0.85,0.84,0.87,0.81,0.81,0.73,0.72,0.68,0.66,0.66,0.6,0.61,0.57,0.56,0.54,0.52,0.47,0.46,0.5,0.42,0.43,0.47,0.45,0.46,0.44,0.43,0.41,0.42,0.41,0.3,0.4,0.38,0.36,0.38,0.37,0.35,0.34,0.39,0.35,0.34,0.32,0.34,0.32,0.32,0.31,0.32,0.31,0.28,0.41,0.29,0.31,0.3,0.29,0.28,0.27,0.3,0.27,0.27,0.0,0.27,0.26,0.23,0.24,0.25,0.25,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.23,0.21,0.23,0.21,0.22,0.22,0.23,0.21,0.23,0.21,0.21,0.21,0.21,0.19,0.2,0.23,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.19,0.19,0.2,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.17,0.19,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.13,0.12,0.13,0.12,0.12,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.0,0.0,0.11,0.11,0.12,0.11,0.11,0.0,0.0,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.72999999999999
