,IBM,CVS,ANTM,ENB.TO,BNS.TO,MO,GILD,CI,BMO.TO,TFC,F,CM.TO,EPD,TRP.TO,CNQ.TO,EOG,EBAY,BK,KMB,MFC.TO,WBA,ORLY,PRU,SYY,HPQ,GIS,DHI,SWK,WMB,LEN,MPLX,MCK,STT,BBY,W,NUE,KR,ET,DBK.DE,TSN,OKE,IP,ABC,DLTR,GWW,HIG,K,TSCO,PPL,STX,LB,ETR,PPL.TO,HPE,GPC,DGX,CAH,NWSA,MAS,LUMN,PHM,CTXS,SJM,AAP,XRAY,WRK,WHR,CPB,LII,HAS,GME,STLD,ALLE,GPS,CHRW,NLY,SC,CHG.BK,TPL,IRM,SNA,WSM,TPR,TAP,NWL,BPY,MMP,HSIC,RHI,UAA,WU,RS,PNW,AGNC,JNPR,KSS,RL,ARW,PII,HII,DOO.TO,JNJ,WMT,HD,PG,ADBE,VZ,CSCO,INTC,PFE,PEP,ABBV,T,MRK,COST,TXN,QCOM,PM,BMY,AMGN,LOW,MMM,AMD,EL,CL,HUM,EMR,CTAS,LVS,CDNS,TDG,ROK,VFC,SWKS,FAST,SIRI,VIACA,HSY,CERN,EIX,AMC,WDC,AMCR,ROL,BAH,CNA,RPM,STN.TO,SMG,ACI,Brookfield Business Partners LP,ARCC,OHI,DCI,LECO,JEF,Cash,YSS.V,TENO.CN,SDA.AX,BBU.UN.TO,n/a,603983.SS,UNH,AVGO,ACN,TGT,CTSH,YUM,OXY,CLX,NTAP,UI,EMN,BAP,NI,VST,JBL,BJ,PAG,TPX,ESLT.TA,M,OGE,CHE,COTY,PVH,NXST,DKS,CASY,GT,LPX,LSTR,ALGM,SSD,SUM
07/09/2021,4.21,3.64,3.18,3.16,3.03,2.98,2.93,2.85,2.56,2.55,2.0,1.97,1.81,1.8,1.69,1.68,1.61,1.53,1.52,1.47,1.4,1.38,1.37,1.32,1.3,1.24,1.13,1.12,1.1,1.07,1.05,1.03,1.0,1.0,0.99,0.98,0.98,0.98,0.91,0.9,0.86,0.81,0.8,0.78,0.77,0.75,0.74,0.73,0.73,0.7,0.69,0.69,0.68,0.64,0.62,0.59,0.57,0.51,0.51,0.51,0.5,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.45,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.37,0.37,0.37,0.34,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/12/2021,1.8,1.51,0.0,0.0,0.0,1.23,1.21,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.61,0.65,0.0,0.58,0.0,0.55,0.54,0.54,0.52,0.0,0.0,0.46,0.0,0.0,0.43,0.4,0.39,0.34,0.0,0.41,0.0,0.35,0.31,0.0,0.0,0.0,0.33,0.0,0.0,0.31,0.31,0.31,0.0,0.0,0.0,0.0,0.27,0.26,0.25,0.24,0.0,0.21,0.21,0.0,0.21,0.2,0.19,0.0,0.0,0.2,0.2,0.0,0.19,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.14,0.0,0.12,0.13,0.12,0.0,0.0,0.12,0.0,0.0,6.37,5.62,4.84,4.79,4.14,3.3,3.21,3.2,3.14,2.96,2.94,2.88,2.83,2.58,2.48,2.23,2.19,2.13,2.01,1.97,1.64,1.56,1.04,1.0,0.84,0.82,0.58,0.55,0.55,0.51,0.48,0.45,0.44,0.44,0.38,0.38,0.37,0.34,0.31,0.31,0.3,0.25,0.25,0.17,0.17,0.16,0.16,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07000000000002
07/13/2021,1.8,1.51,0.0,0.0,0.0,1.23,1.21,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.61,0.65,0.0,0.58,0.0,0.55,0.54,0.54,0.52,0.0,0.0,0.46,0.0,0.0,0.43,0.4,0.39,0.34,0.0,0.41,0.0,0.35,0.31,0.0,0.0,0.0,0.33,0.0,0.0,0.31,0.31,0.31,0.0,0.0,0.0,0.0,0.27,0.26,0.25,0.24,0.0,0.21,0.21,0.0,0.21,0.2,0.19,0.0,0.0,0.2,0.2,0.0,0.19,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.14,0.0,0.12,0.13,0.12,0.0,0.0,0.12,0.0,0.0,6.37,5.62,4.84,4.79,4.14,3.3,3.21,3.2,3.14,2.96,2.94,2.88,2.83,2.58,2.48,2.23,2.19,2.13,2.01,1.97,1.64,1.56,1.04,1.0,0.84,0.82,0.58,0.55,0.55,0.51,0.48,0.45,0.44,0.44,0.38,0.38,0.37,0.34,0.31,0.31,0.3,0.25,0.25,0.17,0.17,0.16,0.16,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07000000000002
07/14/2021,1.79,1.52,0.0,0.0,0.0,1.24,1.21,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.62,0.64,0.0,0.58,0.0,0.56,0.55,0.53,0.52,0.0,0.0,0.46,0.0,0.0,0.42,0.41,0.39,0.34,0.0,0.41,0.0,0.37,0.31,0.0,0.0,0.0,0.33,0.0,0.0,0.31,0.31,0.31,0.0,0.0,0.0,0.0,0.27,0.27,0.25,0.24,0.0,0.21,0.21,0.0,0.21,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.19,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.13,0.13,0.12,0.0,0.0,0.12,0.0,0.0,6.33,5.59,4.85,4.75,4.1,3.29,3.21,3.2,3.14,2.93,2.92,2.88,2.8,2.59,2.49,2.26,2.2,2.13,2.0,1.98,1.65,1.56,1.04,0.99,0.83,0.83,0.58,0.56,0.55,0.51,0.48,0.46,0.44,0.44,0.38,0.38,0.37,0.34,0.31,0.29,0.31,0.25,0.25,0.17,0.17,0.17,0.16,0.15,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
07/15/2021,1.78,1.53,0.0,0.0,0.0,1.25,1.21,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.62,0.64,0.0,0.58,0.0,0.57,0.55,0.52,0.51,0.0,0.0,0.46,0.0,0.0,0.43,0.42,0.39,0.33,0.0,0.41,0.0,0.37,0.3,0.0,0.0,0.0,0.33,0.0,0.0,0.31,0.31,0.31,0.0,0.0,0.0,0.0,0.27,0.27,0.25,0.24,0.0,0.21,0.21,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.19,0.0,0.0,0.0,0.0,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.14,0.0,0.13,0.13,0.12,0.0,0.0,0.12,0.0,0.0,6.33,5.59,4.85,4.76,4.07,3.29,3.18,3.25,3.15,2.93,2.94,2.88,2.78,2.56,2.51,2.28,2.18,2.14,1.99,1.98,1.64,1.56,1.05,0.99,0.84,0.84,0.59,0.55,0.54,0.51,0.48,0.46,0.45,0.44,0.38,0.39,0.37,0.34,0.31,0.27,0.31,0.25,0.25,0.17,0.17,0.16,0.16,0.14,0.13,0.13,0.12,0.13,0.12,0.11,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/16/2021,1.78,1.53,0.0,0.0,0.0,1.23,1.21,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.62,0.64,0.0,0.58,0.0,0.56,0.53,0.5,0.51,0.0,0.0,0.45,0.0,0.0,0.43,0.41,0.39,0.32,0.0,0.41,0.0,0.36,0.3,0.0,0.0,0.0,0.32,0.0,0.0,0.31,0.31,0.31,0.0,0.0,0.0,0.0,0.25,0.26,0.25,0.24,0.0,0.21,0.21,0.0,0.2,0.2,0.19,0.0,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.12,0.13,0.12,0.0,0.0,0.11,0.0,0.0,6.34,5.63,4.8,4.77,4.11,3.3,3.2,3.27,3.16,3.01,2.96,2.87,2.8,2.56,2.51,2.26,2.17,2.14,2.0,1.98,1.65,1.56,1.06,0.99,0.85,0.83,0.57,0.55,0.55,0.51,0.48,0.46,0.44,0.43,0.38,0.38,0.37,0.34,0.31,0.25,0.31,0.25,0.25,0.17,0.17,0.16,0.16,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/19/2021,1.78,1.53,0.0,0.0,0.0,1.25,1.21,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.61,0.65,0.0,0.57,0.0,0.56,0.53,0.5,0.52,0.0,0.0,0.44,0.0,0.0,0.43,0.4,0.4,0.32,0.0,0.42,0.0,0.36,0.3,0.0,0.0,0.0,0.32,0.0,0.0,0.31,0.31,0.31,0.0,0.0,0.0,0.0,0.26,0.26,0.25,0.23,0.0,0.21,0.21,0.0,0.2,0.21,0.19,0.0,0.0,0.2,0.19,0.0,0.18,0.0,0.0,0.0,0.0,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.12,0.13,0.11,0.0,0.0,0.11,0.0,0.0,6.29,5.65,4.87,4.83,4.11,3.32,3.21,3.2,3.18,3.04,2.94,2.88,2.8,2.58,2.47,2.26,2.2,2.14,2.01,1.99,1.67,1.5,1.07,1.0,0.86,0.84,0.55,0.54,0.54,0.5,0.48,0.44,0.45,0.44,0.37,0.38,0.37,0.34,0.31,0.23,0.29,0.25,0.25,0.17,0.17,0.16,0.16,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,1.77,1.52,0.0,0.0,0.0,1.24,1.23,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.6,0.67,0.0,0.57,0.0,0.54,0.52,0.5,0.53,0.0,0.0,0.43,0.0,0.0,0.43,0.4,0.39,0.32,0.0,0.45,0.0,0.35,0.3,0.0,0.0,0.0,0.33,0.0,0.0,0.32,0.3,0.31,0.0,0.0,0.0,0.0,0.26,0.26,0.26,0.23,0.0,0.21,0.2,0.0,0.2,0.21,0.19,0.0,0.0,0.19,0.2,0.0,0.18,0.0,0.0,0.0,0.0,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.12,0.13,0.11,0.0,0.0,0.11,0.0,0.0,6.3,5.7,4.86,4.93,4.13,3.32,3.21,3.16,3.22,3.09,2.92,2.85,2.8,2.63,2.47,2.24,2.19,2.13,2.03,1.98,1.64,1.51,1.05,1.02,0.85,0.81,0.57,0.52,0.55,0.48,0.48,0.42,0.44,0.44,0.37,0.37,0.38,0.33,0.31,0.22,0.28,0.25,0.26,0.17,0.17,0.16,0.16,0.14,0.14,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/26/2021,1.78,1.54,0.0,0.0,0.0,1.23,1.22,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.62,0.64,0.0,0.57,0.0,0.55,0.52,0.49,0.51,0.0,0.0,0.43,0.0,0.0,0.45,0.42,0.39,0.32,0.0,0.43,0.0,0.36,0.3,0.0,0.0,0.0,0.33,0.0,0.0,0.3,0.3,0.31,0.0,0.0,0.0,0.0,0.26,0.26,0.26,0.24,0.0,0.21,0.2,0.0,0.2,0.2,0.19,0.0,0.0,0.19,0.19,0.0,0.18,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.14,0.0,0.12,0.13,0.11,0.0,0.0,0.12,0.0,0.0,6.34,5.63,4.92,4.78,4.22,3.28,3.25,3.2,3.29,3.03,2.94,2.83,2.74,2.61,2.4,2.27,2.15,2.15,1.99,1.99,1.63,1.57,1.07,0.98,0.85,0.83,0.58,0.51,0.56,0.5,0.49,0.45,0.45,0.44,0.38,0.37,0.37,0.33,0.3,0.24,0.27,0.25,0.26,0.17,0.17,0.16,0.16,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/27/2021,1.77,1.54,0.0,0.0,0.0,1.23,1.22,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.62,0.64,0.0,0.57,0.0,0.55,0.52,0.5,0.51,0.0,0.0,0.43,0.0,0.0,0.45,0.42,0.4,0.31,0.0,0.42,0.0,0.36,0.3,0.0,0.0,0.0,0.33,0.0,0.0,0.3,0.3,0.31,0.0,0.0,0.0,0.0,0.26,0.26,0.26,0.24,0.0,0.21,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.19,0.19,0.0,0.18,0.0,0.0,0.0,0.0,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.14,0.0,0.12,0.13,0.11,0.0,0.0,0.12,0.0,0.0,6.35,5.63,4.97,4.81,4.2,3.25,3.27,3.01,3.28,3.05,2.93,2.82,2.76,2.63,2.42,2.29,2.15,2.14,2.0,2.02,1.63,1.57,1.09,0.99,0.85,0.83,0.58,0.49,0.57,0.5,0.49,0.46,0.45,0.44,0.37,0.37,0.37,0.33,0.3,0.23,0.27,0.24,0.26,0.17,0.17,0.16,0.16,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
