,CRWD,ZS,OKTA,ACN,CSCO,NET,VRNS,SPLK,FTNT,CYBR,PANW,VRSN,JNPR,BAH,AKAM,FFIV,SAIL,PFPT,CHKP,RPD,VMW,LDOS,FEYE,BA.L,QLYS,TENB,SAIC,4704.T,MIME,HO.PA,AVST.L,MANT,RDWR,INFY,ATEN,RBBN,ZIXI,ULE.L,OSPN,US Dollar,TUFN,n/a,MNDT,SUM
07/09/2021,6.61,6.42,6.22,6.0,5.55,3.68,3.46,3.27,3.19,3.0,2.99,2.92,2.86,2.85,2.84,2.83,2.81,2.79,2.76,2.76,2.75,2.74,2.63,2.31,2.07,1.88,1.79,1.47,1.43,1.29,0.86,0.63,0.44,0.39,0.32,0.24,0.24,0.23,0.22,0.13,0.12,0.0,0.0,99.99
07/12/2021,6.53,6.44,6.21,6.08,5.57,3.64,3.4,3.13,3.22,3.03,2.95,2.91,2.88,2.87,2.83,2.82,2.74,2.76,2.9,2.81,2.77,2.8,2.62,2.35,2.05,1.83,1.81,1.46,1.47,1.31,0.84,0.63,0.44,0.39,0.32,0.24,0.24,0.22,0.22,0.13,0.12,0.0,0.0,99.98000000000002
07/13/2021,6.53,6.44,6.21,6.08,5.57,3.64,3.4,3.13,3.22,3.03,2.95,2.91,2.88,2.87,2.83,2.82,2.74,2.76,2.9,2.81,2.77,2.8,2.62,2.35,2.05,1.83,1.81,1.46,1.47,1.31,0.84,0.63,0.44,0.39,0.32,0.24,0.24,0.22,0.22,0.13,0.12,0.0,0.0,99.98000000000002
08/03/2021,6.35,6.76,6.2,6.27,5.83,4.02,3.51,3.26,3.47,3.12,3.06,2.74,2.97,2.81,2.92,3.1,2.74,0.0,3.02,3.16,2.71,2.88,2.51,2.55,1.98,1.89,1.8,1.48,1.46,1.31,1.0,0.64,0.46,0.41,0.35,0.23,0.25,0.3,0.22,0.11,0.13,0.0,0.0,99.98000000000002
08/04/2021,6.35,6.76,6.2,6.27,5.83,4.02,3.51,3.26,3.47,3.12,3.06,2.74,2.97,2.81,2.92,3.1,2.74,0.0,3.02,3.16,2.71,2.88,2.51,2.55,1.98,1.89,1.8,1.48,1.46,1.31,1.0,0.64,0.46,0.41,0.35,0.23,0.25,0.3,0.22,0.11,0.13,0.0,0.0,99.98000000000002
08/05/2021,6.33,6.82,6.12,6.21,5.81,4.0,3.48,3.24,3.61,3.12,3.05,2.73,2.95,2.8,2.88,3.09,2.77,0.0,2.98,3.19,2.71,2.89,2.52,2.57,1.99,1.98,1.79,1.5,1.45,1.31,1.01,0.64,0.45,0.41,0.36,0.22,0.25,0.3,0.22,0.11,0.13,0.0,0.0,99.99
09/03/2021,6.69,7.58,6.26,6.31,5.9,3.89,3.76,3.33,3.81,3.51,3.36,2.6,2.91,2.55,2.62,2.9,2.44,0.0,2.84,3.2,2.49,2.52,2.15,2.37,2.17,1.86,1.65,1.49,1.75,1.2,0.97,0.55,0.46,0.42,0.37,0.2,0.25,0.29,0.16,0.0,0.13,0.09,0.0,100.0
09/07/2021,6.51,7.69,6.31,6.32,5.83,4.13,3.92,3.4,3.8,3.49,3.35,2.6,2.86,2.54,2.59,2.85,2.46,0.0,2.76,3.23,2.39,2.5,2.15,2.33,2.18,1.93,1.68,1.5,1.73,1.18,0.95,0.54,0.48,0.42,0.36,0.2,0.25,0.28,0.16,0.0,0.13,0.04,0.0,100.02
09/08/2021,6.51,7.69,6.31,6.32,5.83,4.13,3.92,3.4,3.8,3.49,3.35,2.6,2.86,2.54,2.59,2.85,2.46,0.0,2.76,3.23,2.39,2.5,2.15,2.33,2.18,1.93,1.68,1.5,1.73,1.18,0.95,0.54,0.48,0.42,0.36,0.2,0.25,0.28,0.16,0.0,0.13,0.04,0.0,100.02
09/14/2021,6.32,7.47,6.12,6.5,5.87,4.17,3.84,3.4,3.81,3.44,3.47,2.7,2.83,2.57,2.63,2.93,2.41,0.0,2.78,3.16,2.4,2.54,2.18,2.35,2.16,1.96,1.67,1.58,1.73,1.18,0.97,0.55,0.48,0.41,0.37,0.19,0.23,0.29,0.16,0.0,0.13,0.05,0.0,100.0
09/23/2021,5.65,2.99,5.91,6.09,5.84,3.25,2.95,2.96,2.91,3.01,6.35,3.05,2.93,3.01,2.96,3.06,2.98,0.0,2.82,3.01,2.88,2.9,3.01,0.0,2.61,3.12,2.23,2.53,2.92,1.93,0.0,0.79,0.67,0.77,0.61,0.21,0.22,0.0,0.37,0.0,0.24,0.25,0.0,99.99
09/24/2021,5.59,3.03,5.91,6.09,5.79,3.34,3.03,3.0,2.94,3.02,6.35,3.06,2.93,2.95,2.92,3.0,3.0,0.0,2.78,3.02,2.87,2.87,3.01,0.0,2.63,3.15,2.21,2.5,2.96,1.94,0.0,0.76,0.67,0.79,0.62,0.2,0.22,0.0,0.38,0.0,0.24,0.25,0.0,100.01999999999998
09/27/2021,5.65,3.04,5.86,6.16,5.81,3.4,3.01,3.02,2.98,3.01,6.34,3.03,2.94,2.9,2.9,3.01,2.98,0.0,2.78,2.99,2.89,2.87,3.04,0.0,2.65,3.17,2.21,2.4,2.89,1.94,0.0,0.76,0.66,0.79,0.63,0.21,0.22,0.0,0.38,0.0,0.25,0.24,0.0,100.00999999999998
09/28/2021,5.62,3.03,5.8,6.08,5.8,3.26,2.95,2.98,2.98,3.03,6.41,3.04,2.97,2.91,2.93,3.02,2.95,0.0,2.82,3.02,2.95,2.91,3.01,0.0,2.63,3.27,2.22,2.43,2.88,1.94,0.0,0.77,0.67,0.78,0.63,0.21,0.23,0.0,0.38,0.0,0.24,0.24,0.0,99.98999999999998
09/29/2021,5.62,3.03,5.8,6.08,5.8,3.26,2.95,2.98,2.98,3.03,6.41,3.04,2.97,2.91,2.93,3.02,2.95,0.0,2.82,3.02,2.95,2.91,3.01,0.0,2.63,3.27,2.22,2.43,2.88,1.94,0.0,0.77,0.67,0.78,0.63,0.21,0.23,0.0,0.38,0.0,0.24,0.24,0.0,99.98999999999998
10/04/2021,5.52,2.97,5.69,6.0,5.82,2.95,2.78,2.99,2.93,2.97,6.56,2.99,3.0,3.06,2.92,3.08,2.89,0.0,2.84,2.94,3.15,3.09,3.09,0.0,2.58,3.28,2.32,2.51,2.88,2.02,0.0,0.81,0.66,0.77,0.61,0.22,0.22,0.0,0.4,0.0,0.23,0.26,0.0,100.0
10/05/2021,5.54,2.95,5.64,6.02,5.83,2.97,2.81,2.96,2.95,2.96,6.59,2.98,3.01,3.08,2.91,3.09,2.89,0.0,2.83,2.92,3.18,3.1,3.07,0.0,2.55,3.28,2.31,2.47,2.91,2.02,0.0,0.82,0.66,0.77,0.61,0.22,0.22,0.0,0.4,0.0,0.23,0.25,0.0,100.0
10/12/2021,5.41,2.97,5.38,5.99,5.79,3.59,2.66,3.06,3.02,3.03,6.63,2.95,3.07,3.06,2.8,3.06,2.92,0.0,2.88,2.96,3.08,3.13,0.0,0.0,2.5,3.38,2.35,2.38,2.79,2.0,0.0,0.83,0.65,0.75,0.6,0.22,0.23,0.0,0.41,0.0,0.23,0.25,3.02,100.03
10/15/2021,5.52,3.06,5.47,5.97,5.64,3.83,2.66,3.12,2.98,3.08,6.72,2.9,3.0,3.0,2.75,2.98,2.93,0.0,2.92,2.98,3.02,3.07,0.0,0.0,2.48,3.38,2.33,2.35,2.76,1.95,0.0,0.83,0.63,0.74,0.58,0.21,0.23,0.0,0.41,0.0,0.23,0.25,3.01,99.97
10/25/2021,5.83,3.16,5.68,5.94,5.44,4.34,2.69,3.18,3.06,3.16,6.35,2.88,2.83,2.92,2.76,2.97,2.89,0.0,2.84,2.96,3.19,2.98,0.0,0.0,2.46,3.37,2.26,2.28,2.83,1.8,0.0,0.81,0.63,0.74,0.57,0.21,0.24,0.0,0.41,0.0,0.21,0.26,2.85,99.98
