,AMT,PLD,CCI,EQIX,PSA,SPG,DLR,SBAC,WELL,AVB,CBRE,EQR,WY,ARE,O,EXR,VTR,INVH,ESS,MAA,DRE,BXP,PEAK,SUI,VICI,UDR,CPT,ELS,WPC,IRM,HST,MPW,AMH,REG,JLL,VER,GLPI,CUBE,LAMR,KIM,FRT,STOR,OHI,CONE,NNN,LSI,COLD,VNO,AIRC,KRC,REXR,BRX,FR,ACC,EGP,SLG,CBI.MI,STAG,RDFN,HTA,MGP,DEI,CUZ,SRC,COR,PK,RYN,HIW,QTS,TRNO,HPP,RHP,EPR,HHC,DBRG,WRI,JBGS,PCH,SBRA,HR,OUT,ADC,DOC,APLE,NSA,PEB,EQC,LXP,PSB,OFC,EPRT,NHI,SHO,RLJ,RPAI,SITC,KW,UE,BDN,MAC,RLGY,ROIC,EXPI,PDM,XHR,SVC,NMRK,KRG,IRT,CTRE,CXP,SKT,UNIT,CWK,MNR,AAT,ESRT,FCPT,DRH,PGRE,WRE,AKR,GNL,ILPT,JOE,STAR,DEA,CBI.MI.1,CLI,OPI,ALEX,RPT,LTC,NXRT,CHCT,INN,SAFE,GTY,UMH,GMRE,MMI,DHC,AFIN,AIV,CSR,GOOD,AHH,CLDT,SRG,CIO,RMR,UBA,UHT,CTT,GEO,FPH,RMAX,ALX,FOR,OLP,BFS,FSP,NTST,BNL,FRPH,OPEN,TRC,CBI.MI.2,Dj Us Real Estate Sep21 Xcbt 20210917,Ss Inst Treas Plus Mm Fund Tru Ss Inst Treas Plus Mm Fund Tru,Us Dollar,SUM
07/09/2021,8.07,5.91,5.41,4.19,3.26,2.9,2.72,2.45,2.41,2.01,1.98,1.94,1.75,1.57,1.56,1.49,1.47,1.44,1.37,1.34,1.22,1.18,1.15,1.13,1.04,1.01,0.91,0.89,0.88,0.86,0.85,0.82,0.76,0.74,0.7,0.7,0.69,0.65,0.64,0.63,0.6,0.59,0.58,0.58,0.57,0.55,0.55,0.52,0.51,0.51,0.5,0.48,0.47,0.46,0.46,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.36,0.36,0.35,0.34,0.33,0.32,0.32,0.31,0.29,0.29,0.29,0.29,0.29,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,99.97
07/12/2021,8.15,5.97,5.46,4.29,3.28,2.79,2.76,2.49,2.39,2.03,1.95,1.95,1.76,1.58,1.56,1.52,1.46,1.46,1.38,1.37,1.24,1.15,1.17,1.16,1.02,1.02,0.92,0.91,0.89,0.85,0.81,0.8,0.77,0.72,0.68,0.7,0.68,0.65,0.64,0.62,0.57,0.59,0.57,0.59,0.56,0.56,0.55,0.51,0.52,0.5,0.51,0.47,0.47,0.47,0.46,0.4,0.0,0.41,0.4,0.4,0.39,0.39,0.38,0.35,0.36,0.32,0.35,0.32,0.32,0.32,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.23,0.25,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.18,0.19,0.18,0.18,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.11,0.1,0.1,0.09,0.1,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.42,0.14,0.03,99.99
07/13/2021,8.15,5.97,5.46,4.29,3.28,2.79,2.76,2.49,2.39,2.03,1.95,1.95,1.76,1.58,1.56,1.52,1.46,1.46,1.38,1.37,1.24,1.15,1.17,1.16,1.02,1.02,0.92,0.91,0.89,0.85,0.81,0.8,0.77,0.72,0.68,0.7,0.68,0.65,0.64,0.62,0.57,0.59,0.57,0.59,0.56,0.56,0.55,0.51,0.52,0.5,0.51,0.47,0.47,0.47,0.46,0.4,0.0,0.41,0.4,0.4,0.39,0.39,0.38,0.35,0.36,0.32,0.35,0.32,0.32,0.32,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.23,0.25,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.18,0.19,0.18,0.18,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.11,0.1,0.1,0.09,0.1,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.42,0.14,0.03,99.99
07/14/2021,8.06,6.0,5.42,4.2,3.28,2.84,2.76,2.45,2.4,2.05,1.94,1.98,1.79,1.59,1.55,1.52,1.47,1.48,1.4,1.39,1.25,1.17,1.17,1.16,1.03,1.03,0.93,0.91,0.9,0.86,0.83,0.79,0.78,0.73,0.69,0.7,0.68,0.66,0.65,0.63,0.58,0.58,0.58,0.59,0.56,0.56,0.55,0.51,0.52,0.51,0.5,0.48,0.47,0.47,0.46,0.4,0.0,0.41,0.4,0.4,0.39,0.39,0.39,0.35,0.36,0.33,0.35,0.33,0.32,0.32,0.3,0.29,0.28,0.28,0.28,0.29,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.24,0.25,0.23,0.22,0.22,0.22,0.22,0.21,0.2,0.2,0.18,0.19,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.0,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.32,0.12,0.0,100.0
07/15/2021,8.03,6.04,5.41,4.22,3.27,2.83,2.77,2.43,2.41,2.07,1.92,1.98,1.77,1.58,1.55,1.52,1.48,1.47,1.4,1.39,1.25,1.17,1.17,1.15,1.04,1.03,0.93,0.91,0.9,0.86,0.82,0.78,0.78,0.74,0.68,0.7,0.68,0.66,0.64,0.63,0.59,0.59,0.58,0.59,0.56,0.56,0.55,0.51,0.52,0.51,0.5,0.48,0.47,0.47,0.46,0.41,0.0,0.42,0.38,0.39,0.39,0.39,0.39,0.35,0.36,0.33,0.35,0.33,0.31,0.32,0.3,0.3,0.28,0.27,0.28,0.29,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.23,0.25,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.0,0.11,0.1,0.1,0.09,0.09,0.1,0.1,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.31,0.11,0.02,99.97
07/16/2021,8.12,6.05,5.42,4.25,3.29,2.79,2.77,2.46,2.43,2.07,1.89,1.98,1.74,1.59,1.56,1.51,1.49,1.48,1.41,1.4,1.25,1.17,1.17,1.16,1.03,1.04,0.94,0.91,0.9,0.87,0.8,0.78,0.78,0.73,0.68,0.7,0.68,0.66,0.64,0.63,0.58,0.58,0.57,0.58,0.56,0.56,0.55,0.5,0.52,0.51,0.5,0.47,0.47,0.47,0.46,0.4,0.0,0.42,0.37,0.39,0.39,0.39,0.39,0.35,0.36,0.32,0.35,0.33,0.32,0.32,0.3,0.3,0.29,0.27,0.27,0.28,0.27,0.26,0.27,0.27,0.26,0.25,0.24,0.23,0.25,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.18,0.19,0.18,0.17,0.17,0.17,0.16,0.15,0.16,0.15,0.16,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.11,0.13,0.12,0.0,0.11,0.1,0.1,0.09,0.09,0.1,0.1,0.08,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.31,0.12,0.01,99.92
07/19/2021,8.13,6.06,5.42,4.27,3.3,2.76,2.78,2.47,2.46,2.09,1.88,2.01,1.73,1.6,1.56,1.51,1.49,1.47,1.43,1.41,1.26,1.16,1.19,1.17,1.03,1.05,0.95,0.92,0.91,0.86,0.79,0.79,0.79,0.73,0.68,0.71,0.68,0.66,0.62,0.63,0.58,0.58,0.57,0.59,0.57,0.56,0.55,0.5,0.53,0.51,0.51,0.47,0.48,0.48,0.46,0.39,0.0,0.42,0.35,0.4,0.39,0.39,0.39,0.35,0.36,0.32,0.35,0.34,0.32,0.32,0.3,0.3,0.29,0.27,0.27,0.28,0.28,0.26,0.27,0.27,0.25,0.25,0.24,0.23,0.26,0.22,0.22,0.22,0.22,0.23,0.21,0.2,0.19,0.18,0.19,0.18,0.17,0.17,0.17,0.16,0.15,0.16,0.14,0.16,0.15,0.14,0.14,0.14,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.11,0.14,0.12,0.0,0.11,0.11,0.1,0.09,0.09,0.1,0.09,0.08,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.18,0.11,0.01,100.04
07/20/2021,8.17,6.08,5.45,4.26,3.3,2.72,2.78,2.48,2.49,2.1,1.87,2.02,1.7,1.62,1.57,1.51,1.5,1.48,1.43,1.42,1.26,1.15,1.2,1.18,1.02,1.06,0.95,0.93,0.91,0.85,0.77,0.8,0.79,0.72,0.68,0.71,0.68,0.66,0.62,0.62,0.58,0.59,0.58,0.58,0.57,0.56,0.56,0.49,0.53,0.5,0.51,0.46,0.48,0.48,0.47,0.38,0.0,0.42,0.35,0.4,0.39,0.39,0.4,0.35,0.36,0.31,0.34,0.33,0.32,0.32,0.3,0.29,0.29,0.26,0.26,0.28,0.28,0.26,0.27,0.27,0.24,0.25,0.25,0.23,0.26,0.22,0.22,0.22,0.22,0.23,0.21,0.21,0.19,0.18,0.19,0.18,0.17,0.17,0.17,0.15,0.15,0.16,0.14,0.16,0.15,0.14,0.14,0.14,0.16,0.15,0.14,0.13,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.11,0.14,0.12,0.0,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.08,0.09,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.18,0.12,0.01,100.04
