,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,JPM,TSLA,JNJ,UNH,V,NVDA,HD,PG,BAC,DIS,MA,PYPL,CMCSA,XOM,ADBE,INTC,VZ,CSCO,PFE,NFLX,KO,T,CRM,PEP,ABT,CVX,ABBV,WMT,MRK,AVGO,TMO,ACN,WFC,TXN,MCD,MDT,NKE,LLY,COST,C,HON,DHR,LIN,UPS,QCOM,UNP,PM,BMY,ORCL,NEE,LOW,AMGN,SBUX,BA,CAT,BLK,IBM,MS,AMAT,RTX,GS,GE,AMT,MMM,TGT,CVS,INTU,AXP,DE,SCHW,ANTM,CHTR,ISRG,BKNG,AMD,LMT,MU,LRCX,NOW,FIS,MO,SPGI,CI,MDLZ,SYK,PLD,ADP,ZTS,TFC,GILD,USB,PNC,SQ,TJX,CCI,TMUS,CME,FDX,CB,CSX,COP,ATVI,GM,DUK,ITW,COF,NSC,CL,SHW,UBER,MMC,BDX,EL,FISV,SO,APD,EQIX,ADSK,ICE,D,FCX,BSX,ADI,ILMN,WM,EW,NEM,ETN,ZM,PGR,GPN,AON,HCA,NOC,EMR,F,HUM,MCO,VRTX,ECL,MRNA,DOW,DG,MET,KLAC,REGN,JCI,TWLO,GD,IDXX,ROP,EOG,ALGN,LHX,IQV,AIG,DD,TWTR,TT,KMB,ROST,EXC,SLB,TROW,AEP,PSA,PPG,CNC,DLR,PRU,A,SPG,BAX,INFO,BK,ALL,WDAY,SRE,EA,BIIB,TRV,APTV,MPC,CARR,EBAY,PH,VEEV,SYY,MCHP,APH,AFL,STZ,MAR,BX,NXPI,DOCU,ROKU,MRVL,CMG,MTCH,PINS,PLTR,MSCI,SNPS,LULU,DXCM,ALXN,TEAM,ORLY,CRWD,CDNS,PANW,FTNT,RMD,-,SNOW,MRVL.UW,SUM
07/09/2021,5.02,4.75,3.47,2.01,1.79,1.78,1.38,1.26,1.22,1.13,0.99,0.98,0.97,0.87,0.83,0.83,0.82,0.81,0.78,0.66,0.63,0.62,0.6,0.59,0.57,0.55,0.54,0.54,0.53,0.53,0.52,0.51,0.51,0.51,0.5,0.49,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
07/12/2021,5.02,4.75,3.47,2.01,1.79,1.78,1.38,1.26,1.22,1.13,0.99,0.98,0.97,0.87,0.83,0.83,0.82,0.81,0.78,0.66,0.63,0.62,0.6,0.59,0.57,0.55,0.54,0.54,0.53,0.53,0.52,0.51,0.51,0.51,0.5,0.49,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
07/13/2021,5.02,4.75,3.47,2.01,1.79,1.78,1.38,1.26,1.22,1.13,0.99,0.98,0.97,0.87,0.83,0.83,0.82,0.81,0.78,0.66,0.63,0.62,0.6,0.59,0.57,0.55,0.54,0.54,0.53,0.53,0.52,0.51,0.51,0.51,0.5,0.49,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
07/14/2021,5.02,4.75,3.47,2.01,1.79,1.78,1.38,1.26,1.22,1.13,0.99,0.98,0.97,0.87,0.83,0.83,0.82,0.81,0.78,0.66,0.63,0.62,0.6,0.59,0.57,0.55,0.54,0.54,0.53,0.53,0.52,0.51,0.51,0.51,0.5,0.49,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
07/15/2021,5.02,4.75,3.47,2.01,1.79,1.78,1.38,1.26,1.22,1.13,0.99,0.98,0.97,0.87,0.83,0.83,0.82,0.81,0.78,0.66,0.63,0.62,0.6,0.59,0.57,0.55,0.54,0.54,0.53,0.53,0.52,0.51,0.51,0.51,0.5,0.49,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
07/16/2021,5.02,4.75,3.47,2.01,1.79,1.78,1.38,1.26,1.22,1.13,0.99,0.98,0.97,0.87,0.83,0.83,0.82,0.81,0.78,0.66,0.63,0.62,0.6,0.59,0.57,0.55,0.54,0.54,0.53,0.53,0.52,0.51,0.51,0.51,0.5,0.49,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
07/19/2021,5.23,4.96,3.63,2.02,1.8,1.72,1.27,1.14,1.28,1.06,0.92,0.96,1.16,0.83,0.8,0.76,0.78,0.78,0.83,0.63,0.65,0.68,0.55,0.56,0.54,0.53,0.55,0.51,0.5,0.53,0.5,0.49,0.49,0.48,0.49,0.48,0.46,0.48,0.46,0.46,0.43,0.42,0.41,0.47,0.47,0.43,0.36,0.37,0.41,0.0,0.37,0.39,0.36,0.38,0.36,0.33,0.35,0.34,0.34,0.32,0.31,0.29,0.3,0.32,0.31,0.32,0.31,0.3,0.29,0.3,0.28,0.29,0.27,0.3,0.26,0.24,0.28,0.23,0.23,0.26,0.22,0.28,0.23,0.23,0.23,0.26,0.21,0.21,0.24,0.2,0.21,0.22,0.21,0.21,0.22,0.18,0.21,0.19,0.2,0.23,0.2,0.2,0.21,0.19,0.18,0.17,0.18,0.2,0.18,0.2,0.18,0.17,0.17,0.16,0.17,0.16,0.2,0.17,0.17,0.18,0.16,0.16,0.15,0.17,0.16,0.16,0.14,0.13,0.15,0.15,0.17,0.14,0.16,0.12,0.14,0.2,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.19,0.12,0.13,0.11,0.12,0.14,0.12,0.16,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.1,0.1,0.0,0.11,0.1,0.0,0.1,0.1,0.0,0.11,0.1,0.1,0.13,0.0,0.1,0.0,0.1,0.12,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.14,0.13,0.13,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10000000000001
07/20/2021,5.23,4.96,3.63,2.02,1.8,1.72,1.27,1.14,1.28,1.06,0.92,0.96,1.16,0.83,0.8,0.76,0.78,0.78,0.83,0.63,0.65,0.68,0.55,0.56,0.54,0.53,0.55,0.51,0.5,0.53,0.5,0.49,0.49,0.48,0.49,0.48,0.46,0.48,0.46,0.46,0.43,0.42,0.41,0.47,0.47,0.43,0.36,0.37,0.41,0.0,0.37,0.39,0.36,0.38,0.36,0.33,0.35,0.34,0.34,0.32,0.31,0.29,0.3,0.32,0.31,0.32,0.31,0.3,0.29,0.3,0.28,0.29,0.27,0.3,0.26,0.24,0.28,0.23,0.23,0.26,0.22,0.28,0.23,0.23,0.23,0.26,0.21,0.21,0.24,0.2,0.21,0.22,0.21,0.21,0.22,0.18,0.21,0.19,0.2,0.23,0.2,0.2,0.21,0.19,0.18,0.17,0.18,0.2,0.18,0.2,0.18,0.17,0.17,0.16,0.17,0.16,0.2,0.17,0.17,0.18,0.16,0.16,0.15,0.17,0.16,0.16,0.14,0.13,0.15,0.15,0.17,0.14,0.16,0.12,0.14,0.2,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.19,0.12,0.13,0.11,0.12,0.14,0.12,0.16,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.1,0.1,0.0,0.11,0.1,0.0,0.1,0.1,0.0,0.11,0.1,0.1,0.13,0.0,0.1,0.0,0.1,0.12,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.14,0.13,0.13,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10000000000001
07/21/2021,5.23,4.96,3.63,2.02,1.8,1.72,1.27,1.14,1.28,1.06,0.92,0.96,1.16,0.83,0.8,0.76,0.78,0.78,0.83,0.63,0.65,0.68,0.55,0.56,0.54,0.53,0.55,0.51,0.5,0.53,0.5,0.49,0.49,0.48,0.49,0.48,0.46,0.48,0.46,0.46,0.43,0.42,0.41,0.47,0.47,0.43,0.36,0.37,0.41,0.0,0.37,0.39,0.36,0.38,0.36,0.33,0.35,0.34,0.34,0.32,0.31,0.29,0.3,0.32,0.31,0.32,0.31,0.3,0.29,0.3,0.28,0.29,0.27,0.3,0.26,0.24,0.28,0.23,0.23,0.26,0.22,0.28,0.23,0.23,0.23,0.26,0.21,0.21,0.24,0.2,0.21,0.22,0.21,0.21,0.22,0.18,0.21,0.19,0.2,0.23,0.2,0.2,0.21,0.19,0.18,0.17,0.18,0.2,0.18,0.2,0.18,0.17,0.17,0.16,0.17,0.16,0.2,0.17,0.17,0.18,0.16,0.16,0.15,0.17,0.16,0.16,0.14,0.13,0.15,0.15,0.17,0.14,0.16,0.12,0.14,0.2,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.19,0.12,0.13,0.11,0.12,0.14,0.12,0.16,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.1,0.1,0.0,0.11,0.1,0.0,0.1,0.1,0.0,0.11,0.1,0.1,0.13,0.0,0.1,0.0,0.1,0.12,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.14,0.13,0.13,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10000000000001
07/22/2021,5.23,4.96,3.63,2.02,1.8,1.72,1.27,1.14,1.28,1.06,0.92,0.96,1.16,0.83,0.8,0.76,0.78,0.78,0.83,0.63,0.65,0.68,0.55,0.56,0.54,0.53,0.55,0.51,0.5,0.53,0.5,0.49,0.49,0.48,0.49,0.48,0.46,0.48,0.46,0.46,0.43,0.42,0.41,0.47,0.47,0.43,0.36,0.37,0.41,0.0,0.37,0.39,0.36,0.38,0.36,0.33,0.35,0.34,0.34,0.32,0.31,0.29,0.3,0.32,0.31,0.32,0.31,0.3,0.29,0.3,0.28,0.29,0.27,0.3,0.26,0.24,0.28,0.23,0.23,0.26,0.22,0.28,0.23,0.23,0.23,0.26,0.21,0.21,0.24,0.2,0.21,0.22,0.21,0.21,0.22,0.18,0.21,0.19,0.2,0.23,0.2,0.2,0.21,0.19,0.18,0.17,0.18,0.2,0.18,0.2,0.18,0.17,0.17,0.16,0.17,0.16,0.2,0.17,0.17,0.18,0.16,0.16,0.15,0.17,0.16,0.16,0.14,0.13,0.15,0.15,0.17,0.14,0.16,0.12,0.14,0.2,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.19,0.12,0.13,0.11,0.12,0.14,0.12,0.16,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.1,0.1,0.0,0.11,0.1,0.0,0.1,0.1,0.0,0.11,0.1,0.1,0.13,0.0,0.1,0.0,0.1,0.12,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.14,0.13,0.13,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.10000000000001
