,NOVOB.CO,DSV.CO,INVE B.ST,VWS.CO,NDA.HE,ERIC B.ST,ATCO A.ST,VOLV B.ST,KNEBV.HE,NOKIA.HE,ASSA B.ST,ORSTED.CO,SAND.ST,EVO.ST,HEXA B.ST,NESTE.HE,GMAB.CO,SAMPO.HE,DNB.OL,COLO B.CO,HMB.ST,ESSITY B.ST,EQNR.OL,SEB A.ST,CARL B.CO,SHB A.ST,MAERSK B.CO,FORTUM.HE,TEL.OL,EQT.ST,CASH,n/a,SUM
07/09/2021,15.2,5.26,4.72,4.46,4.37,4.33,4.28,4.07,3.51,3.4,3.11,3.09,3.05,2.97,2.92,2.85,2.74,2.61,2.46,2.42,2.3,2.28,2.24,2.05,2.03,1.85,1.84,1.31,1.19,0.99,0.12,0.0,100.02
07/12/2021,15.48,5.2,4.76,4.38,4.31,4.33,4.34,4.1,3.58,3.39,3.1,3.12,3.07,2.88,2.98,2.82,2.77,2.61,2.38,2.49,2.21,2.25,2.12,2.04,2.01,1.86,1.82,1.29,1.19,1.0,0.12,0.0,100.0
07/13/2021,15.48,5.2,4.76,4.38,4.31,4.33,4.34,4.1,3.58,3.39,3.1,3.12,3.07,2.88,2.98,2.82,2.77,2.61,2.38,2.49,2.21,2.25,2.12,2.04,2.01,1.86,1.82,1.29,1.19,1.0,0.12,0.0,100.0
07/14/2021,15.43,5.23,4.78,4.26,4.34,4.31,4.39,4.1,3.57,3.41,3.14,3.05,3.09,2.89,2.99,2.83,2.78,2.6,2.42,2.44,2.23,2.23,2.15,2.05,1.99,1.87,1.81,1.29,1.2,1.0,0.12,0.0,99.99000000000002
07/15/2021,15.28,5.25,4.82,4.35,4.33,4.29,4.38,4.08,3.55,3.35,3.15,3.1,3.08,2.87,2.98,2.88,2.83,2.6,2.45,2.47,2.22,2.23,2.14,2.06,1.99,1.87,1.8,1.28,1.2,1.03,0.12,0.0,100.03000000000002
07/16/2021,15.26,5.25,4.8,4.31,4.29,4.38,4.35,4.07,3.56,3.61,3.16,3.08,3.1,2.85,2.99,2.86,2.8,2.58,2.39,2.48,2.23,2.22,2.13,2.04,2.0,1.85,1.76,1.27,1.19,1.02,0.11,0.0,99.99
07/19/2021,15.52,5.34,4.82,4.02,4.39,4.37,4.38,4.07,3.54,3.56,3.15,2.99,3.12,2.81,3.01,2.9,2.81,2.62,2.36,2.48,2.13,2.21,2.09,2.13,1.99,1.89,1.72,1.28,1.19,1.02,0.11,0.0,100.01999999999998
07/20/2021,15.52,5.34,4.82,4.02,4.39,4.37,4.38,4.07,3.54,3.56,3.15,2.99,3.12,2.81,3.01,2.9,2.81,2.62,2.36,2.48,2.13,2.21,2.09,2.13,1.99,1.89,1.72,1.28,1.19,1.02,0.11,0.0,100.01999999999998
07/21/2021,15.75,5.26,4.89,4.01,4.41,3.97,4.49,4.02,3.56,3.62,3.13,3.03,2.98,2.85,3.01,2.88,2.82,2.63,2.31,2.54,2.12,2.26,2.08,2.15,2.0,1.86,1.74,1.28,1.19,1.04,0.11,0.0,99.99
07/22/2021,16.05,5.24,4.79,4.1,4.34,3.96,4.54,3.95,3.58,3.57,3.16,3.05,3.01,2.85,3.0,2.88,2.87,2.61,2.25,2.6,2.08,2.27,2.02,2.08,1.98,1.83,1.74,1.28,1.18,1.03,0.11,0.0,100.0
