,CTE ? PROSHARES TRUST M,B 0 05/13/21,B 0 04/08/21,B 0 05/06/21,B 0 04/01/21,B 0 07/15/21,B 0 08/12/21,TBILL,B 0 04/15/21,ICE 20+ Year U.S. Treasury Index SWAP Goldman Sach,ICE 20+ Year U.S. Treasury Index SWAP Societe Gene,ICE 20+ Year U.S. Treasury Index SWAP Citibank NA,CASH,US LONG BOND CBT  BOND 21/JUN/2021 USM1 COMDTY,B 0 06/25/20,CMB,B 0 10/29/20,B 0 09/10/20,B 0 09/03/20,B 0 08/27/20,B 0 08/13/20,B 0 07/16/20,B 0 07/09/20,B 0 07/02/20,UNITS,B 0 06/18/20,US LONG BOND CBT  BOND 21/DEC/2020 USZ0 COMDTY,B 0 06/04/20,SWAP Deutsche Bank AG,SWAP Morgan Stanley & Co. International PLC,U.S. DOLLAR,U.S. DOLLAR FOR FUTURES,B 0 03/04/21,B 0 01/21/21,US SDOLLAR CALL A/C,US LONG BOND CBT  BOND 22/MAR/2021 USH1 COMDTY,US LONG BOND CBT  BOND 21/SEP/2020 USU0 COMDTY,B 0 06/11/20,SUM
07/09/2021,38.48,17.81,9.89,9.89,5.94,4.95,4.95,4.95,1.98,0.44,0.44,0.2,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1
07/12/2021,38.48,17.81,9.89,9.89,5.94,4.95,4.95,4.95,1.98,0.44,0.44,0.2,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1
