,Dj U.S. Technology Index Swap Citibank Na,Cash,Dj U.S. Technology Index Swap Jp Morgan Securities,Dj U.S. Technology Index Swap Societe Generale,Dj U.S. Technology Index Swap Goldman Sachs International,AAPL,MSFT,Dj U.S. Technology Index Swap Bank Of America Na,Dj U.S. Technology Index Swap Bnp Paribas,Dj U.S. Technology Index Swap Ubs Ag,FB,GOOGL,GOOG,Dj U.S. Technology Index Swap Credit Suisse International,NVDA,Dj U.S. Technology Index Swap Morgan Stanley & Co. International Plc,ADBE,INTC,CRM,CSCO,AVGO,TXN,QCOM,ORCL,INTU,IBM,AMAT,AMD,NOW,MU,LRCX,ZM,ADSK,TWLO,SNAP,ADI,NXPI,TWTR,DOCU,CRWD,KLAC,MRVL,EBAY,WDAY,MTCH,VEEV,SNPS,MCHP,CDNS,MSI,CTSH,HPQ,PANW,XLNX,TTD,FTNT,SWKS,OKTA,ANSS,EPAM,MXIM,ETSY,HUBS,ENPH,DELL,CDW,SPLK,CERN,RNG,WORK,DDOG,VRSN,TER,QRVO,WDC,GRMN,IT,NET,ANET,Z,MDB,COUP,AKAM,HPE,TYL,NTAP,PAYC,STX,ZEN,ENTG,ON,ZS,MPWR,SSNC,NLOK,NUAN,SNOW,PTC,GDDY,CTXS,SEDG,FICO,AVLR,LUMN,VMW,IAC,CDAY,FIVN,BKI,PLTR,BILL,CREE,FFIV,DT,PFPT,DXC,DOX,MKSI,OLED,GWRE,AZPN,LBTYK,ESTC,MANH,JNPR,DBX,CIEN,SMAR,NTNX,PLAN,VMEO,PCTY,SLAB,CHWY,DLB,DASH,LITE,CDK,JCOM,PEGA,FSLY,AYX,SNX,PSTG,POWI,CRUS,FEYE,ZG,SMTC,ACIW,VIAV,LBTYA,XRX,BLKB,NEWR,BMBL,VRNT,U,UI,CARG,XM,ASAN,SWI,ALGM,ANGI,SATS,MCFE,NCNO,BSY,Dj U.S. Technology Index Swap Morgan Stanley & Co. International Plc - Cash,Dj U.S. Technology Index Swap Credit Suisse International - Cash Offset,Dj U.S. Technology Index Swap Ubs Ag - Cash Offset,Dj U.S. Technology Index Swap Bnp Paribas - Cash Offset,Dj U.S. Technology Index Swap Bank Of America Na - Cash Offset,Dj U.S. Technology Index Swap Goldman Sachs International - Cash Offset,Dj U.S. Technology Index Swap Societe Generale - Cash Offset,Dj U.S. Technology Index Swap Jp Morgan Securities - Cash Offset,Dj U.S. Technology Index Swap Citibank Na - Cash Offset,Bentley Systems Inc Ordinary Shares - Class B,SUM
07/09/2021,53.65,29.53,14.07,13.98,13.06,12.62,11.98,10.29,10.02,8.7,4.89,4.31,4.19,3.69,2.93,2.14,1.64,1.33,1.33,1.31,1.14,1.04,0.95,0.83,0.79,0.77,0.77,0.67,0.64,0.56,0.55,0.48,0.38,0.38,0.38,0.37,0.33,0.32,0.32,0.29,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,-2.14,-3.69,-8.7,-10.02,-10.29,-13.06,-13.98,-14.07,-53.65,0.0,100.05
07/12/2021,53.65,29.53,14.07,13.98,13.06,12.62,11.98,10.29,10.02,8.7,4.89,4.31,4.19,3.69,2.93,2.14,1.64,1.33,1.33,1.31,1.14,1.04,0.95,0.83,0.79,0.77,0.77,0.67,0.64,0.56,0.55,0.48,0.38,0.38,0.38,0.37,0.33,0.32,0.32,0.29,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,-2.14,-3.69,-8.7,-10.02,-10.29,-13.06,-13.98,-14.07,-53.65,0.0,100.05
07/13/2021,53.65,29.53,14.07,13.98,13.06,12.62,11.98,10.29,10.02,8.7,4.89,4.31,4.19,3.69,2.93,2.14,1.64,1.33,1.33,1.31,1.14,1.04,0.95,0.83,0.79,0.77,0.77,0.67,0.64,0.56,0.55,0.48,0.38,0.38,0.38,0.37,0.33,0.32,0.32,0.29,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,-2.14,-3.69,-8.7,-10.02,-10.29,-13.06,-13.98,-14.07,-53.65,0.0,100.05
07/14/2021,53.65,29.53,14.07,13.98,13.06,12.62,11.98,10.29,10.02,8.7,4.89,4.31,4.19,3.69,2.93,2.14,1.64,1.33,1.33,1.31,1.14,1.04,0.95,0.83,0.79,0.77,0.77,0.67,0.64,0.56,0.55,0.48,0.38,0.38,0.38,0.37,0.33,0.32,0.32,0.29,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,-2.14,-3.69,-8.7,-10.02,-10.29,-13.06,-13.98,-14.07,-53.65,0.0,100.05
07/15/2021,53.65,29.53,14.07,13.98,13.06,12.62,11.98,10.29,10.02,8.7,4.89,4.31,4.19,3.69,2.93,2.14,1.64,1.33,1.33,1.31,1.14,1.04,0.95,0.83,0.79,0.77,0.77,0.67,0.64,0.56,0.55,0.48,0.38,0.38,0.38,0.37,0.33,0.32,0.32,0.29,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,-2.14,-3.69,-8.7,-10.02,-10.29,-13.06,-13.98,-14.07,-53.65,0.0,100.05
07/16/2021,53.65,29.53,14.07,13.98,13.06,12.62,11.98,10.29,10.02,8.7,4.89,4.31,4.19,3.69,2.93,2.14,1.64,1.33,1.33,1.31,1.14,1.04,0.95,0.83,0.79,0.77,0.77,0.67,0.64,0.56,0.55,0.48,0.38,0.38,0.38,0.37,0.33,0.32,0.32,0.29,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,-2.14,-3.69,-8.7,-10.02,-10.29,-13.06,-13.98,-14.07,-53.65,0.0,100.05
07/19/2021,53.65,29.53,14.07,13.98,13.06,12.62,11.98,10.29,10.02,8.7,4.89,4.31,4.19,3.69,2.93,2.14,1.64,1.33,1.33,1.31,1.14,1.04,0.95,0.83,0.79,0.77,0.77,0.67,0.64,0.56,0.55,0.48,0.38,0.38,0.38,0.37,0.33,0.32,0.32,0.29,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,-2.14,-3.69,-8.7,-10.02,-10.29,-13.06,-13.98,-14.07,-53.65,0.0,100.05
07/20/2021,53.65,29.53,14.07,13.98,13.06,12.62,11.98,10.29,10.02,8.7,4.89,4.31,4.19,3.69,2.93,2.14,1.64,1.33,1.33,1.31,1.14,1.04,0.95,0.83,0.79,0.77,0.77,0.67,0.64,0.56,0.55,0.48,0.38,0.38,0.38,0.37,0.33,0.32,0.32,0.29,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,-2.14,-3.69,-8.7,-10.02,-10.29,-13.06,-13.98,-14.07,-53.65,0.0,100.05
07/21/2021,53.65,29.53,14.07,13.98,13.06,12.62,11.98,10.29,10.02,8.7,4.89,4.31,4.19,3.69,2.93,2.14,1.64,1.33,1.33,1.31,1.14,1.04,0.95,0.83,0.79,0.77,0.77,0.67,0.64,0.56,0.55,0.48,0.38,0.38,0.38,0.37,0.33,0.32,0.32,0.29,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,-2.14,-3.69,-8.7,-10.02,-10.29,-13.06,-13.98,-14.07,-53.65,0.0,100.05
07/22/2021,53.65,29.53,14.07,13.98,13.06,12.62,11.98,10.29,10.02,8.7,4.89,4.31,4.19,3.69,2.93,2.14,1.64,1.33,1.33,1.31,1.14,1.04,0.95,0.83,0.79,0.77,0.77,0.67,0.64,0.56,0.55,0.48,0.38,0.38,0.38,0.37,0.33,0.32,0.32,0.29,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,-2.14,-3.69,-8.7,-10.02,-10.29,-13.06,-13.98,-14.07,-53.65,0.0,100.05
