,TECH,FICO,CGNX,MOH,SEDG,XPO,SBNY,CPT,MASI,CDAY,FDS,GGG,BRO,WSM,TTC,NDSN,MPW,STLD,RPM,AXON,RH,CREE,JAZZ,DECK,DAR,CABO,OC,LAD,HUBB,EWBC,CSL,JLL,MIDD,CLF,MANH,LEA,OLED,PEN,FHN,SCI,ACM,NBIX,Y,ATR,SYNH,CIEN,AMED,CONE,WEX,STOR,SAM,LSI,ARW,OSK,NNN,KSS,UTHR,CPRI,GNTX,DCI,ITT,EHC,LECO,AGCO,JBL,HRC,RGA,REXR,FSLR,CBSH,BC,PII,SMG,TPX,KRC,XEC,RNR,PCTY,WWD,THC,SEIC,HOG,AMG,TTEK,MAT,FAF,BRX,ACC,SON,WH,EME,JHG,PB,SLAB,SLM,TOL,SRCL,LHCG,PNFP,SNV,FL,NYT,OLN,BJ,TXRH,DKS,COHR,MAN,INGR,LFUS,X,AYI,THO,MSA,EQT,VVV,COR,PRI,EXEL,EXP,NATI,MTZ,SRC,EVR,ACHC,HELE,SLG,CC,RBC,AEO,DEI,CUZ,MMS,SYNA,AN,IBKR,TDC,TKR,ADS,KBR,CFX,TNL,RYN,NYCB,HXL,OZK,SAIC,QDEL,FLS,ESNT,CIT,CW,THG,NFG,FLO,ASH,IART,IRDM,MTG,CLH,SNX,SIGI,PK,GT,HIW,FCN,HE,WBS,WING,CR,PACW,ACIW,STL,CRI,KMPR,HRB,SMTC,WTFC,HR,ICUI,AVNT,LOPE,HPP,CCMP,RLI,WEN,ENS,UNVR,TGNA,CAR,UMPQ,LIVN,XRX,JWN,R,TRIP,SR,AVT,UMBF,FNB,SWX,BCO,MRCY,NJR,PZZA,CVLT,KBH,CMC,NSP,NAVI,SAFM,HWC,MUSA,QLYS,ETRN,VSAT,MAC,MUR,COG,WOLF,n/a,RRX,PCH,BXS,HAIN,CADE,SUM
07/09/2021,1.07,0.92,0.91,0.9,0.86,0.86,0.84,0.82,0.8,0.79,0.79,0.78,0.76,0.75,0.72,0.72,0.72,0.71,0.71,0.7,0.69,0.69,0.67,0.67,0.65,0.64,0.62,0.61,0.61,0.6,0.6,0.59,0.59,0.59,0.58,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.54,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76
07/12/2021,1.08,0.92,0.92,0.9,0.83,0.86,0.88,0.83,0.8,0.78,0.78,0.79,0.75,0.76,0.73,0.72,0.71,0.74,0.71,0.69,0.7,0.66,0.67,0.67,0.65,0.63,0.61,0.64,0.62,0.62,0.61,0.6,0.59,0.63,0.57,0.57,0.57,0.56,0.56,0.57,0.57,0.56,0.56,0.56,0.55,0.54,0.54,0.54,0.53,0.52,0.54,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.49,0.5,0.5,0.49,0.49,0.49,0.48,0.48,0.46,0.47,0.47,0.47,0.46,0.47,0.45,0.44,0.46,0.46,0.45,0.44,0.44,0.44,0.44,0.43,0.45,0.41,0.41,0.43,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.39,0.39,0.4,0.4,0.4,0.38,0.39,0.4,0.39,0.39,0.37,0.38,0.38,0.38,0.4,0.37,0.36,0.36,0.37,0.35,0.36,0.35,0.34,0.35,0.35,0.35,0.34,0.32,0.34,0.31,0.33,0.34,0.34,0.32,0.33,0.33,0.33,0.32,0.34,0.32,0.33,0.32,0.32,0.33,0.32,0.31,0.32,0.31,0.3,0.31,0.31,0.29,0.32,0.29,0.29,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.27,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.24,0.0,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.83000000000001
07/13/2021,1.08,0.92,0.92,0.9,0.83,0.86,0.88,0.83,0.8,0.78,0.78,0.79,0.75,0.76,0.73,0.72,0.71,0.74,0.71,0.69,0.7,0.66,0.67,0.67,0.65,0.63,0.61,0.64,0.62,0.62,0.61,0.6,0.59,0.63,0.57,0.57,0.57,0.56,0.56,0.57,0.57,0.56,0.56,0.56,0.55,0.54,0.54,0.54,0.53,0.52,0.54,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.49,0.5,0.5,0.49,0.49,0.49,0.48,0.48,0.46,0.47,0.47,0.47,0.46,0.47,0.45,0.44,0.46,0.46,0.45,0.44,0.44,0.44,0.44,0.43,0.45,0.41,0.41,0.43,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.39,0.39,0.4,0.4,0.4,0.38,0.39,0.4,0.39,0.39,0.37,0.38,0.38,0.38,0.4,0.37,0.36,0.36,0.37,0.35,0.36,0.35,0.34,0.35,0.35,0.35,0.34,0.32,0.34,0.31,0.33,0.34,0.34,0.32,0.33,0.33,0.33,0.32,0.34,0.32,0.33,0.32,0.32,0.33,0.32,0.31,0.32,0.31,0.3,0.31,0.31,0.29,0.32,0.29,0.29,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.27,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.24,0.0,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.83000000000001
07/14/2021,1.08,0.92,0.92,0.9,0.83,0.86,0.88,0.83,0.8,0.78,0.78,0.79,0.75,0.76,0.73,0.72,0.71,0.74,0.71,0.7,0.7,0.66,0.67,0.67,0.65,0.63,0.61,0.64,0.62,0.62,0.61,0.6,0.59,0.63,0.57,0.57,0.57,0.56,0.56,0.57,0.57,0.56,0.56,0.56,0.55,0.54,0.54,0.54,0.53,0.52,0.54,0.52,0.51,0.51,0.51,0.5,0.51,0.5,0.49,0.5,0.5,0.49,0.49,0.49,0.48,0.48,0.46,0.47,0.47,0.47,0.46,0.47,0.45,0.44,0.46,0.46,0.45,0.44,0.44,0.44,0.44,0.43,0.45,0.41,0.41,0.43,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.39,0.39,0.4,0.4,0.4,0.38,0.39,0.4,0.39,0.39,0.37,0.38,0.38,0.38,0.4,0.37,0.36,0.36,0.37,0.35,0.36,0.35,0.34,0.35,0.35,0.35,0.34,0.32,0.34,0.31,0.33,0.34,0.34,0.32,0.33,0.33,0.34,0.32,0.34,0.32,0.33,0.32,0.32,0.33,0.32,0.31,0.32,0.31,0.3,0.31,0.31,0.29,0.32,0.29,0.29,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.24,0.0,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.87
07/15/2021,1.05,0.91,0.91,0.89,0.83,0.88,0.89,0.84,0.8,0.76,0.77,0.79,0.75,0.76,0.73,0.72,0.7,0.76,0.7,0.7,0.71,0.66,0.67,0.67,0.65,0.62,0.61,0.64,0.63,0.62,0.61,0.6,0.59,0.64,0.55,0.57,0.57,0.55,0.57,0.57,0.56,0.55,0.56,0.55,0.55,0.53,0.53,0.55,0.53,0.53,0.54,0.52,0.51,0.52,0.51,0.5,0.5,0.49,0.48,0.5,0.5,0.49,0.49,0.49,0.48,0.47,0.48,0.47,0.48,0.47,0.47,0.47,0.45,0.45,0.46,0.46,0.44,0.43,0.44,0.44,0.44,0.43,0.45,0.42,0.42,0.43,0.42,0.42,0.41,0.41,0.41,0.42,0.4,0.39,0.39,0.38,0.39,0.39,0.4,0.4,0.4,0.38,0.39,0.4,0.39,0.39,0.37,0.38,0.37,0.38,0.41,0.37,0.36,0.36,0.37,0.35,0.36,0.35,0.34,0.35,0.34,0.35,0.35,0.33,0.34,0.31,0.34,0.34,0.34,0.33,0.34,0.34,0.33,0.33,0.34,0.32,0.32,0.33,0.33,0.33,0.32,0.31,0.32,0.32,0.3,0.31,0.31,0.29,0.32,0.3,0.29,0.29,0.3,0.29,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.28,0.29,0.28,0.29,0.27,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.26,0.25,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.24,0.0,0.24,0.23,0.24,0.23,0.24,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.88
07/16/2021,1.07,0.92,0.91,0.91,0.84,0.88,0.89,0.84,0.81,0.77,0.78,0.79,0.75,0.76,0.73,0.73,0.7,0.75,0.7,0.72,0.71,0.67,0.67,0.67,0.65,0.62,0.6,0.64,0.63,0.62,0.61,0.6,0.61,0.64,0.55,0.57,0.57,0.55,0.56,0.58,0.56,0.56,0.55,0.55,0.55,0.54,0.53,0.54,0.52,0.53,0.53,0.52,0.51,0.51,0.51,0.49,0.5,0.49,0.49,0.51,0.5,0.49,0.5,0.49,0.48,0.48,0.48,0.47,0.48,0.47,0.47,0.46,0.45,0.44,0.46,0.47,0.44,0.43,0.44,0.44,0.44,0.42,0.45,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.42,0.4,0.39,0.39,0.38,0.38,0.39,0.4,0.4,0.39,0.38,0.39,0.4,0.39,0.39,0.38,0.38,0.36,0.38,0.4,0.37,0.36,0.36,0.37,0.35,0.36,0.36,0.34,0.35,0.35,0.35,0.34,0.34,0.34,0.3,0.33,0.33,0.34,0.33,0.34,0.34,0.34,0.33,0.34,0.32,0.32,0.32,0.32,0.33,0.32,0.31,0.32,0.31,0.3,0.31,0.31,0.28,0.32,0.3,0.29,0.29,0.3,0.29,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.28,0.28,0.28,0.29,0.28,0.27,0.27,0.28,0.28,0.28,0.27,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.26,0.26,0.25,0.26,0.25,0.24,0.25,0.25,0.24,0.0,0.24,0.23,0.23,0.0,0.24,0.0,0.24,0.24,0.23,0.0,0.24,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.94
07/19/2021,1.07,0.93,0.91,0.93,0.77,0.88,0.88,0.86,0.83,0.77,0.79,0.79,0.77,0.74,0.74,0.74,0.72,0.76,0.71,0.69,0.68,0.63,0.66,0.66,0.67,0.62,0.6,0.63,0.64,0.62,0.63,0.61,0.63,0.61,0.55,0.57,0.55,0.52,0.56,0.58,0.55,0.54,0.57,0.56,0.54,0.54,0.52,0.56,0.53,0.53,0.53,0.53,0.51,0.51,0.53,0.48,0.51,0.47,0.49,0.51,0.51,0.49,0.5,0.48,0.47,0.47,0.48,0.48,0.45,0.48,0.46,0.46,0.45,0.44,0.46,0.43,0.46,0.43,0.44,0.44,0.44,0.42,0.44,0.42,0.41,0.43,0.42,0.43,0.42,0.41,0.41,0.42,0.41,0.38,0.4,0.38,0.38,0.39,0.41,0.41,0.37,0.39,0.38,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.39,0.37,0.36,0.36,0.35,0.35,0.36,0.36,0.34,0.35,0.34,0.35,0.35,0.33,0.33,0.32,0.33,0.34,0.34,0.31,0.34,0.35,0.34,0.32,0.34,0.32,0.32,0.32,0.31,0.33,0.31,0.31,0.32,0.32,0.29,0.31,0.31,0.28,0.32,0.3,0.3,0.29,0.3,0.29,0.3,0.3,0.29,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.3,0.28,0.29,0.27,0.28,0.27,0.28,0.26,0.26,0.27,0.26,0.26,0.25,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.24,0.0,0.24,0.23,0.23,0.0,0.24,0.0,0.24,0.24,0.24,0.23,0.24,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.82
07/20/2021,1.11,0.95,0.9,0.93,0.76,0.89,0.84,0.88,0.83,0.78,0.81,0.8,0.78,0.73,0.74,0.75,0.74,0.75,0.72,0.7,0.68,0.62,0.66,0.66,0.66,0.63,0.6,0.63,0.65,0.61,0.63,0.61,0.64,0.57,0.56,0.56,0.55,0.54,0.54,0.59,0.56,0.56,0.57,0.57,0.55,0.53,0.53,0.56,0.54,0.54,0.53,0.54,0.51,0.5,0.53,0.48,0.52,0.45,0.48,0.52,0.51,0.49,0.5,0.48,0.47,0.48,0.47,0.49,0.44,0.48,0.46,0.46,0.46,0.44,0.47,0.43,0.47,0.44,0.43,0.44,0.45,0.42,0.43,0.42,0.41,0.43,0.42,0.44,0.42,0.4,0.41,0.42,0.41,0.38,0.4,0.38,0.39,0.39,0.41,0.4,0.37,0.39,0.38,0.41,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.34,0.35,0.37,0.36,0.33,0.35,0.34,0.34,0.35,0.32,0.33,0.32,0.33,0.32,0.34,0.31,0.34,0.35,0.34,0.31,0.35,0.32,0.3,0.32,0.31,0.33,0.31,0.3,0.33,0.32,0.29,0.31,0.32,0.3,0.32,0.3,0.29,0.29,0.3,0.3,0.3,0.3,0.29,0.28,0.29,0.3,0.28,0.29,0.28,0.27,0.3,0.28,0.29,0.26,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.24,0.26,0.27,0.25,0.26,0.26,0.26,0.25,0.26,0.24,0.24,0.24,0.24,0.0,0.24,0.23,0.23,0.0,0.23,0.0,0.24,0.24,0.23,0.0,0.25,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9
07/21/2021,1.11,0.95,0.9,0.93,0.76,0.89,0.84,0.88,0.83,0.78,0.81,0.8,0.78,0.73,0.74,0.75,0.74,0.75,0.72,0.7,0.68,0.62,0.66,0.66,0.66,0.63,0.6,0.63,0.65,0.61,0.63,0.61,0.64,0.57,0.56,0.56,0.55,0.54,0.54,0.59,0.56,0.56,0.57,0.57,0.55,0.53,0.53,0.56,0.54,0.54,0.53,0.54,0.51,0.5,0.53,0.48,0.52,0.45,0.48,0.52,0.51,0.49,0.5,0.48,0.47,0.48,0.47,0.49,0.44,0.48,0.46,0.46,0.46,0.44,0.47,0.43,0.47,0.44,0.43,0.44,0.45,0.42,0.43,0.42,0.41,0.43,0.42,0.44,0.42,0.4,0.41,0.42,0.41,0.38,0.4,0.38,0.39,0.39,0.41,0.4,0.37,0.39,0.38,0.41,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.34,0.35,0.37,0.36,0.33,0.35,0.34,0.34,0.35,0.32,0.33,0.32,0.33,0.32,0.34,0.31,0.34,0.35,0.34,0.31,0.35,0.32,0.3,0.32,0.31,0.33,0.31,0.3,0.33,0.32,0.29,0.31,0.32,0.3,0.32,0.3,0.29,0.29,0.3,0.3,0.3,0.3,0.29,0.28,0.29,0.3,0.28,0.29,0.28,0.27,0.3,0.28,0.29,0.26,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.24,0.26,0.27,0.25,0.26,0.26,0.26,0.25,0.26,0.24,0.24,0.24,0.24,0.0,0.24,0.23,0.23,0.0,0.23,0.0,0.24,0.24,0.23,0.0,0.25,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9
07/22/2021,1.12,0.96,0.91,0.92,0.79,0.88,0.83,0.89,0.85,0.79,0.81,0.81,0.78,0.75,0.75,0.75,0.74,0.74,0.72,0.72,0.68,0.62,0.66,0.67,0.65,0.64,0.6,0.63,0.65,0.6,0.63,0.6,0.64,0.56,0.57,0.56,0.56,0.55,0.53,0.6,0.55,0.56,0.56,0.57,0.55,0.53,0.54,0.56,0.52,0.54,0.56,0.54,0.52,0.49,0.53,0.47,0.52,0.45,0.49,0.51,0.51,0.49,0.5,0.47,0.47,0.49,0.46,0.5,0.45,0.48,0.47,0.46,0.46,0.44,0.46,0.42,0.46,0.45,0.43,0.44,0.44,0.41,0.43,0.42,0.41,0.43,0.41,0.43,0.42,0.4,0.41,0.42,0.4,0.38,0.4,0.38,0.39,0.4,0.4,0.39,0.36,0.4,0.38,0.42,0.38,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.34,0.35,0.38,0.36,0.33,0.34,0.35,0.34,0.35,0.32,0.33,0.33,0.33,0.32,0.34,0.31,0.34,0.35,0.34,0.32,0.36,0.32,0.32,0.32,0.3,0.33,0.31,0.3,0.32,0.32,0.28,0.3,0.31,0.33,0.32,0.3,0.29,0.29,0.3,0.29,0.31,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.3,0.29,0.29,0.26,0.29,0.27,0.26,0.26,0.25,0.26,0.26,0.27,0.24,0.26,0.27,0.25,0.26,0.26,0.25,0.25,0.26,0.24,0.24,0.24,0.23,0.0,0.24,0.23,0.23,0.0,0.23,0.0,0.24,0.24,0.23,0.0,0.25,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.98000000000002
