,HP,FTI,HAL,SLB,CHX,LBRT,BKR,NOV,RIG,PTEN,OII,USAC,WHD,FRO.OL,STNG,CLB,AROC,AGPXX,Scorpio Tankers Inc,Securities Lending - Bnym,Cash/Receivables/Payables,n/a,688008.SS,FRO,OIH,VDE,XLE,SUM
07/09/2021,7.9,7.42,6.94,6.84,6.6,6.52,6.36,6.23,6.01,5.38,5.13,5.05,5.03,4.76,4.6,4.49,4.46,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,7.93,7.32,6.95,6.81,6.8,6.63,6.42,6.41,5.73,5.4,5.15,5.09,5.22,4.63,4.35,4.4,4.49,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/13/2021,7.93,7.32,6.95,6.81,6.8,6.63,6.42,6.41,5.73,5.4,5.15,5.09,5.22,4.63,4.35,4.4,4.49,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/14/2021,7.93,7.32,6.95,6.8,6.8,6.62,6.42,6.41,5.73,5.4,5.15,5.09,5.22,4.63,0.0,4.4,4.48,0.31,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,7.91,7.17,6.99,6.83,6.79,6.55,6.52,6.44,5.72,5.48,5.15,5.1,5.28,4.6,4.21,4.43,4.54,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,7.89,7.22,7.03,6.84,6.87,6.49,6.47,6.51,5.56,5.45,5.1,5.16,5.42,4.46,3.97,4.66,4.59,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,7.95,7.17,7.02,6.85,6.93,6.28,6.55,6.45,5.09,5.37,4.91,5.49,5.37,4.75,4.11,4.65,4.75,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/20/2021,7.99,7.22,7.01,6.84,6.87,6.24,6.54,6.53,5.02,5.34,4.93,5.63,5.46,4.75,0.0,4.62,4.78,0.27,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,7.99,7.22,7.01,6.84,6.87,6.24,6.54,6.53,5.02,5.34,4.93,5.63,5.46,4.75,0.0,4.62,4.78,0.27,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,7.99,7.22,7.01,6.84,6.87,6.24,6.54,6.53,5.02,5.34,4.93,5.63,5.46,4.75,0.0,4.62,4.78,0.27,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,8.07,7.22,7.12,6.78,6.69,6.19,6.46,6.59,4.99,5.23,4.83,5.76,5.46,4.77,4.07,4.73,4.77,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,8.12,6.85,7.13,6.82,6.71,6.31,6.27,6.54,5.34,5.23,4.98,5.66,5.56,4.79,0.0,4.69,4.74,0.27,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/27/2021,8.12,6.7,7.11,7.06,6.86,6.1,6.5,6.58,5.2,5.15,4.97,5.45,5.64,4.88,0.0,4.58,4.83,0.27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,8.12,6.7,7.11,7.06,6.86,6.1,6.5,6.58,5.2,5.15,4.97,5.45,5.64,4.88,0.0,4.58,4.83,0.27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,8.13,6.89,7.07,7.07,6.81,6.15,6.49,6.68,5.29,5.28,4.94,5.32,5.48,4.77,0.0,4.56,4.88,0.26,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,8.12,6.97,7.17,7.11,6.8,6.12,6.52,6.7,5.13,5.24,4.88,5.23,5.57,4.71,0.0,4.62,4.88,0.29,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,7.93,6.93,7.27,7.12,7.15,5.59,6.59,6.74,5.15,5.31,5.11,5.17,5.58,4.69,0.0,4.49,4.99,0.26,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,8.66,7.48,7.85,7.68,7.76,4.84,7.33,4.9,4.83,4.8,4.86,4.84,4.88,4.88,4.28,4.96,4.9,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/04/2021,8.66,7.48,7.85,7.68,7.76,4.84,7.33,4.9,4.83,4.8,4.86,4.84,4.88,4.88,4.28,4.96,4.9,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/05/2021,7.89,6.92,7.14,7.09,7.18,5.4,6.71,6.64,5.25,5.24,4.97,5.32,5.68,4.81,4.03,4.59,4.89,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/09/2021,7.82,6.97,7.23,7.28,7.32,5.47,7.04,6.7,5.15,5.07,4.83,5.68,5.52,4.77,3.56,4.43,5.05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/12/2021,8.06,6.9,7.26,7.25,7.43,5.39,7.07,6.66,5.1,5.11,4.89,5.62,5.55,4.59,3.66,4.27,4.84,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/13/2021,8.13,6.94,7.26,7.17,7.47,5.42,6.98,6.65,5.21,5.26,4.95,5.5,5.62,4.47,3.68,4.16,4.8,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,8.07,6.91,7.32,7.18,7.39,5.68,6.96,6.67,5.13,5.21,4.86,5.41,5.56,4.6,3.87,4.07,4.82,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/19/2021,7.82,6.75,7.36,7.3,7.39,5.63,7.24,6.61,4.89,5.05,4.82,5.57,5.57,4.75,3.97,4.03,4.83,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/20/2021,7.73,6.78,7.29,7.26,7.36,5.65,7.39,6.58,4.84,5.02,4.78,5.61,5.57,4.89,4.03,3.95,4.83,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,7.71,6.65,7.25,7.41,7.4,5.85,7.33,6.62,4.72,4.9,4.73,5.7,5.62,4.99,3.98,3.87,4.79,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/25/2021,7.62,6.71,7.23,7.37,7.49,5.82,7.38,6.64,4.82,4.86,4.74,5.62,5.61,4.93,0.0,3.82,4.82,0.55,0.0,0.0,0.0,3.98,0.0,0.0,0.0,0.0,0.0,100.01
08/26/2021,7.64,6.55,7.29,7.32,7.5,5.82,7.42,6.55,4.98,4.99,4.87,5.43,5.63,4.84,4.0,3.88,4.77,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,7.61,6.64,7.39,7.3,7.43,5.81,7.44,6.64,5.05,4.98,4.88,5.34,5.67,4.76,3.92,3.97,4.71,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/30/2021,7.46,6.66,7.33,7.32,7.41,5.75,7.52,6.64,5.07,4.96,4.8,5.35,5.93,4.84,0.0,3.92,4.71,0.47,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,0.0,100.01
08/31/2021,7.8,6.54,7.25,7.2,7.5,5.74,7.4,6.63,5.33,5.19,4.85,5.19,5.96,4.46,0.0,4.01,4.63,0.48,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,0.0,99.99
09/01/2021,7.8,6.54,7.25,7.2,7.5,5.74,7.4,6.63,5.33,5.19,4.85,5.19,5.96,4.46,0.0,4.01,4.63,0.48,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,0.0,99.99
