,MELI,9888.HK,3690.HK,9618.HK,9988.HK,SE,8454.TW,9999.HK,700.HK,PDD,NPN.JO,035720.KS,9626.HK,NAUKRI.NS,035420.KS,PAGS,STNE,YNDX,XP,BTOW3.SA,251270.KS,DHER.DE,MAIL.L,036570.KS,9901.HK,3659.T,241.HK,CLVB.,VIPS,TAL,263750.KQ,067160.KQ,HHR,181710.KS,012510.KS,060250.KQ,MMYT,TOTS3.SA,253450.KQ,FWRY.CA,INDIAMART.NS,NETW.L,069080.KQ,078340.KQ,OPAP.AT,3293,MYEG.KL,032350.KS,CIEL3.SA,Cash,Malaysian Ringgit,Egyptian Pound,South African Rand,Brazilian Real,Hong Kong Dollar,Japanese Yen,n/a,AGPXX,SUM
07/09/2021,3.95,3.69,3.68,3.62,3.57,3.52,3.52,3.43,3.32,3.28,3.19,2.98,2.85,2.73,2.73,2.69,2.65,2.54,2.49,2.42,2.41,2.4,2.39,2.38,2.37,2.33,2.26,2.23,2.08,2.04,1.0,0.88,0.83,0.8,0.8,0.79,0.77,0.75,0.73,0.73,0.71,0.71,0.7,0.68,0.67,0.66,0.66,0.64,0.63,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/02/2021,3.98,3.68,3.67,3.61,3.56,3.54,3.49,3.42,3.31,3.41,3.26,3.04,2.84,2.52,2.76,2.63,2.6,2.55,2.55,0.0,2.32,2.35,2.4,2.35,2.36,2.38,2.26,2.23,2.18,2.19,0.93,0.86,0.84,0.8,0.75,0.8,0.77,0.77,0.73,0.73,0.69,0.68,0.71,0.69,0.66,0.68,0.66,0.65,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.68,100.6
09/03/2021,3.98,3.68,3.67,3.61,3.56,3.54,3.49,3.42,3.31,3.41,3.26,3.04,2.84,2.52,2.76,2.63,2.6,2.55,2.55,0.0,2.32,2.35,2.4,2.35,2.36,2.38,2.26,2.23,2.18,2.19,0.93,0.86,0.84,0.8,0.75,0.8,0.77,0.77,0.73,0.73,0.69,0.68,0.71,0.69,0.66,0.68,0.66,0.65,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.68,100.60000000000001
