,Us Dollars,4308.T,Ft Cayman Subsidiary Iii,n/a,8174.T,688101.SS,688001.SS,688226.SS,SUM
07/09/2021,79.35,20.65,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,81.14,0.0,18.86,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,81.14,0.0,18.86,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,80.38,0.0,19.62,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,80.36,0.0,19.64,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,79.74,0.0,20.26,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,80.45,0.0,19.55,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,80.66,0.0,19.34,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,80.66,0.0,19.34,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,80.66,0.0,19.34,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,82.06,0.0,17.94,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,80.9,0.0,19.1,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,80.49,0.0,19.51,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,80.49,0.0,19.51,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,80.15,0.0,19.85,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,80.59,0.0,19.41,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,79.71,0.0,20.29,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,79.71,0.0,20.29,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,79.71,0.0,20.29,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,79.71,0.0,20.29,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,81.09,0.0,18.91,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,0.0,0.0,0.0,81.77,18.23,0.0,0.0,0.0,100.0
08/25/2021,0.0,0.0,0.0,84.08,0.0,15.92,0.0,0.0,100.0
08/27/2021,0.0,0.0,0.0,82.14,0.0,17.86,0.0,0.0,100.0
08/30/2021,0.0,0.0,0.0,82.12,0.0,17.88,0.0,0.0,100.0
08/31/2021,0.0,0.0,0.0,81.41,0.0,18.59,0.0,0.0,100.0
09/01/2021,0.0,0.0,0.0,81.41,0.0,0.0,18.59,0.0,100.0
09/02/2021,0.0,0.0,0.0,81.52,0.0,0.0,18.48,0.0,100.0
09/03/2021,0.0,0.0,0.0,81.52,0.0,0.0,0.0,18.48,100.0
09/06/2021,0.0,0.0,0.0,81.57,0.0,0.0,18.43,0.0,100.0
