,APA,COP,EOG,WAL,MRO,RF,DVN,ZION,COF,BCI,PDBC,CNQ.TO,JEF,TOU.TO,SU.TO,WPL.AX,VTIP,SCHP,ENI.MI,MT.AS,GLTR,AAL.L,KBWB,CLF,X,1COV.DE,STLD,MOO,NUE,GLE.PA,BBVA.MC,NTR.TO,OLN,ITB,SIKA.SW,WBC.AX,ANZ.AX,NAB.AX,DE,URI,BLDR,CAR,SGO.PA,AIR.PA,CNHI.MI,ABBN.SW,DPW.DE,6501.T,n/a,IVG.MI,STIP,SUM
01/17/2022,3.02,2.98,2.95,2.93,2.93,2.93,2.89,2.87,2.81,2.69,2.69,2.54,2.48,2.45,2.42,2.38,2.34,2.31,2.25,2.16,2.12,2.12,2.09,2.07,2.06,1.96,1.92,1.89,1.88,1.85,1.81,1.8,1.78,1.77,1.73,1.69,1.69,1.68,1.53,1.4,1.35,1.3,1.28,1.25,1.2,1.18,1.15,0.9,0.34,0.18,0.0,99.99
01/18/2022,3.07,3.06,3.03,2.94,3.05,3.0,2.92,2.88,2.84,2.67,2.69,2.67,2.48,2.41,2.43,2.4,2.34,2.3,2.26,2.14,2.1,2.08,2.08,1.98,2.03,1.95,1.88,1.88,1.81,1.88,1.82,1.79,1.81,1.76,1.63,1.66,1.69,1.67,1.54,1.38,1.31,1.32,1.26,1.23,1.2,1.14,1.13,0.9,0.39,0.18,0.0,100.06000000000002
01/19/2022,3.07,3.06,3.03,2.94,3.05,3.0,2.92,2.88,2.84,2.67,2.69,2.67,2.48,2.41,2.43,2.4,2.34,2.3,2.26,2.14,2.1,2.08,2.08,1.98,2.03,1.95,1.88,1.88,1.81,1.88,1.82,1.79,1.81,1.76,1.63,1.66,1.69,1.67,1.54,1.38,1.31,1.32,1.26,1.23,1.2,1.14,1.13,0.9,0.39,0.18,0.0,100.06000000000002
01/20/2022,3.07,3.06,3.03,2.94,3.05,3.0,2.92,2.88,2.84,2.67,2.69,2.67,2.48,2.41,2.43,2.4,2.34,2.3,2.26,2.14,2.1,2.08,2.08,1.98,2.03,1.95,1.88,1.88,1.81,1.88,1.82,1.79,1.81,1.76,1.63,1.66,1.69,1.67,1.54,1.38,1.31,1.32,1.26,1.23,1.2,1.14,1.13,0.9,0.39,0.18,0.0,100.06000000000002
01/21/2022,3.07,3.12,3.06,2.88,3.07,2.96,2.95,2.86,2.81,2.71,2.74,2.74,2.5,2.54,2.48,2.45,2.36,2.31,2.28,2.06,2.14,2.13,2.06,1.87,1.94,1.9,1.82,1.89,1.76,1.89,1.83,1.87,1.74,1.71,1.61,1.66,1.72,1.68,1.57,1.33,1.28,1.32,1.25,1.21,1.2,1.13,1.12,0.88,0.39,0.17,0.0,100.02
01/24/2022,3.05,3.14,3.08,2.78,3.05,2.85,2.89,2.76,2.74,2.76,2.78,2.79,2.44,2.6,2.5,2.51,2.38,2.33,2.34,2.12,2.22,2.25,2.01,1.79,1.85,1.93,1.82,1.89,1.74,1.88,1.82,1.88,1.74,1.68,1.67,1.68,1.74,1.69,1.56,1.32,1.24,1.29,1.26,1.22,1.21,1.16,1.14,0.86,0.39,0.18,0.0,100.0
03/18/2022,3.39,3.36,3.27,1.99,3.39,2.69,3.07,2.67,2.38,3.08,3.04,2.98,2.13,2.55,2.56,2.99,2.37,0.0,2.13,1.74,2.29,2.2,1.79,2.28,2.57,1.55,2.21,1.93,2.22,1.22,1.56,2.43,1.64,1.49,1.39,1.81,1.59,1.74,1.58,1.38,1.22,1.57,1.01,1.03,1.11,1.01,0.89,0.66,0.44,0.1,2.31,100.0
