,2EEM  220331C00000430,2EEM  220331P00053340,Cash&Other,2EEM  220331C00060270,2EEM  220331P00045340,SUM
07/09/2021,97.31,6.44,0.59,-2.08,-2.26,100.0
07/12/2021,96.97,6.96,0.58,-1.92,-2.59,100.0
07/13/2021,96.97,6.96,0.58,-1.92,-2.59,100.0
07/14/2021,96.97,6.96,0.58,-1.92,-2.59,100.0
07/15/2021,97.5,6.63,0.58,-1.88,-2.83,100.0
07/16/2021,97.28,6.64,0.58,-1.75,-2.76,99.99
07/19/2021,97.76,6.07,0.57,-2.03,-2.38,99.99
07/20/2021,97.41,6.44,0.57,-1.66,-2.77,99.99
07/21/2021,97.41,6.44,0.57,-1.66,-2.77,99.99
07/22/2021,96.57,7.8,0.57,-1.68,-3.27,99.98999999999998
07/23/2021,96.34,7.39,0.56,-1.46,-2.85,99.98000000000002
07/26/2021,97.12,6.4,0.55,-1.51,-2.58,99.98
07/27/2021,95.73,7.49,0.55,-1.21,-2.56,100.0
07/28/2021,95.73,7.49,0.55,-1.21,-2.56,100.0
07/29/2021,95.42,9.27,0.56,-1.67,-3.57,100.01
07/30/2021,93.96,10.32,0.56,-0.89,-3.95,100.0
08/02/2021,95.8,7.6,0.54,-1.09,-2.85,100.0
08/03/2021,95.36,8.49,0.54,-1.17,-3.22,100.0
