,NTLA,2269.HK,ILMN,MRNA,NTRA,RGEN,BNTX,LONN.SW,VEEV,TXG,CTLT,CRL,TMO,PACB,GH,A,EVT.DE,CYRX,CRSP,FATE,BRKR,BEAM,NVDA,MEDP,—,ICLR,RCKT,EXAS,NEO,NSTG,PPD,MRVI,BIO,IQV,PKI,TECH,NVTA,CTVA,TWST,SANA,CERT,BRKS,QGEN,EDIT,TSHA,TDOC,BLI,RARE,VCYT,LGND,BIM.PA,AMWL,PTCT,SEER,688180.SS,601019.SS,AVTR,n/a,ACCD,DHR,AZN,GSK,SDGR,DVAX,DNAY,VCEL,QTRX,OLK,207940.KS,SUM
07/09/2021,10.91,6.3,4.87,4.77,4.62,4.34,4.15,3.2,3.2,2.79,2.77,2.65,2.53,2.29,2.26,2.05,1.87,1.78,1.74,1.69,1.66,1.49,1.39,1.38,1.38,1.34,1.29,1.27,1.18,1.15,1.05,1.02,0.98,0.96,0.95,0.93,0.91,0.83,0.76,0.75,0.74,0.69,0.67,0.62,0.57,0.45,0.42,0.4,0.39,0.38,0.38,0.3,0.29,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
07/12/2021,7.02,5.19,5.19,5.1,4.93,4.7,4.32,3.48,3.42,2.93,2.96,2.85,2.72,2.33,2.36,2.2,1.98,1.86,1.83,1.81,1.8,1.39,1.43,1.48,1.66,1.42,1.37,1.3,1.26,1.21,1.11,1.07,1.06,1.02,1.0,1.01,0.91,0.87,0.81,0.78,0.76,0.72,0.72,0.64,0.58,0.46,0.44,0.44,0.39,0.41,0.42,0.32,0.32,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,7.02,5.19,5.19,5.1,4.93,4.7,4.32,3.48,3.42,2.93,2.96,2.85,2.72,2.33,2.36,2.2,1.98,1.86,1.83,1.81,1.8,1.39,1.43,1.48,1.66,1.42,1.37,1.3,1.26,1.21,1.11,1.07,1.06,1.02,1.0,1.01,0.91,0.87,0.81,0.78,0.76,0.72,0.72,0.64,0.58,0.46,0.44,0.44,0.39,0.41,0.42,0.32,0.32,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,6.93,5.37,5.16,5.03,5.01,4.62,4.46,3.42,3.39,2.92,2.93,2.86,2.67,2.34,2.38,2.18,1.95,1.87,1.79,1.85,1.8,1.41,1.42,1.49,1.64,1.41,1.41,1.31,1.26,1.21,1.1,1.05,1.05,1.02,0.99,1.01,0.93,0.86,0.81,0.79,0.78,0.73,0.72,0.66,0.64,0.46,0.45,0.42,0.39,0.4,0.4,0.31,0.32,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/15/2021,6.74,5.45,5.26,5.19,4.97,4.61,4.45,3.46,3.41,2.86,2.95,2.87,2.67,2.35,2.39,2.19,1.99,1.87,1.76,1.77,1.8,1.38,1.46,1.5,1.64,1.4,1.41,1.28,1.27,1.2,1.1,1.08,1.05,1.01,1.0,0.98,0.91,0.88,0.79,0.76,0.8,0.74,0.69,0.63,0.62,0.45,0.44,0.43,0.4,0.4,0.41,0.31,0.31,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,6.67,5.39,5.37,5.21,4.95,4.63,4.37,3.51,3.46,2.85,3.01,2.92,2.72,2.23,2.39,2.23,2.03,1.84,1.73,1.71,1.83,1.3,1.47,1.53,1.67,1.44,1.4,1.29,1.29,1.16,1.13,1.06,1.06,1.04,1.01,1.01,0.89,0.88,0.78,0.75,0.77,0.74,0.69,0.61,0.63,0.46,0.44,0.42,0.4,0.39,0.42,0.3,0.32,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,6.53,5.74,5.22,5.85,4.86,4.62,4.73,3.48,3.44,2.72,2.96,2.96,2.77,2.06,2.28,2.26,2.05,1.72,1.65,1.64,1.86,1.25,1.4,1.54,1.7,1.5,1.35,1.28,1.23,1.13,1.15,1.06,1.08,1.04,1.03,1.01,0.85,0.88,0.74,0.76,0.74,0.73,0.71,0.59,0.62,0.44,0.42,0.41,0.39,0.38,0.42,0.29,0.32,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
07/20/2021,6.29,5.74,5.17,6.35,4.81,4.62,4.88,3.45,3.41,2.7,2.9,2.93,2.76,1.99,2.32,2.22,1.89,1.73,1.61,1.65,1.8,1.26,1.32,1.52,0.0,1.49,1.36,1.29,1.24,1.14,1.13,1.03,1.07,1.03,1.02,1.02,0.85,0.85,0.72,0.79,0.73,0.71,0.69,0.59,0.59,0.43,0.43,0.41,0.4,0.36,0.41,0.29,0.32,0.23,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/21/2021,6.29,5.74,5.17,6.35,4.81,4.62,4.88,3.45,3.41,2.7,2.9,2.93,2.76,1.99,2.32,2.22,1.89,1.73,1.61,1.65,1.8,1.26,1.32,1.52,0.0,1.49,1.36,1.29,1.24,1.14,1.13,1.03,1.07,1.03,1.02,1.02,0.85,0.85,0.72,0.79,0.73,0.71,0.69,0.59,0.59,0.43,0.43,0.41,0.4,0.36,0.41,0.29,0.32,0.23,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/22/2021,6.43,5.7,5.19,6.91,4.51,4.57,5.08,3.43,3.42,2.7,2.93,2.87,2.75,2.04,2.29,2.19,1.86,1.72,1.6,1.68,1.79,1.29,1.36,1.46,1.66,1.48,1.36,1.28,1.24,1.14,1.13,1.05,1.07,1.0,1.02,1.01,0.85,0.83,0.74,0.77,0.73,0.7,0.7,0.6,0.59,0.45,0.43,0.4,0.38,0.39,0.42,0.3,0.31,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/23/2021,6.43,5.7,5.19,6.91,4.51,4.57,5.08,3.43,3.42,2.7,2.93,2.87,2.75,2.04,2.29,2.19,1.86,1.72,1.6,1.68,1.79,1.29,1.36,1.46,1.66,1.48,1.36,1.28,1.24,1.14,1.13,1.05,1.07,1.0,1.02,1.01,0.85,0.83,0.74,0.77,0.73,0.7,0.7,0.6,0.59,0.45,0.43,0.4,0.38,0.39,0.42,0.3,0.31,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/26/2021,6.56,5.24,5.16,6.84,4.74,4.53,5.64,3.38,3.39,2.79,2.92,2.86,2.65,2.25,2.25,2.14,1.84,1.78,1.52,1.72,1.79,1.3,1.36,1.43,1.59,1.37,1.45,1.27,1.22,1.16,1.08,1.11,1.03,0.97,1.01,0.99,0.81,0.82,0.75,0.74,0.73,0.71,0.71,0.57,0.58,0.43,0.45,0.38,0.38,0.37,0.39,0.29,0.29,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/27/2021,6.08,5.05,5.22,7.34,4.6,4.59,5.63,3.5,3.42,2.74,2.93,2.87,2.68,2.17,2.23,2.16,1.84,1.79,1.48,1.72,1.8,1.26,1.35,1.44,0.0,1.42,1.35,1.26,1.24,1.15,1.08,1.12,1.03,0.98,1.03,1.0,0.8,0.82,0.72,0.75,0.75,0.71,0.72,0.54,0.55,0.43,0.44,0.37,0.39,0.37,0.39,0.28,0.29,0.24,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,6.08,5.05,5.22,7.34,4.6,4.59,5.63,3.5,3.42,2.74,2.93,2.87,2.68,2.17,2.23,2.16,1.84,1.79,1.48,1.72,1.8,1.26,1.35,1.44,0.0,1.42,1.35,1.26,1.24,1.15,1.08,1.12,1.03,0.98,1.03,1.0,0.8,0.82,0.72,0.75,0.75,0.71,0.72,0.54,0.55,0.43,0.44,0.37,0.39,0.37,0.39,0.28,0.29,0.24,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,6.08,4.68,5.32,7.26,4.58,4.63,5.88,3.51,3.46,2.76,2.93,2.92,2.73,2.23,2.15,2.19,1.86,1.79,1.48,1.7,1.81,1.25,1.37,1.47,1.61,1.45,1.18,1.25,1.24,1.18,1.1,1.13,1.06,1.0,1.11,1.02,0.8,0.84,0.72,0.75,0.77,0.72,0.73,0.54,0.54,0.43,0.44,0.37,0.38,0.38,0.4,0.29,0.29,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,6.06,4.35,5.32,7.17,4.56,5.14,5.88,3.54,3.48,2.79,2.98,2.95,2.77,2.22,1.49,2.2,1.83,1.78,1.47,1.66,1.83,1.19,1.38,1.4,2.57,1.51,0.48,1.24,1.22,1.17,1.11,1.14,1.1,1.0,1.1,1.04,0.79,0.85,0.71,0.69,0.77,0.71,0.74,0.54,0.54,0.44,0.42,0.0,0.38,0.38,0.41,0.0,0.28,0.23,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,6.02,4.83,5.16,7.24,4.51,5.25,6.22,3.48,3.4,2.74,2.99,2.92,2.67,2.25,1.44,2.15,1.78,1.84,1.43,1.71,1.78,1.22,1.35,1.38,2.44,1.56,0.47,1.19,1.23,1.16,1.08,1.14,1.06,0.98,1.12,1.01,0.79,0.83,0.73,0.69,0.77,0.7,0.72,0.55,0.51,0.44,0.43,0.0,0.39,0.36,0.4,0.0,0.26,0.23,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/03/2021,6.02,4.83,5.16,7.24,4.51,5.25,6.22,3.48,3.4,2.74,2.99,2.92,2.67,2.25,1.44,2.15,1.78,1.84,1.43,1.71,1.78,1.22,1.35,1.38,2.44,1.56,0.47,1.19,1.23,1.16,1.08,1.14,1.06,0.98,1.12,1.01,0.79,0.83,0.73,0.69,0.77,0.7,0.72,0.55,0.51,0.44,0.43,0.0,0.39,0.36,0.4,0.0,0.26,0.23,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/04/2021,6.18,4.55,5.16,7.34,4.56,5.31,6.48,3.51,3.37,2.7,2.98,2.9,2.68,2.27,1.42,2.14,1.78,1.82,1.45,1.63,1.77,1.24,1.33,1.37,2.41,1.56,0.44,1.14,1.23,1.15,1.06,1.15,1.1,0.96,1.13,1.0,0.78,0.82,0.74,0.65,0.76,0.69,0.72,0.55,0.5,0.41,0.41,0.0,0.44,0.34,0.42,0.0,0.26,0.22,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
08/05/2021,5.96,4.66,5.14,7.21,4.48,5.36,6.72,3.56,3.38,2.63,3.0,2.9,2.65,2.21,1.46,2.14,1.77,1.81,1.46,1.68,1.78,1.22,1.35,1.37,2.44,1.59,0.46,1.15,1.23,1.14,1.07,1.16,1.1,0.96,1.14,1.01,0.79,0.81,0.71,0.66,0.73,0.68,0.72,0.54,0.52,0.42,0.42,0.0,0.43,0.33,0.42,0.0,0.27,0.22,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,5.96,4.77,5.11,7.91,4.35,5.3,6.84,3.53,3.38,2.6,3.0,2.89,2.63,2.1,1.41,2.12,1.79,1.79,1.43,1.61,1.72,1.22,1.33,1.36,2.4,1.55,0.44,1.08,1.22,1.14,1.05,1.23,1.09,0.96,1.13,0.99,0.78,0.81,0.71,0.69,0.73,0.67,0.7,0.54,0.52,0.41,0.4,0.0,0.43,0.33,0.41,0.0,0.26,0.21,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/09/2021,6.72,4.65,5.01,8.07,4.45,5.14,7.46,3.33,3.23,2.42,2.84,2.73,2.51,2.31,1.39,2.03,1.74,1.8,1.49,1.76,1.64,1.39,1.31,1.31,0.0,1.46,0.41,1.07,1.19,1.07,0.99,1.31,1.06,0.9,1.08,0.95,0.8,0.74,0.7,0.72,0.73,0.66,0.67,0.66,0.49,0.4,0.4,0.0,0.44,0.31,0.39,0.0,0.26,0.22,0.0,0.0,0.93,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/10/2021,6.9,4.49,4.9,8.13,4.42,5.12,7.26,3.3,3.25,2.39,2.86,2.76,2.53,2.16,1.4,2.06,1.75,1.73,1.55,1.78,1.69,1.38,1.31,1.31,0.0,1.47,0.41,1.02,1.18,1.07,1.01,1.33,1.06,0.92,1.08,0.95,0.78,0.81,0.63,0.73,0.76,0.63,0.67,0.69,0.49,0.39,0.38,0.0,0.44,0.31,0.39,0.0,0.26,0.21,0.0,2.57,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
