,Vanguard S&P 500 ETF,FGXXX,URC.V,URC.V.1,URC.V.2,URC.V.3,VOO,First American Government Obligs X,Cboe S&P Put Opt 7/21 4165,Cboe S&P Put Opt 7/21 4190,Cboe S&P Put Opt 7/21 4320,Cboe S&P Put Opt 7/21 4290,Cboe S&P Put Opt 7/21 4200,Cboe S&P Put Opt 7/21 4330,Cboe S&P Put Opt 7/21 4205,Cboe S&P Put Opt 7/21 4335,S&P Dow Opt07/214180.0 Put,Cboe S&P Put Opt 7/21 4310,SPXW 6 P4020,SPXW 6 P4030,SPXW 6 P4160,SPXW 6 P4150,Cboe S&P Put Opt 7/21 4270,Cboe S&P Put Opt 7/21 4180,S&P Dow Opt08/214230.0 Put,S&P Dow Opt08/214360.0 Put,S&P Dow Opt08/214235.0 Put,S&P Dow Opt08/214365.0 Put,Cboe S&P Put Opt 8/21 4190,S&P Dow Opt08/214205.0 Put,Cboe S&P Put Opt 8/21 4210,Cboe S&P Put Opt 8/21 4340,S&P Dow Opt08/214335.0 Put,Cboe S&P Put Opt 8/21 4320,SPXW 9 P4355,SPXW 9 P4335,SPXW 9 P4470,SPXW 9 P4495,SUM
07/09/2021,100.01,0.01,0.0,0.0,-0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,0.0,0.0,0.0,0.0,0.0,0.0,99.34,0.71,0.01,0.0,-0.02,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,99.34,0.71,0.01,0.0,-0.02,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.08,0.09,0.03,0.0,-0.08,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,99.95,0.09,0.0,0.0,0.0,-0.01,0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,99.95,0.09,0.0,0.0,0.0,-0.01,0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,0.0,0.0,0.0,0.0,0.0,0.0,99.99,0.09,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.08,0.09,0.0,0.0,0.0,0.0,0.0,-0.03,0.02,-0.1,0.02,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.2,0.09,0.0,0.0,0.0,0.0,0.0,-0.02,0.02,-0.17,0.03,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.2,0.09,0.0,0.0,0.0,0.0,0.0,-0.02,0.02,-0.17,0.03,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,0.0,0.13,0.0,0.0,0.0,0.0,99.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/26/2021,0.0,0.13,0.0,0.0,0.0,0.0,99.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/27/2021,0.0,0.0,0.0,0.0,0.0,0.0,99.38,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.06,0.02,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.06,0.02,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.06,0.02,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,0.0,0.0,0.0,0.0,0.0,0.0,100.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.06,0.02,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
