,DHR,ADBE,AMAT,RUN,DOCU,TMO,DT,MSCI,CMG,EW,RNG,CRWD,002960.SZ,FRC,BIO,TRMB,TDOC,COO,LSPDEUR,LULU,GDDY,EXAS,ZTS,ASML,BLL,PINS,SGEN,MKC,RMD,IDXX,EVBG,NEE,MLHR,HQY,HASI,CHGG,REGN,NVRO,ECL,MLAB,NOMD,PODD,SRNG,DXCM,NGVT,ZBRA,LBTYK,ON,VRRM,ETSY,CDAY,DSEY,TREX,HOLX,MTN,NXPI,MA,AZEK,LSF,n/a,TDUP,GDRX,NUAN,CREE,VRTX,BMBL,URI,SFIX,LYFT,ZY,ROP,WW,301012.SZ,DIBS,3L5,LSPD.TO,DNA,WOLF,WRBY,ZVIA,SHOP,EVGO,ABSI,RELY,MLKN,KFY,BILL,FLNC,WMS,PL,SFM,SUM
08/27/2021,3.53,3.29,2.67,2.58,2.47,2.36,2.35,2.29,2.29,2.22,2.1,2.06,2.04,1.97,1.87,1.86,1.79,1.75,1.74,1.69,1.68,1.63,1.62,1.62,1.6,1.54,1.54,1.47,1.47,1.42,1.39,1.36,1.35,1.35,1.34,1.26,1.26,1.19,1.14,1.14,1.11,1.11,1.09,1.09,1.09,1.09,1.05,1.05,1.04,1.02,0.99,0.89,0.89,0.88,0.88,0.87,0.85,0.81,0.8,0.78,0.76,0.7,0.67,0.66,0.66,0.62,0.61,0.61,0.55,0.53,0.51,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/30/2021,3.53,3.29,2.67,2.58,2.47,2.36,2.35,2.29,2.29,2.22,2.1,2.06,2.04,1.97,1.87,1.86,1.79,1.75,1.74,1.69,1.68,1.63,1.62,1.62,1.6,1.54,1.54,1.47,1.47,1.42,1.39,1.36,1.35,1.35,1.34,1.26,1.26,1.19,1.14,1.14,1.11,1.11,1.09,1.09,1.09,1.09,1.05,1.05,1.04,1.02,0.99,0.89,0.89,0.88,0.88,0.87,0.85,0.81,0.8,0.78,0.76,0.7,0.67,0.66,0.66,0.62,0.61,0.61,0.55,0.53,0.51,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/31/2021,3.53,3.29,2.67,2.58,2.47,2.36,2.35,2.29,2.29,2.22,2.1,2.06,2.04,1.97,1.87,1.86,1.79,1.75,1.74,1.69,1.68,1.63,1.62,1.62,1.6,1.54,1.54,1.47,1.47,1.42,1.39,1.36,1.35,1.35,1.34,1.26,1.26,1.19,1.14,1.14,1.11,1.11,1.09,1.09,1.09,1.09,1.05,1.05,1.04,1.02,0.99,0.89,0.89,0.88,0.88,0.87,0.85,0.81,0.8,0.78,0.76,0.7,0.67,0.66,0.66,0.62,0.61,0.61,0.55,0.53,0.51,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/01/2021,3.53,3.29,2.67,2.58,2.47,2.36,2.35,2.29,2.29,2.22,2.1,2.06,2.04,1.97,1.87,1.86,1.79,1.75,1.74,1.69,1.68,1.63,1.62,1.62,1.6,1.54,1.54,1.47,1.47,1.42,1.39,1.36,1.35,1.35,1.34,1.26,1.26,1.19,1.14,1.14,1.11,1.11,1.09,1.09,1.09,1.09,1.05,1.05,1.04,1.02,0.99,0.89,0.89,0.88,0.88,0.87,0.85,0.81,0.8,0.78,0.76,0.7,0.67,0.66,0.66,0.62,0.61,0.61,0.55,0.53,0.51,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/02/2021,3.53,3.29,2.67,2.58,2.47,2.36,2.35,2.29,2.29,2.22,2.1,2.06,0.0,1.97,1.87,1.86,1.79,1.75,1.74,1.69,1.68,1.63,1.62,1.62,1.6,1.54,1.54,1.47,1.47,1.42,1.39,1.36,1.35,1.35,1.34,1.26,1.26,1.19,1.14,1.14,1.11,1.11,1.09,1.09,1.09,1.09,1.05,1.05,1.04,1.02,0.99,0.89,0.89,0.88,0.88,0.87,0.85,0.81,0.8,0.78,0.76,0.7,0.67,0.66,0.66,0.62,0.61,0.61,0.55,0.53,0.51,0.49,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/03/2021,3.53,3.29,2.67,2.58,2.47,2.36,2.35,2.29,2.29,2.22,2.1,2.06,0.0,1.97,1.87,1.86,1.79,1.75,1.74,1.69,1.68,1.63,1.62,1.62,1.6,1.54,1.54,1.47,1.47,1.42,1.39,1.36,1.35,1.35,1.34,1.26,1.26,1.19,1.14,1.14,1.11,1.11,1.09,1.09,1.09,1.09,1.05,1.05,1.04,1.02,0.99,0.89,0.89,0.88,0.88,0.87,0.85,0.81,0.8,0.78,0.76,0.7,0.67,0.66,0.66,0.62,0.61,0.61,0.55,0.53,0.51,0.49,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/06/2021,3.53,3.29,2.67,2.58,2.47,2.36,2.35,2.29,2.29,2.22,2.1,2.06,0.0,1.97,1.87,1.86,1.79,1.75,1.74,1.69,1.68,1.63,1.62,1.62,1.6,1.54,1.54,1.47,1.47,1.42,1.39,1.36,1.35,1.35,1.34,1.26,1.26,1.19,1.14,1.14,1.11,1.11,1.09,1.09,1.09,1.09,1.05,1.05,1.04,1.02,0.99,0.89,0.89,0.88,0.88,0.87,0.85,0.81,0.8,0.78,0.76,0.7,0.67,0.66,0.66,0.62,0.61,0.61,0.55,0.53,0.51,0.49,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/07/2021,3.53,3.29,2.67,2.58,2.47,2.36,2.35,2.29,2.29,2.22,2.1,2.06,0.0,1.97,1.87,1.86,1.79,1.75,1.74,1.69,1.68,1.63,1.62,1.62,1.6,1.54,1.54,1.47,1.47,1.42,1.39,1.36,1.35,1.35,1.34,1.26,1.26,1.19,1.14,1.14,1.11,1.11,1.09,1.09,1.09,1.09,1.05,1.05,1.04,1.02,0.99,0.89,0.89,0.88,0.88,0.87,0.85,0.81,0.8,2.04,0.76,0.7,0.67,0.66,0.66,0.62,0.61,0.61,0.55,0.53,0.51,0.49,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/08/2021,3.53,3.29,2.67,2.58,2.47,2.36,2.35,2.29,2.29,2.22,2.1,2.06,0.0,1.97,1.87,1.86,1.79,1.75,1.74,1.69,1.68,1.63,1.62,1.62,1.6,1.54,1.54,1.47,1.47,1.42,1.39,1.36,1.35,1.35,1.34,1.26,1.26,1.19,1.14,1.14,1.11,1.11,1.09,1.09,1.09,1.09,1.05,1.05,1.04,1.02,0.99,0.89,0.89,0.88,0.88,0.87,0.85,0.81,0.8,2.04,0.76,0.7,0.67,0.66,0.66,0.62,0.61,0.61,0.55,0.53,0.51,0.49,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/09/2021,3.53,3.29,2.67,2.58,2.47,2.36,2.35,2.29,2.29,2.22,2.1,2.06,0.0,1.97,1.87,1.86,1.79,1.75,1.74,1.69,1.68,1.63,1.62,1.62,1.6,1.54,1.54,1.47,1.47,1.42,1.39,1.36,1.35,1.35,1.34,1.26,1.26,1.19,1.14,1.14,1.11,1.11,1.09,1.09,1.09,1.09,1.05,1.05,1.04,1.02,0.99,0.89,0.89,0.88,0.88,0.87,0.85,0.81,0.8,2.04,0.76,0.7,0.67,0.66,0.66,0.62,0.61,0.61,0.55,0.53,0.51,0.49,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
