,IBDO,IBDN,IBDP,IBDQ,IBDM,Invesco BulletShares 2021 Corp Bd ETF,4733.T,4733.T.1,4733.T.2,4733.T.3,4733.T.4,4733.T.5,4733.T.6,4733.T.7,4733.T.8,4733.T.9,4733.T.10,4733.T.11,4733.T.12,4733.T.13,4733.T.14,4733.T.15,4733.T.16,4733.T.17,4733.T.18,4733.T.19,4733.T.20,4733.T.21,4733.T.22,4733.T.23,4733.T.24,4733.T.25,4733.T.26,BSCL,XLV 10 C130,XLI 10 C103,AVGO 10 C490,GOOGL 10 C2750,CMCSA 10 C57.5,FCX 10 C40,MSFT 10 C290,V 10 C255,XLF 10 C38,RUN 11 C50,SPX 9 P4350,QQQ 9 P360,PXD 9 C150,AAPL 10 C150,GDX 9 C36,XLY 10 C184,XLE 9 C51,AMZN 10 C3650,QQQ 7 C369,NFLX 7 C550,NFLX 7 C600,QQQ 7 C374,AMZN 10 C4400,SUM
07/09/2021,23.56,16.62,15.98,15.82,12.99,8.83,0.54,0.52,0.46,0.43,0.41,0.41,0.41,0.4,0.37,0.37,0.35,0.31,0.3,0.25,0.23,0.22,0.19,0.17,0.16,0.05,0.0,-0.01,-0.06,-0.06,-0.07,-0.07,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/01/2021,22.95,16.34,15.79,15.15,12.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.41,0.46,0.39,0.37,0.32,0.32,0.3,0.3,0.27,0.25,0.25,0.25,0.24,0.24,0.21,0.2,0.2,0.1,0.07,0.0,0.0,0.0,0.0,-0.01,95.74999999999999
