,TECH,CGNX,MOH,FICO,SEDG,XPO,SBNY,CPT,CDAY,MASI,GGG,FDS,BRO,WSM,MPW,LII,TTC,NDSN,STLD,RH,TREX,RPM,AXON,CREE,JAZZ,FIVE,DAR,DECK,WTRG,CABO,RGEN,LAD,OC,TRGP,AZPN,HUBB,CSL,EWBC,JLL,MIDD,CLF,UGI,RS,MANH,WSO,LEA,PEN,OLED,Y,MKSI,SYNH,NBIX,ATR,FHN,SCI,RUN,ACM,LAMR,CIEN,CONE,WEX,AMED,STOR,BLDR,OHI,SAM,LSI,KSS,AFG,OSK,NNN,ARW,UTHR,CPRI,G,EHC,DCI,ITT,GNTX,AGCO,LECO,REXR,AIRC,FSLR,IIVI,HRC,RGA,PII,CBSH,CHE,BC,JBL,RGLD,SMG,IAA,LSCC,TPX,CROX,RNR,PCTY,SEIC,KRC,XEC,THC,WWD,CASY,ORI,HOG,MAT,NVST,AMG,YETI,FR,SLAB,STAA,FFIN,FAF,OGE,SF,TTEK,HQY,CHDN,BRKS,VAC,CNXC,BRX,WH,EGP,JEF,ACC,SON,SKX,EME,SRCL,JHG,ARWR,LHCG,SLM,PNFP,PB,COHR,POST,DKS,FOXF,TOL,LITE,SNV,BJ,MAN,MDU,OLN,TXRH,BLD,NYT,FL,GMED,HALO,INGR,CFR,LFUS,THO,AYI,NCR,X,CACI,MSA,LSTR,CDK,JCOM,EXP,COR,PRI,VVV,KNX,MTZ,EVR,EXEL,EQT,LPX,HELE,ACHC,NATI,CC,AEO,DEI,SYNA,CUZ,SRC,SLG,VNT,CFX,TKR,KBR,MMS,VLY,RBC,AN,TDC,JBLU,IBKR,FLS,RYN,NYCB,ADS,IDA,SAIC,OLLI,QDEL,NVT,ASGN,GXO WI,GME,WING,ESNT,VSCO WI,CIT,GXO,VSCO,GVMXX,PRAH,SNX,SAIA,IRDM,IART,PFGC,MEDP,VMI,APPS,TNDM,SGMS,PRGO,n/a,SMTC,PACW,CAR,BYD,GBCI,COG,GT,OZK,NOV,UNM,CLH,CW,MTG,WOLF,RRX,ZD,HFC,ASH,BXS,CADE,AVNT,NFG,WTFC,BRKR,SSD,SUM
07/09/2021,0.76,0.64,0.64,0.64,0.61,0.61,0.6,0.57,0.56,0.56,0.56,0.56,0.54,0.53,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.13000000000001
07/12/2021,0.78,0.65,0.64,0.65,0.59,0.61,0.6,0.59,0.56,0.58,0.57,0.56,0.53,0.53,0.51,0.51,0.52,0.51,0.52,0.51,0.5,0.5,0.5,0.47,0.48,0.46,0.47,0.46,0.46,0.46,0.46,0.45,0.43,0.43,0.43,0.44,0.43,0.43,0.43,0.41,0.42,0.42,0.41,0.4,0.41,0.4,0.4,0.4,0.4,0.39,0.4,0.41,0.4,0.39,0.4,0.37,0.39,0.4,0.38,0.39,0.37,0.38,0.37,0.38,0.37,0.39,0.37,0.35,0.36,0.36,0.36,0.36,0.36,0.34,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.34,0.32,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.32,0.31,0.31,0.32,0.32,0.32,0.31,0.32,0.32,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.31,0.29,0.3,0.29,0.29,0.29,0.29,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.29,0.29,0.28,0.29,0.27,0.29,0.29,0.28,0.28,0.28,0.28,0.3,0.29,0.27,0.28,0.28,0.27,0.28,0.28,0.28,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.26,0.25,0.24,0.24,0.26,0.26,0.23,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.17
07/13/2021,0.78,0.65,0.64,0.65,0.59,0.61,0.6,0.59,0.56,0.58,0.57,0.56,0.53,0.53,0.51,0.51,0.52,0.51,0.52,0.51,0.5,0.5,0.5,0.47,0.48,0.46,0.47,0.46,0.46,0.46,0.46,0.45,0.43,0.43,0.43,0.44,0.43,0.43,0.43,0.41,0.42,0.42,0.41,0.4,0.41,0.4,0.4,0.4,0.4,0.39,0.4,0.41,0.4,0.39,0.4,0.37,0.39,0.4,0.38,0.39,0.37,0.38,0.37,0.38,0.37,0.39,0.37,0.35,0.36,0.36,0.36,0.36,0.36,0.34,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.34,0.32,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.32,0.31,0.31,0.32,0.32,0.32,0.31,0.32,0.32,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.31,0.29,0.3,0.29,0.29,0.29,0.29,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.29,0.29,0.28,0.29,0.27,0.29,0.29,0.28,0.28,0.28,0.28,0.3,0.29,0.27,0.28,0.28,0.27,0.28,0.28,0.28,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.26,0.25,0.24,0.24,0.26,0.26,0.23,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.17
07/14/2021,0.77,0.65,0.64,0.64,0.59,0.61,0.63,0.59,0.55,0.56,0.56,0.55,0.53,0.53,0.51,0.5,0.51,0.51,0.53,0.51,0.5,0.5,0.49,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.43,0.44,0.42,0.44,0.43,0.44,0.42,0.41,0.44,0.41,0.41,0.4,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.4,0.39,0.39,0.4,0.36,0.4,0.4,0.38,0.39,0.37,0.37,0.37,0.38,0.37,0.39,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.34,0.32,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.33,0.32,0.31,0.31,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.31,0.29,0.3,0.28,0.29,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.27,0.29,0.29,0.28,0.29,0.28,0.29,0.3,0.28,0.28,0.29,0.28,0.27,0.28,0.28,0.28,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.27,0.28,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.28,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.26,0.25,0.23,0.24,0.26,0.26,0.22,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.24,0.23,0.0,0.0,0.24,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.13000000000001
07/15/2021,0.75,0.65,0.64,0.63,0.59,0.62,0.63,0.59,0.54,0.56,0.56,0.55,0.53,0.54,0.51,0.5,0.51,0.51,0.54,0.51,0.5,0.49,0.49,0.47,0.47,0.46,0.47,0.47,0.45,0.44,0.44,0.46,0.43,0.43,0.42,0.44,0.43,0.44,0.42,0.42,0.45,0.41,0.41,0.39,0.41,0.4,0.39,0.4,0.4,0.39,0.39,0.39,0.39,0.4,0.4,0.37,0.39,0.4,0.37,0.39,0.37,0.37,0.38,0.38,0.37,0.39,0.37,0.36,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.33,0.31,0.32,0.33,0.32,0.31,0.31,0.32,0.32,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.32,0.3,0.3,0.28,0.28,0.3,0.3,0.29,0.3,0.29,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.27,0.29,0.29,0.28,0.29,0.28,0.3,0.29,0.28,0.28,0.29,0.28,0.27,0.27,0.28,0.28,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.29,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.25,0.26,0.0,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.24,0.22,0.0,0.0,0.24,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.17
07/16/2021,0.76,0.65,0.65,0.64,0.59,0.62,0.63,0.59,0.54,0.57,0.56,0.55,0.53,0.54,0.51,0.5,0.51,0.51,0.53,0.51,0.5,0.5,0.51,0.47,0.47,0.46,0.47,0.47,0.45,0.44,0.44,0.46,0.42,0.44,0.42,0.44,0.43,0.44,0.42,0.43,0.45,0.41,0.41,0.39,0.41,0.4,0.39,0.4,0.4,0.39,0.39,0.4,0.39,0.39,0.4,0.37,0.39,0.4,0.38,0.39,0.37,0.37,0.38,0.38,0.37,0.38,0.37,0.35,0.37,0.36,0.36,0.36,0.35,0.35,0.36,0.34,0.36,0.35,0.34,0.34,0.35,0.34,0.33,0.34,0.32,0.33,0.33,0.32,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.31,0.31,0.33,0.32,0.31,0.31,0.32,0.33,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.31,0.3,0.3,0.29,0.27,0.3,0.29,0.29,0.3,0.29,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.29,0.28,0.29,0.28,0.3,0.28,0.28,0.28,0.29,0.28,0.27,0.27,0.28,0.28,0.26,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.26,0.25,0.26,0.27,0.26,0.26,0.25,0.28,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.26,0.25,0.0,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.24,0.23,0.0,0.0,0.24,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.15
07/19/2021,0.76,0.65,0.66,0.65,0.55,0.62,0.62,0.61,0.54,0.59,0.56,0.56,0.54,0.52,0.52,0.47,0.52,0.52,0.54,0.49,0.48,0.5,0.49,0.44,0.47,0.45,0.48,0.46,0.46,0.44,0.44,0.45,0.42,0.42,0.42,0.45,0.44,0.44,0.43,0.45,0.43,0.42,0.42,0.39,0.41,0.4,0.37,0.39,0.41,0.39,0.39,0.39,0.4,0.4,0.41,0.33,0.39,0.4,0.38,0.4,0.38,0.36,0.38,0.38,0.38,0.38,0.38,0.35,0.38,0.36,0.37,0.36,0.36,0.33,0.36,0.35,0.36,0.36,0.34,0.34,0.35,0.35,0.35,0.32,0.32,0.33,0.34,0.33,0.34,0.33,0.33,0.33,0.34,0.31,0.34,0.31,0.31,0.33,0.33,0.31,0.32,0.32,0.3,0.31,0.3,0.31,0.3,0.29,0.3,0.29,0.3,0.29,0.3,0.28,0.26,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.3,0.3,0.3,0.29,0.28,0.29,0.28,0.29,0.29,0.28,0.28,0.29,0.29,0.27,0.27,0.28,0.28,0.26,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.27,0.25,0.24,0.24,0.24,0.25,0.23,0.24,0.24,0.24,0.23,0.25,0.23,0.25,0.24,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.24,0.0,0.0,0.0,0.24,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.21000000000001
07/20/2021,0.78,0.64,0.66,0.66,0.54,0.63,0.6,0.62,0.55,0.58,0.57,0.57,0.55,0.52,0.53,0.48,0.52,0.53,0.53,0.49,0.49,0.51,0.49,0.44,0.46,0.45,0.47,0.46,0.47,0.45,0.45,0.45,0.42,0.42,0.43,0.46,0.44,0.43,0.43,0.45,0.4,0.42,0.42,0.39,0.41,0.39,0.38,0.39,0.41,0.38,0.39,0.4,0.4,0.38,0.41,0.33,0.39,0.4,0.38,0.4,0.38,0.37,0.39,0.37,0.39,0.38,0.38,0.34,0.38,0.35,0.37,0.36,0.36,0.32,0.37,0.35,0.36,0.36,0.34,0.34,0.35,0.35,0.36,0.31,0.32,0.34,0.33,0.32,0.34,0.33,0.32,0.32,0.33,0.32,0.35,0.3,0.31,0.32,0.33,0.32,0.32,0.33,0.3,0.31,0.3,0.32,0.3,0.29,0.3,0.29,0.3,0.29,0.31,0.28,0.27,0.3,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.29,0.29,0.28,0.3,0.29,0.31,0.29,0.28,0.29,0.28,0.3,0.29,0.28,0.28,0.29,0.28,0.28,0.27,0.28,0.27,0.26,0.27,0.28,0.29,0.27,0.28,0.27,0.27,0.27,0.27,0.25,0.27,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.24,0.26,0.25,0.23,0.23,0.23,0.24,0.23,0.23,0.24,0.23,0.0,0.25,0.0,0.25,0.24,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.24,0.0,0.0,0.0,0.24,0.23,0.23,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.16
07/21/2021,0.78,0.64,0.66,0.66,0.54,0.63,0.6,0.62,0.55,0.58,0.57,0.57,0.55,0.52,0.53,0.48,0.52,0.53,0.53,0.49,0.49,0.51,0.49,0.44,0.46,0.45,0.47,0.46,0.47,0.45,0.45,0.45,0.42,0.42,0.43,0.46,0.44,0.43,0.43,0.45,0.4,0.42,0.42,0.39,0.41,0.39,0.38,0.39,0.41,0.38,0.39,0.4,0.4,0.38,0.41,0.33,0.39,0.4,0.38,0.4,0.38,0.37,0.39,0.37,0.39,0.38,0.38,0.34,0.38,0.35,0.37,0.36,0.36,0.32,0.37,0.35,0.36,0.36,0.34,0.34,0.35,0.35,0.36,0.31,0.32,0.34,0.33,0.32,0.34,0.33,0.32,0.32,0.33,0.32,0.35,0.3,0.31,0.32,0.33,0.32,0.32,0.33,0.3,0.31,0.3,0.32,0.3,0.29,0.3,0.29,0.3,0.29,0.31,0.28,0.27,0.3,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.29,0.29,0.28,0.3,0.29,0.31,0.29,0.28,0.29,0.28,0.3,0.29,0.28,0.28,0.29,0.28,0.28,0.27,0.28,0.27,0.26,0.27,0.28,0.29,0.27,0.28,0.27,0.27,0.27,0.27,0.25,0.27,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.24,0.26,0.25,0.23,0.23,0.23,0.24,0.23,0.23,0.24,0.23,0.0,0.25,0.0,0.25,0.24,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.24,0.0,0.0,0.0,0.24,0.23,0.23,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.16
07/22/2021,0.78,0.64,0.66,0.66,0.54,0.63,0.6,0.62,0.55,0.58,0.57,0.57,0.55,0.52,0.53,0.48,0.52,0.53,0.53,0.49,0.49,0.51,0.49,0.44,0.46,0.45,0.47,0.46,0.47,0.45,0.45,0.45,0.42,0.42,0.43,0.46,0.44,0.43,0.43,0.45,0.4,0.42,0.42,0.39,0.41,0.39,0.38,0.39,0.41,0.38,0.39,0.4,0.4,0.38,0.41,0.33,0.39,0.4,0.38,0.4,0.38,0.37,0.39,0.37,0.39,0.38,0.38,0.34,0.38,0.35,0.37,0.36,0.36,0.32,0.37,0.35,0.36,0.36,0.34,0.34,0.35,0.35,0.36,0.31,0.32,0.34,0.33,0.32,0.34,0.33,0.32,0.32,0.33,0.32,0.35,0.3,0.31,0.32,0.33,0.32,0.32,0.33,0.3,0.31,0.3,0.32,0.3,0.29,0.3,0.29,0.3,0.29,0.31,0.28,0.27,0.3,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.29,0.29,0.28,0.3,0.29,0.31,0.29,0.28,0.29,0.28,0.3,0.29,0.28,0.28,0.29,0.28,0.28,0.27,0.28,0.27,0.26,0.27,0.28,0.29,0.27,0.28,0.27,0.27,0.27,0.27,0.25,0.27,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.24,0.26,0.25,0.23,0.23,0.23,0.24,0.23,0.23,0.24,0.23,0.0,0.25,0.0,0.25,0.24,0.23,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.24,0.0,0.0,0.0,0.24,0.23,0.23,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.16
