,XOM,CVX,COP,EOG,SLB,MPC,KMI,PSX,VLO,WMB,PXD,OXY,OKE,HAL,LNG,HES,DVN,BKR,FANG,MRO,TPL,TRGP,APA,OVV,XEC,COG,NOV,EQT,CHX,HFC,PDCE,SWN,FTI,MTDR,AR,ETRN,MUR,RRC,CNX,HP,CLR,REGI,AM,SM,RIG,INT,CLB,WHD,MGY,PAGP,CPE,PBF,PTEN,GPRE,DK,TELL,OII,LBRT,CLNE,ENLC,CDEV,KOS,AROC,DRQ,VNOM,BCEI,BOOM,NBR,SLCA,ARCH,PUMP,MNRL,NOG,HLX,NEX,TDW,Hess Midstream LP Class A,CVI,REX,TALO,PARR,INSW,LPG,FI,BRY,WTI,DEN,OAS,WLL,RES,CRC,GEVO,CRK,OIS,BTU,RTLR,WTTR,PVAC,SOI,DSSI,FLMN,EXTN,CHG.BK,HESM,PTBL.TA,NBRWF,1379.T,SAR.AX,DTM,n/a,SUM
07/09/2021,21.41,17.3,5.95,4.07,3.64,3.53,3.25,3.23,2.88,2.78,2.78,2.09,2.02,1.73,1.71,1.61,1.45,1.44,1.24,0.87,0.8,0.76,0.69,0.63,0.62,0.58,0.55,0.48,0.48,0.46,0.41,0.37,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.22,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/12/2021,21.41,17.3,5.95,4.07,3.64,3.53,3.25,3.23,2.88,2.78,2.78,2.09,2.02,1.73,1.71,1.61,1.45,1.44,1.24,0.87,0.8,0.76,0.69,0.63,0.62,0.58,0.55,0.48,0.48,0.46,0.41,0.37,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.22,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.19,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,21.41,17.3,5.95,4.07,3.64,3.53,3.25,3.23,2.88,2.78,2.78,2.09,2.02,1.73,1.71,1.61,1.45,1.44,1.24,0.87,0.8,0.76,0.69,0.63,0.62,0.58,0.55,0.48,0.48,0.46,0.41,0.37,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.22,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.19,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,21.41,17.3,5.95,4.07,3.64,3.53,3.25,3.23,2.88,2.78,2.78,2.09,2.02,1.73,1.71,1.61,1.45,1.44,1.24,0.87,0.8,0.76,0.69,0.63,0.62,0.58,0.55,0.48,0.48,0.46,0.41,0.37,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.22,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.19,0.0,0.0,0.0,0.0,0.0,100.02
07/15/2021,21.41,17.3,5.95,4.07,3.64,3.53,3.25,3.23,2.88,2.78,2.78,2.09,2.02,1.73,1.71,1.61,1.45,1.44,1.24,0.87,0.8,0.76,0.69,0.63,0.62,0.58,0.55,0.48,0.48,0.46,0.41,0.37,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.22,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.19,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,21.41,17.3,5.95,4.07,3.64,3.53,3.25,3.23,2.88,2.78,2.78,2.09,2.02,1.73,1.71,1.61,1.45,1.44,1.24,0.87,0.8,0.76,0.69,0.63,0.62,0.58,0.55,0.48,0.48,0.46,0.41,0.37,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.28,0.28,0.26,0.26,0.22,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.19,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,21.95,16.56,6.17,4.01,3.53,3.27,3.06,3.12,2.65,2.66,2.81,2.39,2.03,1.69,1.65,1.59,1.51,1.28,1.38,0.93,0.84,0.83,0.68,0.7,0.63,0.59,0.49,0.49,0.44,0.44,0.42,0.38,0.32,0.36,0.35,0.3,0.3,0.34,0.27,0.31,0.31,0.26,0.27,0.26,0.24,0.18,0.16,0.17,0.2,0.18,0.24,0.15,0.18,0.16,0.15,0.14,0.15,0.13,0.17,0.16,0.16,0.13,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.08,0.09,0.09,0.08,0.08,0.05,0.0,0.05,0.05,0.06,0.07,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/20/2021,21.95,16.56,6.17,4.01,3.53,3.27,3.06,3.12,2.65,2.66,2.81,2.39,2.03,1.69,1.65,1.59,1.51,1.28,1.38,0.93,0.84,0.83,0.68,0.7,0.63,0.59,0.49,0.49,0.44,0.44,0.42,0.38,0.32,0.36,0.35,0.3,0.3,0.34,0.27,0.31,0.31,0.26,0.27,0.26,0.24,0.18,0.16,0.17,0.2,0.18,0.24,0.15,0.18,0.16,0.15,0.14,0.15,0.13,0.17,0.16,0.16,0.13,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.08,0.09,0.09,0.08,0.08,0.05,0.0,0.05,0.05,0.06,0.07,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/21/2021,21.95,16.56,6.17,4.01,3.53,3.27,3.06,3.12,2.65,2.66,2.81,2.39,2.03,1.69,1.65,1.59,1.51,1.28,1.38,0.93,0.84,0.83,0.68,0.7,0.63,0.59,0.49,0.49,0.44,0.44,0.42,0.38,0.32,0.36,0.35,0.3,0.3,0.34,0.27,0.31,0.31,0.26,0.27,0.26,0.24,0.18,0.16,0.17,0.2,0.18,0.24,0.15,0.18,0.16,0.15,0.14,0.15,0.13,0.17,0.16,0.16,0.13,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.08,0.09,0.09,0.08,0.08,0.05,0.0,0.05,0.05,0.06,0.07,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/22/2021,21.95,16.56,6.17,4.01,3.53,3.27,3.06,3.12,2.65,2.66,2.81,2.39,2.03,1.69,1.65,1.59,1.51,1.28,1.38,0.93,0.84,0.83,0.68,0.7,0.63,0.59,0.49,0.49,0.44,0.44,0.42,0.38,0.32,0.36,0.35,0.3,0.3,0.34,0.27,0.31,0.31,0.26,0.27,0.26,0.24,0.18,0.16,0.17,0.2,0.18,0.24,0.15,0.18,0.16,0.15,0.14,0.15,0.13,0.17,0.16,0.16,0.13,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.08,0.09,0.09,0.08,0.08,0.05,0.0,0.05,0.05,0.06,0.07,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.0,0.0,0.0,99.99000000000002
