,NESN.SW,Cash & Cash Equivalents,ASML.AS,ROG.SW,MC.PA,NOVN.SW,AZN.L,ULVR.L,SAP.DE,NOVO B.CO,SIE.DE,HSBA.L,SAN.PA,DGE.L,TTE.PA,OR.PA,ALV.DE,GSK.L,RIO.L,BP.L,SU.PA,BATS.L,RDSA.AS,AI.PA,ENEL.MI,AIR.PA,DAI.DE,IBE.MC,RYDBF,BAS.DE,ADS.DE,DTE.DE,BNP.PA,DPW.DE,KER.PA,SAN.MC,RKT.L,BHP.L,RITN.,BAYN.DE,ZURN.SW,ABBN.SW,DG.PA,UBSG.SW,ABI.BR,REL.L,LONN.SW,AAL.L,EL.PA,IFX.DE,INGA.AS,PRU.L,DSV.CO,CS.PA,ADYEN.AS,SAF.PA,BN.PA,SIKA.SW,NG.L,ISP.MI,PRX.AS,RI.PA,RMS.PA,LLOY.L,VOW3.DE,VOD.L,PHIA.AS,GIVN.SW,GLEN.L,INVE B.ST,BBVA.MC,ATCO A.ST,VWS.CO,BARC.L,STLA.MI,CPG.L,CRH.L,ITX.MC,MUV2.DE,ERIC B.ST,VNA.DE,NDA SE.ST,EXPN.L,LSEG.L,ALC.SW,PGHN.SW,VOLV B.ST,BMW.DE,DSY.PA,AHT.L,SGO.PA,CLNX.MC,DB1.DE,DSM.AS,FLTR.L,AMS.MC,FERG.L,CAP.PA,HEIA.AS,AD.AS,ENI.MI,ASSA B.ST,HOLN.SW,NOKIA.HE,HEXA B.ST,SAND.ST,ORSTED.CO,LR.PA,EVO.ST,GEBN.SW,KNEBV.HE,SREN.SW,GMAB.CO,WKL.AS,ML.PA,EOAN.DE,NESTE.HE,DBK.DE,RACE.MI,UCG.MI,STM.PA,ENGI.PA,TSCO.L,CSGN.SW,MRK.DE,VIV.PA,BA.L,TEF.MC,GLE.PA,TEP.PA,RWE.DE,BT.A.L,SAMPO.HE,AV.L,KRZ.IR,AKZA.AS,WLN.PA,DHER.DE,ORA.PA,G.MI,SSE.L,FRE.DE,LOGN.SW,DWNI.DE,LGEN.L,ESSITY B.ST,MT.AS,SOON.SW,SEB A.ST,ZAL.DE,EQNR.OL,UPM.HE,IMB.L,DNB.OL,ATCOB.ST,SN.L,CARL B.CO,COLO B.CO,KBC.BR,HEN3.DE,KNIN.SW,SGRO.L,SGSN.SW,SY1.DE,REP.MC,MAERSK B.CO,HM B.ST,WPP.L,HFG.DE,CNHI.MI,STMN.SW,TKWY.AS,VIE.PA,SHB A.ST,SWED A.ST,SHL.DE,STAN.L,FME.DE,III.L,ACA.PA,ASM.AS,SLHN.SW,NZYM B.CO,PAH3.DE,KRX.IR,CON.DE,ERF.PA,NIBE B.ST,EDP.LS,ENT.L,SCMN.SW,EPI A.ST,HLMA.L,EDEN.PA,BNR.DE,PUB.PA,ARGX.BR,SRT3.,FER.MC,CRDA.L,DSYA.,DIM.PA,SWMA.ST,SPX.L,DWN.,NXT.L,RTO.L,BAER.SW,n/a,NWG.L,NN.AS,UCB.BR,CFR.SW,UMG.AS,RR.L,SUM
07/09/2021,3.17,2.95,2.53,2.36,1.91,1.8,1.4,1.38,1.32,1.3,1.06,1.04,1.03,1.0,1.0,0.98,0.91,0.88,0.81,0.78,0.76,0.74,0.73,0.73,0.68,0.68,0.66,0.64,0.64,0.63,0.62,0.62,0.62,0.61,0.58,0.57,0.57,0.56,0.56,0.53,0.53,0.52,0.52,0.49,0.48,0.48,0.47,0.46,0.46,0.46,0.45,0.45,0.44,0.44,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.31
07/12/2021,3.2,2.38,2.54,2.37,1.93,1.82,1.4,1.39,1.37,1.32,1.07,1.04,1.04,0.99,0.98,0.98,0.91,0.88,0.84,0.78,0.77,0.74,0.74,0.74,0.68,0.69,0.66,0.63,0.65,0.65,0.64,0.63,0.61,0.61,0.58,0.56,0.57,0.59,0.56,0.53,0.53,0.55,0.52,0.48,0.47,0.48,0.48,0.47,0.47,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.41,0.42,0.41,0.4,0.39,0.39,0.4,0.4,0.42,0.39,0.37,0.39,0.39,0.38,0.36,0.38,0.35,0.37,0.35,0.33,0.35,0.34,0.34,0.33,0.33,0.32,0.33,0.32,0.32,0.31,0.32,0.31,0.0,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.28,0.27,0.26,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.0,0.0,0.13,0.13,0.13,0.3,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.15
07/13/2021,3.2,2.38,2.54,2.37,1.93,1.82,1.4,1.39,1.37,1.32,1.07,1.04,1.04,0.99,0.98,0.98,0.91,0.88,0.84,0.78,0.77,0.74,0.74,0.74,0.68,0.69,0.66,0.63,0.65,0.65,0.64,0.63,0.61,0.61,0.58,0.56,0.57,0.59,0.56,0.53,0.53,0.55,0.52,0.48,0.47,0.48,0.48,0.47,0.47,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.41,0.42,0.41,0.4,0.39,0.39,0.4,0.4,0.42,0.39,0.37,0.39,0.39,0.38,0.36,0.38,0.35,0.37,0.35,0.33,0.35,0.34,0.34,0.33,0.33,0.32,0.33,0.32,0.32,0.31,0.32,0.31,0.0,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.28,0.27,0.26,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.0,0.0,0.13,0.13,0.13,0.3,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.15
07/14/2021,3.2,2.38,2.54,2.37,1.93,1.82,1.4,1.39,1.37,1.32,1.07,1.04,1.04,0.99,0.98,0.98,0.91,0.88,0.84,0.78,0.77,0.74,0.74,0.74,0.68,0.69,0.66,0.63,0.65,0.65,0.64,0.63,0.61,0.61,0.58,0.56,0.57,0.59,0.56,0.53,0.53,0.55,0.52,0.48,0.47,0.48,0.48,0.47,0.47,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.41,0.42,0.41,0.4,0.39,0.39,0.4,0.4,0.42,0.39,0.37,0.39,0.39,0.38,0.36,0.38,0.35,0.37,0.35,0.33,0.35,0.34,0.34,0.33,0.33,0.32,0.33,0.32,0.32,0.31,0.32,0.31,0.0,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.28,0.27,0.26,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.0,0.0,0.13,0.13,0.13,0.3,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.15
07/15/2021,3.19,2.52,2.56,2.38,1.93,1.82,1.4,1.38,1.37,1.32,1.07,1.03,1.05,0.99,0.98,0.98,0.9,0.88,0.84,0.77,0.77,0.73,0.73,0.74,0.69,0.68,0.66,0.63,0.64,0.64,0.64,0.63,0.6,0.61,0.58,0.56,0.57,0.59,0.56,0.52,0.53,0.54,0.52,0.48,0.47,0.48,0.48,0.47,0.47,0.45,0.44,0.44,0.45,0.44,0.44,0.41,0.41,0.42,0.41,0.4,0.39,0.4,0.41,0.41,0.43,0.39,0.37,0.38,0.39,0.39,0.36,0.38,0.36,0.36,0.34,0.32,0.34,0.34,0.34,0.33,0.33,0.32,0.33,0.32,0.31,0.32,0.31,0.31,0.0,0.31,0.3,0.29,0.29,0.28,0.26,0.27,0.28,0.28,0.28,0.27,0.26,0.28,0.27,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.17,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.0,0.13,0.13,0.0,0.13,0.3,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.21000000000001
07/16/2021,3.18,3.13,2.58,2.37,1.93,1.8,1.4,1.39,1.38,1.31,1.07,1.02,1.04,1.0,0.96,0.98,0.9,0.88,0.83,0.76,0.77,0.73,0.72,0.74,0.68,0.67,0.65,0.62,0.63,0.64,0.63,0.63,0.6,0.6,0.58,0.55,0.56,0.58,0.56,0.52,0.53,0.54,0.51,0.48,0.47,0.49,0.47,0.46,0.47,0.44,0.43,0.43,0.44,0.44,0.44,0.4,0.4,0.42,0.41,0.39,0.4,0.4,0.41,0.4,0.42,0.39,0.37,0.38,0.38,0.38,0.35,0.37,0.35,0.36,0.34,0.32,0.34,0.33,0.33,0.34,0.33,0.32,0.33,0.31,0.31,0.32,0.31,0.31,0.0,0.31,0.3,0.29,0.29,0.28,0.25,0.26,0.28,0.28,0.28,0.27,0.26,0.28,0.27,0.28,0.27,0.26,0.26,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.2,0.21,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.14,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.0,0.13,0.13,0.0,0.13,0.0,0.13,0.3,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.38
07/19/2021,3.19,2.94,2.61,2.39,1.93,1.79,1.35,1.38,1.37,1.34,1.05,1.02,1.04,1.0,0.96,0.99,0.91,0.86,0.85,0.74,0.76,0.74,0.71,0.75,0.68,0.68,0.66,0.62,0.62,0.64,0.63,0.63,0.6,0.61,0.59,0.56,0.56,0.59,0.57,0.52,0.53,0.54,0.5,0.49,0.47,0.49,0.47,0.47,0.46,0.45,0.44,0.44,0.46,0.44,0.45,0.4,0.4,0.43,0.41,0.39,0.41,0.4,0.42,0.4,0.41,0.38,0.37,0.38,0.39,0.39,0.36,0.38,0.33,0.36,0.34,0.32,0.34,0.32,0.34,0.34,0.33,0.33,0.34,0.3,0.31,0.32,0.31,0.31,0.0,0.31,0.31,0.28,0.28,0.29,0.25,0.26,0.28,0.28,0.28,0.27,0.26,0.28,0.27,0.27,0.27,0.27,0.25,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.23,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.19,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.18,0.19,0.19,0.19,0.2,0.18,0.19,0.16,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.15,0.16,0.13,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.0,0.0,0.13,0.0,0.13,0.31,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.38
07/20/2021,3.19,2.94,2.61,2.39,1.93,1.79,1.35,1.38,1.37,1.34,1.05,1.02,1.04,1.0,0.96,0.99,0.91,0.86,0.85,0.74,0.76,0.74,0.71,0.75,0.68,0.68,0.66,0.62,0.62,0.64,0.63,0.63,0.6,0.61,0.59,0.56,0.56,0.59,0.57,0.52,0.53,0.54,0.5,0.49,0.47,0.49,0.47,0.47,0.46,0.45,0.44,0.44,0.46,0.44,0.45,0.4,0.4,0.43,0.41,0.39,0.41,0.4,0.42,0.4,0.41,0.38,0.37,0.38,0.39,0.39,0.36,0.38,0.33,0.36,0.34,0.32,0.34,0.32,0.34,0.34,0.33,0.33,0.34,0.3,0.31,0.32,0.31,0.31,0.0,0.31,0.31,0.28,0.28,0.29,0.25,0.26,0.28,0.28,0.28,0.27,0.26,0.28,0.27,0.27,0.27,0.27,0.25,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.23,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.21,0.19,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.18,0.19,0.19,0.19,0.2,0.18,0.19,0.16,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.15,0.16,0.13,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.0,0.0,0.13,0.0,0.13,0.31,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.38
07/22/2021,3.28,3.31,2.57,2.46,1.9,1.82,1.36,1.42,1.38,1.38,1.04,0.99,1.05,1.0,0.94,1.01,0.88,0.88,0.8,0.71,0.75,0.74,0.68,0.75,0.67,0.65,0.64,0.63,0.6,0.63,0.62,0.62,0.58,0.61,0.58,0.54,0.58,0.57,0.56,0.52,0.53,0.54,0.49,0.48,0.46,0.49,0.48,0.45,0.46,0.43,0.42,0.43,0.45,0.44,0.45,0.39,0.41,0.43,0.41,0.38,0.42,0.4,0.41,0.38,0.4,0.38,0.38,0.4,0.37,0.38,0.35,0.39,0.34,0.34,0.32,0.31,0.33,0.32,0.33,0.31,0.34,0.33,0.34,0.31,0.32,0.32,0.3,0.3,0.0,0.31,0.3,0.29,0.29,0.3,0.25,0.25,0.28,0.28,0.27,0.28,0.25,0.28,0.26,0.27,0.27,0.26,0.25,0.26,0.25,0.26,0.25,0.24,0.25,0.26,0.24,0.24,0.24,0.22,0.23,0.21,0.23,0.22,0.22,0.21,0.23,0.21,0.22,0.21,0.2,0.22,0.2,0.2,0.21,0.19,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.16,0.16,0.18,0.18,0.16,0.19,0.17,0.17,0.19,0.16,0.17,0.17,0.17,0.17,0.17,0.14,0.15,0.14,0.14,0.15,0.14,0.17,0.13,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.0,0.14,0.0,0.13,0.14,0.0,0.13,0.32,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.44999999999999
07/23/2021,3.27,3.27,2.57,2.42,1.91,1.81,1.61,1.4,1.35,1.36,1.04,0.99,1.05,0.99,0.93,1.01,0.89,0.87,0.81,0.7,0.76,0.73,0.68,0.75,0.66,0.66,0.64,0.63,0.6,0.63,0.62,0.62,0.59,0.61,0.58,0.54,0.57,0.57,0.56,0.53,0.53,0.54,0.49,0.51,0.46,0.49,0.48,0.45,0.46,0.43,0.42,0.43,0.45,0.44,0.45,0.4,0.41,0.43,0.41,0.39,0.41,0.4,0.41,0.38,0.41,0.37,0.38,0.4,0.37,0.39,0.35,0.4,0.33,0.34,0.32,0.31,0.34,0.32,0.33,0.3,0.34,0.33,0.34,0.3,0.31,0.33,0.29,0.3,0.0,0.31,0.3,0.29,0.29,0.29,0.25,0.26,0.28,0.29,0.27,0.27,0.25,0.29,0.26,0.28,0.27,0.26,0.25,0.26,0.24,0.26,0.26,0.24,0.25,0.26,0.24,0.24,0.24,0.22,0.23,0.21,0.23,0.22,0.22,0.22,0.23,0.21,0.22,0.21,0.2,0.22,0.19,0.2,0.21,0.19,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.19,0.16,0.17,0.18,0.18,0.16,0.19,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.14,0.15,0.14,0.14,0.14,0.14,0.16,0.13,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.0,0.14,0.13,0.13,0.13,0.14,0.0,0.13,0.14,0.0,0.13,0.31,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.52000000000001
