,n/a,BUT.L,SUM
10/20/2021,69.58,30.42,100.0
10/21/2021,69.54,30.46,100.0
10/22/2021,73.62,26.38,100.0
10/25/2021,71.12,28.88,100.0
10/26/2021,68.47,31.53,100.0
10/27/2021,68.47,31.53,100.0
10/28/2021,68.47,31.53,100.0
10/29/2021,54.87,45.13,100.0
11/01/2021,65.67,34.33,100.0
11/02/2021,69.33,30.67,100.0
11/03/2021,65.7,34.3,100.0
11/04/2021,65.7,34.3,100.0
11/05/2021,67.93,32.07,100.0
11/08/2021,54.47,45.53,100.0
11/09/2021,54.47,45.53,100.0
11/10/2021,72.27,27.73,100.0
11/11/2021,72.27,27.73,100.0
11/12/2021,70.84,29.16,100.0
