,2SPY  220429C00003330,2SPY  220429P00396440,Cash&Other,2SPY  220429P00271250,2SPY  220429C00444840,SUM
07/09/2021,100.18,4.11,0.73,-0.72,-4.3,100.0
07/12/2021,100.69,3.96,0.72,-0.72,-4.65,100.0
07/13/2021,100.69,3.96,0.72,-0.72,-4.65,100.0
07/14/2021,100.69,3.96,0.72,-0.72,-4.65,100.0
07/15/2021,100.95,3.87,0.72,-0.68,-4.86,100.0
07/16/2021,100.72,4.06,0.72,-0.74,-4.75,100.01
07/19/2021,100.47,4.15,0.71,-0.74,-4.59,100.0
07/20/2021,99.96,4.42,0.71,-0.8,-4.29,100.0
07/21/2021,99.96,4.42,0.71,-0.8,-4.29,100.0
07/22/2021,98.98,4.95,0.71,-0.91,-3.73,100.0
07/23/2021,100.09,4.44,0.71,-0.83,-4.4,100.01
07/26/2021,100.79,4.03,0.69,-0.74,-4.78,99.99
07/27/2021,101.45,3.81,0.69,-0.71,-5.24,100.0
07/28/2021,101.45,3.81,0.69,-0.71,-5.24,100.0
07/29/2021,101.72,3.74,0.69,-0.68,-5.46,100.01
07/30/2021,101.23,3.97,0.69,-0.76,-5.13,100.0
08/02/2021,101.52,3.75,0.68,-0.69,-5.26,100.0
08/03/2021,101.35,3.84,0.68,-0.71,-5.15,100.01
08/04/2021,101.35,3.84,0.68,-0.71,-5.15,100.01
08/05/2021,101.12,3.94,0.67,-0.72,-5.02,99.99
08/06/2021,101.6,3.69,0.67,-0.68,-5.28,100.0
08/10/2021,101.91,3.44,0.66,-0.62,-5.38,100.01
08/11/2021,101.91,3.44,0.66,-0.62,-5.38,100.01
08/13/2021,101.85,3.52,0.65,-0.62,-5.41,99.99
08/16/2021,102.27,3.31,0.64,-0.57,-5.65,100.0
08/17/2021,102.46,3.26,0.64,-0.58,-5.78,100.0
08/18/2021,102.46,3.26,0.64,-0.58,-5.78,100.0
08/19/2021,102.7,3.2,0.64,-0.56,-5.99,99.99
08/20/2021,102.08,3.5,0.64,-0.62,-5.61,99.99
08/23/2021,101.41,3.85,0.59,-0.59,-5.26,100.0
08/24/2021,102.09,3.59,0.58,-0.65,-5.62,99.99
08/25/2021,102.09,3.59,0.58,-0.65,-5.62,99.99
08/26/2021,102.84,3.24,0.58,-0.6,-6.06,100.0
08/27/2021,102.92,3.28,0.58,-0.61,-6.16,100.01
08/30/2021,102.68,3.36,0.57,-0.62,-5.99,100.0
08/31/2021,103.27,3.08,0.57,-0.55,-6.36,100.01
09/01/2021,103.27,3.08,0.57,-0.55,-6.36,100.01
09/02/2021,103.66,2.97,0.56,-0.52,-6.67,100.0
09/03/2021,103.69,2.99,0.56,-0.55,-6.7,99.99
09/06/2021,103.73,2.91,0.6,-0.54,-6.71,99.99
09/07/2021,103.77,2.93,0.6,-0.55,-6.75,100.0
09/08/2021,103.77,2.93,0.6,-0.55,-6.75,100.0
09/09/2021,103.77,2.93,0.6,-0.55,-6.75,100.0
09/10/2021,103.54,3.07,0.57,-0.58,-6.6,100.0
09/13/2021,103.1,3.24,0.57,-0.6,-6.33,99.98
09/14/2021,102.55,3.45,0.57,-0.66,-5.91,100.0
09/15/2021,102.55,3.45,0.57,-0.66,-5.91,100.0
09/16/2021,102.74,3.29,0.57,-0.6,-6.0,100.0
09/17/2021,102.31,3.39,0.57,-0.62,-5.65,100.0
09/20/2021,102.7,3.19,0.56,-0.54,-5.9,100.01
09/21/2021,102.01,3.5,0.56,-0.63,-5.44,100.0
09/22/2021,102.01,3.5,0.56,-0.63,-5.44,100.0
09/23/2021,100.69,4.17,0.56,-0.73,-4.68,100.01
09/24/2021,100.6,4.11,0.55,-0.71,-4.56,99.99
09/27/2021,102.26,3.16,0.54,-0.52,-5.45,99.99
09/28/2021,102.35,3.09,0.54,-0.49,-5.5,99.99
09/29/2021,102.35,3.09,0.54,-0.49,-5.5,99.99
09/30/2021,102.09,3.17,0.54,-0.5,-5.29,100.01
10/01/2021,100.76,3.89,0.54,-0.65,-4.54,100.0
10/04/2021,99.99,4.05,0.53,-0.64,-3.94,99.99
10/05/2021,100.72,3.69,0.53,-0.58,-4.36,100.0
10/06/2021,100.72,3.69,0.53,-0.58,-4.36,100.0
10/07/2021,99.85,4.03,0.53,-0.6,-3.8,100.01
10/08/2021,100.51,3.69,0.52,-0.55,-4.17,100.0
10/11/2021,100.8,3.53,0.52,-0.52,-4.34,99.99
10/12/2021,101.19,3.28,0.51,-0.48,-4.5,100.0
10/13/2021,101.19,3.28,0.51,-0.48,-4.5,100.0
10/14/2021,100.67,3.41,0.51,-0.49,-4.1,100.0
10/15/2021,100.36,3.44,0.51,-0.49,-3.81,100.01
10/18/2021,101.95,2.72,0.5,-0.38,-4.79,100.0
10/19/2021,102.52,2.62,0.49,-0.39,-5.24,100.0
10/20/2021,102.52,2.62,0.49,-0.39,-5.24,100.0
10/21/2021,102.77,2.55,0.49,-0.38,-5.42,100.01
10/22/2021,103.42,2.38,0.49,-0.37,-5.92,100.0
10/25/2021,103.82,2.22,0.48,-0.34,-6.18,100.0
10/26/2021,103.77,2.29,0.48,-0.36,-6.18,100.0
10/27/2021,103.77,2.29,0.48,-0.36,-6.18,100.0
10/28/2021,104.22,2.1,0.47,-0.32,-6.48,99.99
10/29/2021,104.34,2.13,0.47,-0.32,-6.62,100.0
11/01/2021,104.65,2.12,0.46,-0.32,-6.92,99.99
11/02/2021,104.98,2.06,0.46,-0.32,-7.18,100.0
11/03/2021,104.98,2.06,0.46,-0.32,-7.18,100.0
11/04/2021,105.04,2.02,0.46,-0.3,-7.21,100.01
