,AAPL,MSFT,AMZN,FB,GOOG,TSLA,NVDA,GOOGL,PYPL,ADBE,CMCSA,NFLX,INTC,CSCO,PEP,AVGO,TMUS,TXN,COST,QCOM,AMGN,CHTR,INTU,SBUX,AMAT,AMD,ISRG,ZM,MRNA,MU,BKNG,LRCX,MDLZ,GILD,ADP,MELI,CSX,ATVI,FISV,ILMN,ADSK,ADI,REGN,JD,IDXX,DOCU,NXPI,ASML,BIIB,VRTX,KDP,BIDU,KHC,MNST,KLAC,ALGN,MRVL,EBAY,LULU,MAR,ROST,WDAY,EXC,MTCH,PDD,AEP,SNPS,DXCM,WBA,EA,ALXN,ORLY,CTAS,MCHP,PAYX,CDNS,CTSH,TEAM,XEL,XLNX,PTON,NTES,CPRT,SWKS,OKTA,ANSS,FAST,PCAR,VRSK,SGEN,MXIM,SIRI,VRSN,CDW,CERN,SPLK,DLTR,INCY,TCOM,CHKP,FOXA,FOX,AGPXX,Cash/Receivables/Payables,HON,n/a,CRWD,CLV.,LCID,ABNB,FTNT,PANW,DDOG,ZS,PEP.,PEO.,SUM
07/09/2021,11.22,9.9,8.77,4.0,3.98,3.73,3.72,3.59,2.48,2.06,1.91,1.73,1.63,1.61,1.49,1.39,1.32,1.27,1.27,1.15,1.01,0.99,0.99,0.98,0.9,0.83,0.81,0.68,0.68,0.66,0.65,0.64,0.63,0.62,0.62,0.56,0.53,0.53,0.52,0.5,0.47,0.45,0.44,0.42,0.41,0.41,0.4,0.39,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.26,0.26,0.26,0.26,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.13,0.13,0.11,0.09,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/12/2021,11.44,9.89,8.85,3.97,3.97,3.7,3.59,3.56,2.53,2.08,1.91,1.71,1.63,1.63,1.48,1.41,1.31,1.26,1.31,1.15,1.01,1.0,0.99,1.0,0.89,0.79,0.81,0.65,0.67,0.64,0.64,0.63,0.64,0.62,0.62,0.55,0.52,0.52,0.52,0.5,0.47,0.44,0.44,0.43,0.41,0.4,0.4,0.39,0.39,0.37,0.36,0.34,0.35,0.34,0.34,0.35,0.34,0.34,0.34,0.33,0.32,0.33,0.32,0.32,0.3,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.26,0.26,0.26,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.19,0.19,0.19,0.19,0.18,0.17,0.16,0.17,0.13,0.12,0.12,0.09,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
07/13/2021,11.44,9.89,8.85,3.97,3.97,3.7,3.59,3.56,2.53,2.08,1.91,1.71,1.63,1.63,1.48,1.41,1.31,1.26,1.31,1.15,1.01,1.0,0.99,1.0,0.89,0.79,0.81,0.65,0.67,0.64,0.64,0.63,0.64,0.62,0.62,0.55,0.52,0.52,0.52,0.5,0.47,0.44,0.44,0.43,0.41,0.4,0.4,0.39,0.39,0.37,0.36,0.34,0.35,0.34,0.34,0.35,0.34,0.34,0.34,0.33,0.32,0.33,0.32,0.32,0.3,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.26,0.26,0.26,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.19,0.19,0.19,0.19,0.18,0.17,0.16,0.17,0.13,0.12,0.12,0.09,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
07/15/2021,11.35,9.83,8.82,3.98,3.98,3.85,3.66,3.59,2.55,2.06,1.91,1.71,1.64,1.61,1.48,1.42,1.31,1.27,1.29,1.15,1.01,0.97,0.99,1.0,0.9,0.79,0.82,0.64,0.69,0.64,0.64,0.64,0.63,0.61,0.62,0.54,0.52,0.52,0.52,0.51,0.46,0.44,0.43,0.42,0.4,0.4,0.4,0.4,0.38,0.37,0.36,0.34,0.35,0.35,0.34,0.36,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.3,0.31,0.3,0.31,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.26,0.25,0.26,0.24,0.23,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.19,0.19,0.19,0.19,0.18,0.17,0.16,0.17,0.13,0.12,0.12,0.09,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07999999999998
07/16/2021,11.44,9.96,8.72,3.97,4.0,3.76,3.61,3.6,2.53,2.07,1.9,1.72,1.65,1.61,1.51,1.42,1.32,1.26,1.29,1.14,1.01,0.96,0.99,1.01,0.89,0.79,0.82,0.64,0.68,0.63,0.64,0.64,0.64,0.61,0.62,0.55,0.52,0.52,0.53,0.51,0.47,0.44,0.43,0.44,0.4,0.4,0.4,0.4,0.38,0.37,0.36,0.34,0.34,0.35,0.34,0.36,0.33,0.34,0.33,0.32,0.31,0.32,0.31,0.32,0.3,0.31,0.3,0.31,0.29,0.29,0.3,0.29,0.29,0.28,0.29,0.28,0.26,0.25,0.26,0.24,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.16,0.13,0.12,0.12,0.08,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,11.73,10.02,8.65,3.91,4.03,3.67,3.4,3.61,2.51,2.09,1.91,1.73,1.62,1.63,1.54,1.41,1.33,1.25,1.31,1.15,1.02,0.96,0.99,1.01,0.88,0.76,0.82,0.61,0.75,0.62,0.63,0.63,0.65,0.62,0.63,0.54,0.52,0.51,0.53,0.49,0.47,0.43,0.44,0.45,0.4,0.39,0.39,0.4,0.36,0.37,0.37,0.35,0.35,0.36,0.33,0.35,0.33,0.34,0.34,0.33,0.32,0.31,0.32,0.32,0.3,0.31,0.3,0.31,0.29,0.3,0.29,0.3,0.28,0.27,0.29,0.28,0.26,0.25,0.27,0.23,0.22,0.25,0.24,0.23,0.21,0.22,0.22,0.22,0.22,0.19,0.19,0.19,0.19,0.18,0.17,0.16,0.17,0.13,0.12,0.12,0.08,0.06,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/23/2021,11.49,9.91,8.49,3.86,4.0,3.71,3.33,3.58,2.51,2.09,1.88,1.69,1.6,1.62,1.54,1.37,1.29,1.24,1.32,1.13,1.02,0.97,1.0,0.99,0.87,0.76,0.81,0.6,0.89,0.61,0.63,0.62,0.65,0.62,0.62,0.55,0.51,0.51,0.52,0.51,0.47,0.43,0.44,0.43,0.41,0.42,0.38,0.39,0.35,0.37,0.37,0.33,0.35,0.36,0.33,0.35,0.33,0.34,0.34,0.32,0.3,0.31,0.32,0.3,0.28,0.31,0.3,0.31,0.29,0.29,0.0,0.3,0.29,0.27,0.29,0.28,0.26,0.26,0.26,0.23,0.24,0.25,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.19,0.19,0.19,0.19,0.18,0.17,0.16,0.17,0.13,0.11,0.12,0.08,0.06,0.07,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
08/03/2021,11.3,9.96,7.79,3.96,4.06,3.8,3.43,3.76,2.29,2.1,1.91,1.62,1.53,1.65,1.53,1.4,1.27,1.24,1.34,1.19,0.98,0.99,1.02,1.01,0.9,0.91,0.83,0.63,1.0,0.61,0.63,0.64,0.63,0.61,0.63,0.55,0.52,0.46,0.54,0.51,0.5,0.44,0.43,0.4,0.41,0.41,0.4,0.43,0.35,0.37,0.35,0.3,0.33,0.35,0.38,0.39,0.35,0.33,0.35,0.34,0.31,0.31,0.32,0.3,0.25,0.31,0.31,0.35,0.29,0.29,0.0,0.3,0.29,0.28,0.29,0.29,0.27,0.31,0.26,0.26,0.22,0.22,0.25,0.22,0.22,0.23,0.22,0.2,0.22,0.2,0.19,0.19,0.17,0.18,0.17,0.16,0.16,0.12,0.1,0.12,0.08,0.06,0.04,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/04/2021,11.3,9.96,7.79,3.96,4.06,3.8,3.43,3.76,2.29,2.1,1.91,1.62,1.53,1.65,1.53,1.4,1.27,1.24,1.34,1.19,0.98,0.99,1.02,1.01,0.9,0.91,0.83,0.63,1.0,0.61,0.63,0.64,0.63,0.61,0.63,0.55,0.52,0.46,0.54,0.51,0.5,0.44,0.43,0.4,0.41,0.41,0.4,0.43,0.35,0.37,0.35,0.3,0.33,0.35,0.38,0.39,0.35,0.33,0.35,0.34,0.31,0.31,0.32,0.3,0.25,0.31,0.31,0.35,0.29,0.29,0.0,0.3,0.29,0.28,0.29,0.29,0.27,0.31,0.26,0.26,0.22,0.22,0.25,0.22,0.22,0.23,0.22,0.2,0.22,0.2,0.19,0.19,0.17,0.18,0.17,0.16,0.16,0.12,0.1,0.12,0.08,0.06,0.04,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/05/2021,11.27,9.95,7.79,3.91,4.08,3.93,3.48,3.76,2.25,2.09,1.89,1.61,1.53,1.65,1.53,1.4,1.28,1.24,1.34,1.19,0.97,1.0,1.02,1.0,0.92,0.93,0.83,0.63,0.98,0.62,0.63,0.65,0.63,0.61,0.63,0.55,0.52,0.45,0.52,0.51,0.5,0.44,0.43,0.41,0.41,0.41,0.41,0.43,0.35,0.36,0.34,0.31,0.33,0.35,0.37,0.39,0.35,0.33,0.36,0.33,0.31,0.31,0.32,0.31,0.24,0.31,0.31,0.35,0.29,0.29,0.0,0.3,0.29,0.28,0.29,0.29,0.27,0.31,0.26,0.26,0.23,0.22,0.24,0.22,0.22,0.23,0.22,0.2,0.22,0.2,0.19,0.19,0.17,0.18,0.17,0.16,0.16,0.12,0.1,0.12,0.08,0.06,0.04,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
