,NESN.SW,ROG.SW,NOVN.SW,RITN.,ABBN.SW,ZURN.SW,UBSG.SW,LONN.SW,SIKA.SW,GIVN.SW,ALC.SW,HOLN.SW,PGHN.SW,GEBN.SW,SREN.SW,CSGN.SW,SOON.SW,LOGN.SW,KNIN.SW,SGSN.SW,STMN.SW,SCMN.SW,SLHN.SW,BAER.SW,SCHP.SW,TEMN.SW,LISN.SW,ADEN.SW,LISP.SW,UHR.SW,CHF,BARN.SW,EMSN.SW,SPSN.SW,BALN.SW,VIFN.SW,SCHN.SW,CLN.SW,SWGNF,BCVN.SW,RO.SW,MSFUT,XTSLA,EUR,VGU1,MARGIN_USD,USD,CFR.SW,SMU1,SMZ1,SUM
07/09/2021,19.81,14.36,10.58,3.91,3.88,3.68,3.46,3.36,2.96,2.75,2.21,1.97,1.91,1.84,1.67,1.6,1.45,1.37,1.32,1.27,1.18,1.05,1.04,1.03,0.89,0.83,0.82,0.78,0.78,0.74,0.72,0.69,0.62,0.61,0.56,0.51,0.5,0.37,0.36,0.27,0.2,0.06,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/12/2021,19.94,14.42,10.56,3.86,3.93,3.65,3.34,3.39,2.99,2.76,2.2,1.95,1.88,1.87,1.68,1.55,1.47,1.38,1.3,1.28,1.21,1.05,1.02,0.97,0.9,0.82,0.82,0.77,0.79,0.73,0.72,0.7,0.64,0.61,0.56,0.51,0.51,0.37,0.36,0.27,0.2,0.06,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/13/2021,19.94,14.42,10.56,3.86,3.93,3.65,3.34,3.39,2.99,2.76,2.2,1.95,1.88,1.87,1.68,1.55,1.47,1.38,1.3,1.28,1.21,1.05,1.02,0.97,0.9,0.82,0.82,0.77,0.79,0.73,0.72,0.7,0.64,0.61,0.56,0.51,0.51,0.37,0.36,0.27,0.2,0.06,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/19/2021,19.73,14.4,10.47,3.96,3.98,3.67,3.41,3.29,3.04,2.78,2.14,1.95,1.91,1.91,1.69,1.53,1.43,1.32,1.33,1.28,1.27,1.06,1.03,0.99,0.91,0.81,0.83,0.77,0.8,0.77,0.68,0.7,0.65,0.61,0.56,0.5,0.51,0.38,0.38,0.27,0.2,0.06,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/20/2021,19.73,14.4,10.47,3.96,3.98,3.67,3.41,3.29,3.04,2.78,2.14,1.95,1.91,1.91,1.69,1.53,1.43,1.32,1.33,1.28,1.27,1.06,1.03,0.99,0.91,0.81,0.83,0.77,0.8,0.77,0.68,0.7,0.65,0.61,0.56,0.5,0.51,0.38,0.38,0.27,0.2,0.06,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/22/2021,20.05,14.61,10.48,3.82,3.88,3.61,3.32,3.34,3.02,2.86,2.16,1.88,1.92,1.91,1.62,1.5,1.43,1.31,1.3,1.28,1.29,1.07,1.0,0.96,0.92,0.82,0.83,0.74,0.81,0.72,0.69,0.71,0.66,0.61,0.55,0.5,0.51,0.37,0.35,0.27,0.2,0.06,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/27/2021,19.61,13.9,10.47,3.98,4.03,3.69,3.56,3.41,3.04,2.82,2.19,1.94,2.01,1.94,1.67,1.55,1.44,1.33,1.25,1.29,1.3,1.08,1.05,1.0,0.93,0.8,0.83,0.77,0.81,0.72,0.68,0.71,0.66,0.62,0.56,0.52,0.52,0.38,0.35,0.27,0.2,0.06,0.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/03/2021,19.53,14.06,10.38,4.05,3.99,3.65,3.65,3.52,3.07,2.84,2.21,1.92,2.04,1.95,1.63,1.52,1.45,1.17,1.25,1.28,1.31,1.06,1.06,1.01,0.92,0.8,0.86,0.67,0.84,0.72,0.68,0.71,0.68,0.62,0.55,0.52,0.52,0.37,0.36,0.27,0.2,0.06,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/04/2021,19.53,14.06,10.38,4.05,3.99,3.65,3.65,3.52,3.07,2.84,2.21,1.92,2.04,1.95,1.63,1.52,1.45,1.17,1.25,1.28,1.31,1.06,1.06,1.01,0.92,0.8,0.86,0.67,0.84,0.72,0.68,0.71,0.68,0.62,0.55,0.52,0.52,0.37,0.36,0.27,0.2,0.06,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/05/2021,19.53,14.06,10.38,4.05,3.99,3.65,3.65,3.52,3.07,2.84,2.21,1.92,2.04,1.95,1.63,1.52,1.45,1.17,1.25,1.28,1.31,1.06,1.06,1.01,0.92,0.8,0.86,0.67,0.84,0.72,0.68,0.71,0.68,0.62,0.55,0.52,0.52,0.37,0.36,0.27,0.2,0.06,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.05
