,AAPL,MSFT,JNJ,TGT,ORCL,WMT,ABBV,EBAY,VZ,MMM,KR,RSG,TRV,MRK,BMY,WM,GWW,CLX,TSCO,STX,AZO,LMT,NTAP,CTXS,JBHT,NOC,FNF,RHI,CPB,ORLY,ITW,ALL,WSO,MAN,PKG,UNP,TXN,SEIC,DVA,QRTEA,PG,MIDD,LAZ,QCOM,HSY,S&P 500 Emini Fut Sep21,MHK,LH,NXPI,K,BIIB,HSIC,ORI,ADP,MTZ,UNH,AN,SCI,CL,LOW,SJM,INGR,BBY,TSN,MCK,MAS,MO,HBAN,CASY,Futures Collateral - Cash,OGN,ESU21,FRGXX,MPFXX,CJPXX,TMPXX,FPOXX,SUM
07/09/2021,6.81,6.52,4.08,3.85,3.7,3.46,3.43,3.38,3.37,3.25,3.1,3.05,2.95,2.95,2.87,2.8,2.72,2.7,2.67,2.52,2.35,1.74,1.69,1.6,1.55,1.15,1.14,1.08,1.07,1.07,0.94,0.92,0.9,0.61,0.55,0.55,0.55,0.54,0.53,0.46,0.44,0.43,0.43,0.42,0.41,0.39,0.35,0.34,0.31,0.31,0.3,0.3,0.29,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.21,0.15,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/31/2021,6.76,6.45,4.04,3.83,3.57,3.53,3.4,3.43,3.39,3.28,3.14,3.05,2.96,2.96,2.9,2.8,2.7,2.75,2.68,2.58,2.29,1.75,1.69,1.6,1.55,1.14,1.14,1.1,1.09,1.06,0.94,0.92,0.91,0.63,0.55,0.55,0.55,0.54,0.53,0.47,0.44,0.43,0.42,0.43,0.42,0.0,0.35,0.34,0.32,0.32,0.3,0.29,0.3,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.0,0.12,0.01,0.0,0.0,0.0,0.0,0.0,99.61
09/01/2021,6.76,6.45,4.04,3.83,3.57,3.53,3.4,3.43,3.39,3.28,3.14,3.05,2.96,2.96,2.9,2.8,2.7,2.75,2.68,2.58,2.29,1.75,1.69,1.6,1.55,1.14,1.14,1.1,1.09,1.06,0.94,0.92,0.91,0.63,0.55,0.55,0.55,0.54,0.53,0.47,0.44,0.43,0.42,0.43,0.42,0.0,0.35,0.34,0.32,0.32,0.3,0.29,0.3,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.0,0.12,0.01,0.0,0.0,0.0,0.0,0.0,99.61
09/02/2021,6.76,6.45,4.04,3.83,3.57,3.53,3.4,3.43,3.39,3.28,3.14,3.05,2.96,2.96,2.9,2.8,2.7,2.75,2.68,2.58,2.29,1.75,1.69,1.6,1.55,1.14,1.14,1.1,1.09,1.06,0.94,0.92,0.91,0.63,0.55,0.55,0.55,0.54,0.53,0.47,0.44,0.43,0.42,0.43,0.42,0.0,0.35,0.34,0.32,0.32,0.3,0.29,0.3,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.0,0.12,0.01,0.0,0.0,0.0,0.0,0.0,99.61
