,300750 C2,TSLA,BHP,1211 HK,NIO,051910.KS,006400.KS,GLEN.L,MNOD LI,002812 C2,XPEV,1772 HK,6752.T,300014 C2,096770.KS,LI,002371 C2,603799 C1,PLUG,ALB,SEDG,300450 C2,UMI.BR,3993 HK,6701.T,FM.TO,SQM,5713.T,S32.AX,MIN.AX,NKLA,VAR1.DE,JMAT.L,QS,EOSE,020150.KS,ENS,HYLN,IGO.AX,LUN.TO,LTHM,BLNK,PLS.AX,066970.KQ,ANTM.JK,4004.T,BEEM,FCEL,082920.KQ,ARI.JO,PLL,SLL.V,2362.HK,LAC.TO,INCO.JK,GPV.V,CBAT,6121 TT,6674.T,NLC.V,NANO.TO,3211 TT,FSR,ASL.DE,ORE.AX,INR.AX,AMG.AS,LGO.TO,GXY.AX,ERA.PA,1585.HK,JMS.AX,WSA.AX,6619.T,TLO.TO,BMN.L,WKHS,NOU.V,1958.HK,NIU,Cash&Other,GOEV,819.HK,RIDE,XL,FUV,SOLO,KNDI,0669701B KS,TAWXE AU,LCID,CHPT,247540.KQ,EVGO,VUL.AX,LEV,FREY,RMO,PTRA,FAST.AS,ARVL,SUM
07/09/2021,8.22,6.49,5.52,5.22,4.97,3.59,3.04,2.89,2.81,2.23,2.1,1.94,1.94,1.86,1.73,1.72,1.7,1.66,1.45,1.45,1.24,1.17,1.14,1.13,1.1,1.06,0.99,0.86,0.85,0.85,0.8,0.78,0.77,0.7,0.68,0.67,0.66,0.66,0.64,0.62,0.61,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.56,0.55,0.54,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.46,0.45,0.45,0.45,0.44,0.43,0.43,0.43,0.43,0.4,0.4,0.4,0.39,0.38,0.34,0.3,0.29,0.27,0.27,0.24,0.24,0.23,0.22,0.22,0.19,0.18,0.14,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/12/2021,8.91,6.4,5.8,5.05,4.46,3.03,2.65,2.97,2.92,2.44,1.88,2.05,1.88,2.19,1.5,1.62,1.99,1.92,1.28,1.5,1.2,1.34,1.14,1.31,1.08,1.1,1.02,0.83,0.85,0.85,0.73,0.79,0.81,0.66,0.7,0.57,0.66,0.6,0.63,0.64,0.63,0.55,0.63,0.69,0.59,0.54,0.55,0.55,0.47,0.57,0.54,0.64,0.46,0.53,0.54,0.49,0.51,0.53,0.48,0.5,0.45,0.48,0.42,0.44,0.44,0.42,0.44,0.43,0.42,0.44,0.41,0.4,0.37,0.37,0.3,0.3,0.27,0.25,0.27,0.26,0.21,0.22,0.22,0.21,0.17,0.18,0.14,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/13/2021,8.91,6.4,5.8,5.05,4.46,3.03,2.65,2.97,2.92,2.44,1.88,2.05,1.88,2.19,1.5,1.62,1.99,1.92,1.28,1.5,1.2,1.34,1.14,1.31,1.08,1.1,1.02,0.83,0.85,0.85,0.73,0.79,0.81,0.66,0.7,0.57,0.66,0.6,0.63,0.64,0.63,0.55,0.63,0.69,0.59,0.54,0.55,0.55,0.47,0.57,0.54,0.64,0.46,0.53,0.54,0.49,0.51,0.53,0.48,0.5,0.45,0.48,0.42,0.44,0.44,0.42,0.44,0.43,0.42,0.44,0.41,0.4,0.37,0.37,0.3,0.3,0.27,0.25,0.27,0.26,0.21,0.22,0.22,0.21,0.17,0.18,0.14,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/14/2021,8.91,6.4,5.8,5.05,4.46,3.03,2.65,2.97,2.92,2.44,1.88,2.05,1.88,2.19,1.5,1.62,1.99,1.92,1.28,1.5,1.2,1.34,1.14,1.31,1.08,1.1,1.02,0.83,0.85,0.85,0.73,0.79,0.81,0.66,0.7,0.57,0.66,0.6,0.63,0.64,0.63,0.55,0.63,0.69,0.59,0.54,0.55,0.55,0.47,0.57,0.54,0.64,0.46,0.53,0.54,0.49,0.51,0.53,0.48,0.5,0.45,0.48,0.42,0.44,0.44,0.42,0.44,0.43,0.42,0.44,0.41,0.4,0.37,0.37,0.3,0.3,0.27,0.25,0.27,0.26,0.21,0.22,0.22,0.21,0.17,0.18,0.14,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,8.78,6.5,5.64,5.3,4.42,3.18,2.7,2.87,2.87,2.49,1.83,2.16,1.87,2.28,1.55,1.62,1.92,2.01,1.23,1.55,1.17,1.32,1.12,1.26,1.06,1.06,1.05,0.83,0.83,0.86,0.71,0.77,0.78,0.62,0.66,0.58,0.65,0.58,0.62,0.64,0.65,0.53,0.63,0.69,0.57,0.56,0.54,0.53,0.49,0.54,0.54,0.72,0.45,0.57,0.52,0.5,0.48,0.5,0.48,0.52,0.46,0.46,0.41,0.43,0.44,0.44,0.43,0.44,0.42,0.44,0.41,0.38,0.37,0.39,0.28,0.31,0.26,0.25,0.27,0.24,0.24,0.22,0.21,0.2,0.16,0.18,0.14,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,8.8,6.38,5.65,5.36,4.31,3.17,2.8,2.84,2.97,2.47,1.81,2.17,1.88,2.27,1.56,1.62,1.87,1.97,1.19,1.54,1.16,1.39,1.13,1.21,1.08,1.06,1.05,0.83,0.83,0.85,0.68,0.77,0.78,0.6,0.7,0.59,0.64,0.57,0.64,0.63,0.61,0.51,0.64,0.83,0.57,0.57,0.52,0.5,0.5,0.56,0.51,0.72,0.46,0.54,0.53,0.49,0.46,0.51,0.49,0.54,0.45,0.46,0.4,0.43,0.46,0.45,0.44,0.44,0.44,0.44,0.41,0.4,0.36,0.42,0.28,0.3,0.25,0.26,0.27,0.24,0.24,0.22,0.21,0.2,0.16,0.18,0.13,0.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,8.98,6.28,5.73,4.95,4.23,3.13,2.84,2.93,3.01,2.59,1.8,2.24,1.9,2.29,1.55,1.56,1.94,1.9,1.16,1.57,1.07,1.33,1.14,1.26,1.09,1.01,1.05,0.83,0.84,0.89,0.68,0.8,0.78,0.62,0.73,0.63,0.63,0.56,0.66,0.63,0.62,0.48,0.65,0.89,0.59,0.57,0.48,0.47,0.51,0.58,0.51,0.73,0.47,0.51,0.54,0.49,0.46,0.53,0.5,0.55,0.45,0.44,0.38,0.43,0.48,0.43,0.44,0.42,0.46,0.46,0.41,0.38,0.36,0.45,0.3,0.28,0.24,0.26,0.28,0.22,0.27,0.21,0.2,0.2,0.16,0.17,0.13,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/20/2021,8.6,6.37,5.72,5.04,4.25,3.26,2.91,2.89,3.02,2.39,1.87,2.31,1.96,2.25,1.57,1.56,1.94,1.9,1.15,1.56,1.07,1.27,1.18,1.27,1.11,0.94,1.03,0.86,0.86,0.89,0.68,0.82,0.8,0.61,0.68,0.66,0.64,0.55,0.66,0.62,0.57,0.48,0.67,0.91,0.61,0.59,0.48,0.45,0.53,0.58,0.49,0.7,0.48,0.49,0.56,0.47,0.46,0.54,0.51,0.55,0.45,0.44,0.39,0.44,0.49,0.46,0.43,0.41,0.47,0.45,0.41,0.4,0.37,0.47,0.28,0.3,0.23,0.25,0.28,0.22,0.27,0.21,0.21,0.2,0.16,0.17,0.13,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/21/2021,8.6,6.37,5.72,5.04,4.25,3.26,2.91,2.89,3.02,2.39,1.87,2.31,1.96,2.25,1.57,1.56,1.94,1.9,1.15,1.56,1.07,1.27,1.18,1.27,1.11,0.94,1.03,0.86,0.86,0.89,0.68,0.82,0.8,0.61,0.68,0.66,0.64,0.55,0.66,0.62,0.57,0.48,0.67,0.91,0.61,0.59,0.48,0.45,0.53,0.58,0.49,0.7,0.48,0.49,0.56,0.47,0.46,0.54,0.51,0.55,0.45,0.44,0.39,0.44,0.49,0.46,0.43,0.41,0.47,0.45,0.41,0.4,0.37,0.47,0.28,0.3,0.23,0.25,0.28,0.22,0.27,0.21,0.21,0.2,0.16,0.17,0.13,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,8.6,6.5,5.66,5.02,4.38,3.26,2.92,2.8,3.03,2.34,1.93,2.39,1.96,2.24,1.56,1.6,1.96,1.84,1.17,1.57,1.11,1.28,1.17,1.27,1.12,0.89,1.04,0.85,0.84,0.89,0.69,0.8,0.77,0.63,0.67,0.69,0.63,0.55,0.66,0.62,0.56,0.5,0.64,0.96,0.63,0.57,0.5,0.46,0.54,0.58,0.49,0.66,0.46,0.48,0.57,0.44,0.48,0.54,0.51,0.52,0.44,0.44,0.39,0.45,0.47,0.44,0.41,0.39,0.45,0.44,0.4,0.39,0.37,0.46,0.28,0.28,0.24,0.24,0.27,0.22,0.28,0.21,0.21,0.2,0.17,0.18,0.13,0.13,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
