,n/a,MSFT,GOOGL,AAPL,SU.PA,TSLA,ABBN.SW,ACN,NVDA,CS.PA,ORCL,DSY.PA,ADBE,SPGI,MCO,CRM,JPM,INFO,NOW,PLD,ADI,CBRE,OR.PA,JNJ,MA,CM.TO,SGRO.L,INTU,EW,HD,III.L,AXP,VMW,PG,LLY,CI,NTRS,LSEG.L,VNA.DE,SGSN.SW,INTC,KRX.IR,VZ,BLK,HPE,BBY,GMG.AX,EQIX,FERG.L,AZN.L,ITX.MC,PYPL,ADSK,UNH,SCMN.SW,NN.AS,TRI.TO,TGT,BXP,CVS,MMC,PEAK,ANTM,CL,DELL,KGF.L,BT.A.L,GILD,WSP.TO,HUM,TRN.MI,ALV.DE,PNC,TCL.AX,ALO.PA,LR.PA,GSK.L,KPN.AS,AMGN,IRM,CTXS,INF.L,GOOG,REE.MC,NKE,ELISA.HE,ENPH,TROW,XPEV,SEDG,ABBV,KO,BK,RUN,PRU,MS,ISP.MI,MRK,KGX.DE,PSON.L,IVZ,BLND.L,ILMN,ORA.PA,TRV,GET.PA,DBK.DE,T.TO,Z74.SI,SIVB,STT,URW.AS,GFC.PA,LLOY.L,DIS,TT,ETSY,KEY,VFC,MCD,SPG,PUB.PA,BNS.TO,CAP.PA,SLF.TO,VOD.L,BMO.TO,KEYS,CA.PA,RF,DVA,RHI,EXPD,BBVA.MC,LAND.L,MELI,BDX,PUM.DE,T,ATO.PA,C,DXS.AX,BIIB,BEI.DE,SREN.SW,UCB.BR,VWS.CO,CSGN.SW,BAC,C38U.SI,ZTS,GDS,COV.PA,KBC.BR,GWW,WPM.TO,BRBY.L,NOVN.SW,LULU,EL,NOKIA.HE,ADS.DE,ZURN.SW,IFC.TO,TD.TO,A,PLUG,IDXX,BMY,DB1.DE,ELI.BR,LOW,NIO,EDEN.PA,CME,LI.PA,TEF.MC,D05.SI,WAT,BKG.L,VTR,DGX,BXB.AX,9CI.SI,ZAL.DE,SEK.AX,VRTX,GIS,MEL.NZ,ALL,K,ANZ.AX,V,RY.TO,NIBE B.ST,RCI.B.TO,IAG.AX,NZYM B.CO,NOVO B.CO,WLN.PA,H.TO,SUM
11/16/2021,11.05,5.94,3.26,3.0,2.6,2.14,1.88,1.79,1.49,1.48,1.44,1.38,1.19,1.19,1.17,1.17,1.13,1.13,1.1,0.96,0.96,0.94,0.91,0.9,0.89,0.89,0.78,0.73,0.72,0.7,0.7,0.7,0.69,0.68,0.68,0.64,0.64,0.63,0.62,0.61,0.61,0.59,0.59,0.58,0.57,0.57,0.56,0.56,0.55,0.55,0.54,0.53,0.52,0.46,0.44,0.44,0.43,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.0,99.65
11/17/2021,11.05,5.94,3.26,3.0,2.6,2.14,1.88,1.79,1.49,1.48,1.44,1.38,1.19,1.19,1.17,1.17,1.13,1.13,1.1,0.96,0.96,0.94,0.91,0.9,0.89,0.89,0.78,0.73,0.72,0.7,0.7,0.7,0.69,0.68,0.68,0.64,0.64,0.63,0.62,0.61,0.61,0.59,0.59,0.58,0.57,0.57,0.56,0.56,0.55,0.55,0.54,0.53,0.52,0.46,0.44,0.44,0.43,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.0,99.65
11/18/2021,11.05,5.96,3.25,2.98,2.59,2.16,1.88,1.81,1.48,1.48,1.42,1.38,1.18,1.17,1.16,1.16,1.13,1.12,1.1,0.96,0.95,0.93,0.91,0.92,0.94,0.89,0.79,0.75,0.69,0.7,0.74,0.7,0.67,0.68,0.67,0.65,0.66,0.61,0.63,0.61,0.6,0.59,0.59,0.58,0.54,0.58,0.56,0.54,0.57,0.52,0.53,0.54,0.52,0.46,0.44,0.44,0.43,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.34,0.33,0.32,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.3,0.28,0.31,0.29,0.28,0.28,0.28,0.29,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.2,0.21,0.21,0.19,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.0,99.63
11/19/2021,11.07,5.95,3.25,2.99,2.58,2.12,1.87,1.8,1.46,1.48,1.43,1.37,1.18,1.19,1.17,1.16,1.13,1.15,1.09,0.97,0.96,0.93,0.91,0.91,0.94,0.89,0.78,0.75,0.7,0.7,0.74,0.71,0.67,0.69,0.67,0.64,0.66,0.63,0.64,0.61,0.6,0.58,0.59,0.57,0.54,0.57,0.56,0.56,0.57,0.53,0.53,0.55,0.52,0.45,0.44,0.44,0.43,0.42,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.35,0.36,0.35,0.35,0.34,0.34,0.33,0.34,0.33,0.31,0.32,0.29,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.3,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.2,0.21,0.22,0.19,0.21,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.0,99.62
11/22/2021,11.03,6.0,3.23,3.0,2.55,2.2,1.88,1.8,1.47,1.45,1.45,1.35,1.2,1.21,1.2,1.16,1.12,1.18,1.1,0.96,0.97,0.92,0.91,0.9,0.95,0.88,0.79,0.77,0.71,0.74,0.74,0.7,0.67,0.69,0.66,0.65,0.65,0.62,0.63,0.61,0.6,0.56,0.58,0.56,0.54,0.58,0.56,0.55,0.57,0.5,0.52,0.56,0.53,0.45,0.43,0.43,0.43,0.42,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.37,0.35,0.35,0.35,0.35,0.34,0.35,0.33,0.33,0.33,0.31,0.31,0.3,0.29,0.3,0.29,0.29,0.28,0.3,0.28,0.32,0.29,0.28,0.27,0.28,0.27,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.25,0.23,0.23,0.24,0.22,0.23,0.23,0.22,0.22,0.23,0.21,0.21,0.22,0.19,0.21,0.23,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.16,0.18,0.15,0.17,0.17,0.17,0.15,0.16,0.15,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.0,99.64
11/23/2021,11.03,6.0,3.23,3.0,2.55,2.2,1.88,1.8,1.47,1.45,1.45,1.35,1.2,1.21,1.2,1.16,1.12,1.18,1.1,0.96,0.97,0.92,0.91,0.9,0.95,0.88,0.79,0.77,0.71,0.74,0.74,0.7,0.67,0.69,0.66,0.65,0.65,0.62,0.63,0.61,0.6,0.56,0.58,0.56,0.54,0.58,0.56,0.55,0.57,0.5,0.52,0.56,0.53,0.45,0.43,0.43,0.43,0.42,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.37,0.35,0.35,0.35,0.35,0.34,0.35,0.33,0.33,0.33,0.31,0.31,0.3,0.29,0.3,0.29,0.29,0.28,0.3,0.28,0.32,0.29,0.28,0.27,0.28,0.27,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.25,0.23,0.23,0.24,0.22,0.23,0.23,0.22,0.22,0.23,0.21,0.21,0.22,0.19,0.21,0.23,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.16,0.18,0.15,0.17,0.17,0.17,0.15,0.16,0.15,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.0,99.64
11/24/2021,11.05,6.07,3.26,3.19,2.64,2.37,1.92,1.8,1.61,1.43,1.43,1.38,1.23,1.19,1.15,1.14,1.09,1.15,1.07,0.97,0.98,0.88,0.91,0.91,0.88,0.87,0.82,0.83,0.7,0.77,0.74,0.67,0.65,0.69,0.67,0.63,0.64,0.59,0.64,0.63,0.59,0.58,0.57,0.55,0.53,0.58,0.57,0.55,0.58,0.5,0.5,0.5,0.51,0.44,0.44,0.43,0.44,0.4,0.4,0.4,0.4,0.39,0.37,0.38,0.37,0.36,0.36,0.38,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.31,0.31,0.29,0.29,0.3,0.29,0.3,0.28,0.32,0.27,0.3,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.24,0.25,0.25,0.22,0.25,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.19,0.2,0.21,0.18,0.21,0.23,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.15,0.18,0.14,0.17,0.17,0.16,0.14,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.11,0.1,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.0,99.74
11/25/2021,10.92,6.04,3.21,3.21,2.65,2.42,1.93,1.78,1.56,1.44,1.44,1.36,1.21,1.19,1.15,1.13,1.12,1.15,1.05,0.98,0.96,0.88,0.89,0.89,0.83,0.88,0.82,0.79,0.69,0.78,0.74,0.67,0.64,0.69,0.68,0.63,0.65,0.59,0.63,0.62,0.6,0.58,0.58,0.55,0.55,0.59,0.57,0.54,0.58,0.5,0.51,0.49,0.5,0.44,0.45,0.44,0.44,0.39,0.4,0.4,0.41,0.39,0.38,0.38,0.37,0.36,0.37,0.38,0.37,0.35,0.35,0.34,0.35,0.34,0.34,0.35,0.33,0.33,0.3,0.31,0.29,0.28,0.29,0.29,0.3,0.29,0.31,0.27,0.3,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.24,0.24,0.25,0.25,0.23,0.25,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.19,0.2,0.22,0.18,0.22,0.22,0.2,0.21,0.2,0.2,0.21,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.15,0.18,0.13,0.17,0.17,0.17,0.14,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.13,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.13,0.12,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.18,99.64
11/26/2021,10.92,6.04,3.21,3.21,2.65,2.42,1.93,1.78,1.56,1.44,1.44,1.36,1.21,1.19,1.15,1.13,1.12,1.15,1.05,0.98,0.96,0.88,0.89,0.89,0.83,0.88,0.82,0.79,0.69,0.78,0.74,0.67,0.64,0.69,0.68,0.63,0.65,0.59,0.63,0.62,0.6,0.58,0.58,0.55,0.55,0.59,0.57,0.54,0.58,0.5,0.51,0.49,0.5,0.44,0.45,0.44,0.44,0.39,0.4,0.4,0.41,0.39,0.38,0.38,0.37,0.36,0.37,0.38,0.37,0.35,0.35,0.34,0.35,0.34,0.34,0.35,0.33,0.33,0.3,0.31,0.29,0.28,0.29,0.29,0.3,0.29,0.31,0.27,0.3,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.24,0.24,0.25,0.25,0.23,0.25,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.19,0.2,0.22,0.18,0.22,0.22,0.2,0.21,0.2,0.2,0.21,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.15,0.18,0.13,0.17,0.17,0.17,0.14,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.13,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.13,0.12,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.18,99.64
11/29/2021,10.96,6.02,3.21,3.23,2.63,2.33,1.92,1.77,1.56,1.45,1.42,1.31,1.2,1.19,1.16,1.11,1.15,1.16,1.02,0.99,0.95,0.93,0.88,0.9,0.86,0.88,0.79,0.81,0.68,0.78,0.73,0.67,0.63,0.7,0.68,0.64,0.66,0.6,0.61,0.62,0.59,0.57,0.59,0.56,0.55,0.52,0.58,0.55,0.57,0.5,0.53,0.49,0.49,0.45,0.45,0.43,0.44,0.4,0.4,0.4,0.41,0.39,0.38,0.38,0.37,0.37,0.36,0.39,0.37,0.35,0.34,0.34,0.36,0.35,0.35,0.34,0.33,0.33,0.31,0.31,0.29,0.29,0.29,0.3,0.29,0.29,0.3,0.27,0.33,0.28,0.29,0.27,0.28,0.25,0.28,0.28,0.24,0.25,0.24,0.25,0.23,0.24,0.22,0.24,0.24,0.22,0.23,0.23,0.22,0.22,0.23,0.19,0.2,0.22,0.18,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.2,0.18,0.19,0.18,0.18,0.18,0.15,0.18,0.13,0.17,0.16,0.17,0.14,0.16,0.16,0.15,0.16,0.15,0.14,0.14,0.15,0.16,0.16,0.16,0.15,0.14,0.13,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.12,0.13,0.13,0.14,0.12,0.13,0.12,0.12,0.11,0.12,0.13,0.12,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.09,0.1,0.08,0.09,0.09,0.08,0.08,0.08,0.06,0.07,0.07,0.07,0.07,0.0,0.19,99.63
