,HPQ,NTAP,IPG,PWR,DELL,IP,CINF,EPAM,TGT,CTSH,GPC,CE,MXIM,EXPD,LH,QRVO,TSCO,IT,ALL,PGR,CBRE,SNA,DOX,TROW,BBY,RS,ARW,OMC,CARR,NUE,KLAC,AES,LKQ,RJF,CDW,POOL,ANTM,WHR,WSO,EBAY,SYF,UHS,HPE,AGCO,OGN,FNF,TT,ORLY,AFL,AAP,J,HIG,F,PHM,JBL,DLTR,TER,JLL,BIO,AVY,ORI,UTHR,TTC,ENTG,EXP,CMI,EVR,DGX,PNR,GNRC,AJG,APH,LPLA,EXR,EMN,CTVA,BERY,JCI,COF,RHI,ACGL,PKI,JBHT,FTNT,DHI,JEF,LEN,UHAL,WSM,GRMN,FFIV,PSA,MAN,TRV,AOS,DTE,SWKS,HSIC,SJM,CDNS,AMAT,MTD,HUM,WAT,PEG,AMG,GLW,IDXX,HSY,ZBRA,SNPS,GWW,SMG,WY,MSI,AMP,SNX,AZO,CCK,DAR,LAZ,WRK,DG,KSU,JAZZ,IRM,PKG,LII,WST,MPWR,LPX,ALXN,AN,BR,PAYX,Cash & Cash Equivalents,KR,FL,MCK,DLB,HCA,BC,GGG,NUAN,VMI,CSL,SEE,OTIS,CPRT,SF,CI,MET,DVA,IVZ,ETN,UGI,EXC,MAS,NVR,AON,MLM,TSN,MDU,KIM,XYL,AME,MHK,PPG,AVT,AZPN,GM,FAST,TXN,INTU,NDAQ,GL,DOV,PRU,MMC,MSCI,CVS,EMR,ODFL,LSTR,FAF,LOW,MO,CBOE,MOH,AYI,NEM,NLSN,WTM,SCI,PFG,SLM,MKL,UPS,OC,STLD,FBHS,ALLY,ITT,RSG,TECH,TYL,HUBB,DKS,A,DECK,CRL,n/a,ALB,AIZ,ETR,WM,ADI,CUBE,ACI,JHG,NXST,R,CF,MTG,ISRG,GNTX,PANW,SUM
07/09/2021,1.33,0.71,0.62,0.61,0.58,0.56,0.54,0.53,0.53,0.53,0.51,0.5,0.49,0.49,0.48,0.48,0.46,0.45,0.45,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.4,0.4,0.4,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.05
07/12/2021,1.31,0.71,0.62,0.61,0.59,0.58,0.54,0.53,0.53,0.52,0.51,0.51,0.47,0.49,0.48,0.47,0.45,0.45,0.45,0.43,0.43,0.43,0.43,0.42,0.41,0.42,0.41,0.4,0.4,0.41,0.37,0.36,0.38,0.37,0.37,0.36,0.35,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.32,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.28,0.29,0.27,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.28,0.27,0.26,0.26,0.26,0.27,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.24,0.23,0.23,0.23,0.23,0.24,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.2,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.17,0.0,0.17,0.17,0.0,0.18,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.15
07/13/2021,1.31,0.71,0.62,0.61,0.59,0.58,0.54,0.53,0.53,0.52,0.51,0.51,0.47,0.49,0.48,0.47,0.45,0.45,0.45,0.43,0.43,0.43,0.43,0.42,0.41,0.42,0.41,0.4,0.4,0.41,0.37,0.36,0.38,0.37,0.37,0.36,0.35,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.32,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.28,0.29,0.27,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.28,0.27,0.26,0.26,0.26,0.27,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.24,0.23,0.23,0.23,0.23,0.24,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.2,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.17,0.0,0.17,0.17,0.0,0.18,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.15
07/15/2021,1.27,0.71,0.62,0.62,0.57,0.57,0.55,0.54,0.54,0.52,0.51,0.51,0.48,0.49,0.48,0.47,0.45,0.45,0.45,0.43,0.43,0.43,0.42,0.43,0.42,0.42,0.41,0.4,0.4,0.42,0.38,0.36,0.38,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.36,0.35,0.34,0.34,0.32,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.28,0.29,0.29,0.27,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.17,0.17,0.17,0.17,0.0,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.16
07/16/2021,1.24,0.7,0.61,0.62,0.56,0.57,0.55,0.55,0.54,0.53,0.51,0.52,0.48,0.49,0.49,0.47,0.46,0.46,0.45,0.43,0.42,0.43,0.43,0.43,0.41,0.42,0.41,0.4,0.41,0.41,0.38,0.35,0.38,0.37,0.36,0.36,0.37,0.36,0.35,0.35,0.36,0.35,0.32,0.34,0.31,0.32,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.28,0.27,0.26,0.26,0.27,0.27,0.25,0.25,0.25,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.26,0.25,0.26,0.24,0.26,0.25,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.24,0.23,0.22,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.18,0.19,0.2,0.19,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.17,0.17,0.0,0.17,0.0,0.18,0.0,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.13999999999999
07/19/2021,1.24,0.69,0.61,0.61,0.56,0.56,0.55,0.55,0.54,0.53,0.51,0.52,0.47,0.49,0.48,0.47,0.46,0.45,0.45,0.42,0.42,0.43,0.43,0.42,0.42,0.42,0.41,0.4,0.41,0.41,0.37,0.35,0.37,0.37,0.37,0.35,0.37,0.36,0.35,0.35,0.35,0.35,0.33,0.33,0.31,0.33,0.33,0.33,0.32,0.32,0.32,0.33,0.3,0.3,0.31,0.3,0.3,0.31,0.3,0.3,0.29,0.29,0.3,0.28,0.28,0.29,0.27,0.29,0.3,0.29,0.28,0.28,0.27,0.28,0.28,0.26,0.27,0.28,0.28,0.27,0.26,0.26,0.27,0.27,0.25,0.27,0.25,0.26,0.25,0.26,0.25,0.26,0.26,0.27,0.26,0.27,0.26,0.25,0.26,0.25,0.25,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.24,0.25,0.23,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.24,0.22,0.23,0.24,0.23,0.21,0.23,0.23,0.22,0.22,0.24,0.23,0.23,0.24,0.23,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.18,0.19,0.2,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.0,0.18,0.17,0.17,0.17,0.17,0.0,0.18,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.08
07/22/2021,1.25,0.69,0.6,0.6,0.57,0.55,0.54,0.56,0.55,0.52,0.51,0.51,0.47,0.5,0.49,0.47,0.45,0.47,0.45,0.43,0.42,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.41,0.4,0.37,0.34,0.37,0.36,0.37,0.36,0.36,0.35,0.35,0.36,0.34,0.34,0.33,0.32,0.32,0.33,0.34,0.34,0.32,0.32,0.32,0.32,0.3,0.3,0.3,0.31,0.3,0.3,0.31,0.3,0.29,0.3,0.3,0.28,0.28,0.29,0.26,0.3,0.29,0.29,0.28,0.28,0.27,0.28,0.26,0.26,0.27,0.28,0.28,0.27,0.26,0.27,0.26,0.28,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.27,0.26,0.27,0.26,0.27,0.26,0.25,0.27,0.26,0.24,0.26,0.26,0.26,0.25,0.24,0.25,0.26,0.26,0.23,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.25,0.24,0.23,0.22,0.22,0.24,0.22,0.22,0.24,0.23,0.22,0.24,0.23,0.21,0.22,0.25,0.23,0.23,0.24,0.25,0.2,0.22,0.22,0.23,0.21,0.22,0.22,0.21,0.22,0.2,0.22,0.22,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.21,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.0,0.0,0.17,0.18,0.0,0.17,0.0,0.0,0.0,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.16
07/23/2021,1.25,0.69,0.6,0.61,0.57,0.55,0.55,0.56,0.55,0.53,0.51,0.51,0.47,0.5,0.49,0.47,0.45,0.46,0.45,0.42,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.37,0.42,0.4,0.37,0.35,0.37,0.36,0.37,0.35,0.36,0.35,0.35,0.36,0.34,0.35,0.33,0.33,0.32,0.33,0.34,0.34,0.32,0.32,0.32,0.32,0.3,0.3,0.3,0.31,0.3,0.31,0.3,0.29,0.29,0.3,0.3,0.28,0.28,0.29,0.26,0.29,0.29,0.29,0.28,0.28,0.27,0.28,0.27,0.26,0.27,0.28,0.28,0.27,0.26,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.26,0.24,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.24,0.25,0.24,0.24,0.23,0.24,0.24,0.25,0.24,0.24,0.23,0.22,0.24,0.22,0.22,0.24,0.23,0.22,0.23,0.24,0.21,0.0,0.26,0.23,0.23,0.24,0.24,0.21,0.23,0.22,0.25,0.22,0.23,0.22,0.21,0.23,0.2,0.22,0.22,0.2,0.2,0.2,0.21,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.2,0.19,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.0,0.17,0.0,0.18,0.17,0.17,0.17,0.17,0.0,0.17,0.0,0.0,0.17,0.18,0.17,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.22
07/26/2021,1.23,0.67,0.65,0.62,0.57,0.54,0.54,0.56,0.55,0.53,0.5,0.5,0.47,0.49,0.5,0.47,0.45,0.46,0.45,0.41,0.44,0.43,0.42,0.43,0.42,0.42,0.41,0.37,0.42,0.41,0.39,0.34,0.37,0.36,0.37,0.35,0.36,0.35,0.35,0.37,0.34,0.34,0.33,0.33,0.33,0.33,0.34,0.34,0.32,0.32,0.32,0.32,0.3,0.3,0.3,0.31,0.31,0.32,0.3,0.29,0.29,0.3,0.29,0.29,0.28,0.29,0.27,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.27,0.28,0.28,0.27,0.26,0.28,0.26,0.28,0.26,0.26,0.26,0.26,0.25,0.27,0.26,0.26,0.24,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.22,0.22,0.24,0.22,0.22,0.24,0.22,0.21,0.23,0.24,0.21,0.0,0.27,0.23,0.23,0.25,0.23,0.21,0.23,0.22,0.25,0.22,0.22,0.21,0.21,0.22,0.2,0.22,0.22,0.21,0.2,0.2,0.21,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.2,0.18,0.2,0.2,0.19,0.2,0.18,0.19,0.19,0.19,0.19,0.18,0.17,0.19,0.18,0.18,0.18,0.18,0.17,0.0,0.17,0.0,0.18,0.17,0.0,0.17,0.17,0.0,0.17,0.0,0.17,0.17,0.17,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.13999999999999
07/29/2021,1.24,0.68,0.67,0.6,0.57,0.54,0.54,0.56,0.56,0.53,0.51,0.51,0.47,0.49,0.49,0.47,0.46,0.47,0.45,0.41,0.45,0.42,0.42,0.42,0.43,0.43,0.42,0.37,0.42,0.42,0.39,0.34,0.38,0.36,0.37,0.35,0.35,0.35,0.35,0.37,0.34,0.35,0.34,0.33,0.32,0.33,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.31,0.31,0.3,0.33,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.28,0.27,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.28,0.28,0.29,0.26,0.3,0.26,0.28,0.26,0.25,0.26,0.26,0.25,0.27,0.26,0.26,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.25,0.25,0.23,0.24,0.22,0.22,0.24,0.22,0.22,0.24,0.23,0.22,0.23,0.24,0.21,0.0,0.26,0.23,0.23,0.25,0.23,0.21,0.23,0.22,0.25,0.22,0.22,0.21,0.21,0.23,0.2,0.22,0.22,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.2,0.19,0.21,0.2,0.19,0.19,0.19,0.2,0.2,0.19,0.19,0.2,0.19,0.18,0.2,0.18,0.2,0.2,0.18,0.2,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.0,0.17,0.0,0.18,0.17,0.0,0.17,0.0,0.0,0.18,0.0,0.17,0.17,0.17,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.33
