,688202.SS,Cash,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,AAPL,688202.SS.7,688202.SS.8,MSFT,AMZN,688202.SS.9,688202.SS.10,FB,GOOG,TSLA,NVDA,GOOGL,PYPL,ADBE,CMCSA,NFLX,INTC,CSCO,PEP,688202.SS.11,AVGO,TMUS,TXN,COST,QCOM,AMGN,CHTR,INTU,SBUX,AMAT,AMD,ISRG,MU,MRNA,LRCX,ZM,BKNG,MDLZ,GILD,ADP,MELI,ATVI,CSX,FISV,ILMN,JD,ADSK,ADI,REGN,NXPI,ASML,DOCU,IDXX,BIDU,VRTX,BIIB,KDP,KHC,KLAC,ALGN,MNST,PDD,EBAY,MRVL,LULU,WBA,WDAY,MAR,ROST,MTCH,EXC,AEP,SNPS,DXCM,EA,MCHP,ALXN,CTAS,ORLY,PAYX,CDNS,CTSH,XLNX,XEL,NTES,TEAM,PTON,SWKS,CPRT,PCAR,OKTA,ANSS,FAST,SGEN,VRSK,MXIM,SIRI,VRSN,CDW,SPLK,CERN,DLTR,TCOM,INCY,CHKP,FOXA,FOX,688202.SS.12,688202.SS.13,688202.SS.14,688202.SS.15,688202.SS.16,688202.SS.17,688202.SS.18,688202.SS.19,688202.SS.20,688202.SS.21,688202.SS.22,688202.SS.23,Nasdaq 100 Index Swap Ubs Ag,Nasdaq 100 Index Swap Societe Generale,Powershares Qqq (Qqq) Swap Goldman Sachs International,Nasdaq 100 Index Swap Jp Morgan Securities,Nasdaq 100 Index Swap Citibank Na,Nasdaq 100 Index Swap Credit Suisse International,Nasdaq 100 Index Swap Bnp Paribas,Nasdaq 100 Index Swap Goldman Sachs International,Powershares Qqq (Qqq) Swap Morgan Stanley & Co. International Plc,Nasdaq 100 Index Swap Bank Of America Na,BTIC E-mini Nasdaq 100 Future Sept 21,Nasdaq 100 Index Swap Morgan Stanley & Co. International Plc,Nasdaq 100 Index Swap Morgan Stanley & Co. International Plc - Cash Offset,Nasdaq 100 09/17/21 (Nqu1) - Cash Offset,Nasdaq 100 Index Swap Bank Of America Na - Cash Offset,Powershares Qqq (Qqq) Swap Morgan Stanley & Co. International Plc - Cash Of,Nasdaq 100 Index Swap Goldman Sachs International - Cash Offset,Nasdaq 100 Index Swap Bnp Paribas - Cash Offset,Nasdaq 100 Index Swap Credit Suisse International - Cash Offset,Nasdaq 100 Index Swap Citibank Na - Cash Offset,Nasdaq 100 Index Swap Jp Morgan Securities - Cash Offset,Powershares Qqq (Qqq) Swap Goldman Sachs International - Cash Offset,Nasdaq 100 Index Swap Societe Generale - Cash Offset,Nasdaq 100 Index Swap Ubs Ag - Cash Offset,SUM
07/09/2021,23.83,18.86,15.1,10.79,10.43,10.4,10.23,9.21,8.92,8.82,8.59,7.97,6.77,5.5,4.8,3.25,3.17,3.16,2.96,2.87,2.03,1.66,1.55,1.39,1.35,1.33,1.22,1.18,1.16,1.07,1.06,1.04,0.96,0.83,0.81,0.8,0.78,0.77,0.68,0.65,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.46,0.44,0.43,0.42,0.41,0.38,0.38,0.38,0.35,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.11,0.09,0.07,0.05,-1.18,-4.8,-5.5,-8.59,-8.82,-9.21,-10.23,-10.4,-10.43,-10.79,-15.1,-23.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,8.92,0.0,0.0,7.97,6.77,0.0,0.0,3.25,3.17,3.16,2.96,2.87,2.03,1.66,1.55,1.39,1.35,1.33,1.22,0.0,1.16,1.07,1.06,1.04,0.96,0.83,0.81,0.8,0.78,0.77,0.68,0.65,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.46,0.44,0.43,0.42,0.41,0.38,0.38,0.38,0.35,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.11,0.09,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.83,15.1,10.79,10.43,10.4,10.23,9.21,8.82,8.59,5.5,4.8,1.18,-1.18,-4.8,-5.5,-8.59,-8.82,-9.21,-10.23,-10.4,-10.43,-10.79,-15.1,-23.83,100.0
07/13/2021,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,8.92,0.0,0.0,7.97,6.77,0.0,0.0,3.25,3.17,3.16,2.96,2.87,2.03,1.66,1.55,1.39,1.35,1.33,1.22,0.0,1.16,1.07,1.06,1.04,0.96,0.83,0.81,0.8,0.78,0.77,0.68,0.65,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.46,0.44,0.43,0.42,0.41,0.38,0.38,0.38,0.35,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.11,0.09,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.83,15.1,10.79,10.43,10.4,10.23,9.21,8.82,8.59,5.5,4.8,1.18,-1.18,-4.8,-5.5,-8.59,-8.82,-9.21,-10.23,-10.4,-10.43,-10.79,-15.1,-23.83,100.0
07/14/2021,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,8.92,0.0,0.0,7.97,6.77,0.0,0.0,3.25,3.17,3.16,2.96,2.87,2.03,1.66,1.55,1.39,1.35,1.33,1.22,0.0,1.16,1.07,1.06,1.04,0.96,0.83,0.81,0.8,0.78,0.77,0.68,0.65,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.46,0.44,0.43,0.42,0.41,0.38,0.38,0.38,0.35,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.11,0.09,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.83,15.1,10.79,10.43,10.4,10.23,9.21,8.82,8.59,5.5,4.8,1.18,-1.18,-4.8,-5.5,-8.59,-8.82,-9.21,-10.23,-10.4,-10.43,-10.79,-15.1,-23.83,100.0
07/15/2021,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,8.92,0.0,0.0,7.97,6.77,0.0,0.0,3.25,3.17,3.16,2.96,2.87,2.03,1.66,1.55,1.39,1.35,1.33,1.22,0.0,1.16,1.07,1.06,1.04,0.96,0.83,0.81,0.8,0.78,0.77,0.68,0.65,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.46,0.44,0.43,0.42,0.41,0.38,0.38,0.38,0.35,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.11,0.09,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.83,15.1,10.79,10.43,10.4,10.23,9.21,8.82,8.59,5.5,4.8,1.18,-1.18,-4.8,-5.5,-8.59,-8.82,-9.21,-10.23,-10.4,-10.43,-10.79,-15.1,-23.83,100.0
07/16/2021,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,8.92,0.0,0.0,7.97,6.77,0.0,0.0,3.25,3.17,3.16,2.96,2.87,2.03,1.66,1.55,1.39,1.35,1.33,1.22,0.0,1.16,1.07,1.06,1.04,0.96,0.83,0.81,0.8,0.78,0.77,0.68,0.65,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.46,0.44,0.43,0.42,0.41,0.38,0.38,0.38,0.35,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.11,0.09,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.83,15.1,10.79,10.43,10.4,10.23,9.21,8.82,8.59,5.5,4.8,1.18,-1.18,-4.8,-5.5,-8.59,-8.82,-9.21,-10.23,-10.4,-10.43,-10.79,-15.1,-23.83,100.0
07/19/2021,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,8.92,0.0,0.0,7.97,6.77,0.0,0.0,3.25,3.17,3.16,2.96,2.87,2.03,1.66,1.55,1.39,1.35,1.33,1.22,0.0,1.16,1.07,1.06,1.04,0.96,0.83,0.81,0.8,0.78,0.77,0.68,0.65,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.46,0.44,0.43,0.42,0.41,0.38,0.38,0.38,0.35,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.11,0.09,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.83,15.1,10.79,10.43,10.4,10.23,9.21,8.82,8.59,5.5,4.8,1.18,-1.18,-4.8,-5.5,-8.59,-8.82,-9.21,-10.23,-10.4,-10.43,-10.79,-15.1,-23.83,100.0
07/20/2021,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,8.92,0.0,0.0,7.97,6.77,0.0,0.0,3.25,3.17,3.16,2.96,2.87,2.03,1.66,1.55,1.39,1.35,1.33,1.22,0.0,1.16,1.07,1.06,1.04,0.96,0.83,0.81,0.8,0.78,0.77,0.68,0.65,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.46,0.44,0.43,0.42,0.41,0.38,0.38,0.38,0.35,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.11,0.09,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.83,15.1,10.79,10.43,10.4,10.23,9.21,8.82,8.59,5.5,4.8,1.18,-1.18,-4.8,-5.5,-8.59,-8.82,-9.21,-10.23,-10.4,-10.43,-10.79,-15.1,-23.83,100.0
07/21/2021,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,8.92,0.0,0.0,7.97,6.77,0.0,0.0,3.25,3.17,3.16,2.96,2.87,2.03,1.66,1.55,1.39,1.35,1.33,1.22,0.0,1.16,1.07,1.06,1.04,0.96,0.83,0.81,0.8,0.78,0.77,0.68,0.65,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.46,0.44,0.43,0.42,0.41,0.38,0.38,0.38,0.35,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.11,0.09,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.83,15.1,10.79,10.43,10.4,10.23,9.21,8.82,8.59,5.5,4.8,1.18,-1.18,-4.8,-5.5,-8.59,-8.82,-9.21,-10.23,-10.4,-10.43,-10.79,-15.1,-23.83,100.0
07/22/2021,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,8.92,0.0,0.0,7.97,6.77,0.0,0.0,3.25,3.17,3.16,2.96,2.87,2.03,1.66,1.55,1.39,1.35,1.33,1.22,0.0,1.16,1.07,1.06,1.04,0.96,0.83,0.81,0.8,0.78,0.77,0.68,0.65,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.46,0.44,0.43,0.42,0.41,0.38,0.38,0.38,0.35,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.11,0.09,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.83,15.1,10.79,10.43,10.4,10.23,9.21,8.82,8.59,5.5,4.8,1.18,-1.18,-4.8,-5.5,-8.59,-8.82,-9.21,-10.23,-10.4,-10.43,-10.79,-15.1,-23.83,100.0
