,Cash,CLZ1,CLM2,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,ATHX,Wti Crude 08/20/2021 (Clu1) - Cash Offset,Wti Crude 05/20/2022 (Clm2) - Cash Offset,Wti Crude Future 11/19/2021 (Clz1) - Cash Offset,SUM
07/09/2021,100.0,33.71,33.32,32.96,-32.96,-33.32,-33.71,0.0,0.0,0.0,0.0,100.0
07/15/2021,100.0,33.71,33.32,0.0,0.0,0.0,0.0,32.96,-32.96,-33.32,-33.71,100.0
07/16/2021,100.0,33.71,33.32,0.0,0.0,0.0,0.0,32.96,-32.96,-33.32,-33.71,100.0
07/19/2021,100.0,33.71,33.32,0.0,0.0,0.0,0.0,32.96,-32.96,-33.32,-33.71,100.0
07/21/2021,100.0,33.71,33.32,0.0,0.0,0.0,0.0,32.96,-32.96,-33.32,-33.71,100.0
07/22/2021,100.0,33.71,33.32,0.0,0.0,0.0,0.0,32.96,-32.96,-33.32,-33.71,100.0
07/27/2021,100.0,33.71,33.32,0.0,0.0,0.0,0.0,32.96,-32.96,-33.32,-33.71,100.0
07/28/2021,100.0,33.71,33.32,0.0,0.0,0.0,0.0,32.96,-32.96,-33.32,-33.71,100.0
08/02/2021,100.0,33.71,33.32,0.0,0.0,0.0,0.0,32.96,-32.96,-33.32,-33.71,100.0
