,AAPL,MSFT,JPM,JNJ,CSCO,PFE,TMO,TXN,Cash,PM,UNP,AVGO,ACN,LOW,AMGN,C,HD,IBM,TGT,MMM,ORCL,CMCSA,MO,VZ,PNC,ATVI,ITW,QCOM,SHW,ADI,EMR,EBAY,TROW,CVX,AMAT,TT,DFS,EA,AVB,SYF,WMB,TRGP,PH,SIRI,CTAS,FAST,KMI,KLAC,HAL,AFL,OMF,WWE,BBY,AOS,WMS,CC,OMC,AM,SBRA,XEC,HIW,RHI,IPG,ETRN,PII,WY,NXST,MCHP,KIM,WSM,CE,LPLA,GLPI,APA,EMN,NLY,LAZ,WAL,NUS,TGNA,MSM,DKS,PAYX,LPX,ORI,STX,WSO,BC,AGNC,UNH,V,PG,CWH,AES,GNTX,CAH,SCCO,MAS,ABT,FMC,PPL,NEM,SMG,IP,BAC,MA,POOL,PFSI,DOW,CLR,CBI.MI,LEN,DVN,CMI,UPS,INTC,ROK,BKR,LUMN,WHR,XOM,PAGP,NYT,FOXA,NHI,WMT,HPQ,APAM,CBI.MI.1,KO,CCOI,ABBV,U.S. Dollar For Futures,E-mini S&P 500 Future Sept 21,SUM
07/09/2021,8.34,5.04,3.43,3.4,2.67,2.61,2.31,2.08,1.87,1.84,1.73,1.73,1.72,1.68,1.66,1.65,1.51,1.47,1.4,1.36,1.15,1.13,1.04,1.03,0.96,0.85,0.82,0.81,0.77,0.74,0.66,0.66,0.63,0.61,0.61,0.61,0.59,0.59,0.58,0.58,0.58,0.57,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.44,0.43,0.41,0.41,0.41,0.41,0.4,0.4,0.36,0.36,0.36,0.31,0.31,0.3,0.28,0.27,0.24,0.22,0.18,0.17,0.16,0.16,0.15,0.15,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.09,0.06,0.06,0.04,0.01,0.0,0.0,100.0
07/12/2021,8.64,5.09,3.38,3.42,2.66,2.59,2.36,2.06,1.89,1.82,1.77,1.74,1.76,1.69,1.63,1.6,1.52,1.47,1.41,1.36,1.21,1.13,1.03,1.04,0.93,0.85,0.82,0.79,0.78,0.72,0.66,0.66,0.64,0.6,0.6,0.62,0.58,0.59,0.6,0.57,0.56,0.55,0.57,0.56,0.57,0.57,0.55,0.54,0.5,0.54,0.53,0.52,0.5,0.53,0.52,0.5,0.51,0.51,0.51,0.49,0.51,0.51,0.5,0.49,0.5,0.51,0.48,0.48,0.49,0.5,0.48,0.48,0.48,0.45,0.47,0.48,0.48,0.47,0.48,0.46,0.49,0.47,0.48,0.46,0.47,0.47,0.47,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.4,0.41,0.41,0.41,0.41,0.39,0.36,0.36,0.35,0.32,0.3,0.3,0.28,0.28,0.24,0.2,0.0,0.17,0.15,0.16,0.16,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.09,0.0,0.06,0.04,0.01,0.18,0.06,100.03
07/13/2021,8.64,5.09,3.38,3.42,2.66,2.59,2.36,2.06,1.89,1.82,1.77,1.74,1.76,1.69,1.63,1.6,1.52,1.47,1.41,1.36,1.21,1.13,1.03,1.04,0.93,0.85,0.82,0.79,0.78,0.72,0.66,0.66,0.64,0.6,0.6,0.62,0.58,0.59,0.6,0.57,0.56,0.55,0.57,0.56,0.57,0.57,0.55,0.54,0.5,0.54,0.53,0.52,0.5,0.53,0.52,0.5,0.51,0.51,0.51,0.49,0.51,0.51,0.5,0.49,0.5,0.51,0.48,0.48,0.49,0.5,0.48,0.48,0.48,0.45,0.47,0.48,0.48,0.47,0.48,0.46,0.49,0.47,0.48,0.46,0.47,0.47,0.47,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.4,0.41,0.41,0.41,0.41,0.39,0.36,0.36,0.35,0.32,0.3,0.3,0.28,0.28,0.24,0.2,0.0,0.17,0.15,0.16,0.16,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.09,0.0,0.06,0.04,0.01,0.18,0.06,100.03
07/14/2021,8.62,5.02,3.41,3.41,2.67,2.59,2.32,2.05,1.9,1.82,1.71,1.77,1.76,1.67,1.63,1.6,1.51,1.48,1.41,1.36,1.23,1.12,1.04,1.02,0.94,0.83,0.82,0.8,0.77,0.72,0.66,0.65,0.63,0.6,0.6,0.62,0.6,0.58,0.61,0.58,0.57,0.57,0.57,0.55,0.57,0.57,0.56,0.54,0.51,0.53,0.54,0.52,0.5,0.52,0.52,0.5,0.51,0.52,0.52,0.51,0.52,0.51,0.51,0.5,0.51,0.52,0.48,0.48,0.5,0.5,0.48,0.48,0.49,0.46,0.47,0.48,0.47,0.49,0.47,0.46,0.48,0.48,0.49,0.46,0.46,0.47,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.42,0.4,0.4,0.41,0.4,0.41,0.39,0.36,0.36,0.35,0.32,0.3,0.3,0.28,0.28,0.24,0.21,0.0,0.16,0.16,0.16,0.16,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.0,0.06,0.04,0.01,0.18,0.06,99.97
07/15/2021,8.56,5.0,3.45,3.39,2.64,2.59,2.3,2.06,1.92,1.8,1.7,1.78,1.75,1.67,1.63,1.62,1.5,1.47,1.43,1.35,1.22,1.12,1.04,1.02,0.95,0.84,0.82,0.8,0.77,0.72,0.67,0.65,0.65,0.6,0.6,0.63,0.62,0.58,0.62,0.58,0.56,0.56,0.57,0.55,0.57,0.57,0.55,0.55,0.51,0.53,0.55,0.52,0.5,0.52,0.53,0.51,0.51,0.51,0.52,0.51,0.52,0.5,0.5,0.51,0.5,0.52,0.48,0.49,0.51,0.5,0.49,0.48,0.49,0.46,0.47,0.48,0.48,0.49,0.47,0.46,0.48,0.47,0.48,0.46,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.44,0.45,0.43,0.4,0.4,0.41,0.4,0.41,0.4,0.36,0.36,0.34,0.32,0.3,0.3,0.28,0.27,0.24,0.21,0.0,0.16,0.16,0.16,0.16,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.0,0.06,0.04,0.01,0.18,0.07,99.99
07/16/2021,8.69,5.1,3.42,3.41,2.66,2.61,2.31,2.07,1.9,1.8,1.69,1.79,1.77,1.67,1.64,1.6,1.49,1.47,1.43,1.36,1.22,1.12,1.03,1.03,0.95,0.85,0.83,0.8,0.78,0.72,0.67,0.65,0.64,0.6,0.6,0.62,0.62,0.59,0.61,0.58,0.56,0.56,0.57,0.55,0.56,0.57,0.55,0.55,0.51,0.53,0.54,0.52,0.5,0.53,0.53,0.49,0.5,0.5,0.51,0.51,0.52,0.5,0.5,0.5,0.49,0.51,0.48,0.48,0.5,0.5,0.49,0.48,0.49,0.45,0.47,0.46,0.47,0.48,0.46,0.45,0.47,0.47,0.49,0.45,0.46,0.47,0.46,0.46,0.44,0.46,0.45,0.44,0.44,0.41,0.4,0.41,0.41,0.4,0.41,0.39,0.36,0.36,0.34,0.32,0.3,0.31,0.28,0.27,0.24,0.21,0.0,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.1,0.09,0.0,0.06,0.04,0.01,0.18,0.07,100.03
07/19/2021,8.87,5.11,3.43,3.4,2.68,2.64,2.32,2.04,1.92,1.83,1.7,1.77,1.79,1.69,1.66,1.61,1.52,1.48,1.44,1.38,1.22,1.13,1.05,1.04,0.95,0.82,0.84,0.8,0.78,0.71,0.67,0.65,0.63,0.59,0.59,0.63,0.61,0.59,0.62,0.57,0.55,0.54,0.56,0.55,0.54,0.57,0.53,0.54,0.48,0.54,0.54,0.48,0.51,0.52,0.52,0.5,0.5,0.49,0.51,0.47,0.53,0.5,0.49,0.49,0.49,0.51,0.48,0.46,0.5,0.48,0.49,0.47,0.49,0.42,0.47,0.46,0.46,0.49,0.45,0.46,0.47,0.47,0.49,0.43,0.46,0.46,0.46,0.45,0.44,0.46,0.46,0.45,0.43,0.41,0.4,0.4,0.41,0.41,0.4,0.39,0.36,0.36,0.34,0.31,0.29,0.31,0.28,0.27,0.24,0.2,0.0,0.16,0.15,0.16,0.16,0.15,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.11,0.11,0.1,0.09,0.0,0.06,0.04,0.01,0.18,0.06,100.03
07/20/2021,8.87,5.11,3.43,3.4,2.68,2.64,2.32,2.04,1.92,1.83,1.7,1.77,1.79,1.69,1.66,1.61,1.52,1.48,1.44,1.38,1.22,1.13,1.05,1.04,0.95,0.82,0.84,0.8,0.78,0.71,0.67,0.65,0.63,0.59,0.59,0.63,0.61,0.59,0.62,0.57,0.55,0.54,0.56,0.55,0.54,0.57,0.53,0.54,0.48,0.54,0.54,0.48,0.51,0.52,0.52,0.5,0.5,0.49,0.51,0.47,0.53,0.5,0.49,0.49,0.49,0.51,0.48,0.46,0.5,0.48,0.49,0.47,0.49,0.42,0.47,0.46,0.46,0.49,0.45,0.46,0.47,0.47,0.49,0.43,0.46,0.46,0.46,0.45,0.44,0.46,0.46,0.45,0.43,0.41,0.4,0.4,0.41,0.41,0.4,0.39,0.36,0.36,0.34,0.31,0.29,0.31,0.28,0.27,0.24,0.2,0.0,0.16,0.15,0.16,0.16,0.15,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.11,0.11,0.1,0.09,0.0,0.06,0.04,0.01,0.18,0.06,100.03
07/21/2021,8.83,5.16,3.38,3.43,2.71,2.68,2.37,2.04,1.94,1.84,1.71,1.75,1.79,1.71,1.68,1.59,1.53,1.47,1.45,1.37,1.24,1.13,1.05,1.05,0.93,0.84,0.84,0.8,0.8,0.7,0.67,0.65,0.64,0.58,0.57,0.64,0.6,0.6,0.63,0.56,0.55,0.53,0.56,0.55,0.57,0.58,0.53,0.52,0.47,0.54,0.53,0.48,0.51,0.52,0.52,0.47,0.5,0.48,0.52,0.47,0.54,0.5,0.49,0.47,0.48,0.5,0.47,0.46,0.51,0.47,0.49,0.47,0.49,0.41,0.46,0.46,0.46,0.48,0.45,0.45,0.47,0.46,0.49,0.42,0.46,0.46,0.46,0.45,0.44,0.47,0.47,0.46,0.42,0.41,0.39,0.41,0.4,0.41,0.41,0.39,0.37,0.35,0.35,0.31,0.29,0.31,0.28,0.27,0.23,0.19,0.0,0.16,0.15,0.16,0.16,0.14,0.14,0.12,0.12,0.13,0.11,0.11,0.12,0.12,0.11,0.11,0.1,0.09,0.0,0.06,0.04,0.01,0.18,0.05,100.05
07/22/2021,8.83,5.16,3.38,3.43,2.71,2.68,2.37,2.04,1.94,1.84,1.71,1.75,1.79,1.71,1.68,1.59,1.53,1.47,1.45,1.37,1.24,1.13,1.05,1.05,0.93,0.84,0.84,0.8,0.8,0.7,0.67,0.65,0.64,0.58,0.57,0.64,0.6,0.6,0.63,0.56,0.55,0.53,0.56,0.55,0.57,0.58,0.53,0.52,0.47,0.54,0.53,0.48,0.51,0.52,0.52,0.47,0.5,0.48,0.52,0.47,0.54,0.5,0.49,0.47,0.48,0.5,0.47,0.46,0.51,0.47,0.49,0.47,0.49,0.41,0.46,0.46,0.46,0.48,0.45,0.45,0.47,0.46,0.49,0.42,0.46,0.46,0.46,0.45,0.44,0.47,0.47,0.46,0.42,0.41,0.39,0.41,0.4,0.41,0.41,0.39,0.37,0.35,0.35,0.31,0.29,0.31,0.28,0.27,0.23,0.19,0.0,0.16,0.15,0.16,0.16,0.14,0.14,0.12,0.12,0.13,0.11,0.11,0.12,0.12,0.11,0.11,0.1,0.09,0.0,0.06,0.04,0.01,0.18,0.05,100.05
