,DUK,D,EXC,PEG,ETR,FORTUM.HE,PCG,EDF.PA,9503.T,PNW,ELE.MC,9501.T,KEP,CEZ.PR,CCO.TO,PNM,9508.T,BWXT,KAP.L,NXE.TO,010950.KS,9505.T,EFR.TO,010950.KS.1,U.TO,UEC,010950.KS.2,051600.KS,PTBL.TA,GVMXX,1816.HK,PDN.AX,DML.TO,n/a,SUM
07/09/2021,8.14,8.04,7.06,6.62,5.88,5.42,5.25,4.59,4.5,4.44,4.36,4.35,4.33,4.23,4.18,3.39,3.19,2.94,2.1,2.05,1.12,1.02,0.89,0.78,0.58,0.56,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/12/2021,8.31,8.3,7.15,6.79,6.02,5.51,5.29,4.37,4.54,4.53,4.52,4.31,4.36,4.26,4.15,3.44,3.18,2.96,2.04,2.02,0.0,1.04,0.82,0.0,0.57,0.51,0.0,0.79,0.2,0.0,0.0,0.0,0.0,0.0,99.98
07/13/2021,8.31,8.3,7.15,6.79,6.02,5.51,5.29,4.37,4.54,4.53,4.52,4.31,4.36,4.26,4.15,3.44,3.18,2.96,2.04,2.02,0.0,1.04,0.82,0.0,0.57,0.51,0.0,0.79,0.2,0.0,0.0,0.0,0.0,0.0,99.98
07/14/2021,8.36,8.31,7.14,6.77,6.04,5.48,5.31,4.4,4.62,4.55,4.52,4.37,4.28,4.29,4.07,3.43,3.25,2.98,1.99,1.98,0.0,1.06,0.81,0.0,0.57,0.51,0.0,0.76,0.2,0.0,0.0,0.0,0.0,0.0,100.05
07/15/2021,8.42,8.34,7.18,6.81,6.04,5.48,5.24,4.39,4.57,4.54,4.57,4.44,4.34,4.3,3.99,3.43,3.21,2.97,1.91,1.96,0.0,1.05,0.78,0.0,0.57,0.48,0.0,0.77,0.21,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,8.42,8.34,7.18,6.81,6.04,5.48,5.24,4.39,4.57,4.54,4.57,4.44,4.34,4.3,3.99,3.43,3.21,2.97,1.91,1.96,0.0,1.05,0.78,0.0,0.57,0.48,0.0,0.77,0.21,0.0,0.0,0.0,0.0,0.0,99.99
08/31/2021,8.24,8.13,7.07,6.72,5.88,5.54,5.23,4.46,4.6,4.47,4.37,4.43,4.39,4.62,4.27,3.45,3.26,2.98,2.07,2.0,0.0,1.04,0.91,0.0,0.58,0.59,0.0,0.75,0.0,1.38,0.0,0.0,0.0,0.0,101.43
09/01/2021,8.24,8.13,7.07,6.72,5.88,5.54,5.23,4.46,4.6,4.47,4.37,4.43,4.39,4.62,4.27,3.45,3.26,2.98,2.07,2.0,0.0,1.04,0.91,0.0,0.58,0.59,0.0,0.75,0.0,1.38,0.0,0.0,0.0,0.0,101.43
09/02/2021,8.24,8.13,7.07,6.72,5.88,5.54,5.23,4.46,4.6,4.47,4.37,4.43,4.39,4.62,4.27,3.45,3.26,2.98,2.07,2.0,0.0,1.04,0.91,0.0,0.58,0.59,0.0,0.75,0.0,1.38,0.0,0.0,0.0,0.0,101.43
09/24/2021,7.67,7.82,6.95,6.39,5.76,5.47,5.36,4.39,5.02,4.42,4.12,3.95,4.61,4.63,4.24,2.93,2.95,2.29,2.26,1.98,0.0,0.93,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,1.44,1.09,0.0,100.04
