,BLK CSH FND TREASURY SL AGENCY,TREASURY NOTE,TREASURY NOTE.1,TREASURY NOTE.2,TREASURY BOND,TREASURY NOTE.3,TREASURY NOTE.4,TREASURY NOTE.5,TREASURY BILL,XTSLA,T 1.5 11/30/21,T 1.75 07/31/21,T 8 11/15/21,T 2.125 09/30/21,T 2.875 10/15/21,United States Treasury Notes 1.25%,B 0 12/02/21,4282.T,T 1.25 10/31/21,n/a,T 8 11.15.21,T 1.5 11.30.21,T 1.25 10.31.21,B 0 12.02.21,T 2.875 10.15.21,SUM
07/09/2021,38.74,15.65,12.12,11.94,11.04,4.98,3.0,1.49,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.4,12.12,11.94,11.04,4.98,3.0,1.49,1.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.75,12.12,11.94,11.04,4.98,3.0,1.49,0.99,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.43,12.09,11.84,10.86,4.95,2.98,0.0,0.99,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,99.62
10/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.43,12.09,11.84,10.86,4.95,2.98,0.0,0.99,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,99.62
10/05/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.9,6.98,0.0,10.99,0.0,0.71,0.0,0.93,0.0,1.49,4.99,0.0,0.0,0.0,0.0,0.0,99.99
10/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.9,6.98,0.0,10.99,0.0,0.71,0.0,0.93,0.0,1.49,4.99,0.0,0.0,0.0,0.0,0.0,99.99
10/07/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.89,6.98,0.0,10.99,0.0,0.71,0.0,0.93,0.0,1.49,0.01,0.0,0.0,0.0,0.0,0.0,100.0
10/08/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.99,6.98,1.49,0.93,0.71,99.99
10/11/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.99,6.98,1.49,0.93,0.71,99.99
10/12/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.99,6.98,1.49,0.93,0.71,100.0
10/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.99,6.98,1.49,0.93,0.71,100.0
10/14/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.99,6.98,1.49,0.93,0.71,100.0
10/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.99,6.98,1.49,0.93,0.71,100.0
10/18/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.99,6.98,1.49,0.93,0.71,100.0
12/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/07/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/08/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/09/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/10/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/14/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/17/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/22/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/23/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/24/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
12/27/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
