,AGPXX,CME New Zealand Dollar Currency Future,CME Canadian Dollar Currency Future,CME Norwegian Krone Currency Future,B 0 09/16/21,B 0 08/05/21,B 0 09/09/21,B 0 11/04/21,Cash/Receivables/Payables,CME Swiss Franc Currency Future,CME Euro Foreign Exchange Currency Future,CME Japanese Yen Currency Future,CMBR 0 09/09/21,SUM
07/09/2021,44.6,32.93,32.84,32.28,24.07,16.05,8.03,8.02,0.0,-32.6,-32.66,-33.57,0.0,99.99
07/12/2021,42.73,33.08,33.08,32.56,24.23,16.16,8.08,8.08,0.0,-33.19,-33.02,-33.93,0.0,97.86
07/13/2021,42.73,33.08,33.08,32.56,24.23,16.16,8.08,8.08,0.0,-33.19,-33.02,-33.93,0.0,97.86
07/15/2021,43.59,32.98,33.07,32.53,24.25,16.16,8.08,8.08,0.0,-33.16,-32.99,-33.9,0.0,98.68999999999996
07/16/2021,43.54,32.88,32.98,32.28,24.28,16.19,8.1,8.09,0.06,-33.09,-32.83,-33.87,0.0,98.61
07/19/2021,43.75,33.24,32.96,32.27,24.44,16.3,8.15,8.15,0.0,-33.33,-33.11,-34.33,0.0,98.49000000000004
07/20/2021,42.92,33.32,32.88,32.14,24.38,16.26,8.13,8.13,0.0,-33.19,-33.03,-34.17,0.0,97.77000000000002
07/22/2021,43.76,33.39,32.94,32.18,24.72,16.48,8.24,8.24,0.0,-33.7,-33.44,-34.83,0.0,97.98
07/23/2021,42.29,33.3,33.04,31.94,24.67,16.45,8.22,8.22,0.0,-33.53,-33.34,-34.65,0.0,96.61
07/26/2021,42.98,33.15,32.97,32.12,24.35,16.24,0.0,8.12,0.0,-33.17,-32.88,-34.1,8.12,97.9
