,MPLX,EPD,WES,Plains All American Pipeline LP,NS,DCP,ET,BPMP,PSXP,MMP,SHLX,CEQP,HEP,ENLC,ENBL,WMB,GEL,LNG,ENB.TO,OKE,Bny Mellon Cash Reserve Usd,TRP.TO,HESM,MPC,CQP,CVX,KMI,Trp Us 07/16/21 C55,Oke Us 07/02/21 P54.5,Lng Us 07/02/21 C88,Lng Us 07/02/21 P85,Mmp Us 07/16/21 C52.5,Epd Us 07/02/21 C25.5,Wmb Us 07/02/21 C27.5,Epd Us 07/02/21 P23.5,Et Us 07/02/21 C11.5,Kmi Us 07/09/21 P17.5,Et Us 07/09/21 C11.5,Ns Us 07/16/21 C20,Epd Us 07/09/21 C25.5,Wmb Us 07/09/21 C27.5,Paa Us 07/16/21 C11.5,Et Us 07/09/21 P10.5,Et Us 07/23/21 C11.5,Epd Us 07/16/21 C25,Epd Us 07/23/21 C25.5,Oke Us 07/02/21 C56.5,Et Us 07/16/21 C11.5,Epd Us 07/30/21 C25,Trgp Us 07/16/21 P42,Wmb Us 07/23/21 C27.5,Et Us 07/16/21 P10.5,Paa Us 07/09/21 C11.5,Dcp Us 07/16/21 C30,Enb Us 07/16/21 C40,Paa Us 07/23/21 C11.5,Mmp Us 07/16/21 P50,Cash,PAA,ONEOK Inc,Mmp Us 08/20/21 C52.5,Lng Us 07/16/21 P85,Wmb Us 07/30/21 C27.5,Paa Us 07/30/21 C11.5,Et Us 07/30/21 C11.5,Epd Us 08/13/21 C25.5,Lng Us 07/09/21 C88.5,Lng Us 07/09/21 P85,Epd Us 08/06/21 C25.5,Oke Us 07/09/21 P55.5,Epd Us 07/16/21 P24,Mpc Us 07/09/21 P57.5,Ceqp Us 08/20/21 C35,Lng Us 07/16/21 C90,Hep Us 08/20/21 C25,Wmb Us 08/06/21 C28,Cvx Us 07/16/21 P102,Mmp Us 07/16/21 P47.5,Et Us 08/06/21 C11.5,Dcp Us 08/20/21 C35,Trgp Us 08/20/21 P40,Epd Us 07/23/21 P24,Mpc Us 07/16/21 P57.5,Epd Us 08/27/21 C26,Mplx Us 08/20/21 C31,Oke Us 07/16/21 P56,Et Us 07/23/21 P10.5,Et Us 08/20/21 C12,Et Us 08/13/21 C12,Epd Us 08/20/21 C26,Wmb Us 08/20/21 C28,Wmb Us 08/13/21 C27.5,Paa Us 08/13/21 C11.5,Mpc Us 07/30/21 C59,Kmi Us 07/30/21 C18.5,Mmp Us 08/20/21 C50,Epd Us 09/17/21 C26,Lng Us 08/20/21 C87.5,Kinder Morgan Inc Class P,Epd Us 08/20/21 C24.5,Epd Us 08/20/21 C25,Oke Us 08/06/21 C55.5,Oke Us 08/13/21 C56,Epd Us 07/30/21 P23,Mpc Us 07/30/21 P52.5,Et Us 08/06/21 P9.5,Epd Us 08/06/21 P23,Mmp Us 08/20/21 P45,Mmp Us 08/20/21 P47.5,Kmi Us 08/20/21 C18.5,Et Us 08/13/21 P9.5,Epd Us 08/27/21 C25,Mpc Us 08/06/21 C58,Kmi Us 08/27/21 C18.5,Lng Us 09/17/21 C87.5,Wmb Us 08/06/21 P25,Kmi Us 07/30/21 P17.5,Wmb Us 07/30/21 P25.5,Epd Us 08/13/21 P23,Mmp Us 09/17/21 C52.5,Ceqp Us 09/17/21 C30,Trp Us 08/20/21 C50,Oke Us 08/20/21 C56,Wmb Us 08/27/21 C27,Paa Us 08/20/21 C11,Kmi Us 09/03/21 C19,Dcp Us 08/20/21 C30,Mpc Us 08/20/21 C59,Lng Us 08/20/21 C90,SUM
07/09/2021,17.97,13.14,12.64,10.8,10.56,9.33,8.24,7.1,6.89,6.2,5.25,5.08,4.26,3.94,2.94,1.7,0.68,0.54,0.52,0.2,0.19,0.12,0.1,0.08,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-28.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/12/2021,18.37,13.6,12.54,0.0,10.45,9.51,8.43,7.26,7.02,6.44,5.38,5.12,4.34,3.96,2.99,1.75,0.66,0.56,0.54,0.0,0.29,0.13,0.1,0.08,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,0.0,-0.04,-30.07,10.63,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05000000000004
07/13/2021,18.37,13.6,12.54,0.0,10.45,9.51,8.43,7.26,7.02,6.44,5.38,5.12,4.34,3.96,2.99,1.75,0.66,0.56,0.54,0.0,0.29,0.13,0.1,0.08,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,0.0,-0.04,-30.07,10.63,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05000000000004
07/14/2021,18.4,13.01,12.73,0.0,10.32,9.43,8.39,7.25,6.94,6.3,5.36,5.09,4.27,4.05,3.01,1.73,0.66,0.55,0.53,0.0,0.28,0.13,0.1,0.08,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,-0.03,-29.31,10.71,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000004
07/15/2021,18.35,13.19,12.69,0.0,10.39,9.35,8.34,7.29,6.91,6.29,5.43,5.01,4.28,4.11,2.97,1.73,0.67,0.55,0.53,0.0,0.28,0.13,0.1,0.08,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-29.0,10.41,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05000000000004
07/16/2021,18.33,13.38,12.69,0.0,10.38,9.27,8.41,7.42,6.96,6.35,5.49,5.04,4.31,4.12,2.99,1.76,0.67,0.54,0.55,0.0,0.72,0.13,0.1,0.08,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,-0.05,-30.21,10.61,0.01,0.0,-0.01,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.01,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,18.55,13.73,12.71,0.0,10.69,9.3,8.35,7.49,7.19,6.71,5.54,5.1,4.32,3.98,2.99,1.79,0.68,0.56,0.56,0.0,0.63,0.14,0.1,0.08,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,-0.02,0.0,0.0,0.0,0.0,-0.06,-31.54,10.59,0.01,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.02,0.0,0.0,-0.01,-0.01,-0.05,0.0,0.0,-0.03,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/20/2021,18.97,12.56,13.04,0.0,11.06,9.48,8.07,7.78,7.44,7.06,5.66,5.26,4.46,3.98,3.08,1.84,0.69,0.59,0.58,0.0,0.53,0.14,0.11,0.08,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,-0.06,-32.8,10.6,0.01,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,-0.01,0.0,-0.08,0.0,0.0,-0.05,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/21/2021,18.97,12.56,13.04,0.0,11.06,9.48,8.07,7.78,7.44,7.06,5.66,5.26,4.46,3.98,3.08,1.84,0.69,0.59,0.58,0.0,0.53,0.14,0.11,0.08,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,-0.06,-32.8,10.6,0.01,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,-0.01,0.0,-0.08,0.0,0.0,-0.05,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/22/2021,18.97,12.56,13.04,0.0,11.06,9.48,8.07,7.78,7.44,7.06,5.66,5.26,4.46,3.98,3.08,1.84,0.69,0.59,0.58,0.0,0.53,0.14,0.11,0.08,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,-0.06,-32.8,10.6,0.01,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,-0.01,0.0,-0.08,0.0,0.0,-0.05,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
